start	end	text
320	3100	U luistert naar Zimmerman & Space.
3420	7460	Onlangs ontmoette ik amateursterrenkundige Alex Scholten.
7980	11420	Al op jonge leeftijd raakte hij geïnteresseerd in de astronomie
11420	18320	en zo is Alex al ruim 40 jaar als publieksvoorlichter actief betrokken bij de volkssterrenwacht Buslo.
19000	23400	Naast het doen van eigen waarnemingen verzorgt hij voorlichtingen voor jong en oud
23400	27140	over diverse onderwerpen uit de sterrenkunde en ruimtevaart.
27140	34960	Op woensdagavond 27 september reed ik met de voor 96% verlichte maan laag in het zuidoosten
34960	40620	naar de sterrenwacht van Buslo om met Alex te praten over zijn bijzondere activiteiten.
41160	45160	We zitten hier in een hele mooie plek waar ik nog nooit geweest was.
45760	49180	De sterrenwacht van Buslo. Hoe ben je hier zo terechtgekomen?
49620	52400	Ja, ik ben als tiener eigenlijk al hier terechtgekomen.
52400	54500	Dat is inmiddels al heel wat jaren geleden.
54500	57880	Ik had altijd al een beetje interesse in de sterren.
58260	62100	En net in die periode in 1975 werd de sterrenwacht hier opgericht.
62520	66340	En ja, kwam ik hier dus als tiener terecht in een hele nieuwe wereld voor mij.
66880	70600	Om dan samen met andere amateursterrenkundigen naar die sterrenhemel te kijken.
71100	74320	Maar wat we hier doen is niet alleen zelf kijken, maar vooral ook het publiek informeren
74320	77220	over alles wat op het gebied van ruimtevaart en sterrenkunde gebeurt.
77220	81020	Eigenlijk is dat inherent als je het ook aan anderen wil laten zien.
81160	82600	Ja, dat heb je al heel snel.
82740	85740	Als je buiten staat en natuurlijk vaak sta je alleen te kijken.
86280	90000	Maar als er iemand anders komt, dan is je ook meteen al nieuwsgierig van wat ben jij aan het doen?
90100	92020	Wat sta je daar te doen? Waar sta je naar te kijken?
92020	92500	Ja.
92640	96040	En ja, dan is het ook leuk om dan eventjes iemand door de kijker te laten kijken.
96160	99780	En als ze dan zelf met een telescoop naar Saturnus kijken of naar de maan.
100200	102240	Ja, zou ik zeggen, ze zijn meteen verkocht eigenlijk.
102780	108140	We zijn hier om een speciale reden, want in het plaatsje Diepenveen is een meteoriet gevallen.
108660	110640	Maar dat is al 150 jaar geleden.
111420	113260	En daar wordt speciaal aandacht aan besteed.
113600	115580	Kun je iets vertellen over die meteoriet?
116000	117740	Ja, dat is een hele bijzondere meteoriet.
117740	121680	En vooral de manier waarop die eigenlijk aan de wetenschap ter beschikking is gekomen.
122340	126940	Je zei al 150 jaar geleden gevallen, maar hij is heel lang onbekend gebleven.
127460	130300	En pas in 2012 is hij eigenlijk echt ontdekt.
131140	136540	Moet je je voorstellen, er loopt een amateursterrenkundige, Henk Nieuwenhuis.
136900	141300	De bekende in de tijd als de conservator van het planetarium van IJzer-Ijzergaar.
141800	142680	Die loopt op een camping.
142680	149900	En op die camping is er een soort tentoonstelling waarbij iedere campinggast wat van zijn eigen hobby aan het presenteren is.
150040	151780	En daar zit ook een amateurgeoloog bij.
151780	156700	En die heeft natuurlijk een tafel uitgestald met allemaal stenen en andere geologische vondsten.
158140	159100	En Henk bekijkt dat eens.
159260	160620	En die ziet daar een kistje staan.
161160	163200	En daar staat bij meteoriet.
163660	164720	En hij kijkt in dat kistje.
164840	166700	En ziet inderdaad een donker zwart steentje.
166780	169680	Wat hij ook al wel herkent als een mogelijke meteoriet.
169680	172080	En hij verwacht dat dat gewoon een steentje is.
172160	174960	Zoals je die op Marktplaats of eBay ook wel kunt kopen.
175200	177380	Die ergens ter wereld gevallen is.
177960	180460	Maar lees dan een klein handgeschreven kaartje wat daarbij zit.
180580	181780	En daar staat op gevallen.
182160	184840	27 oktober 1873 in Diepeveen.
185340	186480	Nou zijn mond valt open.
186660	191200	Want ja in de sterrenkundige wereld is helemaal geen meteoriet van Diepeveen bekend.
191200	193680	En hij denkt eerst natuurlijk nog.
193760	195380	Dit is een uit de hand gelopen 1 april grap.
195720	197340	Dus gaat in gesprek met die mevrouw.
197540	198800	En hoort dan het verhaal.
199400	202640	En uiteindelijk besluiten ze toch maar eens een keer goed te laten kijken.
203120	205700	En te gaan onderzoeken of dit echt een meteoriet is geweest.
205820	207300	En het is niet zomaar een meteoriet.
207380	209080	Het is een koolstofchondriet.
209360	210900	En hebben we er niet zoveel van op aarde.
211000	211320	Klopt.
211360	212400	Dat is een hele kwetsbare.
212980	214640	Een beetje poreuze.
214640	218720	Hij doet ook een beetje denk als je hem ziet aan gewoon een stukje steenkool eigenlijk.
218860	219440	Heel erg zwart.
219560	220200	Heel erg donker.
220200	222540	En het verhaal is inmiddels ook bekend geworden.
222940	224920	Wat er eigenlijk gebeurd is met die meteoriet.
224980	225740	En hoe die gevonden is.
225800	228000	Het geluk was dat namelijk op een stukje papier.
228100	229780	Wat de hand geschreven in dat kistje zat.
230220	231420	Stonden ook een paar gegevens.
231540	232840	Dat die gevallen was.
233160	235020	Op 27 oktober 1873.
235680	237820	En gevonden was door een tweetal landarbeiders.
237960	238960	De heer en mevrouw Bos.
239440	240980	Die waren op het land aan het werk.
241580	243400	En die hoorden in een keer een sissend geluid.
243900	245340	Zien wat uit de lucht komen vallen.
245580	248740	En een eindje verderop in het bouwland slaat iets in.
248740	250080	Nou ze lopen daar naartoe.
250640	252160	Zijn natuurlijk nieuwsgierig wat dat is.
252860	254140	En zien daar een klein kuiltje.
254820	257000	En in dat kuiltje ligt een donker zwart steentje.
257560	258220	Ze pakken hem op.
258340	259900	Hij voelt nog handwarm aan.
260360	262340	En ze denken ja wat moeten we hiermee.
262840	263580	Dus nou ja.
264040	265400	Ze nemen hem mee.
265640	268540	En besluiten op de terugweg naar hun huis.
268620	269720	Aan het einde van de werkdag.
269720	272540	Om maar eens langs de plaatselijke schoolmeester te gaan.
272880	274280	Dat is toch de man in het dorp.
274500	275560	Met alle kennis.
276100	276480	En dergelijke.
276740	278820	Dus ze bellen bij die schoolmeester aan.
279320	284200	En tegelijkertijd is daar ook een stiefzoon van die schoolmeester aanwezig.
285040	286520	En dat zijn de heren te Weggel.
287160	290440	En die met name die stiefzoon is erg geïnteresseerd.
290560	292120	Die zit op dat moment ook op de HBS.
292240	293640	Dat is net nieuw in die tijd.
293800	296080	Dat de HBS in Deventer er is.
296760	297400	En ja.
297460	299820	Die heeft wel wat gelezen over meteorieten en dergelijke.
300300	300780	Dus die.
301300	302780	Vrij snel wordt al duidelijk van ja.
302860	304260	Dit zal een meteoriet wezen.
305040	307340	Nou de familie Bosch die denkt van ja leuk zo'n steentje.
307520	308760	Wij hebben daar verder niks aan.
308840	310320	Dus als jullie dat willen hebben.
310320	311240	Dan nou ja.
311780	312440	Veel plezier ermee.
312620	314740	En die gaan weer verder naar huis.
315540	316360	En nou.
