start	end	text
0	2580	De space station might look something like this.
3120	5260	U luistert naar Zimmerman & Space.
6320	15740	Deze maand, oktober 2023, lezen we her en der in het nieuws dat er een 8 miljard jaar oude radioflits is waargenomen.
15960	20800	Mysterious fast radio burst from deep space can't be explained by current theories.
21060	23860	Staat er bijvoorbeeld op de website space.com.
24640	27380	En populaire nieuwssites hebben het er ook over.
27380	30420	8 billion year old radio signal reaches earth.
30520	31620	Zie ik op CNN.
32840	36520	Misschien is het aardig vandaag iets dieper naar dit bericht te kijken.
36860	40740	Iets dieper het heelal in dus en iets dieper terug in de tijd.
41980	44720	Wat is ook weer een fast radio burst?
45020	46800	Nou, dat weten we nog niet.
50220	55700	We kunnen het wel morphologisch omschrijven, maar wat de oorzaker van is, is nog niet bekend.
55700	61480	Van tijd tot tijd zien radio's sterrenkundigen aan onze sterrenhemel een korte flits.
62720	65580	Inderdaad, in het radiogedeelte van het spectrum.
67160	71200	Dat is ongeveer in het bereik van 3 hertz tot 3 terahertz.
72200	76520	In dat bereik komen we ook onze aardse radio- en televisieuitzendingen tegen.
76520	79760	En de wereld van morgen werd de wereld van vandaag.
79980	84360	Maar we gaan ervan uit dat fast radio bursts een natuurlijke oorzaak hebben.
85040	90480	U kunt dan denken aan het ontstaan van een zwart gat, het vergaan van een pulsar of een magnetar,
90680	97120	of een vergelijkbaar hoog-energetisch gebeuren dat onze huistuin- en keukennatuurkunde in zijn hemd zet.
98260	100880	Fast zijn deze radio bursts zeker.
100880	107440	Zo'n klein pakket van radio-energie duurt in de waarnemingen soms maar een fractie van de milliseconden.
107660	113800	Maar er worden soms ook iets langere fast radio bursts waargenomen in de orde van een paar seconden.
114660	122700	We kennen het verschijnsel pas sinds 2007, toen de eerste fast radio burst werd vastgelegd door astronoom Duncan Lorimer.
122700	131120	De fast radio burst die Lorimer en zijn student David Narkovich ontdekten, kwam voor op een waarneming uit 2001.
131920	135540	Maar omdat radio straling met de lichtsnelheid door het helal reist,
135800	141940	zal de oorspronkelijke gebeurtenis waar de fast radio burst bij plaatsvond veel verder in het verleden liggen.
142080	143560	Ja, dat is logisch.
143760	148440	Wat kan nou de oorzaak van zo'n korte uitbarsting van radio straling zijn?
148580	149420	Dat is de vraag!
149420	153580	Nou, er zijn genoeg theorieën, maar de astronomie is er gewoon nog niet uit.
154260	158720	Er zijn natuurlijk genoeg gebeurtenissen waar ook radio straling bij wordt gegenereerd.
158960	163060	En objecten zoals pulsers zenden ook continu radio straling uit.
163640	167480	Dus dan ligt het voor de hand om bij vergelijkbare processen te kijken.
168420	172600	Er bestaan gek genoeg ook fast radio bursts die periodiek zijn.
172900	176700	Die zich, kortom, herhalen, herhalen, herhalen, herhalen.
176700	187280	Het is natuurlijk maar zeer de vraag of het achterliggende principe voor die zich herhalende fast radio bursts vergelijkbaar is met de sporadische enkelvoudige bursts.
188900	196140	Natuurlijk wordt ook door sommige mensen gesuggereerd dat dit radio uitzendingen zijn van extra galactische civilisaties.
196300	197640	Daar zit je niet op te wachten.
197640	202960	Dat klinkt natuurlijk goed omdat we deze gebeurtenissen aan de radio sterrenhemel waarnemen.
203600	209840	Maar als civilisaties buiten de aarde contact met ons zouden zoeken, zouden ze dan niet wat langer uitzenden?
210460	213580	Ik hoor u al denken, tijd is relatief.
213980	218740	Misschien duurt een milliseconden voor ons wel een week voor een of andere alien.
219440	223760	De tijd zal ons wellicht leren wat de bron van fast radio bursts is.
223760	228240	Maar laten we ons in de rest van deze aflevering bij de feiten houden.
228300	229480	Tuurlijk, zouden we niet.
229680	236940	Sinds die eerste ontdekking in 2007 zijn er inmiddels een paar honderd waarnemingen van fast radio bursts bekend.
237080	238000	Zo hé, wat veel!
238240	241900	Veel komen voor op frequenties rond de 1400 megahertz.
242120	245760	Maar er worden ook fast radio bursts op lagere frequenties waargenomen.
245760	253900	Met uitzondering van zich herhalende bursts weten we natuurlijk niet waar en wanneer er weer zo'n flits plaatsvindt.
253900	260600	Dus de enige manier om deze gebeurtenissen vast te leggen is de hele radio sterrenhemel continu te monitoren.
261500	263880	Zo werd ook onze flits van vandaag ontdekt.
264720	268000	Het artikel dat hierover dit jaar verscheen heeft als titel...
268000	279900	De fast radio burst in kwestie kreeg als identificatie de naam FRB2022-0610A.
281140	289780	Deze flits duurde 1.18 milliseconden en de radioenergie had een centrumfrequentie van 1271,5 megahertz.
289780	299120	Deze fast radio burst werd ontdekt met de Australian Square Kilometer Array Pathfinder radiotelescoop, afgekort met ASCAP.
299720	306540	Deze radiotelescoop bestaat uit 36 schotels elk 12 meter breed in West-Australie.
307400	313380	Met deze ASCAP-telescoop werden tot nu toe al 55 fast radio bursts waargenomen.
313380	321220	De telescoop speurt continu de hemel af op dit soort plotselinge onverspalbare radiogebeurtenissen.
321660	328460	Als er iets dergelijks wordt gezien kan een zogenaamde voltage buffer van 3,1 seconden opgeslagen worden...
328460	334220	zodat alle informatie vlak daarvoor tot en met de fast radio burst van alle schotels kan worden geraadpleegd.
335360	341860	Dat kunt u vergelijken met bepaalde geluidsopnameapparaten die al opnemen voordat u op een record heeft gedrukt.
341860	348860	Mijn Zoom H4n pocket recorder neemt bijvoorbeeld al twee seconden op zonder dat ik daarom gevraagd heb.
348980	350420	Nou, blij om dat te horen.
350720	353680	Zo is het dus ook met de ASCAP-telescoop in Australië.
354260	357860	Met de uit meerdere schotels bestaande ASCAP-radiotelescoop...
357860	365220	kon de plaats aan onze sterrenhemel van deze fast radio burst met een precisie van een halve boogseconde worden vastgesteld.
365640	371420	Dat brengt ons met grote nauwkeurigheid in de richting van het sterrenbeeld Sculptor, de beeldhouwer.
371420	375160	Een onopvallend sterrenbeeld aan de zuidelijke sterrenhemel.
375520	381600	In onze achtertuin in de Benelux komt dit sterrenbeeld soms en dan slechts gedeeltelijk boven de horizon.
382480	386420	Maar goed, dan weten we de hoogte- en breedtelocatie aan de sterrenhemel...
386420	389840	wat we in de sterrenkunde ook wel declinatie en rechte klimming noemen.
390620	395140	Dat zijn coördinaten aan de sterrenhemel die losstaan van onze aardse rotatie.
395560	398660	Maar dan weten we nog niet hoe diep we het heelal inkijken.
398660	400420	Daarover zo meer.
401480	404480	Hoe sterk is zo'n fast radio burst eigenlijk?
405240	407700	Is het ongezond om er eentje op te vangen?
410640	414300	Bij de oorsprong van zo'n fast radio burst gebeurt iets...
414300	416660	waarvan we dus nog niet goed weten wat het is...
416660	418540	waar u beter niet naast kunt staan.
418680	419620	Oh, dat is niet best.
419620	424280	Want aan dat flitsje van 1,18 milliseconden gaat de gebeurtenis vooraf...
424280	429620	waarbij in die extreem korte tijd de complete energie van 30 jaar van onze zonnestraling...
430280	431620	in het radiospectrum vrijkomt.
432720	435380	Maar dit gebeurt ver, ver weg van de aarde.
435860	439860	En elektromagnetische straling neemt af met het quadraat van de afstand.
440040	440940	Oh, gelukkig.
440940	444560	Dus tegen de tijd dat zo'n radiopulsje onze aarde bereikt...
444560	445980	is het flink afgezwakt.
446800	451600	Zo'n radiotelescoop als de ASKAP is een buitengewoon gevoelig radiooor.
452280	457660	En FRB 20220610A had dan ook maar een fractie van de energie...
457660	460080	van bijvoorbeeld de straling van een mobiele telefoon.
460800	464800	En dat ook nog eens in het tijdbestek van maar 1,18 milliseconden.
465460	467300	Geen zorgen dus daarover.
467300	472540	Niet in elk nieuwsartikel lezen we hoe nou de afstand...
472540	475960	die zo'n fast radio burst afgelegd heeft, kan worden bepaald.
476740	479200	In tegenstelling tot zichtbaar licht...
479200	483380	waarin we emissie- en absorptielijnen van bepaalde elementen tegenkomen...
483380	486340	is zo'n fast radio burst maar een beetje ruis...
486340	489340	waar we met onze kennis van nu geen informatie in zien...
489340	491120	waarmee we de afstand kunnen bepalen.
491280	492400	Eh, even kijken.
492780	495300	Dus hoe doet men dan zo'n afstandsbepaling?
495300	500540	In het geval van FRB 20220610A...
500540	503300	werd gekeken met optische en infrarood telescopen...
503960	507960	of er op dezelfde locatie aan de sterrenhemel iets gevonden kan worden...
507960	510940	waar die fast radio burst vandaan is gekomen.
511940	516300	Met de VLT, Very Large Telescope, en het Keck Observatorium...
516860	520480	werd op exact de radiolocatie van de fast radio burst...
520480	522700	een klein sterrenstelsel aangetroffen.
522700	525860	In het licht van dit sterrenstelsel...
525860	527940	kunnen dan wel spectrale lijnen worden gemeten...
528560	531840	die ons iets zeggen over de afstand die het licht heeft afgelegd.
532700	533860	Om precies te zijn...
533860	535820	werden de zuurstof-ionlijnen...
535820	541260	op 3726 en 3729 engstroom waargenomen.
541440	542360	Oké, interessant.
542900	543940	Maar wel een beetje nerderig.
544720	546940	Deze lijnen worden veroorzaakt door zuurstofatomen...
546940	552440	die door ultraviolette straling van doorgaans jonge sterren worden geioniseerd.
553800	557280	Hierdoor ontstaat een duo van spectrale lijnen...
557280	560600	dat we ook wanneer het miljarden jaren door het helal heeft gereisd...
560600	561640	nog kunnen waarnemen.
562560	565100	Door de lange reis door een uitdijend helal...
565100	567940	raakt de straling en daarmee ook de spectrale informatie...
568600	570240	ernstig rood verschoven.
570680	573820	Dat betekent dat de frequentie van de straling afneemt...
573820	575420	en de golflengte toeneemt.
576340	577960	Hier kunnen we een getal aanhangen.
578100	580260	De parameter z die ons zegt...
580260	582560	hoe ernstig rood verschoven het licht is.
583000	587120	Ik heb al een hele aflevering van deze podcast en z gewijd...
587120	589580	dus die kunt u desgewenst terugluisteren.
590580	593480	Door te veronderstellen dat de fast radio-burst...
593480	596680	afkomstig is uit dit optisch waargenomen sterrenstelsel...
596680	599060	op precies dezelfde locatie aan de hemel...
599060	602740	kunnen we nagaan hoe ver weg dit signaal ooit ontstaan is.
602740	606700	Voor FRB 20220610A...
606700	611000	komen we uit op een Z, een roodverschuiving van 1.016.
612180	615160	Dat betekent sowieso dat de veronderstelde bron...
615160	618440	van onze fast radio-burst verschrikkelijk lang geleden...
618440	621080	en ook verschrikkelijk ver weg van onze aarde stond.
622240	624960	Zo ver zelfs dat we voorzichtig moeten zijn...
624960	626420	met wat we hierover beweren.
627380	630720	Een groot deel van ons helal is nog maar beperkt in beeld.
630720	633640	We weten bijvoorbeeld niet goed hoe het helal...
633640	634680	er op de grote schaal bij staat...
634680	637920	voor wat betreft de kromming van de ruimtetijd.
638140	639400	Oh ja, inderdaad.
639580	641980	Misschien weet u nog wel van de wiskunde van vroeger...
641980	645700	dat als we maar genoeg inzoomen op een grafiek, hoe krom ook...
645700	648280	dat we dan op den duur naar een rechte lijn kijken.
648940	651380	Of in ieder geval recht genoeg om te doen...
651380	652720	alsof het een rechte lijn is.
653060	653360	Oké.
653360	657260	En wellicht is het ook zo met ons helal en onze realiteit.
657780	660740	Op aarde is het meest redelijk overzichtelijk...
660740	664000	met een voor, achter, links, rechts, onder en boven.
664720	668280	Maar of een en ander op de grote schaal ook zo rechtlijnig is...
668280	669580	dat weten we nog niet goed.
669780	670760	I don't know.
670960	673560	We weten ook helemaal niet hoe groot het helal eigenlijk is.
673740	673880	Oh.
673880	678240	Nemen we nou voor nu aan dat het helal wel min of meer rechtlijnig is...
678240	682420	dan is de fast radio-burst bij een zet van 1.016...
682420	686280	ongeveer 7,8 miljard jaar naar ons onderweg geweest.
687080	689060	Inmiddels staat dit sterrenstelsel...
689060	692300	waar dus die fast radio-burst ooit ontstaan is...
692300	693880	veel verder van ons vandaan...
693880	698280	omdat het helal in die 7,8 miljard jaar ook immens uitgedijd is.
699240	703640	Met een oerknal die waarschijnlijk 13,7 miljard jaar geleden plaatsvond...
703640	706160	hebben we het dan over iets wat in een helal gebeurde...
706160	707960	dat nog veel jonger en kleiner...
707960	710560	en dus ook anders was dan ons huidige helal.
711560	715120	Daar zullen we het in een toekomstige aflevering van deze podcast...
715120	716540	nog wel eens vaker over hebben.
717620	724000	Voor nu nog twee feiten over deze fast radio-burst FRB-20220610A.
724640	727140	De astronoom Jean-Pierre Macaar...
727140	730100	die al op 45-jarige leeftijd overleed...
730100	733600	wordt veelvuldig in verband gebracht met fast radio-burst.
733640	739360	Van zijn hand is de relatie tussen dispersie van radiostraling en afstand...
739360	741660	ook wel bekend als de Macaar-relatie.
742860	746600	Dispersie is de frequentieafhankelijke afbuiging van straling.
747520	749960	Wat we zien als zo'n fast radio-burst...
749960	754100	een aanzienlijke afstand door het interstellaire medium heeft afgelegd...
754100	755820	is dat de radiostraling onderweg...
755820	761540	behalve een lineaire afname in frequentie als gevolg van de uitdijing van het helal...
761540	765260	Dat was een lange zin.
765260	770440	Een beetje zoals een regenboog het zonlicht aan de regenachtige hemel uitsmeert.
771260	775700	Deze radio-uitsmering is het gevolg van deeltjes en straling...
775700	778720	die de fast radio-burst onderweg tegenkomt.
779220	782300	De grote vraag is dan natuurlijk wat voor deeltjes?
782300	787320	Dat kan zijn op het moment dat de fast radio-burst ontstaat...
787320	791220	dus bijvoorbeeld in het sterrenstelsel waar zo'n gebeurtenis in plaats heeft gevonden.
791640	793980	Maar dat kan ook onderweg gebeuren naar de aarde.
794780	797300	Want tussen daar en hier in die paar miljard lichtjaar...
797960	800580	komen we ook in het eilen heelal van alles tegen...
800580	804120	aan rondvliegende ionen, fotonen en kerndeeltjes.
804480	806040	En ook magnetisme.
807040	811160	Allemaal zaken waar de radiostraling dispersie door gaat vertonen.
811160	816120	Makai er toonde aan dat deze afgelegde reis ons veel informatie geeft...
816120	818920	over de samenstelling van het interstellaire medium.
819780	823880	Een beetje zoals wanneer u met een duikbril op uw hoofd in de sloot steekt...
823880	826480	en dan iets over het slootwater te weten komt...
826480	829320	en niet alleen maar iets over de overkant waar u naar kijkt.
831060	836920	Bij FRB 20220610A werd echter een exces aan dispersie waargenomen...
836920	842680	waardoor deze fast radio burst buiten de gebruikelijke makaarkurve komt te liggen.
843480	845860	Waar dit aan ligt is niet geheel duidelijk.
847280	849680	Astronomen zien wel dat deze fast radio burst...
850340	853680	minder zogenaamde faradayrotatie en depolarisatie heeft...
853880	858620	dan een andere fast radio burst die buiten de makaarkurve lag.
858620	864860	Ook was FRB 20220610A ongeveer drieënhalf keer sterker...
864860	867000	dan de gemiddelde fast radio burst.
867620	872040	Dat kunnen we afleiden uit de hoeveelheid energie die de aarde bereikt...
872040	873580	als een functie van de afstand.
874420	877420	Ook dit gegeven is enigszins mysterieus.
878160	882620	Het lijkt er met andere woorden op dat deze onbestemde radio flitsen...
