start	end	text
0	3820	U luistert naar Zimmerman & Space.
4660	11100	U weet misschien wel dat we in deze podcast een voorliefde hebben voor mysterieuze dingen in de ruimte.
11220	12200	Ja, schiet nou maar op.
12640	21980	Amaltea, een van de vele manen van Jupiter, biedt ons een fascinerende blik op de diversiteit en complexiteit van ons zonnestelsel.
21980	30320	Deze maan werd op 9 september 1892 ontdekt door de Amerikaanse astronoom Edward Emerson Barnard.
31200	40240	Amaltea is een onregelmatig gevormde maan met afmetingen van ongeveer 250 bij 146 bij 128 kilometer.
41280	48600	Haar vorm en grootte zeggen ons dus dat het geen rond hemellichaam is, maar eerder een grillig gevormde brok puin.
48600	56020	Misschien een overblijfsel van een groter object dat door botsingen werd gefragmenteerd.
57340	63680	Amaltea's lage dichtheid, geschat op ongeveer 0,86 gram per kubieke centimeter,
64040	68800	impliceert bovendien dat deze maan grotendeels bestaat uit poreus materiaal.
69540	72680	Hoogst waarschijnlijk een mengsel van ijs en rots.
73740	77320	Die combinatie zien we wel meer rond onze zon draaien.
78600	87500	Amaltea is genoemd naar een nymph uit de Griekse mythologie die de jonge Zeus, de Griekse tegenhanger van Jupiter, voedde.
88160	94840	Op afbeeldingen zien we Amaltea vaak vergezald van een geit die de melk levert om Zeus te voeden.
94840	104960	Ondanks haar bescheiden omvang en onregelmatige vorm heeft Amaltea een belangrijke plaats in de geschiedenis van de verkenning van de buitenste planeten.
105820	117080	In de aflevering van vandaag zullen we Amaltea's fysieke eigenschappen, geologische kenmerken, dynamische interacties en wetenschappelijke betekenis samen proberen te verkennen.
117080	118700	Nou, interessant.
119420	127080	Het oppervlak van Amaltea is bedekt met talloze inslagkraters die variëren in grootte van kleine putten tot grotere bassins.
128360	135580	De twee grootste kraters, Pan en Gaia, hebben een diameter van respectievelijk 90 en 75 kilometer.
135580	145780	De maan vertoont ook lange ketens van secundaire kraters en diepe troggen die getuigen van een intens verleden van inslagactiviteiten.
147280	155040	De geologische kenmerken van Amaltea zijn opvallend en divers, ondanks de relatief kleine omvang van de maan.
155720	163640	Het oppervlak vertoont een variëteit aan terreinsoorten, waaronder gladde vlaktes, ruige gebieden en diepe canyons.
163640	172920	Die aanwezigheid van verschillende soorten terrein suggereert dat Amaltea onderhevig is geweest aan uiteenlopende geologische processen,
173120	181580	waaronder dus meteorietinslagen, maar ook oppervlakteerosie en mogelijk interne processen zoals vulkanisme en maanbevingen.
183000	188180	Een van de meest intrigerende aspecten van Amaltea is de helderheid van haar oppervlak.
188180	200680	Observaties door de Galileo-zone eind vorige eeuw hebben aangetoond dat Amaltea bedekt is met een dunne laag stof en rotsachtig materiaal dat opvallend rood van kleur is.
201560	208180	Amaltea bevindt zich in een baan dicht bij Jupiter op een gemiddelde afstand van ongeveer 181.000 kilometer,
209040	212640	wat neerkomt op ongeveer 2,5 keer de straal van Jupiter.
212640	220680	Deze baan brengt Amaltea in een regio van sterke getijdenkrachten en intense straling, waarover zo meer.
221880	229640	De getijdenkrachten van Jupiter hebben waarschijnlijk bijgedragen aan de onregelmatige vorm van Amaltea en haar geologische activiteit.
231360	236900	Amalteas baan is ook nog eens bijna cirkelvormig en ligt in het evenaarsvlak van Jupiter,
237160	241540	wat erop wijst dat de maan is gesynchroniseerd met de rotatie om de planeet.
241540	242520	Wat betekent dat nou?
242640	247140	Dit betekent dat dezelfde zijde van Amaltea altijd naar Jupiter gericht is.
247500	253740	Een fenomeen dat we getijdenvergrendeling noemen en wat wel vaker in deze podcast aan de orde is geweest.
254740	258600	In een halve aardse dag zwiept Amaltea eenmaal rond Jupiter.
260200	264100	Het effect van deze getijdenvergrendelde korte baan rond Jupiter,
264460	269340	en met name de invloed hiervan op de structuur van de maan, wordt nog niet volledig begrepen.
269340	270820	Ik ben niet zeker, ik begrijp.
271200	278740	Er kleeft ook nog een raadsel aan deze maan, en dat is dat Amaltea meer warmte uitstraalt dan dat zij van onze zon ontvangt.
278800	279120	Huh?
279300	284220	Het ligt dan voor de hand te veronderstellen dat die extra hitte ontstaat door getijdenwerking,
284440	286560	maar dat is niet het complete verhaal.
286900	290340	Zeker ook omdat Amaltea zo'n nette cirkel om Jupiter beschrijft.
290340	297040	Zo dicht bij planeet Jupiter ontvangt Amaltea ook een hoop straling van de planeet.
297680	301100	Zowel rechtstreeks de straling als gereflecteerde straling.
302120	305960	Dat klinkt misschien raar, want Jupiter is toch zeker geen ster?
306540	308500	Wat voor straling hebben we het dan over?
309240	313260	Om deze vraag te beantwoorden kijken we naar het magneetveld rond Jupiter.
313260	321040	Net als onze aarde kent ook Jupiter een magnetosfeer, maar een aanzienlijk sterkere dan die rond onze aarde.
322200	329260	Jupiter is niet alleen de grootste planeet in ons zonnestelsel, maar kent ook het grootste magneetveld in ons zonnestelsel.
329980	334020	Dit is beslist geen plaats om te bezoeken als u een pacemaker draagt.
336060	343180	De termen magneetveld en magnetosfeer klinken misschien enigszins als synonieme, maar dat is niet helemaal correct.
343260	352260	Een magneetveld ontstaat rond hemellichamen met een vloeibare en elektrisch geleidende kern waarin confectie plaatsvindt.
352800	357340	Dit levert een diepool magneetveld op, dus met een noord- en een zuidpool.
358340	365360	Behalve bij onze aarde zien we ook magneetvelden bij planeten Mercurius, Jupiter, Saturnus, Uranus en Neptunus.
365360	373360	Bij planeten Mercurius en aarde is confectie in een vloeibare metalen kern hoogstwaarschijnlijk de oorzaak van het magneetveld.
373360	380460	In de gasreuzen wordt de oorzaak van magnetische dynamowerking echter nog niet geheel begrepen.
381220	387680	Mogelijk is waterstof onder hoge druk in de kernen van deze planeten in staat een magneetveld te creëren.
388460	391960	Maar alleen een magneetveld op zich is niet het complete verhaal.
392580	396360	De zon blaast continu een stroom van geladen deeltjes door een zonnestelsel,
397460	402120	de zogenaamde zonnewind waar we het vorige week ook al over hadden met Meerte van der Drift.
402120	407200	Wat we zonnewind noemen is in werkelijkheid een stroom van geladen deeltjes
407200	412900	die met een snelheid van tussen de 400 en 800 kilometer per seconde door de lege ruimte schieten.
413380	421080	De interactie tussen die zonnewind en een magneetveld levert een complex en asymmetrisch geheel van geladen deeltjes op
421080	423060	dat we de magnetosfeer noemen.
424120	428200	Deze is asymmetrisch omdat de kant die naar de zon wijst afgeplat is
428200	433560	en de kant die van de zon afwijst als de staart van een kikkervisje van de planeet afstaat.
434400	438640	Die kikkervisstaart magnetosfeer van Jupiter is zo gigantisch
438640	444720	dat deze bij heftige zonnewind helemaal tot aan de baan van de volgende planeet, Saturnus, kan rijken.
445380	450320	Dat is dan een staart van ruim 600 miljoen kilometer aan geladen deeltjes.
450320	456300	Gemiddeld is de magnetosfeer van Jupiter echter zo'n 20 miljoen kilometer breed.
456680	459720	Nog altijd 150 keer breder dan de planeet zelf
459720	465180	en groot genoeg om praktisch alle maantjes van Jupiter bloot te stellen aan geladen deeltjes.
465900	469600	Ook Amalthea, ons onderwerp van vandaag, moet het ontgelden.
470600	474680	Dit magneetveld met bijbehorende stroom van opgeladen deeltjes
474680	478780	kunnen we dus ook zien als een toelevering van energie aan Amalthea.
478780	482420	Het is zelfs mogelijk dat het extreme magnetisme,
482520	485200	waaraan Amalthea continu wordt blootgesteld,
485460	489900	in staat is elektrische stromen op gang te brengen in de kern van deze maan,
490080	493700	waardoor ook weer exces energie vrijkomt in de vorm van warmte.
494620	498780	En hoe komt Jupiter eigenlijk aan zo'n overdreven sterke magnetosfeer?
499400	501200	De vraag is dan, ja, hoe dan?
501360	503960	Dat is een combinatie van verschillende factoren.
504340	507820	Om te beginnen is Jupiter natuurlijk een enorme planeet
507820	510320	met een evenredig groot magneetveld.
511020	515640	Geladen deeltjes in de ruimte rond Jupiter ervaren dit sterke magneetveld
515640	518560	en worden versneld tot hoge energieniveaus.
519440	522840	Deze deeltjes bestaan uit atoomkernen van waterstof,
523040	525460	zuurstof en zwavel en losse elektronen
526020	528460	die uit de atmosfeer van Jupiter ontsnappen.
528460	532860	Daarnaast doet onze zon, zoals gezegd, ook een duit in het zakje
532860	536280	door middel van een in de tijd in sterkte variërende stroom
536280	538340	deeltjes die we de zonnewind noemen.
539000	543660	Maar de dominante bron van deeltjes is, misschien enigszins onverwacht,
543660	548260	de vulkanisch actieve maan Io, een van de grotere maanen van Jupiter.
549700	554340	Door dit vulkanisme dumpt Io ongeveer 100.000 kilo
554340	557140	zwavelt dioxide per seconde de ruimte in.
558320	562140	Dit vulkanisme op Io werd in 1979 ontdekt
562140	565860	aan de hand van waarnemingen van het Voyager 1 ruimtevaartuig.
567900	571880	Vulkanisme op Io is te wijten aan de excentrische baan van deze maan,
572080	574780	waardoor deze tijdens elke omwenteling om Jupiter
574780	577160	door de getijdenkrachten gemasseerd wordt.
579600	583440	We zeiden ook al dat Amaltea opvallend rood van kleur is.
583440	584320	Hoe zit dat dan?
584520	589200	Al in 1980, vlak na Voyager 1's ontmoeting met Jupiter dus,
589340	590880	werd hierover gepubliceerd.
591660	594720	In het tijdschrift Icarus verscheen een artikel met de titel
594720	597140	The Surface Composition of M.L. Thea.
597580	601520	Hierin lezen we dat ook weer zwavelatomen afkomstig van Io
601520	604540	aangewezen worden als bron van die rode kleur.
605460	609860	De ontdekking van Amaltea's rode oppervlak heeft belangrijke implicaties
609860	614520	voor ons begrip van de chemische processen die plaatsvinden in de omgeving van Jupiter.
615460	620180	Door de interactie van Amaltea met Jupiter's stralingsgordels te bestuderen,
620400	625920	kunnen wetenschappers meer leren over de effecten van straling op de oppervlakte van hemellichamen
625920	629560	en de mogelijke chemische veranderingen die hieruit voortvloeien.
629560	634240	Al met al biedt Amaltea wetenschappers een unieke gelegenheid
634240	640520	om de fysische en geologische eigenschappen van kleine manen in het buitenste zonnestelsel te bestuderen.
641280	647060	De studie van Amaltea kan inzicht geven in de oorsprong en evolutie van de manen van Jupiter,
647600	649000	evenals de proces.
652000	653400	Bent u nog wakker?
653820	654880	O, gelukkig.
654880	661260	Bovendien kan Amaltea dienen als een soort laboratorium voor de studie van getijdeninteracties
661260	666060	en hun impact op de structuur en evolutie van kleine poreuze manen.
666880	673600	De toekomst van de verkenning van Amaltea ligt in de handen van nieuwe ruimtemissies naar het Joviaanse systeem.
674200	679780	Missies zoals de op 14 april vorig jaar gelanceerde Jupiter Icy Moons Explorer,
679780	684060	afgekort Jews, en NASA's nog te lanceren Europa Clipper,
684060	687540	zijn gericht op het verkennen van de grotere manen van Jupiter,
687840	693160	maar zouden ook waardevolle gegevens kunnen verzamelen over kleinere objecten zoals Amaltea.
693900	699640	Over die Europa Clipper missie binnenkort een hele aflevering van mijn gezwets over de ruimte.
699720	700660	O, gelukkig.
700840	702640	En de toekomst van Amaltea?
702820	703080	O ja.
703280	707260	Volgens NASA zal deze maan op den duur te dicht bij Jupiter komen
707260	710380	en desintegreren in de atmosfeer van de planeet.
710380	713780	Tot de volgende keer.
713780	717560	TV Gelderland 2021
