start	end	text
100	2660	U luistert naar Zimmerman & Space.
3200	6640	Vaak krijg ik vragen over de aanschaf van een telescoop.
7060	10080	In een enkel geval betreft dit zelfs luisteraars...
10080	13060	die door deze podcast geïnspireerd zijn geraakt...
13060	15620	om zelf astronomische waarnemingen te gaan doen.
16500	19000	Nou beschik ik zelf wel over een telescoop...
19000	22300	maar echt een autoriteit op dit gebied kan ik mezelf niet noemen.
22960	25000	Zeker niet als het gaat om het maken van foto's...
25700	27280	met behulp van een sterrenkijker.
27280	30840	Wie wel een autoriteit is, is Arenda Schuurman.
31360	34280	Niet alleen werkt zij bij de winkel op het gebied van telescopen...
34960	36680	Ganymedes in Amstelveen.
36880	39280	Ook maakt zij bijzonder fraaie foto's van sterrenstelsels...
40340	42220	de maan, planeten en ook de zon.
42640	45280	Toen ik zeer onlangs op bezoek was bij de sterrenstofpodcast...
46000	49520	van Anko van Hal, ontmoet ik Arenda en zag ik met eigen ogen...
49520	52040	hoe indrukwekkend zij de zon weet vast te leggen.
52560	54780	En zo ontstond het idee voor een interview.
54780	58340	Vorige week dinsdag reed ik naar Ganymedes in Amstelveen...
58340	63240	waar ik Arenda kon bevragen over het maken van astronomische foto's.
64100	66180	Ik zit hier tegenover Arenda Schuurman...
66180	68340	in de prachtige winkel Ganymedes in Amstelveen.
69120	72780	Het is echt natuurlijk de snoepwinkel voor mensen die van astronomie houden.
73460	74680	En jij bent hier werkzaam, hè?
75140	76100	Ja, dat klopt.
76880	79940	Ik ben inderdaad werkzaam bij Ganymedes sinds een jaar nu.
79940	84320	En fulltime, en je helpt mensen met de keuze van telescopen...
84320	86960	en verrekijkers en microscopen en filters en al die dingen.
87660	88880	Klopt inderdaad, ja.
89520	92940	Ik mag inderdaad hier mensen helpen om hun eerste telescoop te kopen...
93600	98080	of mensen die al een hele set hebben en daar een uitbreiding voor willen.
98580	102240	Of ook gewoon mensen die komen voor een verrekijker of een spottingscoop.
102780	105040	Van alles en nog wat hebben we hier inderdaad.
105120	106300	En dat is gewoon hartstikke leuk.
106740	106880	Ja.
107460	109080	Kun je iets zeggen over jouw achtergrond?
109080	113020	Ik ben oorspronkelijk begonnen bij het Nederlands Kanker Instituut.
113120	115680	Ik heb een hoge laboratoriumopleiding gedaan.
116180	118460	En ik ben daar werkzaam geweest op een laboratorium.
119380	122280	Maar op een gegeven moment wilde ik wel meer leren.
122600	125580	En zo ben ik eigenlijk op een gegeven moment meer de kwaliteit ingerold.
125860	127000	Heb ook veel gereisd.
127260	130240	Toen kwam eenmaal dit eigenlijk zo op mijn pad terecht.
130620	134640	Ja, ik kwam hier natuurlijk zelf ook al in de snoepwinkel van Nederland.
134940	135900	Voor mij dan.
136140	138060	Ja, en zo kwam het een keer ter sprake.
138060	141980	En toen hadden ze iets van nou weet je wat, laten we het een kans geven.
142740	145420	En een jaar later mag ik hier eigenlijk niet meer weg.
145780	146580	Nee, dat snap ik.
146920	149940	En de optische instrumenten zaten ook in jouw opleiding natuurlijk.
150180	153700	Ik heb wel microscopen gehad, maar voor de rest niet zozeer dit.
153700	157520	Eigenlijk begon deze hobby in 2014.
158200	162180	Toen we hierheen gingen, naar Rani Medes, om onze eerste telescoop te kopen.
163400	166760	Ja, die fascinatie voor wat daarboven was, was er eigenlijk altijd wel al.
167420	171660	Maar toen besloten we pas echt van nou weet je wat, laten we eens een telescoop gaan kopen.
171660	173400	En we, dat is jij en je vrouw?
173500	173920	Ja, klopt.
173920	174420	Wel gezellig.
174500	175780	Dus jullie doen het samen, de hobby?
175940	176460	Ja, ja.
177260	178440	Zij is wel meer visueel.
178700	182220	Ik ben in de tussentijd wat meer overgestapt naar astrofotografie.
182960	188840	Maar als ik dan inderdaad de telescoop zette op de maan of planeten, dan roep ik altijd even naar binnen.
189260	190240	Wil je nog komen kijken?
190240	192240	En dan kijken we altijd eerst samen.
192600	194640	En dan ga ik daarna wat foto's maken.
195240	200920	En dan sluit ik altijd weer af met weer even een oculair in de telescoop om breven samen te kijken.
201280	203700	Ik ken jou natuurlijk via de Sterrenstof podcast.
203900	208080	En daar zag ik foto's van de zon die echt next level zijn, mag ik wel zeggen.
208220	208780	Dank je wel.
208860	211340	Ik denk dat NASA blij mag zijn met zulke foto's.
211760	214960	En die heb je gewoon in Nederland gemaakt met jouw eigen telescoop.
215120	217240	Klopt, die heb ik inderdaad in Nederland gemaakt, in Beverwijk.
217240	217800	Beverwijk.
218220	220300	S'avonds is er zoveel natuurlijk te zien.
220440	221440	Maar het is niet altijd heldig.
221660	226640	Dus we wilden kijken of we eventueel ook een zonnetelescoop zouden kunnen kopen.
227180	229160	Nou, toevallig kwam er eentje op ons pad.
230040	231320	Dus die hebben we toen gekocht.
231660	234480	Ja, en dan wil ik natuurlijk ook wel graag daar foto's van maken.
234480	239400	Dus daar heb ik inderdaad wel eventjes een studie in gedaan om daar mooie foto's van te kunnen maken.
240260	243780	Nou, ja, die zon dat is gewoon zo'n geweldig object.
244440	246820	Er is op dit moment zoveel activiteit gaande.
246820	255540	Iedere keer weer verbaas je je erover wat je allemaal ziet aan de filamenten, aan de protuberansen, de zonnevlekken.
256360	261280	Toen we hem net kochten, het eerste jaar, hadden we echt dagen dat we geen zonnevlek zagen.
261460	261600	Nee.
261600	262720	Toen was er nog heel weinig.
262960	265780	En je zag echt door het jaar heen steeds meer komen.
265920	268000	En het jaar daarna werd het bijna iedere dag.
268180	270900	En nu is het gewoon iedere dag dat je wel een zonnevlek ziet.
270900	271180	Ja.
271660	276720	En hoezeer is een zonnetelescoop anders dan een Schmid-Cassegrain met een zonnefilter erop?
277080	283040	Een zonnetelescoop is eigenlijk een H-alpha-telescoop en laat alleen eigenlijk die golflengte door.
283480	292780	Een H-alpha-filter of waterstof-alpha-filter houdt al het licht tegen, behalve dat met een golflengte van 656,3 nanometer.
292780	303360	Licht met specifiek deze golflengte wordt uitgezonden als het enkele elektron van een waterstofatoom van de tweede naar de eerste geëxciteerde staat verplaatst.
303880	310040	Een H-alpha-filter is daarmee bijzonder geschikt om details in het oppervlak van de zon zichtbaar te maken.
310600	315700	En daardoor ga je dus naast zonnevlekken ook zonnevlammen of protuberansen zien.
315940	316140	Ja.
316360	318500	En veel meer de chromosfeer van de zon.
318500	325000	En dat is anders dan wanneer je een, wat je inderdaad zegt, een telescoop hebt waar je dan weer een witfilter voordoet.
325180	329760	Wat meer eigenlijk het licht blokkeert, waardoor je heel goed de zonnevlekken kan zien.
330320	332380	Maar daar zie je niet de zonnevlammen mee.
332560	334680	Nee, en die zijn wel heel mooi zichtbaar.
334840	336800	Die zijn echt sprookjesachtig mooi geworden.
337020	337780	Ja, absoluut.
338220	340880	En dus je hebt ook meerdere telescopen thuis, denk ik.
341140	343900	Ja, ik heb inderdaad wel meerdere telescopen thuis.
344740	345400	Ja, klopt.
345400	347540	En voor de fotografie, wat gebruik jij dan?
348500	352220	Voor de fotografie gebruik ik op dit moment een lensetelescoop.
352440	356960	Met een brandpunt afstand van ongeveer 260 millimeter.
357180	358400	Dus aardig wijd vult.
358680	358880	Ja.
359480	364220	En dan gebruik ik weer een andere telescoop voor maan en planeten.
364360	368600	Dat is weer inderdaad een smidkastkreen met een brandpunt afstand van 2000 millimeter.
368600	374280	En die gebruik ik dan eigenlijk daarvoor ook wel om dan inderdaad wel weer te fotograferen.
374600	377000	Filmpjes van te maken en om te zetten naar foto's.
377200	377700	Ja, ja.
377700	379760	En dan de zonnetelescoop.
379920	384080	Dat is dan weer een Lund 60 met een dubbelstekfilter tegenwoordig.
384220	386300	En dan maak ik daar weer de zonnefoto's mee.
387000	391100	En we weten natuurlijk dat de aarde roteert en dat je dat moet volgen met een telescoop.
391640	395680	Onder mijn smidkastkreen zit een celestron statief wat ik erbij krijg.
395760	397100	Maar jij hebt waarschijnlijk iets beters.
397100	400140	Ik heb een montering inderdaad.
400260	402620	Dat is een Skywatcher HaEQ5 Pro.
403400	407240	En dat is inderdaad een parallactische of equatoriale montering.
407600	410220	Die zorgt dat ik inderdaad heel goed alles kan volgen.
410660	412900	Wel nog met een volgsysteem dan erop hoor.
413180	414220	Oké, een autoguider.
414360	417320	Ja, ik heb een kitescoop met een kitescamera inderdaad erbovenop.
417540	420960	En die geeft inderdaad dan correcties door aan de montering.
421060	423040	Zodat die sterren inderdaad mooie rondjes blijven.
423040	426220	Is dat essentieel denk je voor het type foto's wat jij maakt?
426220	428500	Voor deep sky is dat inderdaad echt nodig.
429060	432500	Voor maandplaneetfotografie of voor zonnefotografie is dat niet nodig.
432620	434620	Omdat je daar eigenlijk korte filmpjes van maakt.
435080	438760	Dus dat is veel te kort om daar last van te hebben.
439220	441320	Maar wanneer je deep sky fotografie gaat doen.
441480	445980	Dan wil je eigenlijk foto's maken met een vrij lange sluitertijd.
446060	448000	Van 30 seconden tot wel 10 minuten.
448960	450340	Ja, dat is behoorlijk lang.
450340	452720	En zo goed kan een montering niet volgen.
452860	454880	Die moet dan echt wel een hulpsysteem hebben.
455140	456040	Dus een volgsysteem.
456400	458920	Maar jij kan 10 minuten belichten op een autokajder dus.
459340	459780	Ja, klopt.
459780	462420	Zo ja, want ik heb zelf natuurlijk ook wat geëxperimenteerd.
463180	464800	Maar inderdaad 30 seconden.
464860	465980	En dan werden ze te bewogen hoor.
466200	467900	Met alleen de Celestron motoren.
468120	469300	Ja, klopt.
469560	471620	Ik krijg heel vaak vragen van luisteraars.
471700	473420	Die gefascineerd raken door het heelal.
473560	475120	En dan een telescoop willen aanschaffen.
475200	477520	En eigenlijk geen idee hebben waar ze moeten beginnen.
477580	480500	Heb jij een soort van advies voor deze mensen?
480780	482860	Voor het doen in astrofotografie?
482860	484240	Ja, misschien zelfs bij.
484320	486140	Het is wel een hele brede vraag inderdaad.
486240	487940	Maar stel je bent een amateur.
488200	491060	En je denkt, ik wil ook met mijn telescoop in de achtertuin staan.
491260	494340	Ga eens kijken inderdaad bij een winkel zoals Ganymedes.
494480	495500	Om daar advies op te doen.
495880	497460	Maar mijn advies zou inderdaad zijn.
497600	498640	Koop een telescoop.
499000	500200	Maakt niet uit wat.
500520	502140	Maar ga daar proberen mee te gaan kijken.
502140	503740	Want dat is het allerbelangrijkste.
503840	505760	Dat je hem in de tuin zet.
506000	507580	Omhoog richten en gaat kijken.
508300	510720	Of dat nou een handmatige telescoop is.
511280	512840	Of een motorgestuurde telescoop.
513640	514780	Dat maakt niet uit.
515020	516500	Als je maar begint.
517280	518960	Gewoon gaan beginnen met kijken.
519240	522200	Het is altijd een leerkurve die je door moet gaan.
522560	523800	Hoe werkt je telescoop?
524060	525740	Dat is heel belangrijk om te weten.
526160	527840	Dus zoek dat van tevoren goed uit.
527840	529280	Of vraagt dat inderdaad na.
529620	532540	Hoe moet ik nou mijn telescoop ergens op richten?
533420	535620	En ga daarmee aan de slag.
536240	538200	Dat is het belangrijkste eigenlijk.
538560	540720	En jullie als Ganymedes geven ook graag advies.
540900	542160	Als mensen hier binnenkomen.
542500	542900	Zeker.
543080	544560	We gaan altijd kijken.
545200	548900	Welke telescoop het beste bij diegene past op dat moment.
549440	550840	Is het een beginners telescoop?
551600	552880	Is het dan wat gevorderde?
552980	556020	Wil diegene eentje die handmatig te bedienen is?
556020	558940	Of toch al een gemotoriseerd go-to systeem heeft?
559780	562420	Daar kijken we altijd als eerste inderdaad naar.
562800	564140	Zodat diegene naar huis gaat.
564240	564540	En dan denk ik van.
564880	565060	Ja.
565600	566180	Dit is het.
566360	567540	Hiermee ga ik aan de slag.
567780	568780	En dat is het belangrijkste.
569020	569520	Ik moet zeggen.
569620	571300	Ik kreeg hem van mijn vrouw op mijn verjaardag.
571800	574120	En het was in het begin wel een beetje dat ik dacht.
574240	574380	Oeh.
574460	576700	Dit is niet zo makkelijk als op de doos stond.
577140	580080	Want je moet de Celestron dan uitrichten op guides sterren.
580920	581040	Nou.
581100	583580	En dan zie je in Nederland overal staan bomen en huizen.
583580	585020	Het is slecht weer.
585020	589280	Dan komt een volk voor die ene Antares die je op het oog had als guide star.
590240	593780	Dus dan ga je toch smokkelen en de sterren te dicht bij elkaar aan de hemel zoeken.
593940	595620	En dan richt die niet lekker uit.
595900	596020	Ja.
596180	597860	Ik vond het een hele strijd.
598000	599160	Maar inmiddels kan ik het.
599460	602100	Ik heb dus zo'n trucje dat zul je allicht ook kennen.
602240	603520	Dat heet Precise Go To.
603600	604480	Dat is mijn redding.
605120	605900	Gebruik jij dat ook?
606240	606640	Nee.
606760	607840	Die gebruik ik niet.
608320	609980	Ik gebruik eigenlijk verschillende.
610340	610420	Ja.
610420	613040	Soms gebruik ik de Sky Alignment.
613420	618960	Dat is eigenlijk dat je drie redelijk heldere sterren uitkiest die redelijk ver van elkaar afstaan.
619180	620640	Om dan op uit te lijnen.
620980	627360	Of ik gebruik de Tweester Alignment waarbij ik de eerste ster zelf vind en daarna het systeem de tweede gaat vinden.
627640	628900	Ja die suggereert de computer.
629140	629880	Ja klopt.
629880	633400	En soms gebruik ik gewoon eigenlijk een solar system.
633780	634320	Eén object.
634440	635320	Gewoon één object.
635520	637920	Maar dan ga ik ook alleen dat object observeren.
638180	638320	Ja.
638440	642280	Dus ik kies heel bewust welke uitleiding of alignment ik dan inderdaad doe.
642820	645320	Om dan te gaan uitlijnen en dan daarnaar te gaan kijken.
646180	646260	Ja.
646900	648780	En gaat jouw telescoop ook mee op vakantie?
649140	651260	Nou ik heb inderdaad ook een heel lief kleintje.
651640	653860	En die neem ik inderdaad dan mee op statief.
654320	657100	Ik kijk altijd van tevoren of de maan schijnt.
657440	659320	Of dat ik nieuwe maan heb.
659880	663160	En aan de hand daarvan bepaal ik ook wel wat ik meeneem.
663340	663480	Ja.
663960	665920	En de ene keer kan dat een telescoop zijn.
666300	668340	En de andere keer kan dat ook gewoon mijn camera zijn.
668820	670960	Met een lens erop van 16 millimeter.
671420	674060	En dan ga ik bijvoorbeeld de melkweg proberen te fotograferen.
674160	676780	Dus jij doet ook een astrofotografie met alleen de camera?
677020	677260	Ja.
677540	678940	En een goede lens zo te horen.
679260	680120	Ja klopt.
680340	684120	Ja ik vind het opvallend hoe goed de moderne iPhone de melkweg al fotografeert.
684820	686160	Ja dat is al geweldig.
686720	687840	En ook dat is natuurlijk iets.
687840	690460	Leg je telefoon inderdaad maar eens een keer op de grond neer.
690560	692360	Je zet hem maar aan voor een paar seconden.
692500	694620	En kijk maar wat er allemaal tevoorschijn komt.
694720	696000	Dat is wel geweldig om te zien.
696600	699840	Ik heb zelfs mijn telefoon een keer vastgeplakt aan de telescoop.
699940	702300	Dat hij langer kon belichten met een speciale app.
702400	704760	En dat hij dus ook de volgmotor gebruikte.
705120	705560	Geweldig.
705560	707980	Moet ook een beetje experimenteel zijn voor deze hobby.
708280	708680	Absoluut.
709300	710780	Experimenteel en inventief.
711400	712380	Denk in de oplossingen.
712620	713940	En we heel veel geduld hebben.
714320	717260	Ja want als je eenmaal de foto's gemaakt hebt of het filmpje.
717340	719240	Dan komt de nabewerking en dat doe jij ook.
719700	720420	Ja klopt.
720420	722500	Heb jij nog favoriete software daarvoor?
722700	724460	Ik ben begonnen met Deep Sky Stacker.
724740	724920	Ja.
725700	728700	En dat is een heel mooi programma om mee te beginnen.
728920	730260	Maar ik merkte op een gegeven moment wel.
730600	731360	Ik wil meer.
732060	735420	En toen zag ik dat andere Astro Pixel processor gebruikte.
736700	738300	Dus toen ben ik dat programma gaan leren.
738300	741460	En daar komen eigenlijk al foto's uit na het stekken.
741600	743080	Dus het stapelen van de foto's.
743860	747240	Daar hoef ik nog maar vrij weinig eigenlijk aan te doen.
747740	748560	Ga ik wel doen.
748640	749860	Want ik gebruik daarna Photoshop.
750420	750660	Ja.
750940	754280	Maar dat zijn wel hele mooie programma's om mee verder te gaan.
754380	756900	En op dit moment ben ik Pixinsight aan het leren.
758200	762880	Pixinsight is echt een programma specifiek gemaakt voor dit doeleind.
763320	765660	Daar zetten zoveel mogelijkheden in.
766020	769160	Dat ik zelfs daar op dit moment nog de weg in kwijtraak.
769780	771520	Dus die ben ik echt nog aan het leren.
771800	775120	Dus ik gebruik op dit moment nog Astro Pixel processor en Photoshop.
775300	779000	Voornamelijk om mijn foto's te bewerken van Deep Sky objecten.
779000	782100	Wat zijn eigenlijk jouw favoriete objecten om te fotograferen?
782220	783520	Overdag uiteraard de zon.
783640	785520	Zodra de zon schijnt en ik ben thuis.
786200	789320	Ja, dan gaat er nog echt wel eventjes de zon in het telescope naar buiten.
789320	791660	En dat is al geweldig.
791660	796660	En wanneer ik zavonds ga fotograferen, dan is het seizoensafhankelijk.
797900	804580	Wanneer het seizoen eigenlijk weer begint, dan heb je heel mooi Andromeda staan.
804580	807220	Vervolgens komt Orion in beeld.
807720	811540	Daarna vind ik het leuk om de sluiernevel vaak te pakken.
