start	end	text
0	11600	Over het algemeen houden astronomen zich voornamelijk bezig met het bestuderen van astronomische objecten en fenomenen in het universum,
11900	17700	zoals sterren, planeten, sterrenstelsel, zwarte gaten en de kosmische achtergrondstraling.
19080	28000	Ze richten zich op het verzamelen en analyseren van astronomische gegevens en het ontwikkelen van modellen en theorieën om het universum te begrijpen.
28000	39080	Bewustzijn daarentegen is een onderwerp dat voornamelijk valt binnen het domein van de neurowetenschappen, filosofie, psychologie en cognitieve wetenschappen.
39860	44260	Hoewel er enige overlap kan zijn tussen de verschillende disciplines,
44260	50660	is het niet gebruikelijk dat astronomen en natuurkundigen zich bezighouden met het onderzoek naar bewustzijn.
52120	54360	Maar er is een probleem.
54360	64020	Al die droge natuurkundige verantwoorde beschrijvingen van het heelal vertellen ons weinig tot niets over hoe ons bewustzijn daarbinnen functioneert.
64760	71080	We kunnen uitleggen welke golflengtes van zichtbaar licht onze netvliezen bereiken als we een strandwandeling maken,
71300	76040	maar daarmee leren we niet welke sensaties ons bewustzijn daarmee genereert.
76040	86180	Nou kunnen we natuurlijk achterover gaan zitten en wetenschappelijke beweringen over het bewustzijn overlaten aan neurowetenschappers, filosofen en psychologen,
86440	95520	maar juist de laatste jaren is duidelijk geworden dat ook ons bewustzijn op het niveau van de kwantumwetenschappen een belangrijke rol lijkt te spelen.
95520	108180	Experimenten laten zien dat deeltjes zich op het kwantumniveau gedragen als wolken van mogelijkheden die pas tot een meetbare toestand vernauwen als we met ons bewustzijn een meting verrichten.
108940	115200	Wij, toeschouwers met een bewustzijn, zijn nodig om de wereld om ons heen gestalten te geven.
115200	125260	En hoe zit het dan als twee verschillende toeschouwers met ieder hun eigen bewustzijn bewust worden van bijvoorbeeld een vogel die om hen heen fladdert?
125900	134440	Ontstaat er dan een vogelobject dat door twee bewustzijns in het leven wordt geroepen, als een soort gemiddelde van wat Alice en Bob waarnemen?
135460	139880	Of ontstaan er twee verschillende vogels, eentje voor Alice en eentje voor Bob?
140800	143100	En kunnen ze elkaars vogel helemaal niet kennen?
143100	151260	Of kunnen twee bewustzijnsvredig naast elkaar bestaan met ieder hun eigen invulling van het bewustgeworden vogelobject?
152520	153900	Vragen, vragen
153900	160840	Bewustzijn is een van de meest fascinerende en complexe onderwerpen in de moderne wetenschap.
161440	164660	Het is de essentie van onze ervaring en ons bestaan.
165020	168200	En toch blijft het dus een raadselachtig fenomeen.
168200	175560	Om ons betoog in deze podcast aflevering te beginnen, moeten we misschien eerst bewustzijn definiëren.
175720	176960	Ja, daar konden we op wachten.
177320	186160	In essentie verwijst bewustzijn naar het vermogen om subjectieve ervaringen te hebben en bewust te zijn van onszelf en de wereld om ons heen.
187940	193440	Bewustzijn omvat onze sensaties, emoties, gedachten en bewuste waarneming.
193440	202900	Bewustzijn is ook onlosmakelijk verbonden met onze identiteit en ons vermogen om te redeneren en betekenis te geven aan onze ervaringen.
