start	end	text
0	7000	U luistert naar Zimmerman & Space, een podcast van Zimmerman over specie dingen en met allemaal hele lange zinnen.
7640	10380	Vandaag gaan we het eens niet over b*** hebben.
10640	12060	Nou, blij om dat te horen.
12300	17280	De aflevering van eind mei over bewustzijn kreeg relatief veel lof.
18700	24320	Dus, alhoewel ik dat altijd wel een beetje spannend vind, dat afwijken van de gebaande paden,
24320	29460	boorduren we vandaag enigszins voort op de aflevering over het bewustzijn.
30000	38320	Er zullen in deze aflevering wat theorieën de revue passeren die je op het randje balanceren van wat nog acceptabel is.
39120	45000	Maar om daar gelijk maar mee aan te vangen, hoe acceptabel is dit leven zelf eigenlijk?
45240	46340	Eh, even kijken.
46340	55520	Als we zo eens om ons heen kijken, nu en hier, dan zien we iets wat in grote lijnen best wel onacceptabel incohigent is.
55520	56020	Ah.
56360	61540	Aan de ene kant hebben we een raadselachtig, mooie VR-achtige beleving,
61760	67400	waarin u opgroeit van kunst kunt genieten en kunt knuffelen met geliefde of kat.
67400	78440	Totaal magisch en raadselachtig en tegelijkertijd geheel onduidelijk hoe en waarom dit alles er nu in deze vorm is en ook zo moest zijn.
78440	91840	Veel van wat we in dit heelal meemaken is zo fantastisch en mooi dat het moeilijk te accepteren valt dat we dit zonder opdracht en zonder eigenbelang in onze collectieve schoten gegooid hebben gekregen.
91840	100180	Maar er is ook een lelijke kant, waarin de aarde aan hebzucht ten onder gaat, waarin mensen elkaar naar het leven staan,
100400	104320	waarin reclame het op uw ziel en op uw portemonnee voorzien heeft,
104780	111620	waarin sommige individuen andere individuen als minderwaardig of middellijk voor hun eigen doelen beschouwen.
111620	116400	Deze dichotomie valt moeilijk te rijmen in één mensenleven.
117160	121940	Moeten we nou gaan staan juichen terwijl we van de kleuren van de zonsondergang genieten
121940	127300	of een hogere dosering antidepressiva aanvragen bij onze huisarts?
127580	129540	Hmm, dat weet ik nog niet zo zeker.
129980	136220	Deze voorgaande mijmering nemen we even als het toneel waarop de rest van deze aflevering plaatsvindt.
