start	end	text
0	3700	U luistert naar Zimmerman & Space.
4020	5000	Oh, gelukkig!
5940	10640	Volgens een persbericht van het Copernicus-programma van 4 juli van dit jaar...
10640	14340	is juni 2024 de twaalfde maand op rij...
14340	18940	dat de gemiddelde temperatuur op aarde 1,5 graden Celsius hoger is...
18940	21080	dan het pre-industriele gemiddelde.
22020	26440	Alleen al deze openingszin zal mij wel weer een hoop haatmeel opleveren...
26440	29980	of leiden tot negatieve reviews in Apple Podcasts.
30740	32120	Maar dat even terzijde.
32200	35280	We hebben natuurlijk te maken met een opwarmende planeet...
35280	37360	met allebei behorende narigheid.
37500	38440	1,5.
38500	39220	1,5.
39280	40200	1,5 graden.
40320	40980	Global warning.
46300	50140	In ons aardse geval is dat waarschijnlijk onwenselijk...
50140	52820	en daarom doet een deel van de bevolking haar best...
52820	55420	om deze tendens enigszins tegen te gaan.
56300	57720	Maar stelt u zich eens voor...
57720	60840	dat u onderdeel van een buitenaardse beschaving bent...
60840	63120	en het nieuws is van een heel andere orde.
63800	67160	De naderende eistijd zal voor dood en verderf zorgen.
67820	71200	Voor de twaalfde maand op rij is er alweer sneeuw gevallen...
71200	73740	anders dan de vorige eeuwen op deze planeet.
73740	77800	We moeten alles op alles zetten om de planeet op te warmen.
78760	82120	Of wat zou een beschaving ondernemen bij overbevolking...
82120	85180	en het bijzondere geval dat de buurplaneet verderop...
85180	87360	ideaal is om naartoe te verhuizen...
87360	89760	behalve dan die winterse temperaturen...
89760	91220	waarin ook nog niks groeit.
91220	94880	Ook in zo'n geval zou men kunnen besluiten...
94880	99240	artificiële broeikasgassen in de atmosfeer ter plekke te injecteren...
99240	103280	opdat de planeet in kwestie een aangenamer leefklimaat ontwikkelt.
104420	107340	Voor ons mensen op aarde klinkt dat misschien allemaal...
107340	109240	verder weg van ons bed dan ooit...
109240	111400	maar het is daadwerkelijk een scenario...
111400	113500	waar wetenschappers zich mee bezighouden.
113500	117500	Op 25 juni van dit jaar verscheen een artikel met de titel...
118080	121500	Artificial Greenhouse Gases as Exoplanet Technosignatures...
121500	123380	in The Astrophysical Journal.
124480	127880	Auteurs zijn astronoom Edward Schwieterman en collega's.
128720	131540	U kunt het hele artikel kosteloos raadplegen...
131540	133960	omdat het een open access artikel betreft.
135020	138740	Een link vindt u uiteraard in het bijschrift van deze aflevering.
139500	141580	Het uitgangspunt van dit artikel is...
141580	145580	dat artificiële broeikasgassen eenvoudiger waar te nemen zijn...
145580	149440	dan andere biosignaturen in de atmosfeer van exoplaneten.
150080	152660	De gassen die de auteurs onderzoeken...
152660	156580	zijn afwijkend van de typische bijproducten van industriële processen...
