start	end	text
0	2660	U luistert naar Zimmerman & Space.
3560	9200	Daar was opeens het nieuwsbericht dat er mogelijk leven is gevonden op een andere planeet.
9560	12820	Tantalizing sign of possible life on faraway world.
12960	13980	Melde de BBC.
14920	16080	Forbes had het over.
16380	20620	Possible sign of life found on a planet 120 light years away.
21600	26240	Laten we vandaag eens kijken hoe spectaculair dit nieuws wel of niet is.
26440	26920	Oké.
26920	30040	Te beginnen met die exoplaneet waar alles om te doen is.
31400	31960	K218b.
32980	40960	Dit is een superaarde of sub-Neptunus exoplaneet met een massa van 8 plus of min 1,9 keer die van onze aarde.
42120	49060	Het object heeft ongeveer 2,3 keer de straal van onze aarde en 2,6 keer de dichtheid van onze planeet Jupiter.
50320	55420	In de Earth Similarity Index scoort deze planeet 0,815.
55420	60420	Wat betekent dat deze exoplaneet een heel eind in de richting van onze aarde komt.
60900	70420	Dat K2 in de naam wil zeggen dat deze exoplaneet is ontdekt in campagne 1 van de Extended K2-missie van het Kepler-ruimtevaartuig.
70420	80780	Behalve met de aanduiding K2-18b kunt u deze exoplaneet ook vinden als Epic 2019-12552b.
81780	82380	Oké.
82380	87160	Deze exoplaneet vinden we vanaf ons gezien in het sterrenbeeld Leo de Leeuw.
87960	98840	De rode dwergster waar deze exoplaneet omheen draait, K2-18, is met magnitude 13,5 te lichtzwak om voor ons te zien met het blote oog.
99700	106680	Bovendien is september niet de ideale tijd om sterrenbeeld de Leeuw te gaan zoeken omdat de zon er nu precies in staat.
106680	111160	Zon en sterrenbeeld de Leeuw gaan dan samen onder de horizon.
111960	116560	Als u de Leeuw eens wilt aanschouwen is het beter rond maart te kijken.
118420	123020	Rond dit sterretje K2-18 zijn twee exoplaneten ontdekt.
123480	127440	Behalve K2-18b is er dus ook K2-18c.
128520	134860	Deze laatste exoplaneet is voor ons minder interessant omdat deze te dicht bij de ster in kwestie draait.
134860	145080	Maar ons object van vandaag, K2-18b, draait wel degelijk rondjes om de ster in wat we de bewoonbare zone of habitable zone noemen.
146040	149800	Dit is de afstand van de ster waar water nog vloeibaar kan zijn.
150800	154860	K2-18b werd in 2015 ontdekt met de transitmethode.
154860	165460	Daarbij wordt een dip in de helderheid van de ster waargenomen wanneer de planeet ervoor langs beweegt en een beetje sterrenlicht tegenhoudt vanuit ons gezien.
165620	167180	Aha, zo zit het dus!
167180	179220	Een jaar op K2-18b duurt maar 33 aardse dagen, zodat we al zeker weten dat deze exoplaneet op 11 oktober van dit jaar weer voor de ster langs beweegt vanuit ons gezien.
179960	185460	En dat is significant omdat er met nieuwe interesse naar deze exoplaneet gekeken wordt.
185460	193760	Het is niet zuiver toevallig dat deze exoplaneet door de James Webb ruimtetelescoop in het vizier werd genomen.
194180	200720	Want K2-18b valt in een nieuwe categorie exoplaneten die we ook wel Hycien planets noemen.
200860	202320	Mag het in het Nederlands?
202480	206120	Hycien is een samenvoeging van twee woorden tot een nieuwe term.
206680	210480	Hydrogen of waterstof en ocean of oceaan.
210480	223740	Dit is een belangrijke nieuwe term omdat astronomen er pas sinds eind 2021 gebruik van maken om aan te geven dat er een nieuwe klasse exoplaneten bestaat waar leven op voorkant kan komen.
224740	231320	Eerder werd de zoektocht naar buitenaards leven vooral toegespitst op terrestriale planeten die erg op onze aarde lijken.
231320	244680	Maar langzaamaan is de astronomische wetenschapper van overtuigd geraakt dat grotere planeet met een oceaan als oppervlak en waterstof in de atmosfeer ook buitengewoon geschikte objecten zijn om op naar leven te zoeken.
245560	252240	Omdat deze exoplaneten groter zijn dan onze aarde zijn ze ook gemakkelijker te vinden en dus te bestuderen.
252500	253920	Ja, dat is logisch.
253920	266700	K2-18b in het sterrenbeeld De Leo is het prototype Heis-Yin-planeet en precies om die reden is er waarneemtijd van de James Webb ruimtetelescoop gebruikt om deze planeet nader te bestuderen.
267640	274640	In totaal werd er twee keer gekeken naar een transit van K2-18b voor de ster K2-18 langs.
274640	287560	De eerste keer was op 20 en 21 januari 2023 toen met het NIRIS instrument van de James Webb ruimtetelescoop 5,3 uur naar K2-18b werd gekeken.
288320	296380	De tweede keer was op 1 juni van dit jaar toen met het NIRIS instrument 4,9 uur naar K2-18b werd gekeken.
297200	303120	De gecombineerde onderzoeksresultaten worden beschreven in een artikel dat eerder deze maand met de titel
303120	308620	in de wetenschappelijke pers verscheen.
309680	316440	Een reden waarom de wereld niet op de kop staat van dit nieuws is de grote onzekerheid die nog bestaat rond deze ontdekking.
316560	318460	Nou, dat klinkt niet goed, Hans.
318680	330020	Voor wie niet beschikt over al te veel geduld is het misschien ook wel bevreemdend dat er berichten in het nieuws komen die met zo weinig overtuigingskracht melding maken over mogelijk buitenaards leven.
330020	336640	Wat dit artikel en de daarvan afgeleide populair wetenschappelijke artikelen berichten,
336860	341920	is gebaseerd op onderzoek dat zich afspeelt op de grenzen van wat er op dit moment mogelijk is.
342780	347900	Hopelijk kan de aflevering waar u nu naar luistert enig licht in de duisternis brengen
347900	352300	en wat respect afdwingen voor de situatie waar we ons nu nog in bevinden.
352300	353440	Ja, schiet nou maar op.
353520	357840	We zeiden al dat de ster waar deze planeet omheen draait voor ons niet zichtbaar is.
358520	363480	Met de James Webb ruimtetelescoop daarentegen kan het sterrenlicht wel worden waargenomen.
364140	370620	Dit sterrenlicht kunnen we bovendien op specifieke frequentiebanden waarnemen door de apparatuur die daarbij gebruikt wordt.
371300	377280	Wanneer de planeet K218b vanuit ons gezien voor de ster K218 langs beweegt,
377280	382280	verandert de samenstelling van het frequentiespectrum van het licht een heel klein beetje,
382460	388760	omdat we dan ook een heel klein beetje licht waarnemen dat door de atmosfeer van K218b gefilterd wordt.
389700	393400	Dit zegt ons hoe goed de James Webb ruimtetelescoop is.
393600	395040	Nou, blij om dat te horen.
395260	399680	In dit gefilterde licht kunnen we dan mogelijk biomarkers aanwijzen.
399860	400140	Wat?
