start	end	text
0	2360	U luistert naar Zimmerman & Space.
2760	8880	Het is geen geheim dat de sterrenhemel anno 2023 vervuild wordt door satellieten.
9460	12780	Ook hangt er een koepel rond onze planeet van ruimte puin.
14200	18540	Van verf, snippers en klein gruis tot en met defecte satellieten.
21440	27360	Nou lijkt het misschien dat deze aflevering weer zo'n zeur verhaal wordt over dat we onze troep moeten opruimen.
27460	29540	Maar het wordt echt iets heel anders.
29540	30660	Oh gelukkig.
30820	36040	Dus u kunt uw hand weer wegbewegen van de stopknop en rustig achterover gaan zitten.
36960	43040	Laten we dat achterover zitten doen op een mooie warme avond in onze gedachten in onze achtertuin.
44020	48420	Daar kijken we vanuit onze comfortabele tuinstoel naar de sterrenhemel.
49120	54660	Misschien heeft u wel een kopje thee meegenomen of heeft de kat van de buren op uw schoot plaatsgenomen.
54660	61240	Boven ons die prachtige zwarte hemelkoepel met twinkelende sterren en hier en daar een planeet.
61240	71200	Als een satelliet, een kunstmaan, langzaam boven ons hoofd langs de hemel trekt, zien we zonlicht dat gereflecteerd wordt door zo'n satelliet en ons oog bereikt.
72080	75180	Zo kan zo'n satelliet dan ook verdwijnen in de aardschaduw.
75180	86700	Stel nou dat u met uw denkbeeldige, waanzinnig krachtige achtertuintelescoop ziet hoe een verfsnipper in een baan van onze planeet heel even wat zonlicht reflecteert.
87840	93620	Het geval draait langzaam om haar as, dus het is een zwak lichtflitsje van een paar seconden of korter.
93620	101600	Precies dit nu is een van de problemen die astronomen ondervinden bij het waarnemen van een heel raadselachtig fenomeen.
101840	104560	De FT of Fast Transient.
105000	112560	In tegenstelling tot de Fast Radio Bursts die al meerdere malen langs zijn gekomen in deze reeks astronomische verhandelingen,
112700	116060	zijn Fast Transients gewoon waarneembaar in zichtbaar licht.
116060	124960	De zoektocht naar Fast Transients beperkt zich tot objecten die minder dan een dag licht uitstralen in het zichtbare gedeelte van het spectrum.
125840	130460	En wat heeft dit alles met verfsnippers in een baan rond onze planeet te maken?
130740	132240	Ja, dat is de vraag.
132240	138200	Nou, het is reuze lastig geworden om Fast Transients waar te nemen sinds 1957,
138620	141820	toen de eerste kunstmaand, de Sputnik, gelanceerd werd,
141820	146600	omdat er sindsdien in toenemende mate valse positieven worden waargenomen,
146860	151460	die veroorzaakt worden door reflecties van zonlicht op van de aarde afkomstige troep.
152260	158900	Veel van deze objecten in een baan rond onze aarde zijn te klein om met een radarsignaal als zodanig te identificeren.
159500	163780	De pogingen om Fast Transients te vinden zijn dus ook zeer beperkt.
163940	164920	Oh, dat is niet best.
164920	173080	Een voorbeeld waar Fast Transients als bijvangst opdoken in de gegevens is bijvoorbeeld de Deep Lens Survey uit 2004.
173900	180080	In deze survey werden alle in lichtsterkte variabele objecten geregistreerd tot magnitude 24.
180580	182380	Dat is heel erg lichtzwak.
182520	183480	Ik ben het even kwijt.
183660	186260	Misschien aardig om het even in perspectief te brengen.
186500	186820	Oké.
186980	191180	De zon heeft magnitude min 27, de volle maan min 13.
191180	197420	Dat verschil in magnitude staat voor machten van ongeveer 2.5.
197540	198860	Pak de rekenmachine er maar bij.
199160	204100	Dus de zon is 2.5 tot de macht 14, dat is het verschil keer helderder dan de maan.
204300	206800	En dat komt neer op ongeveer 400.000 keer.
207120	207560	Inderdaad.
207700	212660	Uw oog stopt er afhankelijk van uw lichamelijke gesteldheid en de plaats waar u staat waar te nemen,
212800	214300	rond de magnitude 3 mee.
215600	219000	Lichtzwakkere objecten kunt u dan niet meer waarnemen met het blote oog.
219000	225320	In de Deep Lens Survey werden drie opmerkelijke fast transients gezien,
225480	227340	die iets meer dan een kwartier duurden.
227900	232080	De auteurs van het artikel hierover hebben wel suggesties voor wat de oorzaak van deze
