start	end	text
0	2400	U luistert naar Zimmerman & Space.
3100	5340	Hé, waar gaan we het vandaag eens over hebben, Hans?
5600	10780	De James Webb Ruimtetelescoop heeft de eerste verjaardag alweer ruimschoots achter zich.
11000	11800	Happy birthday.
12260	15700	Buitengewoon scherpe foto's komen nu en dan in de pers...
15700	19620	en we kijken verder terug in de tijd dan ooit eerder mogelijk was.
20700	25160	Het is ook vrij zeker dat er nog jarenlang wetenschap bedreven zal gaan worden...
25160	27060	met dit fantastische instrument.
27060	30380	Ik hoor dat er een maar aankomt.
31460	35500	Maar we kunnen ons afvragen wat er nodig is...
35500	38960	om de James Webb Ruimtetelescoop ooit nog te overtreffen.
39740	43060	Met een budgetoverschrijding van 9 miljard dollar...
43940	46060	ruim 20 jaar werk...
46940	50060	en een bijna 15 jaar uitgestelde lancering...
50640	55060	beschikt de astronomie nu over een 6500-kilowegend gevaarte...
55060	57980	van 21 bij 14 meter.
58620	61100	Hoe komen we hier nog overheen?
61340	64560	Door er simpelweg meer geld tegenaan te gooien?
65400	66320	Misschien niet.
66900	69440	Aan sommige ontwikkelingen zitten ook grenzen.
70220	71960	Neem bijvoorbeeld een computerchip.
72780	76660	Er is een ondergrens aan de grootte van de transistoren op zo'n chip.
77500	80060	De geschiedenis van de computerchip is bijzonder interessant...
80060	82300	en nog geen eeuw gaande.
82960	85460	De transistor zelf stamt nog maar uit 1947...
86460	90820	en een chip is feitelijk ook maar een pakket transistoren op één drager.
90940	93660	Dat klinkt eigenlijk redelijk logisch.
93880	97960	Zo rond 1960 kwamen geïntegreerde circuits op de markt...
97960	101460	waarbij NASA in de vorm van het Apollo ruimtevaartprogramma...
101460	105080	op dat moment één van de grootste consumenten van die chips was.
105080	111000	Deze chips werden ontwikkeld door Fairchild Semiconductor.
111860	116880	Zo rond 1970 waren zogenaamde MOSFET-transistoren op chips...
116880	119520	rond de 10 micrometer in doorsnede.
119880	122900	Dat klinkt misschien al indrukwekkend klein...
122900	127380	maar sindsdien werden transistoren alsmaar kleiner en kleiner en kleiner.
128520	134080	Nu, in 2023, zitten we met onze transistoren zo rond de 5 nanometer.
135080	136040	Wauw!
136280	140400	IBM zegt transistoren van 2 nanometer te hebben ontwikkeld...
140400	143680	maar die zien we nog niet op commerciële schaal gebruikt worden.
143840	144860	Oh, dat is niet best.
145340	148380	In de Apple M2 Ultra microprocessor...
148380	151680	die u mogelijk al in uw desktopcomputer heeft zitten...
151680	155040	vinden we 134 miljard transistoren...
155040	157720	van allemaal ongeveer 5 nanometer breed.
158360	158960	Wauw!
159200	162560	Toch is het maar de vraag of we nog veel kleiner kunnen gaan...
162560	164460	met onze transistorproductie.
164460	165980	Dat is vervelend.
166620	170780	Een siliciumatoom zelf heeft een breedte van ongeveer 0,2 nanometer...
