start	end	text
0	2140	In just a minute please.
30000	30860	Dat noem me zelf.
31260	34120	Om te voorkomen dat ik muziekrechten moet afdragen.
35440	40200	En als laatste is deze podcast vanaf de naamswisseling veel meer van u.
40400	41060	Het publiek.
42240	45280	Dat betekent dat u mee kunt beslissen over de inhoud.
45600	47840	Zelf geluidsfragmenten kunt insturen.
47920	48320	Cute.
48480	52600	Of zelfs Pod Save Music die u geschikt acht als achtergrondmuziek.
53940	58600	En ook dat u mij kunt uitnodigen voor een bezoek aan uw instelling of bedrijf.
58600	63900	En dat de afleveringen onder een Creative Commons CC0 licentie uitgegeven worden.
64020	65500	Mag het in het Nederlands?
65620	68560	De geluidsbestanden vallen dus onder het publieke domein.
68680	70160	En u kunt ermee doen wat u wilt.
72920	77540	Vandaag behandelen we een interessant onderwerp waar meermalen om werd gevraagd.
77660	78700	De Z-factor.
80560	84980	Dit getal komen we regelmatig tegen in astronomische publicaties.
84980	88520	En vertelt ons iets over de afstand en de afgelegde tijd.
88600	92460	Maar wat precies is mogelijk enigszins in nevelen gehuld.
93660	97360	Z staat overigens niet voor Zimmerman, mocht u dat denken.
98160	101840	Z kunnen we ook uitdrukken als de roodverschuivingsfactor.
102560	107000	Deze term, roodverschuiving, is op zichzelf al iets wat cryptisch.
107000	113560	Het ongewapende oor zou het kunnen opvatten als dat er iets aan het rode licht verschoven zou zijn.
113780	115700	Maar dat is natuurlijk niet correct.
116500	121440	Om het hopelijk helemaal te begrijpen haal ik onze passerende auto er maar weer even bij.
122560	124420	Dit noemen we ook wel het Doppler effect.
124540	127100	Dat de toonhoogte van hoog naar laag gaat.
127100	135720	In het geval van een passerende auto betreft het de geluidsgolven die respectievelijk in elkaar worden gedrukt en dan uitgerekt.
136240	142840	Maar hetzelfde effect gaat op voor alle periodieke golfverschijnselen die in de ruimte en de tijd propageren.
143680	149040	Dat in elkaar drukken en uitrekken van golven zegt ons dat het verschijnsel relatief is.
149040	151940	Dus plaatsvindt ten opzichte van de waarnemer.
151940	161220	Als u in een bocht staat bij de TT in Assen en u hoort dit, dan hoort iemand die een kilometer verderop staat iets heel anders.
163640	168180	Ditzelfde geldt voor elektromagnetische straling die onze instrumenten bereikt.
169120	176740	Als we daarbij aan datzelfde Doppler effect, dus het uitreken of inkrimpen van de golven, een getal kunnen hangen...
176740	180900	dan kunnen we iets zeggen over de tijd dat de straling onderweg is geweest naar ons.
181940	186420	Dat is voor de goede orde niet hetzelfde als de afstand van het object tot de waarnemer.
187100	191300	We kijken namelijk in het verleden omdat de straling een tijd onderweg is geweest.
193220	199360	In een heelal dat uitdijdt is de kans dus groot dat het object inmiddels verder van ons af staat.
200380	206220	Een enkeling denkt misschien, staan objecten niet sowieso verder van ons af als het heelal uitdijdt?
206220	209660	Maar met zo'n bewering moeten we voorzichtig zijn.
210180	216960	Voor objecten die bij ons in de buurt staan kan het effect van de zwaartekracht groter zijn dan het effect van een uitdijend heelal.
