start	end	text
0	12860	Al vaker hebben we het gehad over donkere materie, dat mysterieuze spul dat de massa van het voor ons bekende heelal domineert, maar wat we nog niet rechtstreeks hebben kunnen waarnemen.
13600	19280	Misschien krijgt u er inmiddels wel een punthoofd van, dan is deze aflevering mogelijk niet voor u.
19900	26180	Wat we vandaag bespreken houdt rechtstreeks verband met die donkere materie, maar is bovendien groter dan dat.
26180	42900	Meer en meer raken astronomen en deeltjesfysici ervan overtuigd dat er echt zoiets als donkere materie moet bestaan en ontstaat het vermoeden dat er mogelijk nog iets veel groters buiten onze waarneming bestaat, waarvan donkere materie maar een subset is.
43140	52680	We zouden het de donkere sector kunnen noemen, een gedeelte van de natuurkunde waar we alleen zijdelings mee te maken hebben, maar waar nog veel valt te ontdekken.
53380	55660	Klinkt speculatief? Zeker.
56180	61100	Maar er zijn ook wetenschappelijke aanwijzingen dat zo'n donkere sector kan bestaan.
61820	63300	Laten we er twee pakken.
64020	66720	De eerste aanwijzing ligt eigenlijk heel erg voor de hand.
67380	75960	In de wel voor ons zichtbare en meetbare wereld van materie en straling zien we een heleboel verschillende deeltjes die met elkaar reageren.
75960	82060	Soms botsen deze deeltjes rechtstreeks met elkaar, zoals moleculen of atoomkernen.
82800	95840	Soms echter zijn de reacties zeldzaam, zoals bij neutrino's die dwars door alles heen scheezen en slechts mondjesmaat waar te nemen zijn als ze heel af en toe reageren met ijs- of watermoleculen.
95840	125840	
125840	155840	
155840	185840	
185840	190760	Maar goed, dat zijn deeltjes die in het heelal of in deeltjesversnellers worden waargenomen.
190760	194520	De lijst met deeltjes in het standaardmodel groeit nog altijd.
195380	203520	Sinds ongeveer de jaren zeventig van de vorige eeuw zijn er bijvoorbeeld de topkwark, de touwneutrino en de hix-bozon bijgekomen.
203520	213280	Soms worden deeltjes al lange tijd voorspeld te moeten bestaan en pas veel later experimenteel aangetoond in bijvoorbeeld deeltjesversnellers.
214140	220720	Toch is het al lange tijd duidelijk dat dit standaardmodel niet volstaat om alles wat waargenomen wordt te beschrijven.
221300	222860	We noemden de zwaartekracht al.
