start	end	text
0	1900	Ik weet niet of de duivel je babbeling over bent.
2020	2900	Eh, skip het.
3100	3940	De duivel zelf.
4320	5740	Everybody says he's such a devil.
6140	8280	U luistert naar Zimmerman & Space.
9060	12560	De duivelskomeet raast op de aarde af.
13240	18500	Als we wat minder stevig in onze schoenen zouden staan, zouden we er haast wat van gaan denken.
19560	26920	In deze aflevering zullen we eens kijken naar de feiten over deze duivelskomeet en wat we er concreet van mogen verwachten.
26920	32140	De komeet in kwestie heet officieel 12P Ponsbrokes.
32780	37160	Elke 71 jaar draait deze komeet eenmaal om onze zon heen.
37160	43820	Een beetje vergelijkbaar dus met die beroemde komeet Heli die in ongeveer 75 jaar om de zon draait.
44780	50720	12P Ponsbrokes wordt dan ook een HTC of Heli-type comet genoemd.
50720	60260	Wie een beetje gezond leeft en of mazzel heeft, kan sommige van deze Heli-type comets zelfs tweemaal in haar of zijn leven waarnemen.
60260	68360	Komeet 12P Ponsbrokes komt op 21 april 2024 het dichtst bij onze zon.
69100	71680	De perihelionpassage noemen we dat.
72740	75260	Peri is Grieks en betekent rondom of omheen.
76440	78780	En Helion slaat op Helios, de zon.
78780	88240	En als u denkt dat schudt die hens toch zo even uit zijn mouw, weet dan dat ik maar vier maanden Grieks heb gehad en toen afzakte naar ateneum niveau.
88640	92020	Dus ik zoek het ook allemaal maar op voor deze podcast hoor.
92020	99580	12P Ponsbrokes staat dan op 2 juni 2024 het dichtst bij onze aarde.
100040	104680	Nog altijd op een veilige afstand van 232 miljoen kilometer.
104900	105820	Oh, gelukkig!
106180	110420	Dichterbij dan dat zal 12P Ponsbrokes voorlopig niet komen dus.
111560	119460	We kunnen ons dan afvragen of we ons mogen verheugen op een mooie komeet die met het ongewapende oog aan de hemel te vinden is.
119460	125780	Op zich is 12P Ponsbrokes wel vaker in de geschiedenis met het oog waargenomen.
126680	137900	Zowel Europese als Chinese geschriften uit 1385 melden bijvoorbeeld een heldere komeet wat naar grote waarschijnlijkheid dezezelfde 12P Ponsbrokes moet zijn geweest.
138940	144140	Die namen Pons en Brokes hebben te maken met de keren dat deze komeet ontdekt werd.
144140	150800	Officieel werd deze komeet pas op 12 juli 1812 ontdekt door Jean-Louis Pons.
151660	157820	Astronoom William Robert Brooks herontdekte dezelfde komeet op 2 september 1883.
159200	163380	Eerder dan de ontdekkingen van Pons en Brokes werd de komeet dus ook al gezien.
163600	168440	Maar dan hebben we het over een tijd waarin mensen nog geloofden in goden en duivels en zo.
168440	180200	In plaats van wetenschap te bedrijven werd de komeet dan misschien gezien als waarschuwing van een vrede god...
180200	188340	die behalve het veroorzaken van akelige rampspoed het ook nog nodig vond daar een soort dreigende advertentie voor te plaatsen aan de hemel.
188340	197400	Inmiddels weten we dat 12P Pons en Brokes een ongeveer 34 kilometer breed blok van rots en ijs is...
197400	200520	dat passief elliptische banen om de zon draait.
201420	207100	Die elliptische baan van 12P Pons en Brokes heeft een inclinatie van 74 graden...
207760	211340	wat betekent dat de komeet bijna haaks op de ecliptica draait.
211340	217840	En de ecliptica is dat vlak waar binnen de planeten en manen bijna allemaal keurig draaien.
218520	223340	Deze sterke inclinatie betekent dat 12P Pons en Brokes weinig hinder ondervindt...
223880	227660	van de zwaartekracht van grote planeten als Jupiter en Saturnus.
228580	234920	Maar net als alle kometen blijft ook de helderheid van 12P Pons en Brokes een ding om naar te gissen.
234920	241080	Kometen kunnen soms heel erg tegenvallen zoals komeet Kohutek in 1973.
241980	249080	Of juist omgekeerd enorm oplichten en dagenlang aan de hemel schitteren zoals komeet Yakutagi in 1996.
250640	254080	Uiteraard hopen we voor april volgend jaar op dat laatste...
254080	257260	maar de voorspellingen van astronomen zijn minder optimistisch.
258020	263420	Naar verwachting bereikt 12P Pons en Brokes deze keer een helderheid van magnitude 4.5.
263420	270700	Hier in de lichtvervuilde omgeving van de stad Utrecht zie ik met het blote oog sterren tot magnitude 3.
271720	275340	En magnitude 4.5 is licht zwakker dan magnitude 3.
275560	277420	Dus dat wordt waarschijnlijk zoeken met het telescoop.
278080	279180	Well, let's see now.
279380	283420	Voor wie een telescoop heeft en dat avontuur aan wil en kan gaan...
283420	288100	is het handig om de exacte coördinaten van de komeet voor uw locatie op te zoeken...
288100	290420	in het gratis open source programma Stellarium.
290420	296720	De correct afgeregelde computertelescoop kan dan buitengewoon nauwkeurig...
296720	299200	op de exacte hemellocatie worden gericht.
299720	304440	Met wat geluk en uithoudingsvermogen zal ik het zelf ook weer eens proberen...
304440	307420	en verslag doen van mijn pogingen in deze podcast.
308900	313080	12P Pons Brokes komt dus elke 71 jaar langs...
313080	316720	en daarmee heeft deze komeet al een aardige geschiedenis opgebouwd.
316720	323480	Op 20 juni 1953 werd de komeet de vorige keer weer voor het eerst waargenomen.
324120	328720	Net als nu in 2023 werd ook toen waargenomen dat 12P Pons Brokes...
329400	332220	een paar keer plots klaps een stuk helderder werd.
332980	335180	Dit is niet heel raar of duivels hoor.
335740	339720	Een komeet is gedurende de langste tijd een slapende ijs- en geruismassa...
339720	342680	die door ons zonnestelsel trekt.
343520	346040	Maar als een komeet in de buurt van de zon komt...
346040	348760	wordt deze door de straling van de zon geactiveerd.
349840	352720	Dan pas ontstaat die bekende kometenstaart...
352720	355200	die dus ook altijd van de zon afwijst.
356080	358720	Tijdens het bezoek van 1953-1954...
359920	362880	werd vier keer gezien dat de komeet een uitbarsting had...
362880	364960	waardoor de lichtsterkt opeens toenam.
365860	369340	Dat is voor de goede orde nog altijd gereflecteerd zonlicht.
370100	371880	Wat we zien is dat met name de coma...
372480	375880	de uitwaseming van gas en stof zonlicht reflecteert.
377260	379540	En hoe dichter een komeet bij de zon komt...
379540	380880	hoe meer activiteit er plaatsvindt...
381680	385160	waardoor onderdelen van de komeet verdampen of losraken van de kern.
385160	394760	Ik pak er even een krant uit 1954 bij.
395400	400160	In het nieuwsblad van het noorden van 1 mei 1954 lezen we...
400920	403760	Komeet Ponsbrooks in mei zichtbaar.
404620	409160	Op de gigantische baan door het heelal die circa 72 jaar duurt...
409160	413060	komt thans de komeet Ponsbrooks weer in de buurt van onze aarde.
413060	418680	Daarmede wordt deze komeet sinds Napoleon weer voor het eerst voor ons zichtbaar.
419580	421400	In 1812 werd zij ontdekt...
421400	425700	en haar verschijning viel toen samen met de ondergang van Napoleon in Rusland.
426660	432060	De komeet verdween weer om in 1883 pas weer terug te keren in haar baan naar de aarde.
432780	435480	Een baan die zich zo diep het heelal inbuigt...
435480	439100	dat de komeet tot ver voorbij de baan van de planeet Neptunus komt.
439100	445020	Het is over deze enorme afstand dat de komeet circa 72 jaar nodig heeft.
445760	448520	Thans zijn deze 72 jaar verlopen...
448520	453160	en de komeet zal van circa 10 mei tot circa 20 mei voor ons zichtbaar zijn...
453160	454300	met het blote oog.
455340	457720	Komende van het sterrenbeeld Andromeda...
457720	461020	zal zij haar baan zoeken langs het beeld van de ram en de stier.
461020	469020	Bijna exact dezelfde tekst lezen we een paar dagen later op 7 mei 1954...
469780	472020	in de Nieuwe Haarnemse Courant onder de titel...
472580	475280	Ongelukster van Napoleon keert terug.
476120	479020	We zeiden het in het begin al, dit is de duivelskomeet.
481260	483900	En het was dus ook de ongelukster van Napoleon.
483900	490680	Hier zit duidelijk een bovennatuurlijk stukje bijgeloof aan vast.
491320	491980	Hoe zit dat?
492540	495320	Dit vraagt, denk ik, om wat extra uitleg.
495820	499300	Van oudsher werden kometen al gezien als brengers van onheil.
501440	505560	Ik vond er een aardig overzicht van op de website van NASA met de titel...
505560	510820	Hierin lezen we...
510820	517040	Kometen hebben een lange geschiedenis, vooral als slechte voortekenen en brengers van slecht nieuws.
519500	521880	Dit zegt astronoom Woody Sullivan.
522680	526840	Maar de dood van Julius Caesar werd ook getekend door de komst van een komeet...
526840	530000	en dat werd dan juist weer gezien als het teken van zijn heiligheid.
530000	537560	Paus Calixtus III noemde de komeet van Helly in 1456 het instrument van de duivel.
539420	542560	Ook astrologen van de Inca en Azteekse tradities...
543380	547320	zagen kometen als de heilige wraak van bovennatuurlijke wezens.
549240	552940	In 1835 verscheen de komeet van Helly wederom...
552940	556740	en werd toen in verband gebracht met een grote brand in New York...
556740	559700	de Zulu-slachtpartij in Zuid-Afrika.
560000	564360	En een incident in Texas waarbij veel mensen om het leven kwamen.
565880	572780	In 1910 waren er komeetpillen te koop om bange Amerikanen te beschermen tegen cyanidegas...
572780	575880	dat zogenaamd in de staart van de komeet van Helly zou zitten.
577660	583640	In 1528 werd een komeet door de Franse arts Ambrose Paré beschreven als...
583640	588320	zo verschrikkelijk eng dat sommige mensen uit angst stierven of ziek werden.
588320	594320	Maar waarom verbinden zoveel mensen negatieve gevoelens aan kometen?
594940	596460	Ja, dat is de vraag.
596680	601300	Als we het aan psycholoog Robert Kolenberg vragen, ligt het antwoord redelijk voor de hand.
601960	606320	Door rampspoed te verbinden aan iets zichtbaars wat buiten onze invloedssfeer ligt...
606320	609220	krijgen we een beetje gevoel van macht terug.
610040	616580	Zonder komeet zou het volstrekt onredelijk en onvoorspelbaar zijn als er ergens een enorme brand uitbreekt.
616860	621660	Maar als we de kometen schuld kunnen geven, dan kunnen we tenminste een schuldige aanwijzen.
621660	627560	Daarnaast zien we dat in de oudheid geloofd werd dat er goden in de hemel leven.
628120	633840	Dat verklaart dat andere verschijnselen, zoals kometen en meteoren, maar ook het weer en policht...
633840	636200	geassocieerd worden met dergelijke goden.
637140	641260	In 2023 weten we gelukkig dat er geen goden bestaan.
641940	647300	Maar ook nu zien we bijvoorbeeld dat komeet heel bob door zekere groepen als ruimteschip werd gezien.
647300	652100	Sullivan verklaart dit door het falen van de overheid.
652900	658780	Wanneer we de overheid, en daarmee de wetenschap die deels betaald wordt door diezelfde overheid, niet meer vertrouwen...
658780	663320	dan zoeken we soms naar alternatieve verklaringen, hoe vreemd deze ook mogen klinken.
664440	669580	Bij het type van dit verhaaltje heb ik twee zaken steeds een beetje vooruitgeschoven...
669580	671140	dus daar zullen we het nu over hebben.
671920	677100	Ten eerste dat er ook nu plotselinge uitbarstingen op 12p Bondsbrooks...
677100	681860	waargenomen en ten tweede dat deze komeet met de duivel geassocieerd wordt.
683860	686820	Grappig genoeg horen deze twee feiten bij elkaar.
688280	693140	12p Bondsbrooks werd voor het eerst weer gezien op 10 juni 2020.
694080	697880	De komeet was toen nog uiterst licht zwak, magnituur 23.
698700	703100	Het geval stond toen nog 1,8 miljard kilometer van de aarde...
703100	706420	en kon alleen met zeer goede telescopen waargenomen worden.
707100	711860	Op 20 juli van dit jaar, 2023, werd gezien dat de komeet...
711860	714360	plots klaps honderd keer helderder werd.
714980	718000	Van magnitude 16 tot ongeveer magnitude 11.
718540	721040	In plaats van één komeet te staart...
721040	724760	leek 12p Bondsbrooks er twee naast elkaar te vormen.
724860	725820	Hij is in league with the devil!
725820	728580	Waarschijnlijk is dit het gevolg van de bouw van de komeet...
728580	733460	waarbij stralingsdruk de uitwaseming voor een deel in de weg zit...
733460	735740	en de staart in twee lijkt te delen.
736560	740760	Met een hele hoop fantasie kunnen we er de horens van een duivel in zien.
740920	741800	Het is gewoon belachelijk!
741800	746140	Vandaar dat 12p Bondsbrooks de duivelskomeet genoemd wordt.
747120	751300	Op 5 oktober, 1 november en 14 november van dit jaar...
751300	753100	werden ook uitbarstingen gezien...
753100	755800	waarmee de helderheid van 12p Bondsbrooks...
755800	758400	momenteel rond de magnitude 9 is gekomen.
759160	761880	De duivelshorens zijn nog steeds goed zichtbaar.
761880	765700	Het zou natuurlijk helemaal mal zijn...
765700	768800	als we in april volgend jaar het silhouet van de duivel...
768800	771040	dagenlang aan onze hemel kunnen bewonderen.
771400	773020	Maar zoals we al eerder zeiden...
773020	775020	moeten we daar niet al te hard op hopen.
776040	778340	We kunnen ons tot slot wel afvragen...
778340	781440	wat de duivel in dit alles nou weer voor rol moet spelen.
782340	785940	Eigenlijk is het wat mij betreft een heel onvolwassen concept.
786640	788980	Iets wat ons niet bevalt aan een ander...
788980	791320	of misschien zelfs wel aan onszelf...
791320	795340	schrijven sommig van ons toe aan een kwaadwillende macht buiten ons.
799400	802440	Handig, want dan kunnen we weer een schuldige aanwijzen...
802440	804320	en kan niemand er eigenlijk iets aan doen.
805100	807480	De personificatie van het kwaad.
808320	810800	Maar los daarvan is het wel weer heel treffend...
810800	813360	dat een natuurverschijnsel dat maar in de verte...
813360	815440	iets van een hoefijzer vorm heeft...
815440	817860	direct weer met de duivel wordt geassocieerd.
817860	823340	We zijn kennelijk nog niet over ons bijgeloof omtrent kometen heen.
824140	827260	Of misschien moeten we het gewoon cultureel erfgoed noemen.
827260	832160	Overigens, als u er aardigheid in heeft als uw naam...
832160	834420	of die van uw kind of al uw leerlingen...
834420	837380	volgend jaar mee op reis gaat naar Jupiter, maan Europa...
838020	838800	dan kan dat.
839040	839260	Oh?
839620	842740	Een link vindt u in de show notes van deze aflevering.
843340	844760	Het kost helemaal niets...
844760	846720	en het kan nog tot december van dit jaar.
847580	850380	Alle namen worden met een elektronenkanon...
850380	853380	door NASA geadst op een schijfje dat meereist...
853380	855220	met het Klipperruimtevaartuig.
856420	859660	Dit wordt in oktober 2024 gelanceerd...
859660	861960	en naar verwachting arriveert uw naam...
861960	863980	mits u die natuurlijk instuurt...
863980	867240	dan in een baan rond planeet Jupiter in 2030.
867660	867940	Yay!
868300	869680	Tot de volgende keer.
869680	871260	Oh, dat is zo.
871260	901240	Tot de volgende keer.
