start	end	text
500	4320	U luistert naar Zimmerman & Space.
5280	11880	Veel luisteraars, en ik zelf trouwens ook, vinden het aardig om na te denken over zwarte gaten.
13480	18920	Regelmatig bereiken mij dan ook e-mails met hypothese over deze vreemde verschijnselen.
19740	25980	Een vraag die vaak terugkeert in een bepaalde vorm is of er rond zo'n zwart gat een schil kan ontstaan
25980	30380	waarin lichtdeeltjes, fotonen dus, precies vast worden gehouden.
30960	35280	Dat zou dan een schil zijn met een radius die precies zodanig is
35280	38700	dat die lichtdeeltjes net niet verdwijnen in het zwarte gat,
38920	43140	waardoor de zwaartekracht daarvan juist nog wel in een baan eromheen gehouden worden.
43980	47240	Luisteraar Antoon verwoordde het onlangs als volgt.
48020	53500	Rondom een zwart gat moet er ergens een baan zijn waar licht precies ingevangen wordt
53500	57980	door de buiging van de ruimtetijd, maar waar het niet het zwarte gat in verdwijnt.
58580	63480	Die baan wordt dan constant aangevuld door fotonen uit alle richtingen van het heelal
63480	68380	en er verdwijnt nooit iets uit, aangenomen dat er geen onregelmatigheden zijn
68380	71460	die een foton uit dat precaire evenwicht haalt.
71860	74020	Hier zal de hypothese wel mank gaan.
74740	80180	Is die extreem dunne bol om het zwarte gat dan een soort extreem licht vlak,
80180	83180	wat je alleen kan zien als je oog ook in dat vlak zit?
83820	88020	Als er iets fysieks dan het zwarte gat ingaat, moet het door die bol,
88340	90540	dat moet dan ook veel reflectie geven.
91420	93580	Die reflectie zouden we moeten kunnen zien,
93740	98420	omdat de bol volgens mij buiten de zwart shield radius van het zwarte gat ligt.
99420	102220	Dit vind ik heel mooi geformuleerd en doorgedacht.
102780	107020	Laten we vandaag samen eens kijken of hier iets zinnigs over beweerd kan worden.
107240	110020	Te beginnen met zo'n delicaat equilibrium.
110820	113040	Op zich is daar niets exotisch aan.
113040	113320	Oh?
113320	116680	De natuur om ons heen is dol op dergelijke evenwichten
116680	120840	en we zien vergelijkbare situaties op allerlei plaatsen in ons heelal.
121640	127000	De baan van het International Space Station rond onze aarde is ook een voorbeeld van een evenwicht.
