start	end	text
1000	8760	Met de kerst voor de deur is deze derde aflevering van Zimmerman & Space een beetje atypisch.
8880	16220	Wat op zichzelf wel weer een gekke bewering is, want hoe kan 33,1% van een podcast atypisch zijn?
16540	19080	Vragen we ons terecht en een beetje verkouden af.
20180	29100	Hoe het ook zij vandaag een door mijzelf enigszins geadapteerde versie van een beroemd verhaal van science fiction schrijver Isaac Asimov.
29100	32480	U kent het misschien al als The Last Question.
33240	36040	Ik heb het verhaal wat korter en moderner gemaakt.
36220	36760	Dat is goed.
37060	43140	Mocht u het origineel willen lezen of zelfs horen, dan vindt u een link in de show notes van deze podcast.
44080	53280	In het internetarchive vindt u de Engelstalige 37 minuten durende versie van het verhaal als een aflevering van de Drabblecast.
53280	59600	Dat is trouwens sowieso een lollige podcast als u van sci-fi audiodrama houdt.
60240	65500	Ik werd op dit verhaal gewezen door de Belgische luisterer Philippe, waarvoor mijn dank.
66600	76200	Asimov schreef het in 1958 voor een aflevering van de Science Fiction Quarterly en typeerde het in de jaren daarna als zijn beste verhaal.
76200	81200	En Asimov heeft, zoals u misschien weet, nogal wat geschreven.
81880	87980	Het raakt aan veel van wat nu op aarde speelt, is mijns inziens ook passend voor de kerstgedachte.
88420	92200	En ook nog relevant voor deze podcast over zaken in het heelal.
92840	94140	Maar goed, bla bla bla bla.
94240	97780	Voor wat betreft al deze meta-informatie laten we beginnen.
97780	108700	De laatste vraag werd voor het eerst gesteld op 24 mei 2061, toen de mensheid eveneens voor het eerst in het licht stopte.
109220	110680	Bij wijze van spreken dan.
111400	122260	Emma Adel en Christina Lupoff waren de twee hoofdingeners die het contact onderhielden tussen de artificiële intelligentie Multivac en de bevolking van planeet aarde.
122260	131760	Weinig mensen zouden beter in staat zijn geweest uitleggen wat de computercapaciteit van Multivac precies vermocht dan deze twee vrouwen.
132520	138260	En zelfs zij moesten toegeven dat het grootste deel van al die beslissingsstructuren verborgen lag...
138260	143960	onder lagen van neurale netwerken waar gewone stervelingen geen zoek meer van konden maken.
144620	150260	Al decennia eerder was de quantumcomputer Multivac het stadium ruimschoots gepasseerd...
150260	154580	waarbij menselijke programmeurs een zinnige rol zouden kunnen spelen.
155780	162620	Het werk van Emma en Christina bestond er voornamelijk uit om vragen in de juiste vorm aan Multivac aan te bieden...
162620	170200	en de antwoorden die kwamen te prepareren voor publicatie, verder onderzoek of simpelweg om deze te delen met een betalende klant.
171080	176260	Multivac werd voornamelijk gebruikt om grote wetenschappelijke vraagstukken tot op de bodem uit te zoeken...
176260	181260	om gigantische datasets door te ploegen op zoek naar relevante correlaties...
182040	186660	maar ook om een acceptabele weg uit menselijke uitdagingen te zoeken.
187540	190480	Multivac onderhield en herprogrammeerde zichzelf.
191080	196200	Dat moest ook wel, want geen mens was dus meer in staat hier ook maar enigszins behulpzaam bij te zijn.
196200	200680	De voordelen van zo'n artificiële intelligentie waren gigantisch.
201680	207200	Door de berekeningen van Multivac waren efficiënte en betaalbare ruimteschepen binnen handbereik gekomen...
208360	213200	en konden mensen goedkoop reizen tussen de aarde en de maan en zelfs verder dan dat exploreren.
214780	221540	Zo waren de basis op Venus, Mars, de Jupitermaan Europa en de mijnen in de planetoïdengordel ontstaan.
221540	228200	Een hele toeristische industrie was ontstaan voorbij de grenzen van low-earth orbit.
229100	232480	De mens zat met andere woorden niet meer vast aan planeet aarde.
233320	235540	En dat was maar goed ook, want de aardse energievoorraden...
236660	240800	begonnen in de tweede helft van de 21e eeuw angstwekkend te slinken.
241560	244540	Alle fossiele brandstofvoorraden waren inmiddels bijna uitgeput.
244540	250540	Er was hier en daar nog wat uranium, een enkeling experimenteerde wat met waterstof...
