start	end	text
0	3720	U luistert naar Zimmerman & Space.
4680	11560	Alhoewel we in deze podcast doorgaans graag onze wetenschappelijke pet stevig vastgedrukt ophouden,
11740	17300	is het van tijd tot tijd ook wel prettig om het langs de wat fantastischere theorieën te schurken.
18140	19460	Vandaag ook zo'n geval.
20560	26580	De mysterieuze luchtschepen in Amerika in de jaren 1896 en 1897.
26580	30660	Het is een interessant verhaal met een open einde.
30880	31600	Ja, dat zeg jij.
31840	36240	In plaats van luchtschepen kunnen we natuurlijk ook ufo's of uaps zeggen.
37600	41680	Het verhaal begint op 23 november 1896.
42380	48240	In de krant The San Francisco Chronicle verschijnt een artikel over een vreemd luchtschip
48240	53060	dat door veel mensen werd gezien in het luchtruim boven Sacramento in Californië.
53440	56380	Dit is trouwens een bijzonder mooie omgeving.
56580	67420	Een paar jaar geleden reed ik met mijn vrouw en dochter in een huurauto van Portland, Oregon langs de kust helemaal naar San Francisco over de beroemde 101 Highway.
69460	73400	Maar goed, even terug naar 23 november 1896.
74560	83800	In de nacht van zondag 22 op maandag 23 november van dat jaar zien meerdere mensen een luchtschip met grote snelheid over de stad vliegen.
83800	95340	De Duluth News Tribune van diezelfde dag bericht dat bewoners van Oakland vlakbij San Francisco iets dergelijks een paar dagen eerder hadden gezien.
95340	105260	Voordat we nog dieper in de ooggetuigen verslagen springen is het voor ons historisch besef misschien wel aardig even de feiten op een rijtje te zetten.
105500	107780	Ik weet niet of het daar echt duidelijker van wordt.
107980	112520	Ik weet ook niet hoe het bij u zat, maar ik lette nooit zo goed op bij de geschiedenislessen.
112520	120360	En bovendien hadden we het daar, voor zover ik mij kan herinneren, nooit over ufo's of luchtschepen.
121240	125060	Maar goed, ik lette niet goed op, dus ik heb eigenlijk geen recht van spreken.
125060	128340	Oh, dat heb je interessant onderschreven.
128880	134060	1896 was zeven jaar voor de eerste beroemde vlucht van de Wright Brothers.
134920	142020	Pas in 1903 werd een gemotoriseerde vlucht uitgevoerd met een apparaat dat zonder motor niet zou opstijgen.
142020	144300	Inderdaad, het eerste vliegtuig.
144720	147280	En die vlucht duurde slecht drie seconden.
148100	153340	Maar de mens vloog al wel, zei het in met hete lucht gevulde ballonnen.
155480	158240	Die dingen stijgen wel op zonder motor.
158700	161480	Alleen dwarrelen ze dan grotendeels mee op de wind.
162360	170400	Al op 21 november 1783 vlogen Jean-François Pilatre de Rosier en François Laurent d'Arlande...
170400	174880	voor het eerst vrij in de lucht aan boord van de ballon van de Montgolfier-broers.
175720	183900	Op 25 september 1852 was Henri Giffard de eerste persoon die een door een motor gestuurde vlucht maakte...
183900	188400	toen hij 27 kilometer vloog in een met stoom aangedreven luchtschip.
188400	197080	Hij vloog van Parijs naar Trapp met een 43 meter lang luchtschip met een snelheid van 8 kilometer per uur.
197920	202180	De wind was te sterk om het schip ook de terugweg te kunnen laten maken...
202180	204820	zodat hij niet naar de startplaats kon terugkeren.
204820	209560	Desondanks was hij wel in staat bochten en cirkels te maken...
209560	213920	hiermee het bewijs leverend dat het luchtschip bestuurbaar en controleerbaar was.
215240	220220	Charles Richel maakte in 1878 een publieke demonstratievlucht...
220220	223560	met zijn met de hand aangedreven eenmans luchtschip...
223560	225760	genaamd de Dirigi Cycle...
225760	229680	waarna hij vijf van dergelijke apparaten bouwde en wist te verkopen.
229680	233640	Publieke demonstraties van machines die konden vliegen...
233640	235880	tokken aanzienlijke aandacht van het publiek.
236640	239380	Kranten en tijdschriften beschreven het drama...
239380	243940	en toeschouwers keken vol ontzag toe hoe hun medemensen de lucht ingingen...
243940	248100	en tijdelijk ontsnapten aan ons aan het aardoppervlak gebonden bestaan.
248920	252280	U zou het onze behoefte aan verticaliteit kunnen noemen.
253500	257620	De luchtschepen van 1896 en 1897...
257620	259660	waar we het in deze aflevering over hebben...
259660	262420	zouden dus kunnen worden afgeschreven als ballonnen...
262420	264940	of experimenten met de eerste vliegtuigen.
267260	270660	In een artikel uit de New York Times van 7 januari 1906...
271560	273700	lezen we inderdaad dat de Wright Brothers...
273700	275660	vele jaren in het geheim experimenteerden...
276460	278560	voor hun beroemde vlucht uit 1903.
279320	281660	Er bestaat een aardig boek uit 1942...
282580	285540	van auteur David Michael Jacobs met de titel...
285540	287640	The UFO Controversy in Amerika.
287640	291760	Hierin wordt een heel hoofdstuk besteed aan de vreemde luchtschepen...
291760	294280	uit 1896 en 1897.
