start	end	text
0	2800	U luistert naar Zimmerman & Space.
30000	33540	Zullen we samen zien dat het allemaal niet zo eenvoudig is.
33760	34680	Oh, gelukkig!
34920	38000	Het atoommodel waarbij elektronen vrolijk rondjes draaien...
38560	41000	...rond een kern van protonen en neutronen...
41000	43780	...staat bekend als het Niels Bohr atoommodel.
44960	48000	Alhoewel dit voor die tijd, en dan hebben we het over 1913...
48580	51360	...een hele verbetering was op voorgaande modellen...
51360	55000	...is het atoommodel van Werner Heisenberg en Edwin Schreudinger...
55000	57720	...van rond 1927 nauwkeuriger.
57720	61580	Nog niet compleet, maar nauwkeuriger in het beschrijven...
61580	65120	...van wat we heden te dagen meemaken in deeltjesversnellers.
67520	71720	In dit nieuwere model is een elektron geen klein, zelfstandig balletje...
72400	76140	...maar een zone rond de kern waar het elektron de grootste kans heeft...
76140	77160	...waargenomen te worden.
78620	82720	Tot die waarneming gedaan wordt, is het elektron geen discreet deeltje...
82720	84360	...dat rondjes draait, maar een golf.
85080	86840	Een volk van mogelijkheden.
87720	90540	Maar goed, dit verhaal heeft u misschien wel eens eerder gehoord.
90660	96000	Hij heeft de klok horen luiden, maar weet niet waar de klepel hangt.
96240	98120	Vandaag dalen we nog dieper naar beneden...
98660	102320	...en zullen we ons concentreren op één deeltje in de kern van het atoom.
102960	103740	Het proton.
104860	108580	Het idee dat een proton een positief geladen balletje is...
108580	111720	...waar we twee upquarks en één downquark in aantreffen...
111720	116540	...zullen we moeten loslaten, eenvoudigerweg omdat de experimentele praktijk uitwijst...
116540	120240	...dat dit geen volledig beeld is van wat een proton is.
120380	121400	Oh, dat is niet best.
121560	125580	Net als een elektron is een proton een kwantummechanisch object...
125580	128420	...dat bestaat uit een zee van mogelijke vormen...
128420	130920	...totdat het door een waarneming gedwongen wordt...
130920	133720	...tijdelijk een bepaalde concrete vorm aan te nemen.
133720	141020	En met de jaren is die zee van mogelijkheden groter en mysterieuzer geworden.
142540	148880	Zo verscheen op 17 augustus 2022 een artikel in Nature met de titel...
148880	152000	Evidence for Intrinsic Charm Quarks in the Proton.
152700	155480	Intrinsieke Charm Quarks in een Proton.
155600	159040	Dat klinkt op het eerste gehoor heel onschuldig...
159040	162720	...maar als we er een lijstje met massa's van elementaire deeltjes naast leggen...
162720	164480	...zien we iets opvallends.
165300	168840	Die Charm Quarks en Antiquarks hebben veel meer massa...
168840	172440	...dan de Up-and-Down Quarks waar een proton uit schijnt te bestaan.
173520	178200	Sterker nog, één Charm Quark heeft meer massa dan een heel proton zelf.
179180	180160	Dat is vreemd.
181020	183600	Hoe kan iets dat we in een proton aantreffen...
183600	186040	...nou meer massa hebben dan het proton zelf?
186040	195760	De massa van zulke kleine deeltjes meten wetenschappers in mega-electron-volt per c-kwadraat...
196280	198080	...waarbij c de lichtsnelheid is.
199300	204640	Waarom die eenheid gebruikt wordt, is onderwerp voor een toekomstige aflevering van deze podcast.
205440	208140	Ik wil het ook niet nodeloos ingewikkeld maken.
