start	end	text
0	2140	Hé, waar gaan we het vandaag eens over hebben, Hens?
2320	7960	We lazen onlangs in het nieuws dat met de James Webb ruimtetelescoop donkere sterren,
8340	11180	zogenaamde dark stars, ontdekt waren.
12040	18840	Doorgaans vermijd ik in deze podcast de onderwerpen die al grootschalig rondgebazuind worden door de media een beetje,
19000	24940	maar bij deze donkere sterren is het mijns inziens wel nuttig wat achtergrondinformatie te geven.
25740	29400	Op nu.nl las ik op 14 juli van dit jaar...
29400	35400	De James Webb-telescoop heeft drie sterrenstelsels waargenomen waarin mogelijk donkere sterren voorkomen.
36240	41160	Daarmee zou de natuurkundige kunnen verklaren waarom er zoveel zwarte gaten in de ruimte zijn.
41580	46020	Iets verderop in hetzelfde artikel las ik, donkere sterren zijn...
46020	51780	Net als andere sterren voornamelijk gemaakt van waterstof en helium, maar bevatten dus ook donkere materie.
52360	58640	Verder zijn ze mogelijk veel groter dan normale sterren en geven ze geen licht omdat er geen kernfusie plaatsvindt.
58640	66880	De berichtgeving van nu.nl zit er op enkele punten enigszins naast, dus laten we vandaag samen kijken naar hoe het echt zit.
67680	71640	Het begint eigenlijk al met een artikel uit 2007 met de titel...
71640	75300	Dark Matter and the First Stars, a new phase of stellar evolution.
75300	81460	Het werd geschreven door Douglas Poljar, Catherine Freese en Paola Gondolo.
82220	86540	Dit artikel was het resultaat van een brainstorm-sessie van die auteurs...
86540	93080	waarbij ze als hypothese hadden dat de eerste sterren in het brillenhelal mogelijk donkere sterren zouden kunnen zijn.
93080	100440	Dat moeten we dan niet vertalen als sterren die geen licht geven, want dan zouden we ze niet kunnen zien.
100740	103120	Ook niet met de James Webb ruimtetelescoop.
103600	107240	Dus op dat punt zit nu.nl er al aardig naast.
108120	110940	Waarom heet zo'n geval dan een donkere ster?
111120	111360	Ja?
111360	115220	Nou ja, we zeiden het eigenlijk al omdat ze ook donkere materie bevat.
115600	117320	Is althans die hypothese.
117320	122880	Het is net als oerknal een beetje een ongelukkige benaming, donkere materie.
123440	127600	Maar het doet het goed in de media, dus dan blijft zo'n term rondgonzen.
129300	135020	Hoe kunnen we een donkere ster onderscheiden van een normale ster, zoals bijvoorbeeld onze zon?
