start	end	text
0	2420	U luistert naar Zimmerman & Space.
5880	11040	Als we een willekeurig boek over de planeten van ons zonnestelsel openslaan,
11200	14720	dan zien we, bealve natuurlijk, de ring om planeet Saturnus,
14920	17960	ook stevast de rode vlek op planeet Jupiter.
18880	21460	Dat is ook niet zo vreemd, want deze rode vlek,
21760	24920	liefkozend ook al de Great Red Spot genoemd,
24920	30400	is een storm die waarschijnlijk al eeuwen voedt op die grootste planeet in ons zonnestelsel.
32020	37380	Er bestaan waarnemingen uit de 17e eeuw waarop de rode vlek al genoemd wordt,
37580	41640	dus als dat dezelfde rode vlek is die we heden ten dagen waarnemen,
41880	45980	dan is het al ruim 350 jaar code rood daar op Jupiter.
47300	50920	Dit is een hoge drukregio in de atmosfeer van Jupiter
50920	55180	met windsnelheden tot 432 km per uur.
56380	59900	Het gebeuren is zo'n 16.000 km breed.
60840	64920	Alhoewel de grote rode vlek inmiddels veel van dichtbij is bestudeerd,
65620	67220	blijft er een hoop onduidelijk.
68000	73360	Wat we zien, zowel vanaf de aarde als wanneer we met een ruimtevaartuig rond Jupiter cirkelen,
73600	76780	is vooral de horizontale structuur van de rode vlek.
76780	81780	Hoe de structuur in de diepte is, in de verticale zin zeg maar,
82060	83540	dat is nog niet goed duidelijk.
84420	87980	Verder weten we ook nog weinig over de evolutie van deze storm.
88820	91640	Mogelijk bestaat de rode vlek dus al vele eeuwen,
91820	95160	maar hoe deze is ontstaan en hoe lang we er nog van mogen genieten,
95520	96720	dat is nog niet bekend.
97540	101180	En de aard van de rode kleur is ook nog onvoldoende duidelijk.
101760	103740	Wat weten we dan eigenlijk wel, nietwaar?
103860	104440	Ja, hallo!
104440	111580	Nou, de vlek draait tegen de klok in en roteert in ongeveer 4,5 aardse dag één keer.
112540	116940	Een reden dat deze storm zo lang aanhoudt, is het gebrek aan frictie.
117600	121220	Een storm op aarde verliest aan kracht of impulsmoment,
121420	123440	omdat de ondergrond tegenwicht biedt.
124620	127300	Planeet Jupiter daarentegen is een gasplaneet,
127420	131520	dus die storm drijft daarin een atmosfeer van voornamelijk waterstof,
131660	133360	die nauwelijks weerstand biedt.
134440	137260	Omdat er veel onderzoek is gedaan aan de planeet Jupiter,
137620	139680	zowel vanaf de aarde als van dichtbij,
139900	142540	met ruimteschepen zoals Pioneer 10 en 11,
142860	144080	Voyager 1 en 2,
144340	145580	Ulysses, Cassini-Huygens,
146300	146960	Galileo,
147240	148160	New Horizons,
148420	150760	en meer recente Juno-ruimtevaartuig,
151040	155660	weten we inmiddels dat de grote rode vlek hoog in de atmosfeer van Jupiter ligt,
155660	159240	zo'n 8 kilometer boven het omliggende wolkendek.
160180	164660	De rode vlek is ook kouder dan de gemiddelde atmosfeer van Jupiter op die hoogte,
164840	167640	maar boven de rode vlek is het weer aanzienlijk warmer.
168800	174480	Een door NASA gefinancierd onderzoek van de Universiteit van Boston in de Verenigde Staten,
174760	180540	wijst uit dat het waarschijnlijk het gevolg is van twee soorten golven die in de grote rode vlek ontstaan.
180540	185780	Zwaartekrachtgolven en akoestische golven die hun oorsprong vinden in de rode vlek,
186020	189220	zouden hoger boven de rode vlek kunnen botsen met elkaar.
191720	194340	Hierbij wordt energie omgezet in warmte,
194580	199300	wat een verklaring zou kunnen zijn voor de lokale opwarming die bij Jupiter gemeten wordt.
199500	200940	Ja, dat is logisch.
201400	206960	Dergelijke temperatuurverschillen kunnen vanaf de aarde gemeten worden met infrarood telescopen,
206960	210680	zoals bijvoorbeeld de SPEC-stelescoop op Mauna Kea, Hawaii.
210880	212360	Hens, ik twijfel hier aan.
212580	213880	Ja, terecht Kelly.
214440	216700	Het is goed hier even bij stil te staan.
217440	222680	Op aarde kunnen we alleen infrarood astronomie bedrijven op speciale hoge locaties,
222880	224200	zoals dus Mauna Kea,
224420	227740	en dan ook nog in alleen de zogenaamde infrared windows.
228740	232400	Dat zijn de specifieke infraroodfrequentiebanden,
232400	235940	waar infrarode straling uit het heelal de sensoren kan bereiken.
235940	241580	Want veel infrarode straling uit het heelal wordt geabsorbeerd door onze aardatmosfeer.
