start	end	text
0	3860	U luistert naar Zimmerman & Space.
5020	12680	De Caroline Herschel Prize Lectureship is een jaarlijkse geldprijs en uitnodiging om twee lezingen te geven...
12680	17180	voor vrouwelijke astronomen die aan het begin van hun wetenschappelijke carrière staan...
17180	20500	en zich verdienstelijk maken voor de wetenschappelijke gemeenschap.
21340	25760	Caroline Herschel was uiteraard de jongere zus van astronoom William Herschel.
25760	32820	Met de tijd werd Caroline Herschel erkend als astronoom en ook als eerste vrouw als zodanig betaald.
33020	33780	Nou ja zeg!
34020	39560	De Caroline Herschel Prize Lectureship wordt al sinds 2018 jaarlijks uitgereikt.
40300	47340	In 2020 werd deze prijs uitgereikt aan de beroemde astronoom en maker van het prachtige YouTube-kanaal Dr. Becky.
47340	54120	Hallo en welkom bij deze episode van Night Sky News voor juni 2024 met me, astrophysicist Dr. Becky Smethurst.
54120	57660	Deze Dr. Becky heet in het echt Dr. Becky Smethurst.
58660	65940	Dit jaar, 2024, werd deze prijs uitgekeerd aan Dr. Eloise Stephans, het onderwerp van deze aflevering.
66820	71560	Eloise werd geboren in Frankrijk, maar verhuisde naar het Verenigd Koninkrijk...
71560	76280	om natuurkunde en astrophysica te studeren aan de Universiteit van Sheffield.
76760	83700	Zij promoveerde in 2019 op de driedimensionale structuur van supernova-explosies.
84120	89840	Na een tijd te hebben gewerkt aan sterevolutie in Auckland, Nieuw-Zeeland...
89840	92900	is zij momenteel weer werkzaam in het Verenigd Koninkrijk.
93720	100060	Op dit moment ontwikkelt Eloise kunstmatige intelligentie-software aan de Universiteit van Oxford.
100880	108280	Ze programmeert een soort virtuele assistent voor het doorzoeken van grote datasets van zogenaamde sky-surveys.
108280	113280	In dergelijke surveys wordt de sterrenhemel continu in beeld gebracht...
113280	119220	waarbij dusdanig veel gegevens opgeslagen worden dat interventie van computers noodzakelijk wordt.
119900	123200	Als een astronoom precies weet waar zij naar zoekt...
123200	126000	dan kan een traditioneel computerprogramma geschreven worden...
126000	130080	dat de gegevens lineair doorzoekt op specifieke parameters.
130080	136080	Maar waar meerdere parameters in wisselende verhoudingen in de gaten moeten worden gehouden...
136080	139400	loont het al snel artificiële intelligentie in te zetten.
139940	142100	En wel in de vorm van machine learning.
143100	147320	Deze kunstmatige intelligentie kan dan patronen vinden in de gegevens.
148000	151080	Patronen die ons, sterveningen, waarschijnlijk zouden ontgaan...
151620	153900	of waar we veel te lang mee bezig zouden zijn.
154080	155160	Dit duurt zo lang.
155160	160160	Maar de immer geduldig doorrekenende computers met artificiële intelligentie...
160740	163160	kunnen dergelijke parameters en combinaties daarvan...
163820	167340	in een fractie van onze menselijke zoektijd gemakkelijker vinden.
168040	172420	Wie het werk en de biografie van Eloise Stéphans bestudeert...
172420	175160	zal niet raar opkijken dat ook haar huidige AI-project...
175860	181540	specifiek bedoeld is om op zoek te gaan naar supernova's, zwarte gaten en sterexplosies.
181540	188680	Voor dit werk ontving zij onlangs dus de prestigieuze Caroline Herschel Price Lectureship.
189500	192700	De lezing die zij hierover zal houden heeft als titel...
