start	end	text
260	4280	U luistert naar Zimmerman & Space.
6100	12860	De term Dyson Sphere is wel eens eerder gevallen in deze reeks verhandelingen over ons heelal.
13640	19800	In deze aflevering kijken we hoe dit science fiction-achtige idee daadwerkelijk wetenschap is geworden.
20180	23900	Eerst dan maar eens, wat is een Dyson Sphere?
23900	31620	De Brits-Amerikaanse natuurkundige Freeman Dyson schreef er in het jaar 1960 een artikel over met de titel
31620	34780	Search for artificial stellar sources of infrared radiation.
35100	40460	Hij dacht na over de consequenties van een technologisch sterk ontwikkelde civilisatie.
41180	48880	In onze tijd zien we al dat het stroomnet de gecombineerde vraag van consumenten en bedrijven nauwelijks aan kan.
48880	58200	Ook is duidelijk geworden dat traditionele methodes om energie op te wekken sterk vervuilend zijn
58200	62620	en desastreuze gevolgen voor de leefbaarheid van onze aarde tot gevolg hebben.
62760	63460	Wat zie ik gebeuren?
63680	64960	Hier zie je een crime scene.
65620	70160	De criminelen van de klimaatcrisis die leven hier op de Zuidas, die zijn hier op de Zuidas.
70380	71140	Dat zie je gebeuren.
71900	73080	Dus dat maken we maar even duidelijk.
73080	80700	Andere civilisaties op ver weggelegen planeten rond andere sterren zullen vroeg of laat tot dezelfde conclusies komen
80700	87140	en de ultieme energiebron, de zon waar hun planeet omheen cirkelt, zo efficiënt mogelijk gaan benutten.
87780	94380	Dat kan bijvoorbeeld door een enorme bol in het leven te roepen die op een optimaal punt om die ster heen ligt
94380	98700	en zoveel mogelijk zonlicht opvangt en omzet in bruikbare energie.
98700	105200	Dyson noemde het een kunstmatige biosfeer die de ster in kwestie volledig omhult.
106580	112480	Een en ander zou uiteraard voorbij de baan van de planeet waarop de civilisatie woont aangelegd worden,
112700	116440	maar weer dichtbij genoeg om de energie ook efficiënt te kunnen oogsten.
116580	118000	Ja, dat is logisch.
118160	122660	In een antwoord op vraag over deze theorie in het tijdschrift Science met de titel
122660	128620	Ligt de Dyson nog toe dat zo'n constructie, die we nu een Dyson-sfeer noemen,
128860	131840	geen monolithische complete bol zou kunnen zijn?
132540	136560	Dit, zo beargumenteerde Dyson, is namelijk technisch onmogelijk.
137420	144040	Een praktische implementatie van een Dyson-sfeer zou volgens hem meer de vorm hebben van een vloot van zonnepanelen,
144040	149600	een losse verzameling of zwerm van objecten die onafhankelijk rond de ster draaien.
149600	156160	Laten we het idee even voor ons geestesoog uitwerken, alsof we het zelf zouden toepassen.
156400	157260	Nou, hou je vast.
157620	161100	We spoelen even een paar duizend jaar vooruit naar de toekomst.
162500	166000	We gaan er voor het gemak maar even van uit dat de mensheid er nog is
166000	171200	en alle fossiele brandstoffen uitgeput heeft of het gebruik ervan heeft moeten staken.
171580	174920	Maar onze zon heeft nog een paar miljard jaar voor de boeg,
175100	179540	dus besluiten wij als gezamenlijke mensheid een Dyson-sfeer te bouwen.
179600	182620	Zo ongeveer ter hoogte van de planetoïde gordel.
183280	185740	Dat is dus voorbij de baan van planeet Mars,
186020	190200	waar een deel van onze mensheid, de Muskianen, is neergestreken.
191380	195060	Wat gebruiken we als bouwmateriaal voor onze Dyson-sfeer?
195880	198500	Ook hier had Freeman Dyson over nagedacht.
198500	202900	In 1966 schreef hij hierover in een artikel met de titel
202900	204800	Perspectives in Modern Physics.
205060	208380	Het zou logisch zijn het materiaal te betrekken uit planeten.
210280	214600	Maar laten we in ons gedachte-experiment onze kleinere rotsblokken,
