start	end	text
80	2700	U luistert naar Zimmerman & Space.
2980	8940	Als we zo eens een ommetje wandelen door een bos, wat dit moment een bijzonder koude aangelegenheid is,
9120	12220	dan snappen we grotendeels wat we om ons heen zien.
12960	15380	Hoe die bomen ooit kleine boompjes waren,
15860	17920	of vogels geboren worden uit eieren,
18380	20960	hoe klimop langs de bast van de boom klimt,
21460	25320	hoe een eekhoorn nootjes verzamelt en verstopt om de winter door te komen.
26600	28720	Maar zo was het hier natuurlijk niet altijd.
28720	35420	Een slordige 4,5 miljard jaar geleden was ons zonnestelsel een onherbergzame plaats.
36100	40700	Uit een volk van gas en stof ontstonden de zon, de planeten en de manen
40700	44680	en het meeste van de rest van de dingen die we in ons zonnestelsel aantreffen.
45540	49640	Natuurlijk niet alles, want zo'n zwaartekrachtsysteem als ons zonnestelsel
49640	55280	trekt over de miljoenen jaren ook onherroepelijk materie aan van extrasolaire oorsprong.
55940	58540	Dat zien we zelfs in onze tijd wel eens gebeuren.
58720	66520	Het interessante is nu dat we over die ontstaansgeschiedenis van ons zonnestelsel nog redelijk in het duister tasten.
66520	74700	In tegenstelling tot een wandeling door het bos snappen we nog niet goed wat er destijds allemaal in welke volgorde gebeurde.
75520	80720	Vandaag zullen we een redelijk recent onderzoek bespreken dat hier wat meer inzicht in kan geven.
80720	87720	De eerste periode waarin überhaupt van een planeet aarde kan worden gesproken heet het Hadeicum,
87880	92560	de tijdspanne van ongeveer 4,56 miljard tot 4 miljard jaar geleden.
92560	97880	Die naam Hadeicum is afgeleid van Hades, de Griekse god van de onderwereld.
98780	104000	Dat de aarde in die tijd een onleefbare wereld was, maakt dat die naam Hadeicum goed klopt.
105100	109000	De aarde is alvast in het begin veel warmer en de aard korst vloeibaar.
109000	117000	Vloeibaar gesteente en magma, precies de dingen die u probeert te vermijden tijdens een kinderfeestje inderdaad.
118180	125580	Feitelijk leven we nu op een langzaam afkoelende bol die om een langzaam opbrandende ster draait in een afkoelend heelal.
126340	133100	In die begindagen van de aarde hadden we nog niet echt een atmosfeer, maar meer een eilennevel die om onze planeet hing.
133100	138420	Een dergelijke eilennevel biedt natuurlijk weinig weerstand tegen meteorieten,
138580	145940	dus als u de hitte al zou doorstaan, dan was de kans groot dat uw bestaan prematuur zou worden beëindigd door een meteorietinslag.
148700	152340	Stenen vlogen her en der in het rond in dat brillenzonnestoot.
153820	158280	Uit botsingen tussen hemellichamen ontstonden ook weer nieuwe hemellichamen.
163100	172000	Zo is de heersende theorie dat onze maan ontstaan is uit een botsing van onze aarde met iets anders.
174920	178760	En hier begint onze kennis dus inderdaad al wat vager te worden.
179520	186760	Veel van deze rotsen, die in de begindagen misschien gigantisch en belangrijk waren voor de vorming van alles wat we nu kennen en waarderen,
186760	190480	zijn zelf vergaan of verplaatst naar regio's buiten ons zicht,
190480	193120	of onderdeel geworden van andere hemellichamen.
194160	199660	We zien in ons zonstils ook al objecten die door de onderlinge zwaartekracht bij elkaar gehouden worden,
200260	204340	en waarin de kernmogelijk rotsen bestaan die we graag eens zouden kunnen onderzoeken
204340	207080	om meer te leren over de ontstaansgeschiedenis.
209320	213960	Een voorbeeld van zo'n object is de astroïde 25143 Itokawa,
213960	217960	die in 2005 werd bezocht door het Japanse Hayabusa ruimtevaartuig.
