start	end	text
660	7820	Bij onze zoektocht naar buitenaards leven is een van de grotere uitdagingen om een apparaat te bouwen
7820	13800	dat ter plekke in staat is om een beetje zoals een nieuwsgierig mens dat zou doen op onderzoek uit te gaan.
21620	24440	Misschien vergaat het u wel een beetje zoals mij.
25080	34560	Elke keer als er weer een karretje op mars gezet wordt, mis ik eigenlijk een beetje een robot die rondrent en grote gaten graaft in de marsbodem.
35960	48040	Eentje die kan zeggen als hij iets vreemds tegenkomt en dan van alle kanten kan bekijken, fotograferen, samen knijpen en uitvouwen en onder een microscoop schuiven.
48040	57520	En als dat dan allemaal niks oplevert, nog dieper gaat graven tot een diepte waar het krioelt van de marswormen en kevers.
58620	62040	De grote uitdaging voor zo'n megalomaan project is...
62040	65500	Bouw het maar eens.
66160	68980	Hier bestaan eenvoudigweg niet de budgetten voor.
70300	79300	Vandaag behandelen we in deze merkwaardige podcast een stukje nabije toekomstmuziek dat toch enigszins in die richting komt.
80320	86300	Voor de context kijken we even terug naar de onlangs afgeronde Cassini-Huygens missie.
86300	93900	Ik heb het gewoon heen dat het signal van de spacecraft is gegaan en in de volgende 45 seconden zal de spacecraft zijn.
95180	101260	Ik hoop dat jullie allemaal zo duidelijk bang zijn van deze geweldige accomplishment.
101920	103220	Kogelijken aan jullie allemaal.
103700	109420	Dit is een geweldige missie, een geweldige spacecraft en jullie allemaal een geweldige team.
110540	112300	Ik ga dit de missie noemen.
112300	118360	Dit was een van de meest ambitieuze samenwerkingsprogramma's van NASA en ESA...
118360	122980	waarbij de planeet Saturnus, haar manen en haar ringen van nabij werden onderzocht.
123580	128880	Het ruimtevaartuig werd op 15 oktober 1997 gelanceerd.
128880	142880	Het bekeek planeet Jupiter op 30 december 2000 van een afstand van 10 miljoen kilometer...
143720	148380	en arriveerde in een baan rond Saturnus op 1 juli 2004.
149100	154180	Dit was het eerste ruimtevaartuig dat in een baan rond de geringde planeet terecht kwam.
154180	160560	Op 23 december 2004 werd de Huygenslander losgemaakt...
160560	163680	zodat deze autonoom op de maan Titan kon landen.
163680	167000	We ontvangen een relatief moeilijk moeilijk landen op de Titan's surface.
167800	171740	De vijf van de surface vervindt een geweldig oorlog van een aardrijke maan rond...
171740	176040	met een verhaal van de geringde konden die een paar meter in hoog zijn.
176200	181140	Voor ons verhaal van vandaag kijken we echter naar 13 juli 2005.
181960	188160	Op die dag vloog het Cassini-ruimtevaartuig langs een andere maan van Saturnus en Célades.
188160	194940	De camera's van Cassini lieten iets anders zien dan tot dan toe werd verwacht.
195580	201200	De maan En Célades bleek een jong terrein te vertonen, vrijwel geheel vrij van kraters.
202360	207460	Ijsrotsen en tektonische patronen waren zichtbaar op de zuidpool van En Célades.
208300	213120	Ook was deze maan op bepaalde plaatsen veel warmer dan wetenschappers hadden gedacht.
213120	219660	Pluimen van waterdamp spoten uit het oppervlak van En Célades.
220540	225960	Op 8 maart 2006 bevestigden de wetenschappers van de Cassini-missie...
225960	230180	dat er vloeibaar water op En Célades voorkomt in de vorm van gijzers.
231160	235460	In oktober 2007 zagen we met de ogen van de Cassini-zonde...
235460	240600	dat er tijgerstrepen voorkomen op En Célades die ook door waterijs ontstaan.
240600	243900	Eveneens op de zuidpool van deze Saternes maan.
244760	247900	Het jaar daarna, op 8 oktober 2008...
247900	252780	scheerde Cassini op een hoogte van maar 25 kilometer over En Célades.
