start	end	text
0	3040	Op een dinsdagochtend bij de tandarts.
7960	10340	Ik vertrouw het toch niet helemaal, nee.
11000	12500	We gaan even een fotootje maken.
14580	15820	Even goed bijten.
19820	23460	Ach, die heerlijke bezoekjes aan de tandarts.
24080	28400	En dan dat moment dat de Ivoordokter en haar assistentenruimte verlaten
28400	32860	en u daar moederziel alleen achterblijft voor het röntgenbombardement.
34680	39400	Elektromagnetische straling met een golflengte van 12 nanometer tot 1 picometer
39960	41600	noemen we röntgenstraling.
42640	48580	Röntgenstraling heeft een hogere frequentie en dus kleinere golflengte dan ultraviolette straling.
49140	52700	Nog sneller fluctuerende fotonen noemen we gamma-straling.
52940	54340	Nou, blij om dat te horen.
54340	57340	Het ding waar we het vandaag over gaan hebben heet ULX,
57340	61520	ULX, wat staat voor Ultraluminous X-Ray Source.
61920	64280	Een extreem heldere röntgenbron.
66280	72200	Waar de tandarts een röntgentoestel gebruikt om kunstmatig röntgenstraling te produceren,
72360	75000	zien we in het heelal ook veel natuurlijke röntgenbronnen.
76740	80940	Zo'n ULX is een beetje een raadselachtig verschijnsel.
80940	85740	Om dat te begrijpen gaan we iets meer dan een eeuw terug in de tijd.
86380	89280	In die tijd leefde de astronoom Arthur Eddington,
89480	92840	die de astronomie van die tijd grote stappen vooruit hielp.
93620	98800	Zo rond 1920 was nog helemaal niet bekend hoe sterren van binnen functioneren.
99520	104060	Eddington suggereerde dat kernfusie een mogelijke motor was voor sterren.
104060	106480	Iets wat jaren later bevestigd werd.
107240	111240	Eddington was ook aanhanger van de relativiteitstheorie van Einstein
111240	116140	en wist deze nieuwe natuurkunde uit te leggen aan een groter publiek in zijn boek
116140	118540	Mathematical Theory of Relativity.
119200	121620	Ook het concept van de pijl van de tijd,
121760	125040	waar we moeten erkennen dat de tijd altijd één kant op beweegt,
125260	126200	komt van Eddington.
126200	130060	Maar in de context van de aflevering van vandaag,
130280	133060	keren we nog even terug naar de werking van sterren.
133580	137600	Eddington zag geheel juist dat in sterren een balans bestaat
137600	140960	tussen de zwaartekracht die naar het centrum van massa wijst
140960	144420	en de stralingsdruk die juist de andere kant op wijst.
145320	150020	Als de inwaartse zwaartekracht de uitwaartse stralingsdruk overwint,
150220	153400	implodeert een ster tot bijvoorbeeld een neutronenster.
153400	157300	Maar als de uitwaartse stralingsdruk zo hoog wordt
157300	159880	dat deze de inwaartse zwaartekracht overwint,
160000	163360	wordt materie van de ster weggeblazen in een gebeurtenis
163360	165380	die meer weg heeft van een explosie.
167280	170640	Het maximum aan mogelijke uitwaartse stralingsdruk
170640	172820	staat bekend als de Eddington-limiet
172820	175100	en verklaart waarom we geen sterren zien
175100	177620	vanaf een bepaalde maximale helderheid.
178440	182240	Tot er dus iets opduikt als de voornomde ULX.
182240	186140	Dit is geen sterexplosie of supernova,
186140	188540	maar een object wat blijft stralen.
189780	192300	En dan wel zo'n honderd keer zo helder
192300	195400	als mogelijk zou kunnen zijn volgens Eddington's limiet.
196160	199220	Dan hebben we het over een slordige 10 miljoen keer
199220	201140	de energie die de zon gemiddeld uitstraalt.
201140	206440	Met het oog op de huidige energiecrisis
206440	210220	ergens wel zonde dat al die energie de ruimte in geslingerd wordt
210220	212520	in de vorm van röntgenstraling, nietwaar?
212600	214400	Dwaai je niet een beetje af van het onderwerp?
214620	215800	Ja, ja, sorry.
