start	end	text
360	3880	U luistert naar Zimmerman & Space.
4400	6220	Hé, waar gaan we het vandaag eens over hebben, Hens?
6520	9000	Ach, dit is ook weer zo'n mooi stuk wetenschap.
9700	11100	Nou, blij om dat te horen.
11380	18060	Het onderwerp van vandaag betreft een recente ontdekking bij een groep sterren met de naam WL20.
19100	24140	Op zich is deze sterregroep al lang bekend en goed bestudeerd door astronomen.
24140	31320	WL20 is onderdeel van een groter geheel dat ook wel Ro-Ophiugi wordt genoemd.
32220	38960	Zoals de naam al doet vermoeden, vinden we deze regio in het sterrenbeeld Ophiugus, de slangendrager.
39940	44900	Dit is het dertiende dierenriem sterrenbeeld, omdat de zon er doorheen beweegt.
45960	50620	Als u tussen 29 november en 17 december geboren bent,
50620	54680	is uw dierenriem sterrenbeeld daadwerkelijk de slangendrager.
55800	60760	Niet dat dat iets betekent, maar misschien toch aardig om te beweren op een feestje.
62020	67140	Overigens kent een van de oudste vormen van astrologie, de Vedische astrologie,
67380	71120	daadwerkelijk het sterrenbeeld slangendrager als zodiac-teken.
72180	76220	Aan de rand van dit sterrenbeeld, dicht bij sterrenbeeld de schorpioen,
76220	80140	vinden we de regio die Ro-Ophiugi genoemd wordt.
80620	86820	Dit is een complex van interstellair gas en stof, waar nieuwe sterren worden geboren.
87920	91840	Ro-Ophiugi staat betrekkelijk dicht bij onze aarde,
92040	95780	namelijk op een afstand van slechts 460 lichtjaar.
96600	100140	Dat maakt deze regio uiterst geschikt voor astronomen,
100340	103680	om het proces van sterrengeboorte nader te bestuderen.
103680	108680	Maar ook onder amateur astrofotografen is dit een dankbaar object.
108680	113920	De complete regio bestrijkt een gedeelte aan onze nachtelijke hemel
113920	117660	van ongeveer 4,5 bij 6,5 graad.
118200	122680	Dat is best een groot stuk als we bedenken dat de zon en de maan ook trouwens
122680	125600	ieder maar een halve graad in diameter zijn.
126700	130880	Toch ziet u niks van Ro-Ophiugi als u in die richting kijkt.
130880	134740	Pas met lang belichten wordt deze nevel zichtbaar.
135740	140900	In het bijschrift van deze aflevering vindt u een link naar een amateurfoto van deze nevel
140900	142860	op de AstroBin website.
143860	148000	Met 4,5 uur belichten ontstaat een spectaculaire foto.
148000	149000	Wauw!
149240	155380	Astronomen schatten dat de totale massa van deze nevel zo'n 3000 keer die van onze zon is.
155860	156540	Zoveel?
156860	163000	In Ro-Ophiugi zijn ruim 400 afzonderlijke bronnen van infrarode straling geïdentificeerd.
164640	168140	Naar verwachting zijn dit allemaal plekken waar sterren geboren worden.
168940	172340	Maar een en ander wordt dus letterlijk in nevelen gehuld.
172820	177740	Gas en stof maken dat zichtbaar licht verstrooid en geabsorbeerd wordt.
178580	183460	Het netto resultaat is dat ons het zicht ontnomen wordt op deze protosterren.
184120	186260	Dat wil zeggen in zichtbaar licht.
186540	186740	Oh?
187020	192740	Bij langere golflengtes kan de straling voor een deel dwars door het gas en stof heen reizen
192740	195180	en onze telescopen alsnog bereiken.
196040	199740	Dan hebben we het over infraroodlicht en radiostraling.
200320	205740	Daar komt ook nog bij dat jonge sterren met name hun energie in het mid-infrarood uitzenden.
205740	211740	Precies in dit golfbereik, van mid-infrarood tot en met millimeter radio,
212620	215360	is de ontdekking waar we het vandaag over hebben gedaan.
