start	end	text
0	4260	U luistert naar Zimmerman & Space.
30000	34440	Het fine-tuning argument.
35340	39000	Om te voorkomen dat deze podcast aan elkaar hangt met Engelse termen...
39620	43220	zullen we het vanaf nu het nauwkeurig afgeregelde heelal noemen.
43340	43880	Dat is goed.
44160	51160	Het nauwkeurig afgeregelde heelal schurkt enigszins tegen het zogenaamde antropische principe aan...
51160	53260	waar we het al eens eerder over hebben gehad.
54100	58200	Meer dan één luisteraar vroeg of ik er nog eens wat dieper op in wou gaan.
58200	59760	Dus dat doen we bij deze.
60860	65200	Het antropisch principe is een concept binnen de astronomie en de filosofie...
65740	69320	dat stelt dat de waarnemingen van het universum beïnvloed worden...
69320	74340	door het feit dat er überhaupt intelligente wezens zijn om die waarnemingen te doen.
75340	78200	We kennen verschillende varianten van het antropisch principe...
78960	81900	waaronder het zwakke en het sterke antropische principe.
82700	88200	Het zwakke antropische principe suggereert dat het universum bepaalde eigenschappen moet hebben...
88200	91400	die het bestaan van intelligente waarnemers mogelijk maken...
91400	95140	anders zouden we er niet zijn om het te observeren.
95840	97660	Een soort ja-he-he dus.
98060	98360	Ja.
99140	102440	Het sterke antropische principe gaat nog een stap verder...
102440	108480	en suggereert dat het universum specifiek is afgestemd op het ontstaan van intelligent leven.
108720	109820	Het klinkt heel dom.
109820	115940	Dit principe heeft uiteraard diepgaande implicaties voor discussies over de aard van het helal...
115940	117960	en ook onze plaats in dat helal.
118860	124080	Het nauwkeurig afgeregelde helal is een concept binnen de astronomie en filosofie...
124080	127480	dat overeenstemming heeft met dit sterke antropische principe.
128340	133820	Het verwijst naar de nauwkeurige afstemming van fundamentele natuurlijke constanten en parameters...
133820	138180	in het universum, zodat het leven zoals wij dat kennen mogelijk is.
138940	144120	Dit argument stelt dat zelfs kleine veranderingen in deze constanten en parameters...
144120	149020	het universum ongeschikt zouden maken voor het ontstaan van complex leven.
149880	151420	Dat is nogal een bewering.
152860	155820	Eigenlijk iets waar we niet zomaar mee door kunnen blijven lopen...
156360	159860	net zoals een stukje stro in uw sok u maar blijft hinderen...
159860	161580	tot u er eindelijk iets aan doet.
162380	164820	Het eerste wat we natuurlijk kunnen denken is...
164820	165700	wat een onzin.
166220	168760	Dit is het verdraaien van oorzaak en gevolg.
169420	172080	Wij mensen, en dieren en planten trouwens ook...
172080	175140	hebben ons aangepast aan de omstandigheden van dit helal.
175780	179840	In een ander helal waren mogelijk andersoortige wezens ontstaan.
179960	181420	Ja, dat is logisch.
181420	185680	Toch zullen we zien dat we er niet zo gemakkelijk vanaf komen.
185680	192480	Het idee dat dit helal is ingericht op het ontstaan en gedijen van specifiek de mens...
192480	194200	gaat mij persoonlijk een beetje te ver.
194560	196320	Want hoe lang bestaat de mens?
196840	200440	Volgens het Smithsonian Institute verscheen de eerste mens...
200440	202780	tussen de 6 en 2 miljoen jaar geleden.
206000	209680	Maar de rechtoplopende mens, met iets van cultuur en expressie...
210200	214840	slentert volgens datzelfde Smithsonian nog maar zo'n 100.000 jaar hier rond.
215680	219400	Dat is natuurlijk niks in vergelijking met de leeftijd van dit helal...
219400	221920	die ongeveer 13,7 miljard jaar is.
222740	226320	En hoeveel plaats neemt de mens in in dit immense helal?
227200	229980	Dat dit ene planeetje met ons erop de reden is...
229980	233480	dat bepaalde natuurlijke constanten de waarde hebben die ze hebben...
233480	235540	is dan een vrij belachelijke bewering.
235540	239260	Wat echter geen belachelijke bewering is...
239260	242920	is dat we met onze huidige kennis van het helal zien...
242920	246460	dat allerlei constanten precies de juiste waarde hebben...
246460	249260	om wat voor vorm van leven in dit uitgestrekte helal...
249260	252180	überhaupt een kans op overleven te geven.
252260	253260	Dat kan je je toch niet voorstellen?
254220	256220	Laten we er even een paar langslopen.
256220	260980	De kosmische achtergrondstraling is het fossiel van het vroege helal.
261520	264320	Uit de rimpelingen in onze eerste straling...
264320	268560	zijn de vele sterrenstelsels waaronder ook onze eigen melkweg ontstaan.
269640	272400	Berekeningen laten zien dat als de fluctuaties...
272400	275160	in deze eerste straling kleiner waren geweest...
275160	278360	dat er dan helemaal geen sterrenclusters hadden kunnen ontstaan.
278360	282580	En als de rimpelingen in deze straling groter waren geweest...
282580	286080	dan zou de massa van het prille helal veel meer op elkaar klonteren...
286080	289180	en zou het helal al heel snel ten onder zijn gegaan...
289180	291200	als een veelheid aan zwarte gaten.
291860	294080	Dit alles ver voordat wij er waren.
295280	299800	Een ander nauwkeurig afgeregeld feit is de expansie van het helal.
300280	304220	We noemen dit donkere energie, de versnelde uitdijing van alles...
304220	305980	die we nog niet goed kunnen verklaren.
305980	309880	Maar als deze uitdijing sneller had plaatsgevonden...
309880	312800	dan was het helal veel te snel ijl geworden...
312800	315500	en waren er ook geen melkwegstelsels ontstaan.
316180	320880	En een langzamer uitdijend helal had het af moeten leggen tegen de zwaartekracht...
320880	325180	en dan was alle materie veel sneller ingestort tot een big crunch.
