start	end	text
0	4860	U luistert naar Zimmerman & Space.
30000	32700	Misschien heeft u het wel in het nieuws gezien of gelezen.
34080	37040	Astronomen verwachten dat er in de komende maanden...
37040	40420	tijdelijk een extra ster aan de hemel te zien zal zijn.
40580	41860	Dit is best uniek, of niet?
42120	46680	Deze ster zal dan, zo gaat het verhaal, een paar dagen zichtbaar zijn...
46680	51200	en dan weer zodanig dimmen dat deze alleen met het telescoop zichtbaar is.
52160	57340	Het betreft de ster T. Coronai Borealis in het sterrenbeeld De Noorderkroon.
57340	61480	Laten we in deze aflevering de feiten eens op een rijtje zetten.
61660	64340	Oh, dat heb je interessant onderschreven.
65800	68340	TCRB, zoals we dit object vanaf nu zullen noemen...
68860	72740	om ongewenste associaties met bepaalde onfrisse politici...
72740	77100	tot een minimum te beperken, is een binair systeem, een dubbelster.
78180	81340	Hier draaien een rode reus en een witte dwerg om elkaar heen...
81940	85780	op een afstand van circa 2600 lichtjaar van ons verwijderd.
85780	91860	Dit binaire stelsel kunt u met een forse telescoop al uw hele leven zien...
91860	96100	maar ergens in de komende maanden wordt de witte dwergster in dit stelsel...
96100	101400	plotsklaps een stuk helderder in een gebeurtenis die we een terugkerende nova noemen.
101860	105180	Dit nu doet mogelijk de wenkbrauwen wat fronsen...
105180	107600	want we kennen vast allemaal het woord supernova.
108320	112980	En zo'n supernova is toch zeker niet te voorspellen en eenmalig, zou men denken.
112980	118700	Maar er bestaat een treffend verschil tussen een terugkerende nova en een supernova.
119700	123940	Dit heeft allemaal te maken met sterevolutie en de massa van sterren.
124760	130300	In TCRB vinden we zoals gezegd een rode reuzenster en een witte dwergster.
131200	135180	Allebei deze sterren bevinden zich in een eindstadium van hun leven.
136280	138880	Rode reuzen zien we heel veel in ons helal.
139640	142200	Ook onze zon wordt op den duur een rode reus.
142200	144160	Dat lijkt me geen goed idee.
144480	147500	Tijdens het leven van een ster met een gemiddelde massa...
147500	150320	wordt continu waterstof in helium omgezet.
151340	155740	De energie die daarbij vrijkomt is de reden dat wij überhaupt kunnen leven.
156000	156200	Oh?
156640	159060	Misschien heeft u wel zonnepanelen op het dak...
159060	161860	of hangt uw was buiten te drogen in het zonnetje.
162960	166920	Allemaal dankzij de kernfusie van waterstof naar helium in de zon.
166920	170520	Maar net als bij een auto die maar blijft rijden...
170520	172840	is op een bepaald moment de brandstof op.
174260	179560	De ster koelt af en vastgehouden hitte begint bij dit proces naar buiten te stralen.
180980	187520	De buitenste lagen van de ster kunnen hierdoor opeens wat resten waterstof gaan fuseren tot helium...
187520	190180	waardoor de ster ook in diameter immens groeit.
191140	192820	Het wordt een rode reus.
192820	197000	Maar we hebben in de kern van deze ster alleen nog maar helium.
197860	200380	Omdat de fusie in de kern is gestopt...
200380	204120	is er na al die tijd geen uitwaartse kracht meer gaande in de kern...
204120	205960	en vindt de zwaartekracht het.
206760	211100	De kern van de ster wordt dan een gloeiend hete, compacte bal van helium.
211940	215940	Veel warmer dan in de tijd dat het nog een gewone jeugdige ster was.
216640	220620	Als de temperatuur uiteindelijk 100 miljoen Kelvin bereikt...
220620	225060	gebeurt er nog iets speciaals waar u en wij allemaal erg dankbaar voor mogen zijn.
225200	225700	Dank u.
226220	228580	Zoals u wellicht nog weet van scheikunde...
228580	231460	hebben waterstofatomen één proton in de kern...
231460	234000	en heliumatomen twee protonen in de kern.
234900	238260	Op het periodiek systeem der elementen kunt u dus ook zien...
238260	241520	dat waterstof atoon nummer één heeft en helium twee.
242480	244620	Dat is wat die kernfusie in de zon inhoudt.
244620	250700	Waterstofatomen worden gefuseerd, samengedrukt tot nieuwe atomen helium.
251580	254960	Maar nu hebben we dus een kern met alleen maar heliumatomen.
255680	260580	Door de immense druk en de temperatuur die toegenomen is tot 100 miljoen Kelvin...
260580	262180	start een nieuw soort fusie.
