start	end	text
0	3520	U luistert naar Zimmerman & Space.
3980	5540	Nou, interessant.
6080	11180	Door naar deze podcast, een vergelijkbare astronomische podcast, te luisteren...
11180	14360	willen sommigen van u misschien wel wat meer van het heelal zien.
14840	17880	Zeker nu de zomervakantie weer een beetje in zicht komt.
19020	22780	Maar daarbij lopen de meeste van ons tegen vier uitdagingen aan.
23440	29280	1. Er zitten maar zoveel uren in een dag en vaak zijn we te moe of te ongemotiveerd.
30000	34380	2. Wonen in een ernstig lichtvervuilde omgeving.
35340	37580	3. Het wisselvallige weer.
38940	42900	En 4. Onbekendheid met wat er dan zoal te zien zou zijn.
43700	48860	En dat terwijl astronomie, enigszins vergelijkbaar met de aanschouwing van kunst...
48860	50520	goed en gezond voor ons is.
50680	51100	Echt?
51360	54000	De World Health Organization zegt hierover...
54000	58380	In de afgelopen decennia zijn we de intrinsieke gezondheidsvoordelen...
58380	62660	van artistieke en recreatieve activiteiten gaan begrijpen.
62660	70240	Kunst en recreatie kunnen ons helpen om emotioneel de weg te vinden in de strijd tegen een ziekte of blessure...
70240	75420	om moeilijke emoties te verwerken in tijden van nood en uitdagende gebeurtenissen.
76200	79040	Voordelen zijn te zien in verschillende indicatoren...
79040	81040	waaronder gezondheidsbevordering...
81040	85580	het beheer van gezondheidscondities en ziektes en ziektepreventie.
86320	91360	En daarom leek het mij aardig in deze aflevering enkele barrières langs te lopen...
91360	94340	in de hoop dat enkele van u, al dan niet bewust...
94340	98160	de gezondheidsvoordelen van astronomische recreatie kunnen genieten.
99240	101840	Laten we beginnen met de eerste uitdaging.
102220	103880	Vermoeidheid en motivatie.
104040	106500	Want u moet geleidelijk weer wennen.
106680	110040	Ik denk dat we daar op zich weinig aandacht aan hoeven te besteden...
110040	112780	Want als we de andere drie uitdagingen wat verlichten...
112780	117540	bent u in ieder geval goed voorbereid op het moment dat de motivatie eens toeslaat...
117540	119620	of de vermoeidheid wel mee lijkt te vallen.
119760	120520	Ja, dat zeg jij.
120740	124980	Maar één ding over motivatie is dat het mijns inziens belangrijk is...
124980	127100	te veel frustraties te voorkomen.
127920	132400	Hoe vervelend is het om er op die ene heldere zomeravond achter te komen...
132400	135780	dat u uw verrekijker niet mee heeft genomen op vakantie.
135780	140840	Of dat de accu in uw mobiele telefoon leeg is...
140840	144820	juist toen u die app wil gebruiken om uw weg aan de sterrenhemel te vinden.
145680	149680	Dus laten we gedurende deze hele aflevering een oog openhouden...
149680	152160	voor zaken die tot frustraties kunnen leiden.
152360	152620	Oké.
153000	156700	Als ik zo eens naar de statistieken van deze podcast kijk...
156700	161780	zie ik dat er op dit moment in 96 landen of grondgebieden naar geluisterd wordt...
161780	165400	in 1768 steden en dorpen in totaal.
165460	166940	Hens, ik twijfel hieraan.
167060	172700	Of althans, de IP-adressen in 1768 verschillende steden en dorpen...
172700	176360	zijn gebruikt om in ieder geval één aflevering te downloaden.
177080	180420	Strikt gezien zegt dit natuurlijk niets over het luistergedrag.
181200	182680	Maar goed, hoe dat ook zij...
182680	187320	voor een aantal van u zal een heldere sterrenhemel meer regel dan uitzondering zijn.
187320	193440	93% van de luisteraars zit echter in Nederland, België of Duitsland...
193440	197740	en daarvan heeft een grote meerderheid regelmatig te kampen met slecht weer...
197740	199480	en altijd met lichtvervuiling.
201560	205720	Betekent dit dan dat u niets aan tuin- of balkonastronomie kunt doen?
205880	207840	Nou, dat klinkt niet goed, Hens.
208000	210120	Laten we eens kijken wat de opties zijn.
210240	211260	En geloof je er zelf in?
211260	214280	Als we fenomenen aan de sterrenhemel willen zien...
214280	218600	dan hebben we het vaak over magnitude om de helderheid van een object aan te geven.
219140	221360	Dit is een enigszins verwarrende schaal...
221360	225480	omdat een groter magnitudegetal een kleinere helderheid aangeeft.
226280	226800	Gasverdamme!
227160	229460	Negatieve magnitudegetallen kennen we ook...
229460	231260	en objecten met zo'n negatieve magnitude...
