start	end	text
0	1420	Ik weet het niet.
1520	3680	U luistert naar Zimmerman & Space.
3860	4600	All right.
5060	8260	Een astronomische ontdekking doen door een typfout.
8420	9540	Hoe bijzonder is dat?
10440	15000	Het overkwam astronoom Karen O'Neill van het Green Bank Observatorium...
15560	19720	onlangs in haar zoektocht naar low surface brightness sterrenstelsels.
19960	22400	Dit vraagt, denk ik, om wat extra uitleg.
22580	23760	De naam zegt het al.
23820	24160	Hoezo?
24860	27440	Sterrenstelsels die weinig licht uitstralen.
27480	29040	Aha, zo zit het dus.
29040	33700	Om te begrijpen waarom iemand daar specifiek onderzoek naar zou willen doen...
33700	39540	pakken we een artikel uit juli 2023 erbij van diezelfde O'Neill en collega's...
39540	40420	met de titel...
40420	44080	Searching in H1 for Massive Low Surface Brightness Galaxies.
44560	46900	Samples from Hyperlita and the UGC.
47220	51080	In dit artikel kunnen we lezen hoe O'Neill en haar team...
51080	54040	350 sterrenstelsels onder de loep namen...
54040	58040	om uit te komen op een subset van 41 exemplaren...
58040	62520	die zowel een lage helderheid als toch een grote massa hebben.
62520	68400	De aanwezigheid van dergelijke sterrenstelsels is enigszins raadselachtig...
68400	73220	want waarom behouden dergelijke zware objecten zo'n laag aantal sterren?
74220	78760	Elders in het hele hal zien we dat er aan de lopende band sterren geboren worden...
78760	81320	maar hier dus om een of andere reden niet.
81320	88500	Waar er al sterren worden gezien in dit soort Low Surface Brightness sterrenstelsels...
88500	91260	zijn het vaak blauwe, metaalarme sterren.
92040	97580	Ook dat is een indicatie dat deze plaatsen in ons heelal opvallend veel minder haast hebben...
97580	100860	om te evolueren dan de rest van de sterrenstelsels.
101400	106320	Want naarmate sterren geboren worden en sterven in supernova-explosies...
106780	110080	ontstaan er steeds meer complexe elementen.
110080	112700	Dat is een raar gegeven.
113320	117740	We hebben de dood van sterren nodig om ons eigen leven verrijkt te zien.
118520	121920	Maar dat hoeven we natuurlijk niet gelijk parasiter op te vatten.
122060	123360	Daar zit je niet op te wachten.
123720	129500	Ook in onze aardse levens kan de dood van een van onze sterren of vrienden of familieleden...
129500	131680	behalve het ervaren van verdriet...
131680	135000	ons ook wijzen op iets wat wij nog moeten of mogen doen.
135600	139840	In die zin is de dood niet uitsluitend duister en akelig.
139840	142320	Maar ook iets wat gewoon bij het bestaan hoort.
143380	147800	Maar ja, om sterren te kunnen zien sterven moeten ze wel geboren worden.
147960	149400	Ja, dat is logisch.
149560	150840	Het mag duidelijk zijn.
151460	157340	Astronomen snappen nog niet waarom deze op zich veelbelovende gaswolken zo diffuus blijven.
158200	161140	Een logische vraag die u nu kunt hebben is...
161140	163920	Hoezo zijn deze objecten dan toch heel zwaar?
164060	165100	Inderdaad, hoe kan dat?
165260	168680	Dat is een combinatie van gas en donkere materie.
169500	175140	Voor ons buitenstaanders en salongeleerden klinkt het mogelijk wat vreemd om donkere materie...
175680	178000	waarvan we niet eens weten wat het is...
178000	180140	lukraak te gebruiken in dergelijke beweringen.
