start	end	text
0	5140	Het kan zijn dat u er al over heeft gehoord in het nieuws.
5700	12040	De ontdekking van een gigantisch zwart gat dat een sliert van nieuwgeboren sterren achter zich laat.
24040	28940	Ik kwam het bericht tegen op zowel CNN als NASA's nieuwsfeed.
28940	33680	Laten we vandaag samen eens kijken naar het hoe en wat van deze ontdekking.
34280	36940	Het officiële artikel hierover heeft als titel...
41620	46620	...van auteur Pieter van Dokkum en een hele lijst collega's.
47500	52280	Het verscheen op 6 april van dit jaar in The Astrophysical Journal Letters.
53160	58180	Het is een open access artikel, dus u kunt het gratis raadplegen als dat u pleziert.
58940	62620	Een link vindt u uiteraard in de show notes van deze aflevering.
62840	63780	Oh, gelukkig!
63780	70220	Het fenomeen werd bij toeval ontdekt als een streep op een foto van de Hubble-ruimtetelescoop.
70860	78360	Op 5 september vorig jaar werd met die Hubble-telescoop gekeken naar het dwergsterrenstelsel RCB-28.
79420	85640	Bij het corrigeren en combineren van de foto's viel op dat er een streep in een foto zichtbaar werd.
85640	91720	In eerste instantie werd gedacht dat dit een artefact van kosmische straling was.
91860	92620	Cosmic radiation.
92780	97060	Iets wat wel vaker gezien wordt op foto's die buiten onze dampkring genomen worden.
97820	104080	Als een hoog energetisch geladen deeltje met hoge snelheid de CCD-chip van een ruimtetelescoop treft...
104080	107680	zal er een stip of streep zichtbaar kunnen worden op één foto.
108180	113160	En de Hubble-ruimtetelescoop draait dan wel in een lage baan rond de aarde...
113160	116340	op een oogte van zo'n 540 kilometer...
116340	119620	maar is daar zeker niet ongevoelig voor kosmische straling.
120200	125860	Maar de streep was zichtbaar op meerdere foto's die achter elkaar in de tijd genomen waren.
126280	129520	En dan hebben we het over iets heel anders dan kosmische straling.
129520	133680	Dat is sowieso hoeveel astronomische fotografie gebeurt.
134340	140660	Maak een heleboel losse foto's en combineer de beste exemplaren met software tot één nieuwe foto.
141460	146520	De software kan dan corrigeren dat de sterren ten opzichte van de telescoop aan de hemel iets verdraaien...
147320	153220	en strepen van kosmische straling of dooie pixels van de CCD-camera kunnen verwijderd worden.
153220	158660	Zo'n stapel van foto's is dan als het ware één veel langer belichte foto...
158660	163600	met meer detail en licht dynamiek dan met een kort belichte foto mogelijk zou zijn.
163760	165360	Aha, zo zit het dus!
166040	170440	De streep bleef dus achter na het combineren van vele foto's...
170440	173220	die ook nog eens met verschillende filters gemaakt waren.
174060	179880	Vanaf de aarde gezien ligt deze merkwaardige streep in het sterrenbeeld Cetus, de walvis.
179880	183880	Dit sterrenbeeld is in Nederland en België overigens goed zichtbaar...
184560	188360	maar de streep is veel te licht zwak om voor ons zichtbaar te zijn.
189420	193260	Alleen met de beste observatoria op aarde is zoiets te zien...
193260	196320	en dan ook nog onder uiterst gunstige omstandigheden.
197300	201880	Van Dokkum en zijn team waren geïntrigeerd door deze lineaire verschijning...
202460	208040	en keken er op 1 oktober vorig jaar nogmaals naar met de aardse Kek-telescoop op Hawaii.
208040	212160	En ja hoor, de lijn was ook hiermee zichtbaar.
212880	217180	Door middel van spectroscopie kon al een hoop gezegd worden over de streep.
217740	222160	De streep lijkt te wijzen naar nog een onregelmatig sterrenstelsel...
222160	226320	en de roodverschuiving van zowel de streep als dat sterrenstelseltje...
226320	230040	als mede de aangetroffen spectrale lijnen voor waterstof en zuurstof...
230560	234480	doen vermoeden dat deze op dezelfde afstand van ons verwijderd staan.
234480	235720	Dat was een lange zin.
236260	238440	Zoals ik in het begin al heb verklapt...
238440	242700	is de heersende hypothese dat het hier een superzwaar zwart gat betreft...
242700	247100	dat door de ruimte schaes van het onregelmatige sterrenstelseltje af.
247700	248280	Hoe snel?
248640	252580	Dan hebben we het over ongeveer 1600 kilometer per seconde.
253320	257860	Wie aan het rekenen slaat zal opmerken dat het mainstream nieuws...
257860	259480	hierover fout informeert.
259480	264000	Want overal lezen we dat dit zwarte gat in maar liefst 14 minuten...
264000	266200	de afstand aard en maan zou overbruggen.
266840	271360	Maar met 1600 kilometer per seconde doet het er maar vier minuten over.
271680	272140	Echt waar?
272620	276800	Dit zegt ons maar weer dat we nieuws altijd met een korreltje zout moeten lezen...
276800	279440	en het beste naar de bron van het nieuws kunnen zoeken.
279600	280680	Eh, even kijken.
281040	285420	Het is jammer dat ons nieuws vaak het sensatiegedeelte van informatie...
285420	287660	voorrang geeft boven de droge feiten.
287660	291560	Zo vond ik op YouTube een Engelse video met als titel...
291560	294960	NASA warns of supermassive black hole ripping through the universe.
295100	299520	Maar de titel van het originele NASA nieuwsbericht is veel minder dreigend.
299800	303660	Hubble sees possible runaway black hole creating a trail of stars.
304280	308660	Ook NASA maakt zich trouwens in dit artikel schuldig aan sensatiezucht...
308660	311780	door het zwarte gat een onzichtbaar monster te noemen.
313500	316980	En noemt ook de 14 minuten van de aarde tot de maan.
316980	318400	Dat is toch niet te geloven?
318660	322840	Ik heb NASA een mail gestuurd, dus hoop dat deze fout spoedig hersteld wordt.
322940	324680	Everything is going to be alright.
325240	329000	Maar goed, er gaat dus beslist geen waarschuwing uit van NASA...
329000	331940	en een en ander gebeurt zo ver van ons verwijderd...
331940	334320	dat u zich absoluut geen zorgen hoeft te maken.
334540	334880	Alright.
336040	336820	That's it we agree.
337420	339940	En er is dus nog iets bijzonders aan de hand...
339940	343800	want een verdwaald zwart gat in de lege ruimte op zich is niet zichtbaar...
