start	end	text
0	1580	Wat zijn je plannen?
3380	5380	Oh, wil je weten?
5700	6620	Ja, als je m'n zegt.
6780	10480	In de vorige aflevering hadden we het over donkere energie.
12000	15260	Zijdelings noemde ik dat andere lid van de donkere familie.
15700	17020	Donkere materie.
18100	21400	Ik dacht toen al dat ik daar ook eens tijd aan moest besteden.
21820	25780	Niet wetend dat er precies nu weer wat nieuws over te vertellen valt.
26040	27260	I don't believe it.
27260	31400	Eerst maar even, wat is donkere materie toch ook weer?
31740	34480	Ja, dat is wel een hele interessante vraag.
34720	39120	De aanwezigheid van onzichtbare donkere objecten in ons helal...
39120	41820	werd al diverse malen in de geschiedenis geopperd.
42440	48980	In 1884 al suggereerde William Thompson, beter bekend als Baron Kelvin...
48980	51560	dat er donkere objecten zouden kunnen bestaan.
51560	55560	En in het begin van de vorige eeuw kwamen de Nederlandse sterrenkundige...
55560	59780	Jacobus Kaptein en Jan Oort tot dezelfde conclusie...
60380	64040	al was het toen nog niet op basis van de nauwkeurige gegevens...
64040	67000	die astronomen heden ten dagen tot hun beschikking hebben.
68300	73100	Pas in 1933 kwam de term donkere materie in gebruik...
73100	78240	toen astronoom Frits Zwicky concludeerde dat de sterrenstelsels die hij bestudeerde...
78240	83240	te snel draaiden om verklaard te kunnen worden met alleen de massa van de waargenomen sterren.
83500	83840	Hmm.
84400	88160	Een en ander werd bevestigd in de zestige jaren van de vorige eeuw...
88160	92480	door radioastronomische waarnemingen van astronoom Seth Shostak.
93620	97500	En met meer waarnemingen met preciezere meetinstrumenten...
97500	101600	arriveerde de astronomie bij een van de grotere raadsels van dit moment.
103220	104320	Donkere materie.
104320	105280	Donkere materie.
106920	111360	Behalve de snel draaiende sterrenstelsels die uit elkaar zouden vallen...
111360	115640	als er geen extra massa zou zijn om de sterren naar het centrum te trekken...
115640	119440	is ook waargenomen dat zwaartekracht lenswerking optreedt...
119440	124160	op grotere schaal dan zou worden verwacht met de beschikbare waargenomen massa.
124160	125600	Dat was een lange zin.
125840	128160	Dus de zoektocht is naar een bepaald soort deeltje...
128900	132480	dat niet zichtbaar is in het elektromagnetisch spectrum...
132480	134980	maar wel zwaartekrachtinvloed uitoefent.
135720	139900	Veel waargenomen fenomenen in ons heelal op de grote schaal...
139900	143600	kunnen het best verklaard worden door de aanname van donkere materie.
144340	148320	En wel in een verhouding van ongeveer vijf delen donkere materie...
148320	150440	staat tot één deel gewone materie.
151180	152940	Laat dat even tot u doordringen.
152940	157580	Het meeste in dit heelal is daarmee voor ons onzichtbaar spoel.
160300	163640	Zelfs in de geschiedenis van het heelal komen we niet uit...
163640	166100	met alleen gewone zichtbare materie.
166440	169940	Want we zien dat de gewone materie juist wel beïnvloed wordt...
169940	171940	door elektromagnetische straling...
171940	176000	en daarmee zou er eenvoudigweg niet genoeg tijd zijn verstreken...
176000	178820	om het heelal te laten ontstaan zoals we dat nu kennen.
178820	182740	Want in dit heelal zien we clusters van materie...
182740	185680	die alleen konden ontstaan als grote hoeveelheden materie...
186380	188460	de boel bij elkaar wisten te houden...
188460	191880	en het effect van straling enigszins wegbalanceerden.
192560	195180	Natuurlijk is het wel lastig om iets aan te nemen...
195180	197080	wat we niet direct kunnen waarnemen.
197080	203320	Het klinkt dan een beetje alsof we ons begeven...
203320	206400	op het bedenkelijke vlak van spoken en geesten.
207860	210940	Aan de andere kant zijn er allerlei deeltjes bekend...
210940	213040	die we ook niet de hele tijd waarnemen.
213840	217000	Denk maar eens aan die neutrino's die dwars door ons heen reizen...
217000	220640	en alleen met ingewikkelde ijs- of watermassa's...
220640	222780	af en toe zichtbaar gemaakt kunnen worden...
222780	224240	en ook dan alleen indirect.
225040	227900	Dus het is best mogelijk dat er nog een deeltje bestaat...
227900	231000	dat wij nog niet hebben kunnen aantonen met conventionele methodes...
231780	235940	of wat zich nog niet laat betrappen met onze aardse deeltjesversnellers.
237540	240000	Voordat we het over nieuw wetenschappelijk onderzoek...
240520	243020	met betrekking tot donkere materie zullen hebben...
243020	245500	eerst nog maar even wat vragen beantwoorden...
245500	247200	die u mogelijk zou kunnen hebben.
247780	250520	Daartoe trekken we steeds een denkbeeldige vraag...
250520	252200	uit een denkbeeldige pot...
252200	254520	die hier uiteraard niet voor mijn neus staat.
255380	256800	De eerste vraag.
257340	261460	Uit wat voor deeltjes zou donkere materie kunnen bestaan?
262320	263840	Ja, dat is een goede vraag.
264160	266800	We weten vooral wat donkere materie niet is.
267240	269080	Uit wat inmiddels is waargenomen...
269080	270300	kunnen we concluderen...
