start	end	text
0	3260	U luistert naar Zimmerman & Space.
5320	10200	Van tijd tot tijd raast het onheil onze planeet voorbij...
10200	12680	in de vorm van veel te grote brokken steen.
14340	16260	Zo ook vorige maand.
16880	20680	Misschien heeft u het zelfs wel in uw favoriete nieuwsbron gelezen.
22260	25680	Laten we vandaag iets dieper ingaan op de feiten...
25680	28740	en ons niet te veel laten leiden door sensatie.
28740	32460	Die zucht naar sensatie zit in een klein hoekje.
33120	36900	Kijk maar naar de subkop in het NASA-artikel hierover.
37580	37740	We lezen...
38360	53160	Het eerste sensatiewoord is busy.
53880	55440	Ze hadden het er maar druk mee.
56060	56580	Waarmee?
56580	61560	Met het registreren van hoe onze aarde net aan onheil wist te ontkomen.
65000	67580	En het tweede sensatiewoord is safely.
68560	71400	Of misschien moeten we het een lullabywoord noemen.
71600	76280	Een ga maar weer gerust slapen of voetbal kijken of zoutjes eten woord.
76920	78020	Niets aan de hand.
78360	79440	De show is voorbij.
79920	81580	Er was geen gevaar voor de volksgezondheid.
81580	86580	Het artikel in kwestie is van NASA en heeft als hoofdtitel...
87300	88580	NASA's planetary radar tracks...
89300	91260	Two large asteroid close approaches.
91580	94580	Een link vindt u inderdaad in het bijschrift van deze aflevering.
96180	98580	CNN had het artikel ook met de titel...
98580	103380	New images reveal an asteroid that just whizzed by Earth has an unexpected companion.
103920	106500	Dat is een aardige wending, die companion.
106500	107500	Deze is een aardige wending.
107500	108580	Daar zullen we het ook over hebben.
109240	110960	Maar laten we beginnen met de feiten.
112160	114220	Zoals u ongetwijfeld weet...
114220	117560	zwerven er allerhande rotsblokken door ons zonnestelsel.
118460	122440	Dit zijn overblijfselen uit de begindagen van ons zonnestelsel...
122440	126500	of resten van kometen of stukken steen die bij botsingen zijn losgevrikt...
127240	130560	en vervolgens een eigen baan rond de zon zijn gaan beschrijven.
130560	136580	Die baan door ons zonnestelsel is gelijk de grootste reden tot zorgen...
136580	141180	want niet alles draait in een duidelijke cirkel of ellips in haar eigen baan.
141940	145940	In theorie kan zo'n stuk steen onze baan rond de zon kruisen...
145940	147860	en zelfs op aarde terechtkomen.
149480	153840	Hoe groot de schade dan is, is een functie van de grootte van zo'n rotsblok...
153840	157920	en ook de snelheid en hoek waarmee zo'n steen onze aarde dan zou raken.
157920	163420	En dan is natuurlijk ook de plek waar de aarde eventueel zou worden getroffen van belang...
163420	165920	want een steen in de Atlantische Oceaan...
166840	170920	inderdaad, is hooguit vervelend voor wat vissen, vogels en plankton...
171540	176400	maar minder desastreus dan wanneer deze midden in Berlijn of Parijs neer zou komen.
177360	181580	Om in de gaten te houden hoe onze kaarten voor wat betreft de toekomst liggen...
181580	188580	heeft NASA in 2016 het Planetary Defense Coordination Office of PDCO in het leven geroepen.
189240	194580	Van de hand van dit PDCO verscheen in 2023 een rapport met de titel...
194580	197760	NASA Planetary Defense Strategy and Action Plan.
198080	202580	U kunt het gratis downloaden en als luchtige vakantielectuur meenemen...
202580	205140	op uw iPad of Kindle of wat u heeft.
205140	211640	Hierin lezen we dat NASA onderscheid maakt tussen Near Earth Objects of NEO's...
211640	213700	en potentieel gevaarlijke objecten.
214800	220460	De NEO's zijn stenen of objecten die een dusdanige baan rond de zon draaien...
220460	224780	dat ze tussen de zon en 1,3 keer onze afstand tot de zon komen.
225640	229120	Dat maakt dergelijke hemellichamen nog niet gelijk gevaarlijk.
229280	230240	Oh, gelukkig!
230240	233000	De potentieel gevaarlijke objecten...
233000	236840	A. hebben een doorsnede van 140 meter of meer...
236840	242800	en B. komen op een afstand van 7,5 miljoen kilometer of minder van onze aarde terecht.
243780	248740	NASA zegt dat er ongeveer 1000 NEO's van meer dan een kilometer doorsnede bestaan...
249480	252740	en dat zo'n 95% ervan in kaart is gebracht.
253240	258740	Er bestaan rond de 25.000 objecten van meer dan 140 meter doorsnede...
258740	262120	en minder dan de helft van deze objecten is bekend.
262280	263300	Oh, dat is niet best.
263660	269060	Zo'n rotsblok van 140 meter kan een krater tussen de 1 en 2 kilometer slaan...
269060	272340	en grote gevolgen hebben voor mensen en dieren die daar wonen.
273300	276380	Rotsblokken van een kilometer doorsnede of meer...
276380	279720	zouden kunnen leiden tot het einde van de menselijke civilisatie.
279920	282120	Dat hoeft nou ook weer niet.
282680	286340	NASA denkt dat daar ongeveer 900 van bestaan in ons zonnestelsel...
286340	289560	en 95% ervan is in kaart gebracht.
289780	290780	Oh, dat is niet best.
290960	294660	De ellende zit er maar in dat dit maar getallen en schattingen zijn.
295240	298340	Er zal maar net een steen aan de aandacht zijn ontsnapt...
298340	303120	of met een extreem elliptische baan en een rotvaart richting onze planeet bewegen.
303780	304460	Wat dan?
305500	308800	Ja, daar hebben we het wel eens eerder over gehad in deze podcast.
309040	310080	Weet je dat wel zeker?
310500	313620	Het zegt ons misschien vooral dat we nu, vandaag...
313620	315640	uit het leven moeten halen wat erin zit.
317440	318600	Dank u, dank u.
319060	324260	Dat gezegd hebben, keren we weer terug naar het nieuws van vorige maand, juni 2024.
325320	330280	Het betreft twee asteroïden die allebei redelijk dicht bij onze aarde langskwamen.
330960	333620	De eerste kwam op 27 juni 2024...
334460	338400	op een afstand van 6,6 miljoen kilometer langs de aarde.
338400	343840	Deze asteroïde heeft de naam 2011 UL21...
343840	349380	en was inderdaad al in 2011 ontdekt door middel van de Catalina Sky Survey.
350860	355500	2011 UL21 is zo'n anderhalve kilometer in doorsnede.
355820	361140	Maar 6,6 miljoen kilometer afstand is veilig ver weg van onze aardse beslommeringen.
361140	371620	Wel was dit de eerste keer sinds de ontdekking dat 2011 UL21 zo dichtbij kwam.
372600	377740	Reden genoeg voor NASA om de enorme radarantenne van Goldstone op het object te richten...
377740	380620	en wat meer details te verkrijgen over deze bezoeker.
381440	382340	En wat bleek?
382460	383280	Nou, Hens?
383420	388340	Rond 2011 UL21 cirkelt ook nog een kleine maan.
388460	389200	Nou ja, zeg.
389200	392640	Deze vergezelt 2011 UL21...
392640	396740	en draait op een afstand van zo'n 3 kilometer rondjes om de asteroïde.
398420	402200	Die Goldstone radar is een 70 meter brede radioantenne...
402860	406040	die ook wel bekend staat als Deep Space Station 14.
407080	410140	Bij radarsignalen is het zaak een frequentie te kiezen...
410140	412680	die de details oplevert die gewenst zijn.
412680	413720	Oh shit, Sherlock.
