start	end	text
620	4120	U luistert naar Zimmerman & Space.
4860	11240	Zoals beloofd zouden we het nog hebben over het binnenkort te lanceren Europa Clipper ruimtevaartuig.
11940	17720	In deze aflevering wou ik het hebben over wat technische en inhoudelijke details van deze missie.
17960	27620	En ook stilstaan bij de waarschijnlijkheid of onwaarschijnlijkheid dat we door Europa Clipper te weten komen dat zich leven bevindt op Jupitermaan Europa.
27620	30200	Ja, want daar draait het allemaal om.
31420	35760	De ijzige maan Europa die rond planeet Jupiter cirkelt.
36660	44140	Jupitermaan Europa kennen we al sinds de ontdekking in 1610 door Galileo Galilei en Simon Marius.
44940	51280	Als we zo eens naar onze eigen maan kijken, dan is dat wel de laatste plaats waar we naar leven zouden gaan zoeken.
51280	61760	Maar voor een paar manen in ons zonnestalsel geldt dat de omstandigheden daar in ieder geval in theorie gunstig genoeg zijn voor het herbergen van primitief leven.
62700	67300	Dat zijn dan met name de Saturnusmaan Enceladus en de Jupitermaan Europa.
68180	75500	In eerste instantie lijken deze plaatsen veel te koud en inderdaad zien we op beide manen vooral ijs op het oppervlak.
75500	79220	Dat ligt aan de grote afstand tot de zon.
80060	87600	Met de tijd zijn we er echter achter gekomen dat leven, ook op aarde, ook onder extreme omstandigheden kan gedijen.
88680	94880	Zou Europa alleen maar een grote klont van gruis en ijs zijn, dan was de kans op leven niet zo groot.
94880	101240	Maar we vermoeden nu dat onder het ijsoppervlak van Europa een enorme oceaan schuil gaat.
102040	104400	Dat alleen is voor leven niet genoeg.
105240	109700	Wel zien we op aarde dat waar water aanwezig is ook leven graag vertoeft.
110560	113480	Om te kunnen leven is er ook een energiebron nodig.
114320	118380	De grote energiebron op Jupitermaan Europa is de getijdenwerking.
118380	126440	Het getrek van de planeet Jupiter aan Europa is er waarschijnlijk de reden van dat er een vloeibaar oceaan onder het ijs bestaat.
127820	134320	Diezelfde getijdenenergie die het water iets opvormt, kan ook door levende wezens gebruikt worden als energiebron...
134320	138320	voor het later verlopen van de processen die we gezamenlijk als leven herkennen.
139340	144880	We zullen aan het einde van deze aflevering nog even stilstaan bij de kans op dergelijk leven.
144880	149580	Het idee om Europa te gaan verkennen is niet nieuw.
150220	157960	Al in 1997 werd binnen NASA gesuggereerd een speciaal om Europa cirkelend ruimtevaartuig te ontwikkelen.
158600	163720	Die speciale interesse in deze maan hebben we te danken aan eerdere missies die Europa bezochten.
164540	169400	De eerste missie was Pajoneer 10 die in 1973 langs Europa reisde.
170240	173620	De foto's van Pajoneer 10 waren echter nog vrij onscherp.
173620	184780	Pas in 1979, toen de Voyager 1 en 2 sondes Jupiter bezochten, kwamen er gedetailleerdere foto's van Europa tot beschikking van de wetenschappelijke wereld.
185180	195180	Het kleine plaatje bij deze aflevering is een foto van Europa die op 9 juli 1979 werd gemaakt door het Voyager 2 ruimtevaartuig.
195760	199740	In de Voyager foto's viel op hoe glad het oppervlak van Europa is.
199740	210140	We zien nauwelijks inslagkraters, geen bergen en wel streepachtige structuren, waarschijnlijk breuken of oude breuken in het ijs.
210800	217500	Dit gebrek aan relief is consistent met een relatief warm interieur met een ijslaag daarboven.
218320	225680	Vanaf 1995 cirkelde het Galileo-ruimtevaartuig rond Jupiter, waarbij ook Europa regelmatig onderzocht werd.
225680	230440	Bij die Galileo-missie werd ook een zonde losgelaten richting Jupiter.
231960	234860	Aan de Galileo-missie hebben we veel te danken.
235460	243540	Zo weten we sindsdien dat Jupiter over stralingsgordels beschikt die vele malen sterker zijn dan de aardse Van Allen stralingsgordels.
244560	248100	Die straling werd het Galileo-ruimtevaartuig bijna fataal.
248100	253880	Toch hebben we de beste metingen tot nu toe te danken aan het Galileo-ruimtevaartuig.
254680	264820	In combinatie met waarnemingen met de Hubble-ruimte-telescoop werd in 1995 met het Galileo-ruimtevaartuig bevestigd dat Europa een dunne atmosfeer heeft,
265080	268540	waarin onder andere waterdamp en zuurstof voorkomen.
268540	278240	Op basis van meetgegevens van de Galileo-missie werd deze eeuw ook vastgesteld dat er kleiachtige mineralen bestaan op het oppervlak van Europa.
279040	284660	Uit de foto's van het oppervlak van Europa, die met de instrumenten aan boord van Galileo werden gemaakt,
284900	290800	concluderen wetenschappers dat het ijsoppervlak onafhankelijk van het binnenste van Europa beweegt.
291480	297220	Dit is een sterke aanwijzing dat zich daadwerkelijk een vloeibare oceaan onder het ijs bevindt.
297220	303640	In 2007 wist het New Horizons-ruimtevaartuig ook nog Europa te fotograferen.
