start	end	text
160	1860	Hoef, ik vind het spannend. Ja, ready.
2400	5700	U luistert naar Zimmerman & Space.
6280	8140	Hé, waar gaan we het vandaag eens over hebben, Hens?
8480	13220	Nou, in deze aflevering wou ik het met u hebben over twee onderwerpen...
13220	15240	die heel vloeiend in elkaar overlopen.
16440	20000	Onderwerp 1 is de inmiddels bejaarde Voyager 1 ruimtesonde...
20760	25120	en onderwerp 2 is het nog te lanceren Europa Clipper ruimtevaartuig.
25680	28060	Maar laten we beginnen met de Voyager 1.
28280	28580	Oké.
28580	32840	We hebben het al wel eens eerder over die Voyager ruimtevaartuigen gehad.
33740	37600	Na vijf maanden van stilte is het NASA vorige week gelukt...
37600	40260	om weer gegevens te ontvangen van Voyager 1.
40400	40680	Jee!
40980	45260	Dit is redelijk indrukwekkend, dus ik wou even stilstaan bij wat er mis was...
45260	48160	en wat NASA heeft gedaan om het contact te herstellen.
48860	53720	Maar eerst even een heel beknopte samenvatting van wat en waar Voyager 1 is.
53980	58060	Dit ruimteschip werd gelanceerd op 5 september 1977.
58580	68420	10, 9, 8, 7, 6, 5, 4, 3, 2, 1.
68420	71980	MDS, we hebben een lift-off.
74460	76420	Het programma is in op tijd.
76600	77940	De voetstof is normaal.
79380	80920	TVC-bots, het ziet er goed.
81020	81940	Deze vraag is goed.
83020	86040	MDS, dit programma is in op tijd.
86460	87860	De voetstof is normaal.
87860	97620	Het ruimtevaartuig bezocht planeet Jupiter op 5 maart 1979 en Saturnus op 12 november 1980.
98480	103920	Na een indrukwekkende missie, waarbij bijvoorbeeld ook de Saturnusmaan Titan werd bezocht...
103920	108900	bleef Voyager 1 werken en scheerde van ons weg de interstellaire ruimte in.
109860	114980	Inmiddels is het ruimtevaartuig ruim 46 jaar onderweg en functioneert nog altijd.
115120	116620	Dat kan je je toch niet voorstellen?
116860	122060	De stroombron van Voyager 1 is niet meer op het niveau van 46 jaar geleden...
122060	126840	maar nog krachtig genoeg om wetenschappelijke gegevens te verzamelen en naar de aarde te zenden.
126840	133600	Specifiek wordt de stroom geleverd door drie radioisotoop thermoelektrische generatoren.
134460	140480	Elke generator werkt op basis van radioactief verval van plutonium-238 oxide.
141600	148320	Daarbij wordt warmte omgezet in stroom door middel van een thermoelektrische koppeling van silicon-germanium.
148980	150020	Tuurlijk, Hens.
150020	157220	Om stroom te besparen en het maximale uit de Voyager 1 te halen is een aantal subsystemen uitgeschakeld.
158200	160060	De camera's zijn bijvoorbeeld uit.
160920	164680	De kans is bijzonder klein dat deze weer ingeschakeld kunnen worden...
164680	168580	en bovendien, zelfs al zou dat lukken, dan is het weinig interessant.
168920	172680	We zouden misschien wat sterren zien, maar dat lukt vanaf de aarde ook wel.
172680	182660	Waar Voyager 1 zich nu bevindt, op een respectabele afstand van ruim 24 miljard kilometer van de aarde, is het vooral heel donker.
183500	187640	Dat is trouwens ongeveer 163 keer de afstand van de aarde tot de zon.
188260	188780	Zoveel?
189000	197060	Zo verschrikkelijk ver van ons vandaan doet elektromagnetische straling er ruim 22 uur over om de afstand één keer af te leggen.
197260	197620	Nee!
197620	202620	Dat betekent dat een commando vanaf de aarde pas na 22 uur aankomt bij Voyager 1...
203240	208620	en we vervolgens nog eens 22 uur moeten wachten op een bevestiging.
212960	219280	Voyager 1 reist momenteel met een snelheid van 17 kilometer per seconde ten opzichte van de zon.
220220	222620	In plaats van op te noemen wat er allemaal is uitgeschakeld...
222620	227680	kunnen we misschien beter noemen wat nog wel functioneert aan boord van Voyager 1.
228280	233040	Het CRS of Cosmic Ray Subsystem meet nog steeds kosmische straling.
233400	240500	Het LACP of Low Energy Charged Particles Instrument staat nog aan om geladen deeltjes te detecteren.
240960	244460	De magnetometer of Mach meet magnetische straling.
244460	249460	En het Plasma Wave Subsystem of BWS meet nog immer plasmagolven.
250120	251120	Ah...
251120	255460	Dat zegt ons mogelijk nog niks, dus we kunnen het ook omschrijven als een meetinstrument...
255460	260640	om de dichtheid van los rondvliegende elektronen op elk moment in de tijd te meten.
260740	262900	Oh, ik denk dat ik het nu begin te snappen.
263440	266520	Verder werken de computers aan boord van Voyager ook nog...
