start	end	text
1000	3780	Hoe klinken de volgende zinnen?
4500	6520	Boos of vriendelijk?
6880	11880	Ja, hoe staat het eigenlijk met die peperdure James Webb ruimtetelescoop?
12080	16100	Dat apparaat werd dan eindelijk gelanceerd in 2021.
16700	19480	Maar er is nog steeds geen leven ontdekt ofzo.
19960	21780	En die mooie plaatjes zijn heel leuk.
22560	27020	Maar wat zijn die meer dan dat wat we van de Hubble-telescoop al kennen,
27180	28520	maar dan met wat meer sterren?
28520	31520	Dat vraag ik me ook wel eens af.
32200	38200	En daarom vandaag een U bevindt zich hier overzicht van het onderzoek naar leven op andere planeten
38200	41080	met behulp van die James Webb ruimtetelescoop.
41680	46500	Als kapstok voor dit verhaal nemen we de eerste bevestiging van een exoplaneet
46500	50740	met de James Webb ruimtetelescoop zoals die vorige maand in het nieuws kwam.
51320	55360	Deze exoplaneet heet LHS 475b.
55360	62820	Dat dit de eerste bevestigde exoplaneet met behulp van de James Webb ruimtetelescoop is, is significant.
63420	68120	Want met behulp van het TESS ruimtevaartuig was al het vermoeden ontstaan
68120	72560	dat er een exoplaneet rond de ster LHS 475 draaide,
72800	77780	maar met de James Webb ruimtetelescoop was het betrekkelijk eenvoudig om dit vermoeden te bevestigen.
77780	82500	Extra bijzonder is dat het hier een redelijk kleine exoplaneet betreft.
83240	87520	Van de ruim 5000 bevestigde exoplaneten die inmiddels ontdekt zijn,
88100	90780	is maar een handje vergelijkbaar met onze aarde.
91340	97800	Dat is natuurlijk ook het geval omdat het eenvoudiger is om grotere exoplaneten te detecteren dan kleinere.
97920	99400	Ja, dat is logisch.
99400	105380	Voor ons buitenstaanders is het misschien de vraag waarom er überhaupt naar een bepaalde ster wordt gekeken.
106040	108300	Er zijn er immers zo verschrikkelijk veel.
109620	116060	Hoe bepaal je dan waar de kostbare waarneemtijd van de James Webb ruimtetelescoop aan besteed mag worden?
117000	120080	En die vraag staat eigenlijk centraal in deze aflevering.
120080	124560	Het begint al met die ster LHS 475.
125360	129640	Dat klinkt als een saai rangnummer uit een of andere catalogus.
132060	136360	En dat klopt, ten dele. Het is alleen niet zo saai.
137100	139960	LHS staat voor Luiten Half Second.
140760	146800	Dit is inderdaad een catalogus en wel van de astronoom Willem Jacob Luiten uit 1979.
146800	154400	Dit was al de opvolger van de eerdere Luiten Five Tense catalogus van diezelfde Willem Jacob Luiten.
155160	161420	Wat hij vastlegde in zijn catalogus, hier was een lijst van sterren die een grote eigen beweging aan de hemel hebben.
161560	163040	Mag het in het Nederlands?
163160	170440	Als we van dag tot dag naar de sterrenhemel kijken, zien we dat sommige sterren sterker van plaats veranderen dan andere sterren.
170440	176920	Een deel van die bewegingen ten opzichte van de achtergrondsterren valt te wijd aan onze beweging rond de zon.
178080	183560	Eigen beweging of proper motion van sterren is gecorrigeerd voor dat gegeven.
183860	188740	En dan kijken we dus naar de daadwerkelijke snelheid waarmee sterren over de hemelbol migreren.
189480	191440	Dit zijn natuurlijk maar heel kleine bewegingen.
192480	196440	Maar toch kunnen we dan kijken welke sterren er relatief snel van plaats veranderen.
196440	201840	Het is dus inderdaad zo dat de sterrenhemel nooit exact hetzelfde is.
202200	205320	Dat ligt deels aan die eigen beweging van sterren.
205980	213500	Het feit dat onze polster langzaam dichter naar de hemelpool beweegt, en zo rond het jaar 2100 daar weer vanaf beweegt,
213920	217860	heeft te maken met het rammelen van onze aardas, wat we precessie noemen.
218440	221760	Dat is een heel ander proces dan eigen beweging van de sterren.
221860	223780	Oh, ik denk dat ik het nu begin te snappen.
223780	232500	In Luitens half second catalogus vinden we de sterren die een eigen beweging van meer dan een halve boogseconde per jaar laten zien.
233280	236500	Een boogseconde is 1 zestigste van een boogminuut.
237020	239600	En een boogminuut is 1 zestigste van een graad.
240300	244280	De maan en de zon zijn ongeveer een halve graad breed aan onze hemel.
244960	251880	Een grote halve cirkel van de ene kant van de horizon voor u naar de horizon achter u omvat 180 graden.
251880	254740	Dan heeft u een beetje een beeld van wat dat betekent.
255440	262160	In de oorspronkelijke catalogus van Luit uit 1979 vinden we ongeveer 4000 sterren.
263000	271260	In 2002 verscheen een revisie van deze catalogus die, u raadt het al, revised Luitens half second catalogus heet.
271940	278300	Hierin vinden we 6433 sterren met een eigen beweging van een halve boogseconde of meer.
278300	287540	Op positie 475 vinden we hier een met het blote oog niet zichtbaar sterretje aan het zuidelijk halfrond in het sterrenbeeld Octans.
288240	292300	In het Nederlands of Belgisch zouden we dat ook het sterrenbeeld Octant kunnen noemen.
292840	297300	Een Octant is grappig genoeg ook gerelateerd aan afstanden aan de hemelbol.
297300	304760	Zevaarders konden tijdens hun reizen over de zeeën navigeren op basis van de stand van de sterren aan de hemelbol.
305800	310060	Een Octant was dan een hulpmiddel om dergelijke stand nauwkeurig te bepalen.
310580	311720	Maar goed, ik dwaal af.
312500	317060	Sterren met een grote eigen beweging zijn doorgaans sterren die dicht bij ons staan.
317860	321000	Dat is misschien vergelijkbaar met uit het autoraam kijken.
321000	324800	Een roofvogel vlak naast de weg zoeft voorbij.
325460	328240	Koeien in de wijf verderop trekken langzaam aan u voorbij.
328420	332460	En die auto's aan de horizon lijken haast wel stil te staan ten opzichte van u.
333580	341060	Ook de ster LHS 475 staat relatief dicht bij ons op een afstand van slechts 40,7 lichtjaar.
341060	347740	De grote eigen beweging was eerder al reden om met de TESS ruimtetelescoop naar deze ster te kijken.
348500	354320	En zo krijgt deze ster de minstens even spannende naam TOI 910.01.
354900	358520	Waarbij TOI staat voor TESS Object of Interest.
359340	364240	In de TESS waarnemingen kon wel iets wat op een exoplaneet Transit Lake worden gezien.
364240	368240	Maar het was op basis van die waarnemingen nog geen bevestigde exoplaneet.
368900	369840	Hey, wat is dit?
369840	378380	Pas toen astronomen Kevin Stevenson en Jacob Lustig-Jager besloten de James Webb ruimtetelescoop naar deze ster te laten kijken,
378640	381340	dook de exoplaneet al snel op in de data.
382360	388240	Op 10 januari van dit jaar publiceerden Stevenson en Lustig-Jager, samen met collega's,
388240	390560	een artikel hierover met de titel
390560	396800	A JWST Transmission Spectrum of a Nearby Earth-Sized Exoplanet.
396800	404460	Deze exoplaneet heet nu LHS-475b en heeft praktisch dezelfde afmeting als onze aarde.
404660	405480	Dat is incredible.
405480	412800	De waarneming werd trouwens al gedaan op 31 augustus 2022 en 4 september 2022.
413740	423720	Maar zoals het wetenschap betaamt, moest eerst met een aan zekerheid grenzende onzekerheid worden vastgesteld dat wat werd waargenomen daadwerkelijk een exoplaneet betreft.
423720	431220	Een valse positieve waarneming kan zowel aan de instrumenten als aan de astrofysische omstandigheden liggen.
431220	433080	Maar er was duidelijk geen sprake van.
433880	443160	Wat meehoudt is dat planeet LHS-475b in een kleine 40 uur één keer om haar ster LHS-475 draait.
443660	452440	Met het neerspekinstrument van de James Webb ruimtetelescoop werd twee keer gezien hoe de exoplaneet het sterrenlicht periodiek doet dimmen.
452440	462300	We noemen deze detectietechniek de transitmethode, omdat een exoplaneet vanuit ons gezien een transit langs de ster maakt en zo wat licht wegneemt.
462760	468020	Ik zet een link naar het NASA-artikel over deze ontdekking in de show notes van deze aflevering.
468640	472840	Voor de aardigheid is het wel interessant te zien hoe zo'n lichtcurve eruit ziet.
473360	479020	De dip in helderheid laat eigenlijk geen twijfel bestaan over het feit dat hier iets voor de ster schuift.
479020	484800	De waarnemingen werden verder verwerkt met Python-programma's zoals de Eureka Pipeline.
485340	492760	Als u dit razend interessant vindt, de broncode staat gewoon in GitHub en u kunt dus zelf kijken hoe een en ander precies werkt.
493220	495140	Ik zet wel een link in de show notes.
496140	502600	Maar moet ons hart nu sneller gaan kloppen omdat we een exoplaneet in beeld hebben die ongeveer zo groot is als onze aarde?
502600	512900	Dat is natuurlijk geheel aan u, maar dit nieuws is meer een proof of concept voor de James Webb Space Telescoop dan een mogelijke detectie van leven.
514260	525340	Want onze exoplaneet LHS-475b draait dichter bij de ster LHS-475 dan wat we in de zogenaamde habitable zone noemen.
525340	536140	Daarmee is nog niet gezegd dat leven onmogelijk is op deze exoplaneet, maar we moeten ergens grenzen trekken in onze zoektocht en deze exoplaneet ligt dus buiten de grens.
537020	539340	Wat betekent die habitable zone eigenlijk?
539680	540660	Heb je een vertaling?
540660	551200	Letterlijk vertaald is het de leefbare zone en daarmee bedoelen astronomen de afstand tot de ster van planeten waar vloeibaar water op het oppervlak van een planeet kan bestaan.
552240	565960	Daarmee wordt dan niet gezegd dat er leven of zelfs water op voorkomt, maar we achten de kans op leven groter op planeten waar water kan stromen dan op verschroeide rotsblokken dicht bij een ster of ijzige gasreuzen ver verwijderd van een ster.
565960	572660	Deze aanname is gebaseerd op het leven op aarde, waarbij we veelal een grote behoefte aan water zien.
573400	579620	Vissen, insecten, mensen, capybaras en eencelligen, allemaal zijn we verzot op water.
580540	587580	En LHS-475b bevindt zich dus helaas niet in die leefbare zone, maar dichterbij de ster.
588700	594580	Nu is LHS-475 een rode dwergster en dus een stuk koeler dan onze zon.
594580	599360	En LHS-475b is tidally locked.
599780	604420	Dat betekent dat altijd dezelfde zijde van de exoplaneet naar de ster is gericht.
605420	611060	Die permanente dagzijde bereikt daarmee een temperatuur van zo'n 475 graden Celsius.
611060	612940	Het is niet gemakkelijk hot, dat is alles.
612940	620980	Omdat het maar een rode dwergster is, is het niet uitgesloten dat er een atmosfeer bestaat rond LHS-475b.
621760	632560	In het artikel van Lustig, Jäger en collega's over de ontdekking lezen we dat er in het spectrum van de transit vooral bepaalde samenstellingen van atmosferen kunnen worden uitgesloten.
632560	641640	De waarnemingen met de James Webb ruimtetelescoop laten zien dat deze exoplaneet geen atmosfeer van puur methaan of waterstof kan hebben.
641760	642840	Ja, het klinkt niet lekker.
642840	650540	De auteurs hebben meer waarnemingen nodig om te bepalen of het hier een exoplaneet betreft met een eile marsachtige atmosfeer,
650700	657740	een dikke wolkendek zoals bij Venus, of juist helemaal geen atmosfeer zoals bijvoorbeeld bij Mercurius.
658780	668020	Maar het mooie aan de huidige stand van de wetenschap is dat we nu een instrument tot onze beschikking hebben waarmee überhaupt dit soort waarnemingen gedaan kunnen worden.
