start	end	text
0	3600	U luistert naar Zimmerman & Space.
4400	7000	Als we wat rondneuzen in ons eigen zonnestelsel...
7780	10540	zien we dat veel van onze planeten manen hebben.
11120	14640	Pluto, die dwergenplaneet, heeft vijf bekende manen.
15180	18860	Neptunus heeft er zestien, waarvan Triton de grootste is.
19440	22680	Bij Uranus kennen we op dit moment 28 manen.
23300	26380	Saturnus heeft 146 bekende manen.
26700	27460	Zoveel?
27460	28900	Jupiter, 95.
28900	32280	Mars heeft er maar twee, Vogels en Dijmels...
32280	34280	en onze aarde heeft maar één maan.
35180	38900	Maar u hoort de aarzeling waarschijnlijk wel al in mijn stem.
39680	42200	Dit zijn alleen de manen die we op dit moment kennen.
43060	47560	Dat we er geen hebben waargenomen bij de binnenplaneten Mercurius en Venus...
47560	50640	wil natuurlijk niet per se zeggen dat deze niet bestaan.
51660	54720	Wetenschap is een continu proces van aanpassingen...
54720	57040	wanneer nieuwe inzichten verkregen worden...
57040	59700	waardoor de informatie steeds nauwkeuriger wordt.
60820	65420	Ooit in die tijd dat conducteur nog een grotendeels veilig beroep was...
65420	68220	kreeg ik van Sinterklaas een boekje met de titel...
68220	70420	Elseviers, gids van sterren en planeten.
70420	74720	Hierin zie ik bij de beknopte overzichtjes van de planeten...
74720	78580	mijn correcties geklad over de aantallen manen bij de planeten.
78960	79520	Interessant.
79720	82800	Zo staat er bij Saturnus gedrukt 10 manen...
82800	84800	wat mijn driftige pen heeft doorgestreept...
84800	87420	waardoor er nu 12 manen staat.
88180	91700	Dit is even voor perspectief nog geen halve eeuw geleden.
92780	98080	Zelfs bij onze planeet Aarde is die ene maan niet het laatste wat we daarover kunnen zeggen.
98520	100920	Om iets een maan te kunnen noemen...
100920	105180	moet het een natuurlijk object zijn dat ingevangen is in de zwaartekracht van een planeet...
105840	107420	zodat het daaromheen cirkelt.
107420	110520	Maar dat kan ook tijdelijk zijn.
111400	116560	En er is natuurlijk ook een grens aan wat we nog kunnen waarnemen met onze huidige instrumenten.
116660	119420	Dat roept mogelijk de vraag op...
120040	124720	kan een stofdeeltje ter grootte van een broodkruimel om de aarde cirkelen...
124720	126320	en moeten we het dan een maan noemen?
127080	128660	In theorie kan dat zeker.
129180	133520	Er is geen magische grootte voor objecten om elkaar heen te kunnen cirkelen.
133520	138400	Een omwenteling ontstaat als de zwaartekracht van planeet Aarde...
138400	143120	exact in balans is met het impulsmoment van het maanachtige object...
