start	end	text
0	2700	Nu laten we een super scientific test maken.
30000	49740	De SKA zal hopelijk in 2027 volledig in gebruik kunnen worden genomen.
49740	55720	En de antennes van de SKA zullen behalve in Zuid-Afrika ook in Australië komen te staan.
56500	59260	En waarom precies daar kunnen we ons afvragen?
59260	60520	Inderdaad, hoe kan dat?
60680	66280	Ten eerste is het zicht op onze Melkweg beter op het zuidelijk halfrond dan boven onze Evenaar.
66560	72460	En ten tweede is het eenvoudiger om radio's stille locaties te vinden ten zuiden van de Evenaar.
73420	78140	Voor nog meer radio's stilte zullen we dan moeten uitwerken naar onze buurvrouw La Luna.
78140	81900	En een radiotelescoop moeten bouwen op de achterzijde van de maan.
84560	88640	Maar goed, daar hebben we het een paar afleveringen geleden al over gehad.
88640	90140	Ik wil hier eigenlijk helemaal niet naar luisteren man.
90180	91580	Dit is gewoon onzin wat je nu aan het zeggen bent.
91780	98980	Het mag duidelijk zijn dat astronomen ambities koesteren om onze Melkweg beter te leren kennen in het radiospectrum.
99300	107360	En dan met name het centrum van onze Melkweg, waar we ook al speciale aandacht aan hebben besteed in een eerdere aflevering van deze podcast.
107360	118680	Met wat nu al in gebruik is van de Meerkat radiotelescoop, werd onlangs een foto gemaakt van dat centrum van onze Melkweg met meer detail dan ooit tevoren.
119900	127260	En op deze foto is iets te zien wat een nieuw licht doet schijnen op een fenomeen dat we al sinds 1984 kennen.
127260	132780	In dat jaar publiceerde astronoom Farad Youssef Zadeh een artikel met de titel
132780	136420	Large, highly organized radio structures near the galactic center.
136420	147500	Met de Very Large Array radiotelescoop werd in die tijd gekeken naar het centrum van onze Melkweg op een radiogolflengte van 20 centimeter, oftewel 1.5 gigahertz.
148080	151900	Als u ook de frequentie naar de golflengte heen en weer wilt kunnen rekenen...
151900	153200	Pak de rekenmachine er maar bij.
153200	155940	De relatie is f keer lambda is c.
156280	156800	Tuurlijk!
156920	161640	En daarbij is c de lichtsnelheid, f de frequentie en lambda de golflengte.
161640	170120	Voor een golflengte van 20 centimeter kunnen we de frequentie uitrekenen door de lichtsnelheid, c, te delen door die golflengte, lambda.
171400	181140	Dus dat is in dit geval 299.792.458 meter per seconde gedeeld door 0.2 meter.
181140	186420	Interessant is om te zien hoe de eenheden in zo'n geval ook precies gaan kloppen.
186420	194180	Want als we meters per seconde delen door meters, kunnen we die meters tegen elkaar wegstrepen en houden we een getal per seconde over.
194740	196840	En dat is precies wat een frequentie is.
196980	201260	Maar in plaats van per seconde zeggen we dan hertz, maar dat komt op hetzelfde neer.
201260	210480	Alleen omdat ons antwoord uit zoveel getallen voor de comma bestaat, delen we het door een miljard om onze uitkomst in gigahertz uit te kunnen drukken.
211040	215220	Maar even weer terug naar de meerkatfoto's van het centrum van onze melkweg.
215340	216720	Ik begon al in slaap te vallen.
216720	224340	Op de foto's werden filamenten, zeg maar slierten, zichtbaar die loodrecht staan op het platte vlak van onze melkweg.
225380	232160	Youssef Zadet en collega's bleven na die ontdekking in 1984 de individuele filamenten onderzoeken.
