start	end	text
0	4400	U luistert naar Zimmerman & Space.
30000	59980	U luistert naar Zimmerman & Space.
60000	61900	Zodat de foto niet bewogen wordt.
62340	65400	Even inademen en dan afdrukken.
66300	68060	Een hobby is het alleen nooit geworden.
70880	75340	En op de meeste dagen heb ik precies nul foto's op mijn telefoon.
75440	76600	What the f***?
76780	82540	Wat mij betreft is fotograferen anno 2024 zowel leuker als stommer geworden.
82740	82940	Oh?
83480	86480	Het is leuker omdat ik de camera altijd bij me heb.
86480	91540	Het weinig tot niks kost en het uit kan om een hele massa foto's te maken.
92360	95760	Al dan niet in burst mode of met live foto's.
95960	99500	Zodat achteraf een selectie kan worden gemaakt van de beste foto's.
100520	103820	Maar het stomme eraan is dat zo'n beetje iedereen die ik ken...
103820	107040	met een onmogelijk digitaal archief opgeschreept zit.
107660	109820	Veelal bewaard op diverse mobiele telefoons...
110600	112840	waarvan al dan niet de laders ontbreken.
113640	118720	Hele vakantieverslagen vergaan op deze manier door vanbeleid van consumenten.
119600	121820	Totale verslagenheid wanneer een familielid...
121820	124400	geen hijf formaat foto kan lezen.
126720	131740	En waar we vroeger nog fotoalbums maakten om te laten zien aan vrienden en familie...
131740	135520	is het nu omgeslagen naar mensen de telefoon in het gezicht duwen...
135520	137960	naastig zoeken naar die foto die we bedoelden...
137960	142640	en allemaal flut excuses waarom we 300 foto's van een paardenbloem hebben gemaakt...
142640	144280	die doorgeswiped moeten worden.
145000	149040	Dit alles terwijl ons slachtoffer vooral de reflectie van de omgeving ziet...
149040	152560	in het veel te kleine, gebarste scherm van onze laatste iPhone.
155780	159340	Ik ben in het bezit van een computergestuurde telescoop...
159340	163000	en heb ook meerdere malen geprobeerd foto's met de telescoop te nemen.
163560	167400	Maar mijn 5-inch-telescoop is daar net wat te klein voor...
167400	169260	dus heb ik de camera maar weer verkocht.
169900	171560	Het is wel een interessante klus.
172220	174820	Eerst maakt men al dan niet met kleurenfilters...
174820	176920	een heleboel foto's door de telescoop.
176920	182120	Die telescoop probeert het object met volgmotoren midden in beeld te houden.
182780	184880	Aan de ene kant loont lang belichten...
184880	189080	omdat de camera-chip dan de kans krijgt zoveel mogelijke fotonen te verzamelen.
189420	192820	Maar hoe langer de belichting, hoe groter de kans op een bewogen foto.
193120	194620	Ja, dat is logisch.
194800	197920	Daarom maakt men, terwijl normale mensen liggen te slapen...
197920	199540	een heleboel losse foto's.
200120	202740	Die kunnen dan door software weer gecombineerd worden.
203220	205940	Eerst worden de mislukte foto's verwijderd.
205940	211340	De rest wordt dan door de software, zoals dat heet, gestekt, gestapeld.
211840	215640	En zo ontstaat dan uiteindelijk hopelijk een scherp plaatje...
215640	218520	dat meer detail laat zien dan één afzonderlijke foto.
219540	222300	Wie dit zelf wil gaan doen, zou eens raad kunnen vragen...
222300	225020	bij een winkel als Ganymedes in Amstelveen...
225020	226720	of Roptix in Leidsendam.
226720	230120	Maar, en dat is het onderwerp van vandaag...
230120	233760	hoe zit dat bij foto's die niet op aarde gemaakt worden?
234580	239120	De eerste foto's vanuit de ruimte werden gemaakt in de jaren 40 van de vorige eeuw.
239920	245320	Zo'n beetje de allereerste foto werd gemaakt met een 35mm analoge camera...
245320	247800	die was bevestigd aan een V2-raket.
247800	249720	Deze camera, een part van een vlijfde laboratorium...
250440	252720	is bevestigd door Clyde Holliday van Johns Hopkins...
253460	255820	die het voorzitter voor zijn trip naar de oppere stratosfeer.
256520	259720	Rivalend met de fantastische imaginatie van Jules Verne...
259720	262780	de camera weer een record van een vlijf in de heven...
262780	264880	van een gegeven Dermame V2-raket.
265700	272720	In het begin van de ruimtevaartgeschiedenis...
272720	275480	werden wel foto's gemaakt met analoge camera's.
275580	278020	Dit vraagt, denk ik, om wat extra uitleg.
278180	281720	Daarmee bedoelen we camera's met een film met lichtgevoelige emulsie...
282340	284120	die fotochemisch reageert...
284120	286800	en na belichting moet worden ontwikkeld en afgedrukt.
287720	291520	Met name de eerste Russische ruimtevaartuigen maakten hier gebruik van.
292280	297460	De Luna 3-zonde, die ons voor het eerst foto's van de achterzijde van de maan liet zien...
297460	299780	beschikte over een camera met twee lenzen.
299780	304780	Een met een brandpuntsafstand van 200 mm en diafragma f5.6...
305660	310780	en de andere met een brandpuntsafstand van 500 mm en diafragma f9.5.
312000	317540	Op 35 mm fotografische film werden steeds twee foto's naast elkaar gemaakt...
