start	end	text
660	3260	U luistert naar Zimmerman & Space.
3980	6180	Hé, waar gaan we het vandaag eens over hebben, Hens?
6360	11740	Vandaag alweer een bericht uit het mainstream nieuws, maar dan wat nader verklaard.
12180	13560	Hoop ik tenminste.
14440	19000	We lazen deze week dat er een sterrenstelsel is ontdekt zonder donkere materie.
19660	20920	Dit is best uniek, of niet?
21100	25580	Dit bericht doet de wenkbrauwer uiteraard op allerlei verschillende wijze fronsen.
25780	28000	Een vraag die men zou kunnen hebben is bijvoorbeeld...
28000	33100	Als we niet weten wat donkere materie is en het niet kunnen waarnemen...
33100	38100	hoe kan men dan waarnemen dat een sterrenstelsel een gebrek aan donkere materie heeft?
38300	40540	Dat is wel een moeilijke vraag, hè? Die kan ik dan niet beantwoorden.
40880	44640	Dus laten we samen in ieder geval die vraag proberen te beantwoorden.
44820	45060	Ja!
45700	47520	Eerst maar even terug naar de bron.
48180	53180	Op 11 juli van dit jaar verscheen er een bericht in de wetenschappelijke pers met de titel...
58000	63100	Het is een open access artikel, dus als u het zelf door wilt spitten...
63100	67980	vindt u een link naar de complete tekst in de show notes van deze aflevering.
68500	73100	In dit artikel lezen we dat de auteurs hebben gekeken naar de distributie van massa...
73700	79900	en de afwijkingen van de radiële snelheden in het sterrenstelsel NGC 1277.
79900	89160	De conclusie die zij trokken is dat sterrenstelsel NGC 1277 niet of nauwelijks donkere materie bevat.
89720	95500	En dit wijkt af van de norm, want in spiraalvormige sterrenstelsels van een bepaalde massa...
95500	102660	zoals NGC 1277 is, wordt verwacht dat donkere materie een belangrijk onderdeel uitmaakt.
103800	109140	NGC 1277 is een sterrenstelsel in het sterrenbeeld Pershuis.
109140	115580	We kennen het al sinds 1875, toen de astronoom Lawrence Parsons het ontdekte.
116500	121140	Alhoewel u het sterrenbeeld Pershuis gemakkelijk kunt zien aan onze sterrenhemel...
121140	128280	is NGC 1277 met magnitude 13.8 te lichtzwak om met het blote oog te zien.
129100	134520	Het staat ook veel te ver weg van ons op een afstand van zo'n 220 miljoen lichtjaar.
134520	140960	De huidige theorie van het ontstaan van sterrenstelsels, zoals ook onze melkweg...
140960	143960	stelt dat er sprake is van twee fases.
144680	150400	In de eerste fase ontstaat de kern van een sterrenstelsel uit een relatief compacte gaswolk.
150880	153400	Er ontstaan dan snel veel nieuwe sterren.
153400	158860	Daarna breekt de tweede fase aan waarin materiaal uit de omgeving wordt aangetrokken.
159540	164400	Een sterrenstelsel wordt dan veel groter en er ontstaat een eilere halo omheen...
164920	167880	die uit zowel sterren als donkere materie bestaat.
169040	172780	Een enkel sterrenstelsel komt niet toe aan die tweede fase...
172780	178880	misschien omdat het in isolatie is ontstaan op een plaats waar geen materie kon worden aangetrokken uit de omgeving.
179100	179340	Hallo!
180300	185780	Dit is hoogst zeldzaam en de sterrenstelsels die geen tweede fase in zijn gegaan...
185780	187860	noemen we ook al relic galaxies.
188840	193220	Zo'n sterrenstelsel is als het ware een overblijfsel uit het brillenhelol.
194820	198200	NGC1277 is uiteraard zo'n relic galaxy.
198520	199460	Dat was al bekend.
199460	204460	Een paar jaar geleden werd middels spectroscopisch onderzoek al aangetoond...
204980	209460	dat NGC1277 uitsluitend oude sterren bevat.
209960	213780	Dat er, met andere woorden, geen stergeboortes meer plaatsvinden.
215420	221200	Het ligt voor de hand te denken dat de recente waarnemingen met de James Webb ruimtetelescoop zijn gedaan...
221200	223560	maar dat is voor een keer niet het geval.
223840	227460	De afwezigheid van donkere materie werd geconstateerd...
227460	232460	op basis van waarnemingen met de aardse George & Cynthia Mitchell spectrograph.
233860	236460	Deze telescoop staat in de staat Texas...
236460	241040	en is onderdeel van het McDonald Observatory van de Universiteit van Texas.
241040	245120	hoofdonderzoeker en auteur van het artikel...
245120	250040	The massive relic galaxy NGC1277 is dark matter deficient...
250560	255040	is Sébastien Comeron, astronoom aan de Spaanse La Laguna Universiteit.
256500	259040	Met de George & Cynthia Mitchell spectrograph...
259420	262920	maakten Comeron en zijn team een zogenaamde kinetische map.
262920	267920	Daarmee konden zij tot een radius van 20.000 lichtjaar zien...
267920	273920	hoe de massaverdeling en verschillen in omwentelingssnelheden binnen NGC1277 zijn.
273920	279920	Met de jaren hebben astronomen heel veel vergelijkingsmateriaal kunnen opbouwen...
279920	283920	van hoe de distributie van massa en de verschillen in omwentelingssnelheden...
283920	285920	binnen gewone sterrenstelsels zijn.
285920	293100	Er wordt dan gekeken naar dit soort verschillen binnen één zogenaamde effectieve radius...
293100	294920	en binnen vijf effectieve radii.
295620	297100	Mag het in het Nederlands?
297240	300660	De effectieve radius noemen we ook wel de half-light radius.
301200	304380	Dat is de afstand vanaf het centrum van een sterrenstelsel...
304380	308880	waarbij de helft van het totale licht van het sterrenstelsel wordt uitgestraald.
