start	end	text
0	5660	Zoals u vast wel weet, omarmt deze podcast de wetenschap in al haar vormen.
6180	12120	Daarom vandaag een interview met de directeur van het Rijksmuseum Boerhaven, Amito Haarhuis,
12240	15940	die wat tijd kon vrijmaken voor de Zimmerman & Space podcast.
17040	22920	Het Rijksmuseum Boerhaven in Leiden is een fantastische plek om de wereld van de wetenschap te ontdekken.
23680	27440	Met een collectie die vijf eeuwen onderzoek en innovatie toont
27440	31680	en een intensieve samenwerking met kopstukken uit de wetenschap van vandaag,
31940	38820	biedt Rijksmuseum Boerhaven bezoekers van alle leeftijden een intrigerende kijk in de wereld van wetenschap.
39380	46900	Ik zit hier tegenover Amito Haarhuis, de directeur van het Boerhavenmuseum, het Rijksmuseum Boerhaven moet ik zeggen.
47220	52380	En ik zit hier niet toevallig, want wij maken ook samen een podcast die heet Grote Vragen.
52840	57280	Laten we eens beginnen met wie is Amito Haarhuis en wat heb je met wetenschap?
57440	59800	Ik ben bioloog, dat heb ik gestudeerd.
59980	65480	Ik zeg wel eens dat ik biologie ben gaan studeren, een beetje grappend, omdat ik ervan hield om konijntjes te aaien.
65740	71060	Maar dat is eigenlijk een manier om te zeggen dat ik gewoon gefascineerd was, al van kind af aan voor de natuur.
71680	73140	Ik heb altijd grote belangstelling voor gehad.
74020	76060	Dus als kind, we hadden een groene omgeving.
76740	79520	Dus ik ging dan op onderzoek in de natuur.
79700	80920	Met de flora onder de arm?
80920	81720	Ja, ook dat.
81880	83720	Ja, ik ging planten verzamelen.
83840	85100	We hadden een hintuin in de buurt.
85340	88560	Die ging ik drogen in een boek en daar een herbarium van maken.
89160	91520	Nog voordat het een opdracht werd op school, zeg maar.
91600	92480	Dat deed ik zelf al.
93800	96520	En we hadden een grote gemeentevijver achter het huis.
96940	98240	En daar broedden een heleboel eenden.
99080	103400	Dus ik maakte een kaart waar alle eendenesten waren en hoeveel eieren erin lagen.
103480	104640	En waar stond dit huis?
104640	106480	In Apeldoorn ben ik opgegroeid.
106660	109060	Ik ben geboren in Enschede, dus ik ben een tukker.
109360	111020	Maar opgegroeid in Apeldoorn.
111120	113560	Vanaf vier jaar heb ik in Apeldoorn gewoond.
113860	115700	En daarom heb ik ook geen Twents accent.
115860	116280	Ik wou zeggen.
116300	117480	Hoewel ik het wel een beetje kan hoor.
118200	118940	O, nee hoor.
119100	119700	Ja, echt wel.
119820	121120	Ik kan wel een beetje plaproon.
121420	124320	En waar heeft Amito biologie gestudeerd?
124820	126080	Wageningen vond ik heel interessant.
126220	127660	Want dat was één grote faculteit.
127700	128280	Dat vond ik leuk.
128420	130680	Ik heb voor het kunstgeschiedenis als bijvak gedaan.
130820	131420	Dat kon daar.
132160	134580	En de internationale oriëntatie sprak me ook aan.
134760	138400	En was er ook een bijzonder interessegebied in de biologie wat jou aansprak?
138480	141340	Want je kan natuurlijk dierfysiologie of insecten.
141580	142920	Ja, dierkunde zeg maar.
143000	143620	Dierkunde, ja.
143760	145440	Dat was mijn specialisatie.
146080	148340	Ik heb wel steeds een fascinatie voor dieren.
149300	150540	Ik koop wel eens kunst.
150640	152740	En dat zijn heel vaak dierfiguren, valt me dan op.
152860	154320	Welke kunstenaars zijn dat?
154460	157000	Nou, ik heb bijvoorbeeld van Willem Coenraad Brouwer.
157160	158140	Ik kom bij het Leiderdorp.
158140	161160	In de Laakal hebben ze wel een collectie van Brouwer.
161780	163640	Ik noem het een dierentuin inmiddels.
163640	166100	Ik heb vijf dierenbeeldjes van Brouwer.
166400	168860	Gemaakt in rode klei met een wit glazuur.
169820	171200	En dat is zo'n 100 jaar oud nu.
171500	173340	Ja, dus haar deco stijl.
173660	174400	Daar hou ik erg van.
174400	176980	En je houdt ook van de hele kleine beestjes.
177100	180140	Want we hebben nu een Van Leeuwenhoek aflevering gemaakt.
180360	180480	Ja.
180740	184060	Wat doet het Rijksmuseum Boerhaven met Van Leeuwenhoek op dit moment?
184420	187460	Ja, we hebben zelfs een Antonie van Leeuwenhoek jaar uitgeroepen.
187660	189960	Een heel consortium gevormd.
190500	191360	Met partners.
191780	194180	Bijvoorbeeld de Nederlandse Vereniging voor Microbiologie.
194400	196360	En het Nederlands Instituut voor Biologie Onderwijs.
197020	198460	Maar ook allerlei partners in de stad.
198700	199860	Zoals de universiteit.
200060	202240	De ondernemersvereniging van het Bioscience Park.
202240	204240	Maar waarom Van Leeuwenhoek?
205020	207440	Ja, het is 300 jaar geleden dat hij gestorven is.
207740	211600	En 350 jaar geleden dat hij zijn eerste ontdekkingen deed.
211660	213680	Door zijn eigen zelfgemaakte microscopen.
214520	216300	En daar zijn er nog maar 11 van in de wereld.
216560	218500	En wij hebben er 4 in de collectie.
218640	219600	En 1 in Bruikleen.
220400	223660	Dus de helft van die microscopen zijn ongeveer nog in ons museum.
224000	225320	En dat zijn onze topstukken.
225320	228320	En in 2018 was er een televisieprogramma.
229080	230380	Dat heette Pronkstuk van Nederland.
230380	232800	En er was een verkiezing.
232920	235140	Wat is het belangrijkste erfgoed van Nederland?
236040	239120	En de microscoop van Antonie van Leeuwen kwam op de tweede plek.
239220	240340	Wat een hele goede ambassadeur.
240460	241240	André Kuipers.
242200	244380	Dus de tweede plek na het plakkaat van verlatingen.
245340	246540	Maar voor de nachtwacht.
246880	249020	Ja, André Kuipers is ook een vriend van deze podcast.
249360	249920	Nou, wat leuk.
250040	251740	Binnenkort ga ik ook weer bij hem langs.
251840	254560	Ja, hij is nu weer ambassadeur voor Antonie van Leeuwen.
254600	254860	Oh, wat is het?
254860	256280	In ons Antonie van Leeuwenhoek jaar.
256900	260600	Dus 17 april wordt de tentoonstelling geopend door staatssecretaris Oeslu.
260600	262600	En André Kuipers doet dan de keynotes.
263440	271960	En in de tentoonstelling, die dus vanaf 18 april voor het publiek te zien is, leest André Kuipers een aantal van de brieven van Antonie van Leeuwenhoek voor.
272120	274120	Nou, dat alleen al is de moeite waard.
274180	275840	Dat is zeer de moeite waard.
276340	278160	Ze zijn zeer vereerd dat hij dat wilde doen.
278560	281740	Hoe kwam Van Leeuwenhoek eigenlijk bij de microscopie terecht?
281740	290780	Ja, het idee bestaat wel dat die zelfvermaakte microscopen ontstonden als een soort vergroot glazen om goed naar stoffen te kijken waar die in handelden.
290940	293300	Dus het ziet er ook niet uit als een typische microscoop.
293440	293540	Nee.
293680	297920	Je verwacht een beetje zo'n buis waar je doorheen kijkt naar iets wat je onder een glaasje ligt.
298840	301080	Maar zijn microscopen zijn heel anders.
301300	304120	Zijn heel kleine dingetjes eigenlijk, maar zo'n 10 centimeter lang.
304220	306320	Met een prikker erop, begreep ik vandaag.
306320	310820	Met een prikker erop en een heel klein lensje ingeklemd tussen twee metalen plaatjes.
311360	313000	Wat zo groot is als een speldeknop.
313660	316180	Moet je je voorstellen dat je iets met de hand moet gaan...
316180	317120	Focusen, ja.
317260	318300	Ja, maken ook.
318380	319040	Dat ook, ja.
319200	321600	Zo'n klein lensje met de hand polijsten.
322000	325420	En dat dan ook nog op een hele goede manier doen dat je geen vervorming krijgt.
325440	327460	Ja, dat is het lastigste van lenzen.
327680	329020	Ja, het vakmanschap.
329120	330080	Daar blonken je in uit.
330620	333620	Van Leeuwenhoek heeft de microscopen niet uitgevonden.
333620	336400	In die tijd waren er al andere microscopen.
336620	339420	Dus mensen denken wel eens dat hij de uitvinder is van de microscoop.
339480	342580	Maar dat is niet zo, heb ik me laten vertellen, door onze conservator.
343440	347620	Maar hij is vooral bekend vanwege de ontdekking van de microwereld.
348360	348440	Ja.
348640	351560	En vooral ook omdat hij zo ontzettend nieuwsgierig was.
351680	355240	En tientallen jaren was hij voortdurend aan het turen door die microscoop.
355360	357780	En alles wat los en vast zat, legde hij eronder.
358520	359700	Visualizing the unknown.
359940	360660	Ja, precies.
360660	363900	Deze podcast gaat eigenlijk over sterrenkunde en ruimtevaart.
364600	373300	Bezoekers van dit museum worden natuurlijk hier ook getrakteerd op allerlei dingen die wel meer met sterrenkunde te maken hebben dan van Leeuwenhoek.
373440	375740	Want als je hier rondloopt, is van alles te doen.
375960	380660	Ja, een van mijn favoriete ruimtes in het museum, dat is meteen de eerste zaal.
381120	383880	Dat is onderdeel van het thema de Gouden Eeuw.
383880	386700	En daar heb je een zaal, daar staan twee planetaria.
386980	389300	Eén uit 1600 met de aarde in het midden.
389500	394140	En één uit 1670 maakte in opdracht van de Rotterdamse burgemeester.
394900	398560	Met de zon in het midden en de toen bekende planeten daaromheen.
398860	401880	Dus in 70 jaar tijd was het hele wereldbeeld gekanteld.
402680	402740	Ja.
402740	407680	En dan in die ruimte staat tussen die twee planetaria staat het kwadrant van Snellius.
407820	409040	Een heel groot meetinstrument.
409620	413640	Eén van de eerste instrumenten die de oude sterrenwacht hier in Leiden aankocht.
414260	416600	Om allemaal metingen te doen aan de sterrenhemel.
417220	424920	En door dat soort metingen met dit soort instrumenten door wetenschappers kantelde het hele wereldbeeld in enkele tientallen jaar.
424920	430900	Maar dat vind ik zelf een prachtig verhaal wat met die drie instrumenten heel eenvoudig wordt verteld.
431120	431640	Ja mooi.
431760	436740	Dat is echt iets wat met sterrenkunde te maken heeft aan de grote Copernicaanse revolutie.
436840	437580	Ja absoluut.
437880	442240	En het Rijksmuseum Boerhaven heeft nog meer astronomische topstukken.
442240	449240	Tot onze topstukken behoren bijvoorbeeld de lenzen die Christian Huigen samen met zijn broer heeft geslepen.
449240	455020	Als onderdeel van telescopen waarmee die bijvoorbeeld de vorm van Saturnus.
455200	458680	Waarvan gedacht werd dat dat een planeet was met oortjes tussen aanhalingstekens.
459820	465580	Maar dat bleek een ring te zijn en dat is verklaard door Christian Huigens met zijn zelfgemaakte telescopen.
466580	471820	En ja we hebben de grootste verzameling originele lenzen van Christian Huigens in onze collectie.
471900	473120	Dat zijn ook echt de topstukken.
473460	476320	En daar kun je heel dicht bij staan en naar kijken.
476320	480960	En dan zie je ook dat hij met een diamantje zijn handtekening in de lenzen heeft gegrafeerd.
482040	486000	Die interesse in huidige onderwerpen in de wetenschap vind ik ook heel bijzonder.
486100	490220	Want jullie hebben hier ook heel veel informatie over artificiële intelligentie.
490900	494120	Ja we hebben nu een tijdelijke tentoonstelling over kunstmatige intelligentie.
494540	495360	Brainpower heet die.
495500	498100	Met daarin AI van Artificial Intelligence.
498360	499720	In de brain van Brainpower.
500440	503580	En het is natuurlijk een heel groot en breed abstract onderwerp.
503580	507300	En ik denk dat we in de tentoonstellingen in geslaagd zijn om het ook heel concreet te maken.
