start	end	text
0	1220	Je lu...
1220	4980	U luistert naar Zimmerman en Space.
5620	7220	Ik heb hier zo geen zin in.
7560	9860	Zoals sommigen van u wellicht weten...
9860	13920	schrijf ik voor het kindertijdschrift over sterrenkunde en ruimtevaart...
13920	14880	de Universum.
15820	19260	Dit tijdschrift verschijnt vier keer per jaar en bestaat al heel lang.
19860	22740	Ik was er zelf ooit abonnee van als klein jongetje.
23520	27280	Dat begon allemaal op maandag 27 december 1976.
27600	29480	Dit wordt toch niet een geschiedenisles?
29480	34040	Mijn grootouders lazen de trouw en daarin vond mijn oma in de rubriek...
34040	35480	Uw probleem, ook het onze.
35580	39300	Een ingezonde vraag van de eveneens negenjarige Johan.
39420	42760	Graag was ik in de vakantie naar het planetarium in Den Haag gegaan...
42760	43700	maar dat is afgebrand.
44300	45380	Wordt het weer opgebouwd?
45640	47680	Ik wil graag meer van sterrenkunde afweten.
48120	50780	Kan ik lid worden van de Vereniging van Sterren en Weerkunde?
51240	52080	Heb ik daar iets aan?
52480	53420	Ik ben negen jaar.
53600	57080	Het intrigerende antwoord in Dagblad Trouw luidde...
57080	60320	Dat planetarium moeten we voorlopig helaas maar vergeten.
60640	65080	Ook de ouders en grootouders die met jonge lui naar dat planetarium kwamen...
65600	68040	waren onder de indruk van dit geweldige schouwspel.
69040	72080	Dat blad van de NVWS, trouwens die hele vereniging...
72900	75640	gaat voorlopig nog wel een beetje boven je petje...
75640	77400	zal dat niet zo heel lang meer duren.
77800	80900	Vooral als je je best doet in de WIS- en natuurkundelessen.
81520	85000	Nu zou je het beste een abonnement kunnen nemen op het Blad Universum.
85680	89640	Vier keer per jaar, tien gulden, uitgegeven door Stichting De Koepel...
90440	92540	Nieuwegracht 15, Utrecht.
93040	94640	En zo werd ik lid van de JWG...
95460	100020	de jongerenwerkgroep van de Nederlandse Vereniging voor Weer- en Sterrenkunde...
100020	102460	en daarmee ook abonnee van de Universum.
102660	104060	Nou, interessant.
104560	109380	Inderdaad was de materie in dat tijdschrift in het begin nog wel een beetje te hoog gegrepen...
109380	112580	voor mijn toen al matig functionerende kinderverstand.
113360	115760	Ik zat bovendien ook nog maar op de basisschool.
116340	119460	De lagere school, zoals we die destijds noemden.
120260	124300	In die tijd was de Universum een gestenseld stapeltje A4'tjes...
124300	127160	met fijne cartoons van de hand van Govert Schulling.
127160	131860	Nu in 2024 is het een kleurrijke glossy.
133140	138540	Mocht u zelf kinderen of kleinkinderen hebben of kennen in de leeftijdsgroep 8 tot 18...
138540	141100	met een buitengewone interesse in ons heelal...
141100	143480	dan is de Universum zeker een aanrader.
144260	148320	In het bijschrift van deze aflevering vindt u een link naar een webpagina...
148320	151440	waar u een gratis proefexemplaar kunt aanvragen...
151440	154280	of gewoon een digitaal exemplaar kunt downloaden.
154280	158300	Ik schrijf al jaren de rubriek Nieuws uit de ruimte...
158300	160680	een soort Zimmerman en Space Light.
161820	164900	Maar ook beantwoorden wij, vrijwilligers van de redactie...
164900	168220	van tijd tot tijd vragen van jeugdige geïnteresseerden.
168780	171360	Een vraag waar ik onlangs een antwoord voor typte...
171360	173600	leek me voor deze aflevering ook wel interessant.
174960	176280	Kort gezegd was de vraag...
176280	180280	Hoe kan er zoiets als een Thorne-Zietkov-object bestaan...
180880	184380	als er een limiet bestaat voor hoe zwaar een ster kan zijn?
186040	189700	Ik had ook nog nooit van een Thorne-Zietkov-object gehoord...
189700	190760	dus als u nu denkt...
190760	191280	Oké!
192260	193280	...dan begrijp ik dat.
194300	197280	Het Thorne-Zietkov-object is een hypothetisch object...
197940	201280	dat in 1977 verondersteld werd te kunnen bestaan...
201280	205180	door de astronomen Anna-Zietkov en Kip Thorne.
205880	207400	Het zou dus best kunnen zijn...
207400	211520	dat er in ons heelal helemaal geen Thorne-Zietkov-objecten te vinden zijn...
211520	214900	omdat de natuur niet toestaat dat zoiets ooit ontstaat.
216240	220700	Anna-Zietkov en Kip Thorne dachten dat een neutronenster...
220700	223680	en een rode reuzenster die elkaar tegenkomen...
223680	226780	onder bepaalde omstandigheden samen verder kunnen leven...
226780	228640	als een heel vreemd soort ster.
228640	233600	Van buiten ziet zo'n ster er exact uit als een rode reuzenster...
233600	236000	maar in de kern bevindt zich een neutronenster.
236540	239180	Dat is het lijk van een reeds overleden ster.
240340	243720	Voordat we dieper op dit mysterieuze object ingaan...
243720	246700	zullen we eerst even de onderliggende aanname behandelen.
247580	250140	Hoe zwaar kan een ster eigenlijk worden?
250280	252920	Ja, dat is wel een hele interessante vraag.
253200	255020	Zit daar werkelijk een grens aan?
255140	255300	O ja?
255300	259940	Sterren met een grotere massa dan onze zon zijn redelijk zeldzaam.
260760	263260	Als we zo eens dertig lichtjaar in de grond kijken...
263840	267340	dan zien we geen sterren met meer dan vier keer de massa van onze zon.
268200	270260	Als we heel ver weg van de aarde kijken...
270820	272260	vinden we heel soms sterren met honderd...
272920	275760	en zelfs 250 keer de massa van onze zon.
276260	278920	Maar de meeste sterren zijn lichter dan onze zon.
278920	285200	De zwaarste ster die we op dit moment kennen heet RMC 136A1.
285900	290240	Deze ster vinden we buiten onze melkweg in de Grote Magelaanse Wolk...
290240	294100	een onregelmatig sterrenstelsel in de buurt van onze eigen melkweg.
294760	297880	De Grote Magelaanse Wolk is op het zuidelijk halfrond...
297880	299880	nachts zichtbaar als een vage volk...
300520	304240	op de grens tussen de sterrenbeelden Goudvis of Dorado...
304240	306120	en Tafelburg of Mensa.
306920	309880	Die enorm zware ster RMC 136A1...
310880	314120	heeft ongeveer 315 keer de massa van onze zon.
315320	317880	Het is maar de vraag hoe deze ster ooit is ontstaan.
319020	323120	Het kan best zijn dat RMC 136A1 ontstaan is...
323120	325800	door twee of meer sterren die zijn gefuseerd.
325800	327640	Maar dat weten we niet zeker.
328620	330400	Wat belangrijk is om te beseffen...
330400	332240	is dat een heel zware ster...
332240	335100	niet automatisch een heel grote ster inhoudt.
335800	340240	RMC 136A1 is dan wel een stuk zwaarder dan onze zon...
340240	343480	maar heeft een diameter van maar 30 keer die van onze zon.
344160	347760	Er zijn ook veel grotere sterren bekend, zoals U.I. Scuti.
348460	352240	Deze ster is 1708 keer zo groot als onze zon...
352240	354040	en maar 30 keer zo zwaar.
354040	358220	U.I. Scuti is een zogenaamde rode hyperreus...
358220	360420	in het sterrenbeeld Schild of Scutum.
361140	364000	De ster werd al in 1860 ontdekt...
364000	367660	door wetenschappers van het observatorium van Bonn in Duitsland.
368360	372140	U.I. Scuti staat ongeveer 9500 lichtjaar van de aarde.
373140	377280	Astronomen klassificeren sterren met de massa van 25 of meer keer...
377280	379400	die van onze zon als hyperreuzen.
379400	383580	Interessant gegeven is dat enorme sterren minder lang leven...
383580	385040	dan kleinere sterren.
385980	389260	Zo'n hyperreus houdt het na een paar miljoen jaar voor gezien...
389260	392980	terwijl onze zon een verwachte levensduur van 10 miljard jaar heeft.
393120	394040	Oh, gelukkig!
394180	398420	Gelukkig voor onze vakantieplannen is de zon nog niet eens op de helft trouwens.
399320	404800	RMC 136A1 en U.I. Scuti zijn zo'n beetje de extreemste gevallen...
404800	406500	die astronomen op dit moment kennen.
406500	412180	Zo'n enorme ster als U.I. Scuti kan in theorie nog een heleboel groeien...
412180	413420	en dus ook zwaarder worden.
414300	418920	Maar hoe zit het met sterren die heel veel massa in een kleinere sfeer op elkaar pakken...
418920	423440	dus een hoge dichtheid hebben, zoals bijvoorbeeld RMC 136A1?
424340	428780	Tijdens het gewone leven van een ster vindt er continu kernfusie plaats...
428780	431300	waarbij waterstof in helium omgezet wordt.
431300	434900	Zolang als er kernfusie in een ster gaande is...
434900	439360	bestaat er een prettig evenwicht tussen de kracht van het naar buiten stralen van de ster...
439360	443500	en de zwaartekracht die de enorme massa van die ster in elkaar wil drukken.
444160	448400	Als een ster helemaal opgebrand is en dus niet meer genoeg naar buiten straalt...
448400	451900	dan vindt de zwaartekracht het en wordt de ster in elkaar gedrukt.
452680	456660	En dan spant het erom, want als een ster te veel massa heeft...
456660	459300	dan kan deze exploderen als supernova...
459300	463360	of kan er in extreme gevallen zelfs een zwart gat ontstaan.
463960	467080	We noemen deze grens de Chandra-Sekar-limiet...
467080	471560	genoemd naar haar ontdekker, de astronoom Subramanjan Chandra-Sekar.
472220	478520	Hij toonde aan dat een ster die 1,44 of meer dan dat keer zwaarder is dan onze zon...
