start	end	text
860	1980	Gelukkig nieuwjaar.
2360	4180	Hé, waar gaan we het vandaag eens over hebben, Hens?
4400	9900	Vandaag leek het mij aardig eens rond te snuffelen in het centrum van onze eigen melkweg.
10540	13360	Dit naar aanleiding van een vraag van een luisteraar.
13460	13960	Even kijken.
14440	19720	Velen van u weten waarschijnlijk wel dat we in het centrum van onze melkweg een groot zwart gat vinden.
19920	22000	Er is zelfs onlangs een foto van gepubliceerd.
22860	25900	Maar wat kunnen we nog meer vertellen over deze locatie?
26020	28500	Ik denk dat je er een hele podcast aan kan wijnen.
28500	35460	Of anders gezegd, hoe zou het zijn om op een planeet als de aarde te wonen, maar dan daar in het centrum van de melkweg?
36020	40980	En er is nog een mooi mysterieus verschijnsel wat het vermelden zeker waard is.
42080	45400	Laten we beginnen met onze huidige locatie in de melkweg.
46580	51980	We zien op een mooie avond soms de melkweg, maar we maken daar ook zelf onderdeel van uit.
51980	58240	Als we de melkweg aan de sterrenhemel zien, kijken we zijdelings naar het grootste gedeelte van die melkweg.
58500	61960	En staan we soms ook oog in oog met het centrum daarvan.
63120	72120	Praktisch alle heldere sterren aan onze sterrenhemel, die wij separaat waarnemen, zijn ook sterren van onze eigen melkweg, maar dan relatief dichtbij.
72120	80340	De sterren dichtst bij onze zon, Proxima Centauri, staat nog steeds 4.3 lichtje er van ons verwijderd.
81120	84500	Tussen de zon en Proxima Centauri vinden we van alles.
84860	88740	Interstellair gas, los rondzwevende stenen en gruis.
88740	95200	De uiteinden van ons eigen zonnestalsel, kosmische straling, maar verder geen andere sterren.
95700	97880	Dan zullen we nog verder moeten reizen.
99020	102100	Heel anders is het in het centrum van onze melkweg.
102860	107820	Als we daar naartoe reizen, moeten we ruim 25.000 lichtjaar zien te overbruggen.
108040	111980	Wat met de huidige ruimtevaarttechnologie een ondoenlijke taak is.
111980	115480	Nee, maar daar zit voor mij het probleem.
115820	124200	Kijken we nog steeds op aarde op een zomernacht net boven de horizon in het zuiden, dan zien we dat de melkweg daar wat dichter is dan elders.
125000	131160	Hier, zo'n beetje ter hoogte van de sterrenbeelden schorpioen en boogschutter, kijken we naar het centrum van de melkweg.
132020	137080	Ook al kijken we dan naar het centrum van onze melkweg, we zien er eigenlijk vrij weinig van.
137080	147220	Pas sinds de komst van infraroodastronomie aan het eind van de vorige eeuw, kunnen we echt kijken naar het centrum van onze melkweg en wat zich daarin bevindt.
148500	154840	Want tussen ons zonnestelsel en dat centrum bevinden zich stofwolken die het licht van de sterren tegenhouden.
155420	163000	Met infraroodtelescopen kunnen we door dat stof heen kijken en wordt duidelijker wat zich bevindt in het centrum van de melkweg.
163140	164160	Dat het zo makkelijk kan.
164160	173260	Wetenschappelijke ruimtevaartuigen zoals de Spitzer en Heurssel ruimtetelescopen hebben ons laten zien hoe de melkweg er in het centrum uitziet.
173980	180200	Daar staan de sterren daadwerkelijk veel dichter op elkaar dan in onze uithoek in de Orionarm van de melkweg.
181340	189740	Zouden we ons bij een ster daar in het centrum bevinden, dan kan de volgende ster al op een afstand van 0,04 lichtjaar gezien worden.
189740	195080	En 0,04 lichtjaar dat is slechts 378 miljard kilometer.
195560	195800	Ja.
196180	202840	Op een planeet bij zo'n ster is de nacht verlicht door miljoenen sterren waarvan sommigen oogverblindend helder.
203560	206600	Veel meer sterren dan we s'nachts op aarde zouden kunnen zien.
206600	215800	Wezens bij dit soort planeten zouden veel minder het verschil tussen nacht en dag ervaren en er dus ook wellicht andere cycli op nahouden.
218280	222400	Maar wat zijn eigenlijk de kansen voor levende wezens op die locatie?
222400	228480	Met zoveel sterren dicht op elkaar gepakt is er ook sprake van veel meer straling.
229860	234400	En veel meer sterren die dichtbij overlijden in supernova-explosies.
236180	241640	Onze aarde zou het niet overleven als we in één keer in het centrum van de melkweg zouden verder leven.
241900	249200	Simpelweg omdat onze magnetosfeer niet in staat zou zijn de hoeveelheid straling die ons dan zou bereiken tegen te houden.
249200	255420	En daarmee zou het leven zoals wij dat kennen massaal sterven aan stralingziekte.
256200	259640	Maar goed, laat dat ons gedachte experiment voor nu niet verzieken.
259920	263660	We kijken nog even verder naar onze tijdelijke nieuwe omgeving.
264460	270120	Hier in het centrum van onze melkweg, een plek waar naar schatting 10 miljoen sterren dicht op elkaar staan,
270120	272900	zien we opvallend veel relatief jonge sterren.
273560	276640	Rode reuzen die misschien maar een paar miljoen jaar oud zijn.
276640	279940	En hoogstwaarschijnlijk gelijktijdig ontstaan zijn.
280160	281500	Dit is best uniek, of niet?
281800	290980	Door de infrarood waarnemingen van ruimtetelescopen als Herschel en Spitzer te combineren met waarnemingen in röntgen, gamma en radiospectra,
291240	295860	weten we nu dat er ook sterren worden geboren in de regio in het midden van onze melkweg.
296540	303640	De combinatie van jonge sterren en sterren die zelfs nu nog ontstaan, was een beetje een verrassing voor de astronomie.
303640	306940	Het lijkt hard te geloven.
306940	319940	De wetenschappers Stark en Martin hebben het gas in een ring van zo'n 400 lichtjaar diameter rond het centrum in kaart gebracht
319940	323860	en voorspellen dat hier nog een episode van sterrengeboorte komt.
324500	328480	Hun artikel hierover stamt al uit 2004 en is getiteld
328480	343320	In de conclusie van het artikel zeggen zij dat onze melkweg mogelijk een oscillatieachtig principe in het centrum kent
343320	347280	waarbij de geboorte van sterren in pieken in de tijd plaatsvindt.
348080	352240	Er is zoals gezegd nog iets vreemds in het centrum van onze melkweg,
352700	355400	waar we sinds 2010 het bestaan van kennen.
355400	363400	Met behulp van NASA's Fermi-ruimtetelescoop, die al sinds 2008 in het gamma-spectrum naar de hemel kijkt,
363600	367640	werden twee bubbels boven en onder het centrum van onze melkweg ontdekt.
369240	376200	Dan hebben we het over een zandloperachtige structuur met een hoogte van zo'n 25.000 lichtjaar,
