start	end	text
460	3520	Astronomie bestaat veel uit het kijken naar het verleden.
4600	7620	Een soort geschiedenis van het heelol, zou u kunnen zeggen.
8220	15420	Dat alles om het heden beter te begrijpen, of er überhaupt iets van te begrijpen, is misschien adequater om te zeggen.
16900	21700	Ons onderwerp van vandaag is een beetje een combinatiegeval tussen heden en verleden.
22540	27000	Om ons begrip van de astronomische wetenschap een kans van slagen te geven,
27000	30840	zullen we vandaag eerst wat termen duidelijk proberen te krijgen.
31320	34220	Anders gaan we met de ontdekking waar we het vandaag over zullen hebben,
34700	40340	de stijl omhoog met onze kennis en is deze aflevering van de Zimmerman & Space podcast
40340	43680	uitsluitend geschikt om lekker bij in slaap te vallen.
44300	50000	Waar natuurlijk ook niks mis mee is, maar ik streef er altijd naar de zaken begrijpelijk te maken.
50180	52160	Ik moet het gewoon een keer goed gaan luisteren dus.
52160	61960	Als we in ons dagelijks leven over metaal praten, dan denken we aan ijzer, staal, koper, nikkel, zilver, goud, van dat soort dingen.
62560	69640	Met een beetje goede wil kunnen we wel bepalen of onze nieuwe waterkoker van plastic of metaal is.
70220	73860	Maar uiteraard is het in het echt allemaal weer woest ingewikkeld.
74120	75340	Oh, come on.
75820	78300	Laten we beginnen met de reguliere scheikunde.
78300	83300	Dan pakken we het periodiek systeem der elementen er weer even bij.
84200	89900	Deze tabel hing vroeger stevast, of hangt misschien nog steeds, in uw scheikundelokaal.
90680	99600	Op dit moment nummeren de elementen in deze tabel van atoom nummer 1, waterstof, tot en met atoom nummer 118, organesson.
99600	105180	Dat rangnummer staat voor het aantal protonen in de kern van het atoom van zo'n element.
105180	110180	In een elektrisch neutraal atoom vinden we even zoveel elektronen als protonen.
110960	112440	Ja, dat is logisch.
112600	118420	Een elektrisch neutraal waterstofatoom heeft dus één proton waar één elektron omheen bestaat.
119460	124440	Het aantal neutronen in de kern van atomen kan verschillen en dat noemen we isotopen.
124440	129560	Voor het gemak rekenen we die verschillende isotopen tot hetzelfde atoom.
130360	138300	Zolang het aantal protonen in de kern maar hetzelfde blijft, blijken de eigenschappen van die verschillende isotopen ook redelijk overeen te komen.
139000	144120	In de natuur vinden we bepaalde elementen heel veel en sommige bijna nooit.
144280	145820	Ik kan een zonde klug vinden.
145940	147100	Oh, dat je het wil, Carl.
147180	147580	Je wil.
147820	148440	Nou, ik heb het niet.
148940	150680	Hetzelfde geldt voor isotopen.
151320	152920	Neem bijvoorbeeld waterstof.
152920	153440	Oké.
153580	158500	In die waterstofkern kunnen nul tot en met zes neutronen aangetroffen worden.
159220	161820	Dat zijn allemaal isotopen van waterstof.
162600	170300	Alleen de isotopen met nul of één neutron in de kern, respectievelijk protium en deuterium genoemd, zijn stabiel.
171440	178420	Alhoewel we in de vorige aflevering hoorden dat waterstof-elektronen na 10 miljoen jaar van spinrichting kunnen veranderen,
178420	182320	waardoor we de 21 centimeter lijn in de radiosterren kunnen kennen.
182920	190180	Dat is natuurlijk ook een vorm van instabiliteit, maar niet eentje waarbij een andere isotope of een ander element ontstaat.
191440	195820	Heel anders is het met isotopen van waterstof met meer neutronen in de kern.
196380	199620	Ook tritium met twee neutronen komt in de natuur voor.
200300	204800	Maar het is radioactief en vervalt na 12,5 jaar tot helium-3.
204800	207020	Hé, dat is raar.
