start	end	text
0	3880	Yes, machines come in and men go out.
4440	7720	U luistert naar Zimmerman & Space.
10000	21160	Regelmatig kreeg ik mails over het verstrijken van de tijd en de gedachte dat de tijd in de begindagen van ons helal, vlak na de oerknal, anders verliep dan heden ten dagen.
21160	34140	Het idee is dan dat de materie van het complete helal direct na de oerknal dusdanig dicht op elkaar gepakt zat dat de zwaartekrachtinvloed hiervan merkbaar zou zijn op het verstrijken van de tijd.
34660	39520	Een effect dat we sinds Einstein kennen en dat we ook al tijddilatatie noemen.
40280	49300	De daaraan vaak gekoppelde vraag is, als tijddilatatie echt een ding is, is dit helal dan wel echt 13,8 miljard jaar oud?
49300	51120	Is het niet veel ouder?
52680	58300	In de aflevering van vandaag zullen we samen kijken naar de zin en onzin van deze redenering.
59340	69660	Het klinkt bij aanvang misschien als erg vaag en speculatief, maar wees gerust, er is zelfs een mooi recent artikel over precies dit onderwerp aan te wijzen.
69780	70780	Nou, dat is interessant.
71400	76300	Om de geschiedenis van het helal te onderzoeken, kijken we eerst naar het helal direct om ons heen...
76300	80240	en kijken vervolgens naar steeds verder weg liggende objecten.
81000	87940	Daarmee kijken we dus ook steeds verder terug in de tijd, waarmee we recht van spreken krijgen over de toestand van lang geleden.
88820	93300	We weten nog maar een eeuw dat het helal niet statisch is, maar uitdijdt...
93300	97520	omdat we de roodverschuiving van ver weggelegen objecten kunnen meten.
97520	106520	Tot we dat wisten, zo rond 1920, dachten astronomen dat alles haar eigen plek in het helal had en dat daarmee de kous af was.
107000	111880	Wat wel een gekke gedachte is, want zwaartekracht was al wel bekend als verschijnsel...
111880	117740	en het ligt toch voor de hand dat in een helal waarin alles een beetje aan elkaar trekt met die zwaartekracht...
117740	120500	uiteindelijk alles op één hoop zou klonteren.
121280	126040	Het bleek andersom te zijn, ontdekte Edwin Hubble ook ongeveer een eeuw geleden.
126560	130020	Het helal dijt uit, en wel met een zekere versnelling.
131740	134740	Deze versnelling staat ook wel bekend als donkere energie...
135300	139760	wat een beetje een knullige manier is om te zeggen dat we nog niet begrijpen wat er aan de hand is.
139760	146360	Het idee hierachter is dat om versneld uit te kunnen dijden een toevoer van energie nodig is.
146500	148000	Ja, dat is logisch.
148340	153840	Om te bepalen hoe oud het helal is kunnen we deze merkwaardige, denkbeeldige film...
153840	157140	van een uitdijend helal achterstevoren afspelen.
159520	165580	Dan komen we uiteindelijk uit op een punt in de tijd waarin alles te dicht op elkaar gepakt zat.
165580	169140	Een soort achterstevoren draaiende oerknal dus.
169760	176140	We weten dat alleen de ruimte tussen sterrenstelsels uitdijdt, niet de sterrenstelsels zelf.
176280	182980	Die worden door de onderlinge zwaartekracht van sterren en waarschijnlijk ook donkere materie keurig bij elkaar gehouden.
183720	188020	Door nu te kijken hoe snel die sterrenstelsels uit elkaar bewegen...
188020	192280	en ook hoe grote afstanden tussen die sterrenstelsels inmiddels zijn...
192280	196660	kunnen we een aardige schatting maken van de tijd dat dit proces al gaande is.
197000	199680	Ook wel bekend als de leeftijd van ons helal.
199760	203880	Als we naar een sterrenstelsel ver van ons vandaan kijken...
203880	208020	dan is er uiteraard een verband tussen hoe ver het van ons afstaat...
208020	210720	en de snelheid waarmee het van ons afbeweegt.
211980	215400	Want hoe verder weg, hoe sneller het van ons afbeweegt.
216340	220140	Die relatie kunnen we uitdrukken als V is H maal D...
220140	226180	waarbij V de snelheid is, D de afstand en H de zogenaamde hubbelconstante.
226240	227340	Mag het in het Nederlands?
227440	228800	Een constant getal.
228940	231240	Ik weet niet of het daar echt duidelijker van wordt.
231560	236260	Het is vrij zeker dat die hubbelconstante niet altijd constant is geweest.
236260	241120	Het is eveneens vrij onzeker wat de hubbelconstante precies is.
241500	244140	Maar het is misschien wel geruststellend om te weten...
244140	249420	dat die onzekerheid steeds kleiner wordt door onze steeds beter wordende ruimtetelescopen.
250200	253560	Inmiddels denken astronomen dat de expansie van het helal...
253560	258560	sinds de oerknal eerst enigszins vertraagde door de grote rol van de zwaartekracht.
