start	end	text
0	2340	U luistert naar Zimmerman & Space.
3580	7980	Deze malle podcast loopt best goed, mag u gerust weten.
8380	15900	Nauwelijks een jaar in de lucht in deze vorm brak Zimmerman & Space twee weken geleden door de grens van een half miljoen downloads.
15900	45880	APPLAUS
45900	53340	Dat is goed.
53440	59800	Twee daarvan werden gedaan met behulp van de James Webb Ruimtetelescoop en één met een aards observatorium.
60680	62100	Laten we met die laatste beginnen.
62820	65560	Het artikel dat hierover verscheen heeft als titel...
65560	70320	The Accretion of a Solar Mass per day by a 17 billion solar mass black hole.
70320	77200	De ontdekking betreft een zogenaamde quasar en ook het helderste object ooit waargenomen in ons heelal.
78580	85540	Voordat we het over het hoe en wat van deze ontdekking zullen hebben, moeten we eerst weer even helder krijgen wat ook alweer een quasar is.
85760	87260	Ja, dat is de vraag.
87260	93540	De term quasar is een contractie van de woorden quasi en star, een nepster dus.
94340	98040	Een nettere term is quasi stellar object of QSO.
98900	105880	We danken die naam quasar aan een publicatie van astronoom Hong Yi Chu uit 1964 in Physics Today.
105880	112100	Maar de ontdekking van de eerste quasar werd in 1963 gedaan door astronoom Maarten Schmid.
113420	120380	Inderdaad kan een quasar aangezien worden voor een ster, maar in werkelijkheid is het de actieve kern van een melkwegstelsel.
122080	127840	Zoals u wellicht weet, vinden we in de kern van praktisch elk melkwegstelsel een superzwaar zwart gat.
127840	136640	In een enkel geval is zo'n centraal zwart gat in staat een immense hoeveelheid licht te veroorzaken door het verhitten van invallend gas.
137660	143840	Dat wat zoveel licht uitstraalt is dus niet het zwarte gat zelf, maar verder daarvan af gas in het melkwegstelsel.
145340	152980	Dit gas wordt dusdanig onelegant naar het zwarte gat gezogen dat het van de schrik zalf gaat gloeien op allerlei golflengtes.
152980	157980	Behalve zichtbaar licht stralen quasars ook helder aan de radiosterrenhemel.
159320	164980	Inmiddels kennen we wel een paar miljoen quasars dankzij instrumenten zoals de Hubble Ruimtetelescoop.
165700	168960	Het centrum van onze eigen melkweg is duidelijk geen quasar.
169760	181420	Sagittarius A-star, zoals het zwarte gat in het centrum van onze melkweg heet, is weinig actief en kon alleen zichtbaar gemaakt worden door wereldwijde inspanningen van de Event Horizon Telescoop.
181420	190140	Interessant is dat quasars meer voorkwamen in het prillehelal dan heden ten dagen, met een piek zo'n 10 miljard jaar geleden.
191140	196780	Dit weten we sinds 1995 door het werk van de eerder genoemde Maarten Schmid en collega's.
197300	206620	Nu is dus de helderste quasar ooit ontdekt met behulp van de Very Large Telescope van de European Southern Observatory of ESO.
206620	213920	Deze extreem heldere quasar heeft de catalogusnaam J05294351.
214440	218620	En het licht dat wij van deze quasar ontvangen is 12 miljard jaar oud.
218820	219920	Zo, jemers zeg!
221340	228120	J05294351 staat dus ook heel ver van de aarde verwijderd, als deze vandaag de dag überhaupt nog bestaat natuurlijk.
228940	235100	En dat is maar goed ook, want dit geval schijnt met ruim 500 biljoen keer zoveel licht als onze eigen zon.
235100	245320	Juist deze helderheid maakte dat de quasar in eerdere waarnemingen in eerste instantie werd aangezien voor een dichterbij staande huistuin- en keukenster.
246320	251600	Dat roept bij u wellicht de vraag op hoe we het verschil kunnen zien tussen een ster en een quasar.
251960	257700	Door naar het spectrum van een object te kijken kunnen astronomen zien hoe ver het van ons vandaan staat.
257700	268760	Bekende spectrale lijnen van elementen als waterstof verschuiven richting rood naarmate het licht van een object langer naar ons onderweg is in een uitdijend hillel.
269460	275360	De hoeveelheid licht daarentegen kunnen we rechtstreeks meten als de hoeveelheid fotonen die een sensor bereikt.
275360	285740	Door deze twee gegevens te combineren komen we dan in sommige gevallen uit op objecten die veel te veel licht uitstralen om een ster te kunnen zijn.
285840	286420	It's impossible.
286640	290940	Geen enkele ster straalt 500 biljoen keer zoveel licht uit als onze zon.
