start	end	text
0	11000	Als u deze podcast vaker hoort, dan dringt zich mogelijk het beeld op dat ik als enigszins autistische kluizenaar in mijn rommelhok een monoloog houdt over sterrenkunde.
11400	20880	Dat komt ten dele aardig in de goede richting, maar ik kan met u delen dat deze podcast ook allerlei deuren opent die anders voor mij gesloten zouden blijven.
20880	32420	Zo was ik woensdag 7 juni van dit jaar op uitnodiging van astronaut André Kuipers bij het symposium over de zoektocht naar buitenaards leven in het Koninklijke Paleis op de Dam.
33000	40520	Het was een bijzondere avond waarbij ik ook zijn Koninklijke Hoogheid Willem-Alexander en zijn moeder prinses Beatrix mocht spreken.
41080	45440	En het symposium op zich was beslist een van de bijzonderste avonden van mijn leven.
45440	51480	Ik sprak mensen die op allerlei verschillende manieren betrokken zijn bij het onderwerp buitenaards leven.
52020	56660	Journalisten, astrofysici, filosofen en ruimtevaartdeskundigen.
57040	68820	Ook waren er indrukwekkende lezingen van astrofysicus Sarah Seeger, astrofysicus Dirk Schulze-Macuch en schrijver, theatermaker en stadsdichter van Amsterdam Marjolein van Heemstra.
68820	81920	Bij wijze van een atypische aflevering van de podcast waar u nu naar luistert, leek het mij interessant een gesprek te organiseren over de ontwikkelingen in de ruimtevaart met André Kuipers en Marjolein van Heemstra.
82580	90920	Vorige week lukte het zover de agendas gesynchroniseerd te krijgen en bevonden wij ons in de prachtige woning van André Kuipers en zijn gezin.
91500	96200	André is uiteraard onze Nederlandse astronaut en vriend van deze podcast.
96200	102260	Hij maakte twee keer een reis naar de ruimte, respectievelijk in 2004 en in 2011.
102960	111080	Die tweede keer verbleef hij maar liefst een half jaar in het International Space Station om op 1 juli 2012 weer op aarde terug te keren.
111620	114920	Marjolein van Heemstra heeft een speciale interesse in de ruimte.
115340	124040	Zo schreef zij onder andere het boek In lichtjaren heeft niemand haast en recent het boek Wat is ruimte waard voor journalistiek platform De Correspondent.
124040	133300	Aan het eind van deze aflevering hoort u hoe u kans kunt maken op een van de vijf gesigneerde exemplaren van Marjoleins boek Wat is ruimte waard.
133820	144080	In het gesprek dat nu volgt hoort u ook wetenschapsjournalist en podcastmaker Lemke Kraan met wie ik samenwerk aan de podcast Grote Vragen van Museum Boerhaven.
144080	150220	Het is u vast niet ontgaan dat we ons op een scharnierpunt in de geschiedenis bevinden.
150700	160360	Waar ruimtevaart eerst nog uitsluitend het domein was van enkele landen en vooral in dienst stond van wetenschap en prestige zien we nu nieuwe ontwikkelingen opdoemen.
160360	169560	Toerisme, clusters van satellieten, kolonisatie van de maan en mars, commerciële ruimtevaart en het delven van grondstoffen.
170080	176680	Allemaal zaken waar we ons als mensheid over moeten buigen of op zijn minst een standpunt over moeten innemen.
177400	183360	Als eerste vraag ik aan Marjolein van Heemstra of zij zich zorgen maakt over de richting die we opgaan met de ruimtevaart.
183360	187120	Ja, in sommige opzichten wel ja.
187340	191080	Er zijn ook hele toffe dingen aan dat er zoveel mogelijk is nu in de ruimte.
191720	197080	Maar als je kijkt naar wat de groot investeerders zien in de ruimte en hoe daarover gesproken wordt.
197600	200060	Inderdaad koloniseren en de grondstoffen onttrekken.
200620	201880	Dat vind ik wel zorgelijk ja.
202160	208540	Een onderdeel daaraan is natuurlijk dat we ook eigenlijk hier zitten met allemaal mensen die het best wel mooi vinden dat er zoiets als ruimtevaart is.
208540	212260	Dat er een vooruitgang is dat wetenschap nieuwe dingen bereikt.
212260	215940	We zitten hier met de enige astronaut die Nederland kent.
