start	end	text
0	6620	U luistert naar Zimmerman & Space, de meest verontrustende podcast van het heelal.
7700	14060	Eerder deze maand lazen we dat er vreemde geluiden waren gehoord in onze stratosfeer.
14920	17620	Bijna elk nieuwsmedium rapporteerde erover.
18440	22640	Laten we voor de context even luisteren naar een stukje van die opname.
30000	40820	Het knisperende geluid, dit, dat in eerste instantie misschien een beetje klinkt als plastic geflapper, is wat als mysterieus wordt bestempeld.
41000	42480	Hens, ik twijfel hieraan.
42480	49380	Het is in die zin mysterieus dat de wetenschappers die hiermee bezig zijn nog niet kunnen achterhalen wat de bron hiervan is.
50060	56340	Ik luisterde ernaar met wat collega's in Hilversum en hoorde met interesse wat zij ervan vonden.
56860	59760	Iemand zei dat het gewoon het bewegen van plastic was.
60320	63540	Iemand anders haalde aliens en ufo's erbij.
67240	70280	Nou, staat u ook weer met beide voeten op aarde?
70820	75040	Laten we dan samen eens kijken wat voor zinnigs we over dit bericht kunnen zeggen.
75760	77920	Om te beginnen met de stratosfeer.
78440	86320	De stratosfeer is een laag in onze dampkring die begint op een hoogte van ongeveer 10 kilometer en stopt op ongeveer 50 kilometer.
86320	94500	Het hangt er een beetje vanaf waar op aarde u staat, want bij de Noord- en de Zuidpool begint de stratosfeer lager dan bij de Evenaar.
94500	103060	Deze stratosfeer is een stabiele laag waar bijna geen turbulentie gevonden wordt en waar gewone vliegtuigen niet komen.
103980	110040	Onze ozonlaag, die ons beschermt voor schadelijke straling, is het bovenste gedeelte van de stratosfeer.
110040	122240	De ons bekende wolken bevinden zich allemaal dichter bij de aarde in wat we de troposfeer noemen en waar het immerwispelturige weer iedere dag weer voor nieuwe verrassingen weet te zorgen.
122240	132520	Er komen van tijd tot tijd wel parelmoerwolken voor in de stratosfeer, maar die wijken sterk af van gewone wolken.
133780	142540	Parelmoerwolken ontstaan op grote hoogte bij temperaturen onder de min 80 graden Celsius en kunnen salpeterzuur of zwavelzuur bevatten.
143200	151380	Voor meteorologen en klimaatdeskundigen is de stratosfeer interessant omdat verontreiniging lang in deze laag kan blijven hangen.
151380	157780	Een mooie manier om de stratosfeer te onderzoeken is door er ballonnen naartoe te sturen.
