start	end	text
0	2280	U luistert naar Zimmerman & Space.
2660	4040	Nou, gelukkig nieuwjaar.
5980	10800	Op dit moment is het psycheruimtevaartuig op weg naar de planeten Mars...
10800	17160	waar het in mei 2026 een extra zet in de juiste richting krijgt van de rode planeet.
19000	23080	Tijdens deze zogenaamde gravity assist manoeuvren met Mars...
23080	30560	scheert het psycheruimtevaartuig op een hoogte tussen de 3000 en 4400 kilometer boven het Marsoppervlak.
32180	37020	NASA vergelijkt het met een bal die tegen een rijdende trein wordt gegooid.
39280	44420	De bal verandert dan van richting en krijgt wat extra vaart van de rijdende trein.
45720	52140	Het psycheruimtevaartuig nadert Mars met een snelheid van 202.800 kilometer per uur...
52140	57420	ten opzichte van de zon en zet de reis naar de asteroide met dezelfde naam, Psyche...
57420	63260	na de ontmoeting met Mars voort met een snelheid van 104.900 kilometer per uur.
64060	68140	Als alles naar behoren verloopt, arriveert het dan in de lente van 2029...
69360	71740	bij het missiedoel Asteroide Psyche.
72420	77400	Het ruimtevaartuig heeft dan een reis van rond de 3,6 miljard kilometer afgelegd.
77480	78420	Zoé, wat veel!
78420	84440	Maar over de psychomissie naar een metaalhoudende asteroide hebben we het al eens eerder gehad.
85020	89660	Dat was in aflevering 165 van de podcast Zimmerman In Space.
90540	94420	Vandaag hebben we het over een speciaal testonderdeel van de psychomissie...
95080	98920	waarmee op 11 december 2023 een succes is behaald.
99700	104720	Om de implicaties van dat succes goed te begrijpen, zullen we bij het begin beginnen.
104860	105420	Dat is goed.
105420	110420	Tot nu toe gebeurt communicatie in de ruimte stevast met behulp van radiosignalen.
113160	117160	Decennia lang was het handig om op radiofrequenties berichten uit te wisselen.
117240	119860	One, two...
119860	124600	Het is natuurlijk ook zo dat als de infrastructuur daar eenmaal op ingericht is...
124600	127380	dat het dan minder voor de hand ligt om ervan af te werken.
127580	129060	Ja, dat is logisch.
129060	134100	Maar conventie of niet, er kleven wel nadelen aan radiotransmissies.
134740	136960	In eerste plaats de bandbreedte.
137020	138000	Wat betekent dat?
138140	144000	Dat kunt u begrijpen als de hoeveelheid informatie die per tijdseenheid in een signaal gepropt kan worden.
145140	148900	Een radiosignaal heeft een lagere frequentie dan bijvoorbeeld licht.
148900	151900	Door gebruik te maken van bijvoorbeeld een infraroodlezer...
152720	158000	kan een winst van 10 tot wel 100 keer meer informatie per tijdseenheid geboekt worden...
158000	159960	ten opzichte van radiosignalen.
162360	166840	Misschien denkt u met een mix van weemoed en irritatie terug aan die tijd...
166840	170160	dat we met een mode moesten inbellen om onze e-mail te lezen.
170160	176780	Dat gaat nu met glasvezelverbindingen natuurlijk een stuk soepeler en vooral sneller.
177520	184000	En dat verschil tussen een slome inbellmodem die geluidspiepjes gebruikt om signalen uit te wisselen...
184000	188060	en een glasvezelmodem die informatie in lichtdeeltjes verpakt...
188060	191800	is vergelijkbaar met de uitdagingen waar de ruimtevaart nu voor staat.
192940	195400	Satellieten vergaren steeds meer gegevens.
195580	197220	Computers zijn sneller geworden.
197460	198840	Sensoren nauwkeuriger.
198840	202840	Kortom, er moeten meer gegevens heen en weer kunnen worden gestuurd...
203440	205980	tussen ruimtevaartuigen onderling en de aarde.
206360	207060	En de maan.
207380	207880	En Mars.
208860	210400	En als we weer naar de maan gaan...
210400	216060	dan willen we natuurlijk high-definition videobeelden in full color zien van onze astronauten.
218340	222000	De zwart-wit filmpjes uit de jaren zestig van de vorige eeuw...
222000	223620	daar kunnen we niet meer thuis mee komen.
224760	227640	En we zijn op aarde ook steeds meer gewend geraakt...
227640	230520	een grote hoeveelheden data en hoe daarmee om te gaan.
232200	236060	Grootschalig wordt nu ingezet op een toekomst met optische communicatie.
236740	238020	Inderdaad, met lasers.
239020	241640	Daarmee valt dus een grotere bandbreedte te bereiken...
242160	245500	maar er zijn nog meer voordelen aan communicatie met laserlicht.
245500	250380	Laserzenders en ontvangers zijn lichter en kleiner dan radioequivalenten...
250380	254380	en dat maakt lasers uiteraard zeer geschikt voor ruimtesondes...
254960	256860	die altijd zo licht mogelijk moeten zijn.
258200	259380	Kleinere zenders en ontvangers...
260180	263380	dat betekent meer ruimte voor wetenschappelijke instrumenten.
263380	268340	Het derde voordeel is de hoeveelheid energie die nodig is voor communicatie.
269420	272200	Laserstraling is efficiënter dan radiostraling.
273000	276140	En dat vertaalt zich direct naar voordelen voor de ruimtevaart...
276140	278180	waar het altijd maar een uitdaging blijft...
278180	281140	om een ruimtevaartuig van genoeg stroom te blijven voorzien.
282200	285260	En er is nog een voordeel volgens AZO Optics...
285260	288760	en dat is dat gerichte laserstralen minder gevoelig zijn...
288760	292060	veronderscheppen en storen door kwaadwillende partijen.
293780	297100	Dat is de theorie. Maar hoe zit het met de praktijk?
297260	299920	Ja, dat is wel een hele interessante vraag.
300460	305280	2023 was een uitstekend jaar voor de lasercommunicatie, zullen we zo zien.
305880	308440	Maar voor een eerste succes in de ruimtevaart...
308440	310320	moeten we tien jaar verder terug in de tijd.
312760	317020	In 2013 gebruikte het LaDi-ruimtevaartuig...
317020	321200	lasercommunicatie om contact te onderhouden tussen de maan en de aarde.
322200	324980	Daarbij werd een maximale gegevensoverdracht...
324980	329020	van 622 megabits per seconde van de maan naar de aarde bereikt...
329720	333020	en in omgekeerde richting van de aarde naar het LaDi-ruimtevaartuig...
333720	336280	maximaal 20 megabits per seconde.
337180	339020	Dit systeem heette LLCD...
339020	343340	wat staat voor Lunar Laser Communications Demonstration.
343340	349340	Op 17 oktober 2013 was er sprake van een rechtstreekse laserverbinding...
350020	351340	tussen de aarde en LaDi...
351960	355740	wat heel veel mensen bij NASA enthousiast maakte voor deze technologie.
357440	361140	622 megabits per seconde is redelijk indrukwekkend.
361520	364760	Dat zou u kunnen vergelijken met het gelijktijdig streamen...
364760	367340	van ongeveer 30 hoge definitie videobestanden.
368340	369340	Permanent brain deterioration.
370160	373480	Misschien heeft u zelf wel eens geëxperimenteerd met een laser.
375720	379340	Toen ik ooit in Groningen woonde in de Oosterstraat wel te verstaan...
380000	383340	heb ik eens een laserpointer uitgericht op de Martini-toren...
383900	386040	op een punt waar ik zelf bij kon komen.
386880	389440	Ja, ik weet het, dat is heel neurderig.
390060	392700	Een en ander kon ik z'n avonds laat controleren...
392700	397240	door met mijn oude JWG-sterrekijker uit het raam te kijken naar de toren...
397240	401260	en het stipje van de laser precies uit te richten met een fotostatief.
402060	404980	De volgende dag zat de laser op een timer...
404980	406960	en ben ik de toren ingegaan...
406960	410340	wat elke rechteraardige Groninger waarschijnlijk minstens één keer...
410340	411900	in haar of zijn leven heeft gedaan.
412840	416700	En ja hoor, ik kon mijn laserstip met eigen ogen waarnemen...
416700	417820	gewoon overdag.
417820	422820	Wel viel mij op dat de stip al een stuk minder scherp was dan binnenshuis...
423340	425980	maar dit was natuurlijk ook een gewone pointerlaser...
425980	429000	om interessant mee te doen tijdens presentaties.
429680	432820	En dat brengt ons bij de grote uitdaging van lasercommunicatie.
435940	438820	Zo'n dunne straal moet zeer precies worden uitgericht...
439540	443500	en wasemt over de grotere afstanden onherroepelijk uit tot een vlek.
443500	448260	Dat betekent dus zowel uitdagingen aan de kant van de zender...
448260	449500	die zeer precies moet uitrichten...
450260	453940	als aan de kant van de ontvanger die extreem gevoelig moet zijn.
454780	457500	Ook de LLCD-laser van het LADIE ruimtevaartuig...
458380	462500	vormde een vlek op aarde met een diameter van net iets meer dan 6 kilometer.
463860	467220	De voetafdruk van een radiosignaal vanaf de maan...
467220	469720	is ter vergelijking vele malen breder...
469720	471840	in de orde van 6000 kilometer.
471840	475500	We kunnen ons natuurlijk afvragen of we vanaf de maan...
475500	477940	precies de helft van het aardoppervlak zien.
478560	482040	Dat klinkt misschien in eerste instantie een beetje als een open deur...
482040	483100	maar is dat wel zo?
483240	484560	Pak de rekenmachine er maar bij.
484760	488660	De aarde heeft een straal van 6371 kilometer.
489600	492620	Als we voor het gemak aannemen dat de aarde een bol is...
492620	497120	dan is het oppervlak van de aarde 4 keer pi keer de straal in het kwadraat...
497120	499740	dus 510 miljoen vierkante kilometer.
499740	503400	Het gedeelte van deze aardbol dat wij elk moment zien...
503400	506120	is een functie van onze afstand tot die bol.
506740	508980	U kunt het intuïtief goed nagaan.
509440	512340	Als u met uw oog in uw achtertuin op de grond ligt...
512340	516400	dan ziet u geen 255 miljoen vierkante kilometer van het aardoppervlak.
516400	522840	En in de prachtige video's die vanuit het International Space Station gemaakt worden...
522840	525240	zien we de landen ook een voor een langskomen.
525460	528340	Dus daar zien we ook zeker nog niet de helft van de aardbol.
529520	532260	Maar hoeveel van de aarde zien we in een baan rond de maan?
532680	534460	Ook dat kunnen we uitrekenen.
534560	535480	Oh, gelukkig!
535660	538240	Ik heb het even in een Python script gezet...
538240	541040	wat u in de show notes van deze aflevering vindt.
541420	543760	Interessant, maar wel een beetje nerderig.
543900	545800	Naarmate we dichter bij de maan komen...
545800	547680	wordt het steeds minder significant...
547680	549820	hoe ver we van de aarde verwijderd zijn.
550540	552560	De functie is asymptotisch...
552560	554120	en in een baan rond de maan...
554120	556080	zag het LaDi-ruimtevaartuig...
556080	558460	nagenoeg de complete helft van de aardbol.
559460	561740	Na het succes van LLCD...
561740	564560	was het de beurt voor het International Space Station...
564560	567960	om lasercommunicatieverbindingen met de aarde te onderhouden.
568540	570140	Dit project heet OPALS...
570140	571980	wat staat voor Optical Payload...
571980	573620	voor Lasercom Science.
574780	577780	Hiermee konden astronauten aan boord van het ISS...
577780	580340	gegevens naar de aarde sturen middels een laser.
581340	585420	OPALS arriveerde op 20 april 2014 in het ISS...
585420	587020	en op 5 juni van het jaar...
587020	588840	werd de boodschap Hello World...
588840	591160	succesvol naar het aardoppervlak verzonden.
592300	594880	Hierbij werd vanaf een baken op aarde...
594880	597360	eveneens een lasersignaal uitgezonden...
597360	600720	waar het OPALS-instrument aan boord van het ISS...
600720	602160	aan kon kalibreren...
602160	605820	waar de OPALS-gegevens naartoe moesten worden gelaserd.
606640	610100	Dit is iets wat we in de toekomst veel zullen gaan zien, denk ik.
610220	613240	Dat laser-instrumenten elkaar middels bakens...
613240	614400	de hand zullen schudden...
614400	617260	en dan in bulkgegevens heen en weer kunnen dumpen.
618180	620380	In zoiets dynamisch als ruimtevaart...
620380	622040	lijkt het minder voor de hand te liggen...
622040	625320	dat er continu een laserverbinding in stand wordt gehouden.
625320	629400	Ruimteschepen verdwijnen immers achter de horizon...
629400	631980	zowel van onze planeet als van andere planeten.
632620	635300	En dan kan de aardatmosfeer ook nog tegenwerken.
637400	639220	OPALS was een groot succes...
639220	641320	met gegevensoverdracht snelheden...
641320	644640	tussen de 50 en 120 megabits per seconde.
645480	647680	Nu draait het International Space Station...
647680	650200	maar op een hoogte van 408 kilometer...
650200	653920	maar zo'n lasersignaal moet altijd nog helemaal door de aardatmosfeer heen.
654720	656140	OPALS was succesvol...
656140	659100	omdat er een minimum aan foutcorrectie nodig was...
659100	661940	en het signaal op meerdere punten op aarde kon worden ontvangen.
663040	665460	Er werd behalve de Hello World boodschap...
665460	669080	ook van alles aan gegevens van het ISS naar de aarde verzonden...
669080	670700	waaronder een korte testvideo.
671540	674020	We kunnen wel even naar het geluid daarvan luisteren...
674020	676200	want het is maar 36 seconden lang.
676200	678760	Het is de story van een eindlijke search...
678760	681180	om de communicatie nodig te zijn van Amerika.
682180	683420	Waarom de snelheid?
684040	686240	Hier is moderne telegrapie aan werk...
686240	688300	zet en regeven in facsimile.
692000	693400	Dit is informatie.
693560	694140	Mag ik je helpen?
695360	697260	De nodigheid van vandaag...
697260	700120	houden met het tempo van een snel vermoordende eeuw.
700120	708240	Als u de bijbehorende video wilt zien...
708240	711120	een link vindt u in de show notes van deze aflevering.
712060	714280	Maar aan het begin van deze aflevering...
714280	717320	had ik beloofd dat 2023 een goed jaar was...
717320	718860	voor de lasercommunicatie.
719560	722780	Op 28 april 2023 werd een signaal...
722780	726180	vanuit een baan rond de aarde naar het aardoppervlak verstuurd...
726180	730060	met een transmissiesnelheid van 200 gigabit per seconde.
730120	732120	Het systeem waarmee dit werd verwezen...
732860	737080	heet T-Bird, wat staat voor Terabyte Infrared Delivery.
737860	741740	De satelliet waarmee dit indrukwekkende wapenfeit behaald werd...
741740	745120	is de NASA Pathfinder Technology Demonstrator 3...
745760	747780	of PTD-3 satelliet.
748900	750600	Hiermee werd het eerdere record...
750600	754220	van 100 gigabit per seconde uit 2022 verbroken.
754220	758220	En het tweede wapenfeit van NASA werd vorige maand bereikt...
758740	762560	toen de video van een spelende kat door het psycheruimtevaartuig...
762560	764200	waar we het in het begin over hadden...
764200	765460	naar de aarde werd gezonden.
766200	768220	Dit gebeurde op 11 december 2023...
769180	773220	en valt onder NASA's Deep Space Optical Communications Experiment...
774280	775220	afgekort als DSOC.
775220	779400	De 15 seconden durende video...
779400	781220	was voor de lancering in het computergeheugen...
781840	783980	van het psycheruimtevaartuig geladen.
784820	787220	Op 11 december stond het psycheruimtevaartuig...
787740	791000	op een afstand van 31 miljoen kilometer van de aarde.
791920	795220	Het bestand werd per infraroodlaser naar de aarde verzonden...
795220	800240	met een gegevensoverdracht snelheid van 267 megabit per seconde.
800240	803180	Het werd opgevangen met de heel telescoop...
803180	807380	van Caltechs Palomaar Observatorium in San Diego, California.
808640	812020	Op die immense afstand deed het laserlicht er net iets meer...
812020	813460	dan 100 seconden over...
813460	815820	om de afstand van het psycheruimtevaartuig...
815820	817220	naar de aarde te overbruggen.
817940	819940	Op de achtergrond hoort u het muziekje...
819940	821840	dat onderdeel van de video was.
822800	825520	In de show notes vindt u een link naar de video van...
825520	828840	Teters de kat die achter een laserlichtpunt aanrent.
828840	830520	Hoe toepasselijk.
831300	834840	Dat het gelukt is om zulke immense afstanden te overbruggen met lasers...
835380	837940	is zowel een opsteker voor de zendapparatuur...
837940	839640	als voor de ontvangstapparatuur.
840460	843000	Op aarde staan supergekoelde ontvangers...
843000	846240	die inmiddels in staat zijn één foton te detecteren.
847700	849580	De komende jaren zullen lasers...
849580	852840	een veel prominentere rol gaan spelen in communicatie.
853740	857200	De firma SpaceX is al begonnen met het lanceren...
857200	860200	en testen van met laser uitgeruste Starlink-satellieten...
860860	863220	die onderling communiceren met laserlicht.
864000	865720	Dat gaat altijd nog een stuk sneller...
865720	867800	dan glasvezelverbindingen op aarde...
867800	871600	waarmee SpaceX nog sneller internet hoopt aan te kunnen gaan bieden.
872740	875660	Wilt u nu zelf eens experimenteren met lasers...
875660	877100	bijvoorbeeld voor een schoolproject?
877240	878820	Ja, dat denk ik wel zo.
878820	882640	In de show notes vindt u een link naar een video van een experiment...
882640	886540	waarbij Arduino Electronica wordt gebruikt voor lasercommunicatie.
887280	891140	Of als u eens in foutcorrectie en tolerantie wilt duiken...
891140	894560	dan is er bijvoorbeeld de Reed-Solomon module voor Python...
894560	895820	waarmee u kunt experimenteren...
896480	899660	met het herstellen van beschadigde digitale signalen.
900160	901440	Tot de volgende keer.
901440	902440	TV Gelderland 2021
902440	903440	TV Gelderland 2021
