start	end	text
0	29980	Koffie in de Morgen
30000	35700	Maar ja, soms bevinden we ons in een wachtruimte van het ziekenhuis...
35700	39220	op een dinsdagmiddag in de openbare bibliotheek...
39220	42500	of gewoon omdat het kan en mag bij de supermarkt...
42500	46500	en wordt er toch een bekertje plaatsen en op een knop drukken.
47980	51380	Daar druppelt ons bakje troost in een bekertje.
54800	59620	De grote vraag is alleen, was dat de laatste druppel?
60000	62000	Kunnen we het bekertje...
62000	64300	Ah, toch te ongeduldig geweest.
64720	66980	En was dit dan de laatste druppel?
68160	70700	Ja, u denkt misschien, waar gaat dit heen?
71120	73420	Wat heeft dit met astronomie te maken?
73780	76740	Maar geen nood, dat wordt allemaal duidelijk.
76740	77340	Oké.
77560	80740	Die laatste koffiedruppels die in uw beker vallen...
80740	82580	volgen een numerieke functie.
83360	87740	Het is al te verleidelijk om te beweren dat dat een exponentieel verloop is...
88440	90220	maar ik weet niet of dat wel klopt.
90780	93740	Ik zat het te simuleren in max, dat is een programmeertaal...
94960	97100	met behulp van easingfuncties.
97100	98660	Het wordt gemakkelijk over de tijd.
99100	104100	En alhoewel het druppelen erg goed klinkt als we het exponentieel laten aflopen...
104100	107680	zou het ook nogal kadratisch of kubisch kunnen zijn.
108460	110860	We horen dat effect ook wel eens in huis...
110860	114140	als de centrale verwarming speelt met houten planken.
114140	119140	Toen wij in mijn jeugd als gezin in Groningen woonden in de Kattenhagen...
120140	121140	in een bijzonder oud huis...
121920	125500	luisterde ik in bed wel eens naar dat aflopende getik...
125500	129300	om te wachten tot het moment dat die laatste tik voorbij was.
130340	134140	Dat riep onwillekeurig de enigszins filosofische mijmering op...
134980	139200	Hoe kun je zeker weten dat dit echt de laatste tik was?
139200	144760	Hoezo zou er niet over, zeg, 100 jaar nog een tik komen?
147080	151280	Met die anticipatie voor een tik die misschien nooit komt...
151280	153380	verwijden we onze blik naar dit heelal.
153780	154300	Space.
156300	160940	We gaan ervan uit dat het heelal niet altijd zo is geweest als het nu is.
161260	162940	Dat weten we zelfs vrij zeker.
163160	163620	Echt waar?
163860	166340	13,8 miljard jaar geleden...
166340	169440	Toen alles wat we nu kennen nog op elkaar gepakt zat...
169440	172340	tot iets wat maar een fractie van het huidige heelal was...
173020	177080	waren de temperaturen en energieniveaus dusdanig hoog...
177080	180540	dat er geen sprake was van de natuurkunde zoals we die nu kennen.
181620	186620	Een van de belangrijkste bevindingen met het oog op de column die u nu hoort...
186620	191340	is het idee dat de vier fundamentele natuurkrachten die wij vandaag onderscheiden...
192060	194320	op dat moment nog één geheel waren.
194320	200320	Die vier fundamentele natuurkrachten zijn in volgorde van zwak naar sterk...
201100	207360	de zwaartekracht, de zwakke kernkracht, elektromagnetisme en de sterke kernkracht.
208100	213100	Hoe zo'n gecombineerde kracht er in de praktijk uitziet is nog een raadsel.
213880	217320	Vooral ook omdat ons denkraam werkzaam is in een heelal...
217940	222460	waarin die vier fundamentele natuurkrachten onderscheiden van elkaar werkzaam zijn.
222460	226460	Als we denken aan een heelal waarin geen zwaartekracht werkzaam is...
227300	230200	dan valt alles wat we prettig en bekend vinden in elkaar.
231340	237340	Maar er wordt wel al decennia gewerkt aan een grand unification theory of gut.
237340	240340	Als ik dat zo tussen neus en lip beweer...
241000	242680	dan is het makkelijk om te denken...
242680	244120	nou, dat zal dan wel...
244120	250340	en zoiets te vereenzelvigen met mensen die voor een schoolbord vol met belachelijk ingewikkelde formules staan...
250900	254460	en deeltjes versnellers waarmee experimenten worden ondernomen...
254460	257320	die voor ons gewone sterfelingen niet te volgen zijn.
257320	264740	Maar het is mijns inziens aardig één onderdeel van dit alles wat beter te begrijpen.
264820	265360	Dat is goed.
266020	271400	We concludeerden al dat die vier fundamentele natuurkrachten ooit één oerkracht waren.
271560	272000	Waarom?
272660	276320	Natuurkundigen denken dat zwaartekracht als eerste loskwam van die oerkracht...
277120	278320	toen de sterke kernkracht...
279120	284220	en dat tot slot elektromagnetisme en de zwakke kernkracht van elkaar loskwamen.
284220	289620	En dat laatste is iets wat in experimenten kan worden gesimuleerd.
289720	291240	Dat kan je je toch niet voorstellen?
291500	294120	In een deeltjes versneller zoals die van CERN...
294120	297160	kunnen elektromagnetisme en de zwakke kernkracht...
297160	302420	tijdelijk gecombineerd worden tot iets wat we zwak elektromagnetisme zouden kunnen noemen.
303340	307680	Dit alles vindt plaats bij temperaturen vanaf 10 tot de 15e Kelvin.
308240	310860	Iets wat in een deeltjes versneller bereikt kan worden.
310860	314360	Wie al langer naar mijn praatjes luistert...
314360	319360	weet dat er een hele reeks van exotische objecten in het heelal kan worden aangetroffen...
319880	322660	op plaatsen waar zware sterren zijn overleden.
323760	328080	Hoe meer massa de originele ster had, hoe groter de kans op een zwart gat.
328760	333460	Maar in dat schemergebied waar de massa niet doorrijkend is voor een zwart gat...
333460	338860	kunnen neutronensterren, kwarksterren en zelfs elektrozwakke sterren ontstaan.
339960	341840	Is althans de theorie.
342840	346460	Neutronensterren hebben we inmiddels in allerlei soorten en maten aan kunnen wijzen...
