start	end	text
0	2560	U luistert naar Zimmerman & Space.
3100	7840	Bijna een jaar geleden hadden we het over het centrum van onze eigen melkweg.
8900	14380	Daar is vandaag ook weer wat over te vertellen met dank aan die James Webb Ruimtetelescoop.
15240	20580	Een paar dagen geleden verscheen hierover een artikel in The Astrophysical Journal met de titel
20580	33500	Nou, dat is weer een hoop afkortingen bij elkaar.
35140	39340	JWST staat uiteraard voor James Webb Space Telescope.
40100	42060	CO is koolstofmonoxide.
42380	50420	U weet al dat reukloze gas dat op deze planeet regelmatig levenseist als er sprake is van onvolledige verbranding.
50580	53760	Daarover zometeen nog meer.
54480	62040	En G0.253 plus 0.016 is een bijzonder object ergens in het midden van onze melkweg.
62180	64800	Ook wel de brick, de baksteen genoemd.
65620	70420	Het is wel een heel typische baksteen, want het is geen steen en hij is ook niet gebakken.
71180	77420	Wat het wel is, is een donkere moleculaire wolk die het achterliggende sterrenlicht grotendeels tegenhoudt
77420	82240	en met heel veel fantasie een beetje de vorm heeft van een baksteen.
83460	85820	Maar goed, lollige naam of niet?
86340	90780	Wat is dit voor iets en waarom verdient het gebeuren uw speciale aandacht?
92060	98440	Daarvoor moeten we een decennium terug in de tijd, toen deze moleculaire wolk ook al met interesse werd bestudeerd
98440	103600	door astronoom Jens Kaufman en collega's van het California Institute of Technology.
104260	107100	In 2013 verscheen hun artikel
107100	112340	The Galactic Center Cloud G0.253 plus 0.016
112340	115900	A massive dense cloud with low star formation potential
115900	121740	waarin verslag werd gedaan van de waarnemingen in het millimeter- en submillimeterregime.
122580	127040	Moleculaire wolken worden door astronomen graag op deze golflengtes bestudeerd
127040	134780	omdat hier de spectra zichtbaar kunnen worden die de chemische samenstelling en evolutie van dergelijke wolken meer inzichtelijk maken.
134780	138660	Deze waarnemingen kunnen vanaf de aarde worden gedaan
138660	142380	vanaf hooggelegen, droge en koele locaties
142380	147500	zoals ALMA in Chili of de submillimeter-array in Mauna Kea, Hawaii.
148500	152120	Ook vanuit de ruimte kunnen submillimeter-waarnemingen worden gedaan
152120	155080	zoals bijvoorbeeld met het Herschel-ruimtevaartuig
155080	158980	of de submillimeter Wave Astronomy Satellite van NASA.
159960	164480	Toen Kaufman en collega's naar de Brick-moleculaire wolken keken
164480	167120	zagen zij twee dingen die moeilijk samengaan.
168120	172240	Ten eerste dat de moleculaire dichtheid in de Brick bijzonder hoog is
172240	175200	en ten tweede dat er nauwelijks sterren ontstaan.
176220	178900	Dat is vanuit astronomisch oogpunt interessant
178900	183340	omdat zorgvoelig opgebouwde regels en wetmatigheden over ons heelal
183340	186600	op die plek om een of andere reden niet op blijken te gaan.
187560	190420	Het artikel uit 2013 komt tot de conclusie
190420	193720	dat deze moleculaire wolk waarschijnlijk nog te jong is.
194480	198120	Mogelijk is de Brick ontstaan uit een botsing van stofwolken
198120	200120	in het hart van onze melkweg.
201120	204240	En dat hart van onze melkweg is een meer dynamische plek
