start	end	text
580	2740	Hey, waar gaan we het vandaag eens over hebben, Hens?
2920	10280	Laten we vandaag doen alsof wij ons in een baan rond onze planeet Aarde bevinden in een conventioneel ruimteschip.
10900	18580	Hier, op een hoogte van 400 kilometer boven het aardoppervlak, heet het dat we ons in een low-earth orbit bevinden.
18780	19760	Mag het in het Nederlands?
19940	21620	Een lage baan rond de Aarde.
22300	26500	We zweven wat rond in onze ruimteschip en voelen ons gewichtloos.
26500	34780	In werkelijkheid vallen we in een cirkel om de Aarde heen met een snelheid van 7,67 kilometer per seconde.
35560	40840	Daarmee doen we er 92,4 minuten over om één keer om de Aarde heen te draaien.
41620	47220	Het lijkt alsof we gewichtloos zijn, maar we draaien in werkelijkheid met een rotgang om de Aarde.
47820	53420	Als u een en ander zelf wilt narekenen, de formules hiervoor zijn bijzonder eenvoudig
53420	56980	en ik zet een linkje naar Space Academy in de show notes.
58400	64360	Als uw antwoorden ernstig afwijken van wat u leest, vergeet dan niet dat de eenheden moeten kloppen.
65240	68420	Reken dan bijvoorbeeld alles in meters in plaats van kilometers.
69680	74200	Maar goed, we hangen de rekenmachine weer even naast ons neer in het ruimteschip.
74200	80680	Hier zweven we rustig rond en slurpen in gewichtloze toestand van ons ruimtevoedsel.
81480	84520	Ook dit ruimtevoedsel zweeft een beetje voor ons uit.
85560	92520	Om te voorkomen dat we er een knoeiboel van maken, zit het veilig verpakt in tubes die we leeg kunnen knijpen in onze mond.
92520	97100	Misschien kunnen we een foto maken uit het raam van ons ruimteschip.
97680	104200	Omdat alles hier anders rond zou zweven, hebben we onze camera met glitteband vastgezet in het ruimtestation.
105460	114000	Vanaf hier ziet de Aarde er mooi uit, met een duidelijke gekromde horizon die sterk afsteekt tegen de inktzwarte duisternis daarachter.
115360	118720	Dat we in een cirkel om de Aarde heen vallen is geen toeval.
118720	127440	Het ruimteschip bevindt zich precies in deze baan om de Aarde omdat de zwaartekracht en de centrifugaalkracht met elkaar in balans zijn.
128580	134860	De valversnelling als gevolg van de zwaartekracht is op deze hoogte bijna hetzelfde als op het oppervlak van de Aarde.
135780	140080	Op deze hoogte is de valversnelling zo'n 9 meter per seconde kwadraat.
140600	144000	Op Aarde meer 9,8 meter per seconde kwadraat.
144000	149480	Om werkelijk los te komen van de aardse zwaartekracht moeten we een stuk verder reizen.
150260	158720	Op een afstand van 6 miljoen kilometer van de Aarde is de invloed van die aardse zwaartekracht nog maar één miljoenste van wat we er op dit moment van ervaren.
159620	167920	Om ook nog los te komen van de zwaartekracht van de zon, die een veel grotere massa heeft dan onze aarde, moeten we nog veel verder wegreizen.
167920	175920	Pas op een afstand van 3,7 miljard kilometer van de zon is ook die zwaartekracht tot één miljoenste gereduceerd.
176820	181180	Dat is op dit moment alleen nog maar gelukt met vier onbemande ruimtevaartuigen.
181640	184520	Payoneer 10 en 11 en Voyager 1 en 2.
185800	189600	Op die afstand spreken we van een microgravity omgeving.
189600	195260	Maar dat betekent niet dat we in onze baan om de aarde geen gewichtloosheid ervaren.
196340	205460	Voor onze menselijke anatomie en alle dieren en planten die we ooit meenemen, is het exact dezelfde ervaring met alle voor- en nadelen daarvan.
207180	212040	Voordelen zijn dat we experimenten kunnen doen die door de zwaartekracht op aarde verhinderd worden.
212040	219880	Hier in een baan van vrije val om de aarde kunnen we kijken wat een plant doet als er geen sprake is van onder of boven.
220740	226180	Hier kunnen we gassen en vloeistoffen mengen zonder dat de zwaartekracht onderdelen daarvan naar beneden trekt.
227000	230200	Maar op de langere termijn zijn er helaas ook nadelen.
231060	234100	Er is de afgelopen decennia veel onderzoek naar gedaan.
234280	240740	Wat ook mogelijk was omdat astronauten tegenwoordig maandenlang in het International Space Station verblijven.
240740	243880	Een artikel uit 2012 met de titel
243880	249080	Prolonged Space Travel Causes Brain and Eye Abnormalities in Astronauts
249080	254640	vermeld een aantal nadelen van zo'n langdurige gewichtloze toestand op het menselijk lichaam.
255440	259460	Spieren atrofiëren, wat betekent dat de spiermassa afneemt.
259940	265660	De hoeveelheid van bepaalde mineralen in de botten neemt af, wat betekent dat ons skelet minder stevig wordt.
265940	268080	De bloeddruk in de hersenen neemt toe.
268080	271220	De oogbollen platten af aan de achterzijde.
271220	278820	En de optische zenuwen die de signalen van het oog naar de hersenen doorgeven, kunnen juist weer uitzetten en meer plaats gaan innemen.
279560	281800	En zo kunnen we nog wel even doorgaan.
282840	291820	Het is voor ons, beste stuurlui aan wal, dan eenvoudig om te roepen dat kunstmatige zwaartekracht dé oplossing voor al deze problemen is.
291820	297460	De afgelopen maanden vroegen diverse luisteraars om hier eens dieper op in te gaan.
298040	299140	Dus bij deze.
299420	299720	Oké.
299960	304020	Het klinkt eenvoudig en we zien het ook veel terug in science fiction films.
304560	306000	Kunstmatige zwaartekracht.
306000	315220	De reden dat astronauten in films vaak gewoon rond slenteren in hun ruimtevaartuigen is simpelweg omdat het dan beter en makkelijker te filmen is.
316280	325180	Voor de fantastische film Apollo 13 koos regisseur Ron Howard ervoor om enkele scènes op te nemen in de zogenaamde Vomit Comet.
325420	332820	Een vliegtuig dat gedurende 25 seconden naar beneden valt, waardoor de mensen aan boord het gevoel van gewichtloosheid ervaren.
332820	341280	De acteurs moesten voor deze scènes op één dag 80 keer een paraboolvlucht maken met alle nadelen van dien.
341920	350180	Acteur Kevin Bacon herinnert zich nog goed hoe hij de kots van een camera persoon op zich af zag drijven tijdens een van deze paraboolvluchten.
350780	361980	In films en series als Star Trek wordt de fictietroefkaart van het label science fiction getrokken en is er een of ander magisch niet bestaand apparaat in het leven geroepen.
361980	366900	Dat zorgt dat iedereen aan boord te allen tijden de aardse valversnelling ervaart.
367760	371440	In de show notes van deze aflevering vindt u een link naar een artikel hierover.
372160	372720	Dat is goed.
372720	381980	Maar nu we weer naar de maan en vooral ook verder bijvoorbeeld naar Mars of Jupiter willen gaan reizen, wordt er uiteraard wel nagedacht over kunstmatige zwaartekracht.
382140	383240	Eh, even kijken.
383620	387860	Zoiets zou ervoor kunnen zorgen dat mensen gezonder blijven tijdens de lange reis.
388540	394900	Maar ook zou het verblijf in de ruimte aangenamer worden omdat het meer lijkt op hoe we dat gewend zijn op aarde.
395540	399660	Eigenlijk zijn er twee mogelijkheden om die aardse valversnelling na te bootsen.
399660	402240	De eerste is lineaire acceleratie.
403320	411700	Als ons ruimteschip in een rechte lijn versnelt met 9,8 meter per seconde kwadraat, is het voor de mensen aan boord precies zoals op aarde.
412120	416260	Gooi je we een bal omhoog, dan valt hij precies zo terug als op aarde zou gebeuren.
417640	420760	Het nadeel zit hem vooral in dat lineair versnellen.
420760	427660	Want dat betekent dat we een immense hoeveelheid brandstof moeten meenemen om constant te kunnen blijven versnellen.
428380	434380	En wellicht moeten we halverwege de reis op precies die wijze gaan afremmen wat ook weer brandstof kost.
434920	436620	Anders schieten we ons doel voorbij.
437740	441360	In de harde realiteit is deze oplossing dan ook weinig praktisch.
442580	447540	En voorlopig denken we natuurlijk ook over kunstmatige zwaartekracht in een baan rond de aarde.
447540	452160	Ook dit heeft het science fiction genre al voor ons voorgedaan.
452920	462000	In de film 2001 A Space Odyssey wordt kunstmatige zwaartekrachten bereikt door een ruimteschip te laten draaien als een grote centrifuge.
462640	468740	Dit roept bij sommigen de vraag op waarom draait het International Space Station dan niet gewoon rondjes om haar as.
468740	474920	Dan kunnen de astronauten immers gewoon hun bed op de vloer hebben staan en rondjes lopen in het ruimtevaartuig.
474920	477580	Maar zo simpel is het natuurlijk niet.
477740	481800	Ja, ik denk wel dat je daar gelijk in hebt.
482100	487800	We kunnen wel zeggen dat het idee van een ronddraaiend ruimtevaartuig een correcte oplossing kan zijn...
487800	494340	om het gevoel van gewichtloosheid tegen te gaan en astronauten de ervaring te geven alsof zij op aarde rondlopen.
494980	497840	Maar er zitten nog wat haken en ogen aan dit plan.
497840	504660	Het begint met de constatering dat het hier geen kunstmatige zwaartekrachten betreft...
504660	511100	maar de centripetale kracht van een ronddraaiende cilinder waarvan de vloer tegen onze voeten drukt.
511660	515980	Zou dat alles zijn, dan maakt het voor onze sensatie niet veel uit.
516620	523120	Het probleem zit hem vooral in de grootte van onze ronddraaiende cilinder en de praktische haalbaarheid daarvan.
523120	529940	Hoe dat precies zit vond ik in een pdf uit 2009 van de International Academy of Astronautics...
530620	536020	met de titel Artificial Gravity Research to Enable Space Exploration.
536600	540940	Dit document is het verslag van een studiegroep die in 2009 uitzocht...
541460	545020	wat er nodig is om het effect van gewichtloosheid tegen te gaan...
545020	547760	met het oog op langere reizen naar de planeet Mars.
547760	550940	We sprongen er net al even doorheen...
550940	554280	maar het belangrijkste doel is het lichaam gezond te houden.
554900	558760	Het artikel uit 2009 noemt, behalve wat we al eerder noemden...
558760	566220	nog meer potentiële risico's die optreden tijdens langdurig verblijf in schijnbare of daadwerkelijke gewichtloosheid.
567700	568660	Bloedcirculatiestoornissen.
569920	570760	Hartritmestoornissen.
571560	572480	Nierstenen.
572480	576920	En brozen botten als gevolg van gebrek aan calcium.
577680	581220	Met name dat laatste is geen kinderachtige statistiek.
581760	587820	1 tot 1,5% verlies aan calcium in de botten per maand is volgens een aangehaald onderzoek aannemelijk.
588820	595720	Dit betekent dat iemand bij aankomst op Mars mogelijk 40% van haar of zijn botmassa kwijt is geraakt.
595720	602420	Dat op zich hoeft niet direct een probleem te zijn, zeker niet in de geringe zwaartekracht op planeet Mars...
602420	606220	maar er kunnen complicaties optreden die niet goed voorzien kunnen worden.
606960	610720	Het kan goed zijn dat de transitie van aarde naar Mars te snel gaat...
