start	end	text
0	4240	Je luistert naar Zimmerman & Space, een podcast over astronomie.
4580	12160	In eerdere afleveringen hebben we het al wel eens gehad over radioastronomiebedrijven vanaf onze maan.
12960	18940	Vandaag staan we stil bij een speciale missie die de eerste stappen van dit pad zal betreden
18940	22760	en waarvan deel 1 hopelijk volgend jaar gelanceerd zal worden.
23560	25980	Om het hoe en waarom daarvan te begrijpen,
25980	30200	kunnen we ons eerst afvragen wat er zo speciaal is aan onze maan
30200	35800	dat we het gedoe van een radiotelescoop daar installeren zozeer de moeite waard vinden.
36440	39760	Hebben we niet genoeg aan onze aardse radiotelescopen?
39980	41480	Ja, dat is de vraag.
41820	45980	Dit heeft alles te maken met het frequentiebereik van radiotelescopen.
48560	52980	Rond onze planeet, vanaf een hoogte van zo'n 48 kilometer
52980	59060	tot ongeveer 965 kilometer vinden we de zogenaamde ionosfeer.
59820	65980	Daar zijn we heel dankbaar voor, want deze ionosfeer beschermt ons tegen ultraviolette en rundgestraling
66600	68720	van met name onze eigen zon.
69520	74760	Maar dezezelfde ionosfeer is tot ongeveer een frequentie van 30 megahertz
74760	77260	ondoorzichtig voor radiostraling.
77260	83540	Radiotelescopen op aarde kunnen dus alleen radiogolven ontvangen uit het heelal
83540	85660	vanaf ongeveer 30 megahertz.
86400	89840	Nu loopt het radiogebied van het elektromagnetisch spectrum
89840	93260	helemaal van 3 megahertz tot 300 gigahertz,
93520	96600	dus dat we dat kleine onderste stukje moeten missen
96600	98840	klinkt misschien niet al te dramatisch.
99760	102160	Toch gebeuren in dat golfbereik dingen
102160	105100	waar astronomen buitengewone interesse naar hebben.
105100	109320	Hier kunnen we namelijk kijken naar het allervroegste heelal
109320	112380	zoals dat er vlak na de oerknal uit heeft gezien.
113480	116900	Zoals we het nu begrijpen was het heelal vlak na die oerknal
116900	121460	een uiterst dicht plasma waarin geen sprake was van atomen.
123820	130380	Na een periode van 380.000 jaar was het heelal genoeg uitgedijd en afgekoeld
130380	134340	dat los rondvliegende ionen en elektronen elkaar vonden
134340	138160	en het eerste waterstof in onze geschiedenis ontstond.
139220	145180	En zoals we weten laat waterstof zich betrappen door de zogenaamde 21 centimeter lijn.
