start	end	text
440	3080	U luistert naar Zimmerman & Space.
3420	4400	Oh, gelukkig!
4720	8800	Het idee om op de maan te gaan werken, wonen of vakantie vieren...
8800	11780	klinkt misschien in eerste instantie erg romantisch.
12100	15840	Daar huppelt u van uw werkplek naar het restaurant verderop.
16360	19940	Misschien neemt u wel een van de door de mensen gegraven tunnels...
19940	22420	waar u veilig bent voor onheil uit de ruimte.
23600	26820	De harde werkelijkheid is dat voor zover bekend...
26820	30360	alleen onze planeet Aarde een prettige plek is om te wonen.
30660	33380	Al zijn de meningen daarover mogelijk verdeeld.
34920	38640	Die maan van ons, dat is een onherbergzame plek...
38640	42660	waar een mens alleen onder kunstmatige omstandigheden kan overleven.
43260	46380	Over het oppervlak wandelen in een astronautenkostuum...
46380	48520	gaat maar goed tot het een keer misgaat.
49580	52320	Dan kunt u nog zoveel laagjes kleding dragen...
52320	54320	alsof u op vakantie gaat naar IJsland...
54320	58540	maar kosmische straling en de wat grotere micrometeorieten...
58540	61720	houden een constant gevaar voor uw welbevinden in.
63600	67300	Daar is onlangs nog een soort van nieuw gevaar bijgekomen.
69960	70520	Maanbevingen.
72360	74840	Ik zeg bewust soort van nieuw...
74840	78320	omdat we al sinds de landing van Apollo 11 in 1969...
78920	81240	bekend zijn met het fenomeen maanbeving.
81240	85680	Eerst zullen we wat feiten over maanbevingen noemen.
86220	88640	Dan bespreken we de seismische gegevens...
88640	90580	van de maanmissies van de vorige eeuw.
90960	94800	En dan zullen we de blik nog even op de nabije toekomst richten.
94960	95520	Dat is goed.
96260	98040	En als u het daar niet mee eens bent...
98040	99720	wat ik me best kan voorstellen...
99720	102560	kunt u natuurlijk naar een andere podcast gaan luisteren.
102640	102820	Oh?
102820	106680	Ik vind persoonlijk de science of birds bijvoorbeeld heel vermakelijk.
107740	109500	Als we op aarde kijken...
109500	112340	vinden we verschillende oorzaken van aardbevingen.
112960	117260	De buitenste laag van de aarde, die ongeveer 80 kilometer dik is...
117260	118760	noemen we de lithosfeer.
119360	121540	Daaronder heet het de astenosfeer.
121800	124220	En daar is het warmer dan in die lithosfeer.
124220	129480	In de lithosfeer, de aardkorst, kan mechanische spanning ontstaan.
130140	133720	Bijvoorbeeld wanneer tektonische platen tegen elkaar schuiven.
135380	140220	Maar ook deformatie, vulkanisme, meteorietinslagen...
140860	145480	en menselijke activiteiten kunnen leiden tot dergelijke spanningen.
146120	148900	Als de spanning een kritisch punt bereikt...
148900	152500	treedt er een beweging op en ontstaat er mogelijk een aardbeving.
152500	157540	Al kunnen die aardbevingen in sterkte natuurlijk ernstig verschillen.
158380	162380	Een aardbeving is een golfverschijnsel dat propageert door de aarde.
163140	166280	Het kan dus ook bestudeerd worden met signaalberekeningen.
166900	170500	Een aardbeving heeft een frequentie, harmonische en een envelop...
171240	175120	die beschrijft hoe de amplitude van de beving zich over de tijd gedraagt.
179540	181500	Op de maan gebeurt iets vergelijkbaars.
181500	183760	Ongelijkbaars, weten we sinds Apollo 11.
184540	186380	Ook de maan is geografisch actief...
186900	189720	met waarschijnlijk een vloeibare kern die nog afkoelt.
190600	192640	Door dit afkoelen krimpt de maan...
192640	195160	waardoor breukvlakken ontstaan aan het oppervlak.
197220	199640	Precies dit is gezien in onze tijd...
199640	201380	en wel door het LRO-ruimtevaartuig...
201380	204040	dat al sinds 2009 om de maan cirkelt...
204040	206400	en voornamelijk foto's neemt.
206400	209660	Overigens bestaat er een heel mooie website...
209660	212080	van het LRO-ruimtevaartuig...
212080	215540	waar u de maan in absurd veel detail kunt bestuderen...
215540	219600	of foto's kunt bekijken van ruimtevaartuigen die op de maan staan.
220380	224000	Een link vindt u uiteraard in het bijschrift van deze aflevering.
224000	229420	Wetenschappers hadden al maanbevingen dicht aan het oppervlak waargenomen...
229420	231800	maar de bron hiervan was nooit helemaal duidelijk.
232300	233920	Dat zegt Thomas Waters...
233920	237140	wetenschapper aan het National Air and Space Museum...
237140	239620	Center for Earth and Planetary Studies.
240900	244040	Interessant is ook dat de zwaarst gemete maanbeving...
244040	246740	in de buurt van de Zuidpal van de Maan plaatsvond.
247300	250880	Precies de plaats waar veel landen met interesse naar kijken...
250880	254260	aan waar de nog te lanceren Artemis III-missie moet gaan landen.
254380	256120	Ja, dat klinkt niet lekker.
256260	258840	De reden voor deze interesse weet u misschien al wel.
259440	262740	Op de Zuidpal van de Maan is waterijs aanwezig...
262740	265420	onder andere in permanent verduisterde kraters.
266200	270840	Een en ander werd bevestigd met het Indiaanse Chandrayaan-1-ruimtevaartuig.
271360	273680	In een studie van Waters en collega's...
273680	276140	waarvan eerder dit jaar de onderzoeksresultaten...
276140	278220	in de wetenschappelijke pers verschenen...
278220	280600	werden breukvlakken op de Zuidpal van de Maan...
280600	284140	in verband gebracht met de zware maanbeving die daar werd gemeten.
284780	286340	Het artikel heeft als titel...
286340	289780	Tectonics and Seismicity of the Lunar South Polar Region.
290060	292980	En het verscheen in de Planetary Science Journal...
292980	294940	op 25 januari van dit jaar.
295840	297820	Toch is niet iedereen het hiermee eens.
298400	302180	Emeritus professor in de geofysica Yoshio Nakamura...
302180	305560	die de seismische Apollo-experimenten onderzocht...
305560	309520	denkt dat de maanbevingen hun oorsprong ver onder het oppervlak vinden.
312440	314520	Aardbevingen leiden tot allerlei ellende.
315280	317960	U hoeft maar een willekeurige krant open te slaan...
317960	322060	en er wordt wel iets gemeld over de repercussies van recente aardbevingen...
322060	325860	in Groningen, Turkije, de VS, Japan, Marokko of IJsland.
325860	331020	Op de maan komt er nog een extra factor bij.
331560	333000	De geringe zwaartekracht.
333860	336980	Waar u op aarde nog met uw voeten op de grond blijft staan...
336980	340780	wordt u bij een vergelijkbare maanbeving mogelijk al omhoog geslingerd.
344600	348080	En dit geldt natuurlijk ook voor gebouwen, infrastructuur...
348080	351280	en andere toekomstige menselijke bouwsels op onze maan.
351280	357140	We zagen eerder al dat de eerste seismische metingen op de maan plaatsvonden...
357140	360280	tijdens en met dank aan het bemande Apollo-ruimtevaartprogramma.
361820	366280	In 2022 verscheen hierover, eveneens in de Planetary Science Journal...
367200	368500	een artikel met de titel...
368500	371400	A new archive of Apollo's lunar seismic data.
371740	374700	Hierin beschrijven hoofd-auteur Sari Nunn...
374700	377140	voornoemde Yoshio Nakamura en collega's...
377140	381320	de moderne digitale archivering van de seismologische metingen...
381320	382860	van het Apollo-maanprogramma.
383580	388080	Zij rapporteren dat al deze metingen zijn overgebracht naar SEAT-bestanden...
388080	390880	de standaard onder aardbevingsoftware.
391140	393680	Interessant, maar wel een beetje nerderig.
393880	397400	Het eerste Apollo-experiment vond plaats tijdens Apollo 11...
397400	400500	de beroemde eerste keer dat mensen voet op de maan zetten.
400640	402140	Voet op de maan.
402140	407140	De geschiedenis van de Apollo 11-maanreis in juli 1969.
407940	410140	Astronauten Edwin Aldrin en Neil Armstrong...
410960	413140	plaatsten een seismometer op het maanoppervlak...
413680	416400	die drie weken lang meetgegevens naar de aarde zond.
417360	421140	Deze seismometer bevatte eigenlijk vier afzonderlijke seismometers...
421700	424140	voor het meten van verschillende frequenties van maanbevingen...
425000	426140	en inslagen van meteorieten.
427520	430380	Na ongeveer drie weken gaf het experiment de geest...
430380	432640	waarschijnlijk door oververhitting door de zon.
433580	439560	Maar een les was geleerd en tijdens Apollo-missies 12, 14, 15, 16 en 17...
439560	442320	werden degelijkere seismometers geplaatst...
442320	445940	die tot 1977 meetgegevens naar de aarde zonden.
446820	449380	Deze gegevens werden op de maan gedigitaliseerd...
450000	451580	en vervolgens naar de aarde gezonden.
452560	455380	In het bovenstaande artikel wordt niets gezegd...
455380	457380	over de seismometers van Apollo 17...
457380	460200	maar daar zullen we zo nog wat over bespreken.
460900	464640	Het Apollo Seismic Network bestond uit de vier stations...
464640	468640	die aangelegd waren tijdens Apollo 12 in 1969...
468640	470380	Apollo 14 in 1971...
471340	473640	Apollo 15 in 1971...
473640	475520	en Apollo 16 in 1972.
476800	479380	Elk zo'n station had vier seismometers.
480180	483320	Drie daarvan maten maanbevingen in drie richtingen...
483320	485800	dus twee horizontaal en één verticaal...
485800	489000	met een hoogste gevoeligheid rond 0,45 hertz.
490100	493320	Een vierde seismograaf mat alleen verticale maanbevingen...
493980	496240	met een hoogste gevoeligheid rond de 8 hertz.
497300	499320	Duizenden maanbevingen werden geregistreerd...
499840	502140	met de seismometers van het Apollo-programma.
502960	506580	Een van de ontdekkingen die met dit netwerk van seismometers werd gedaan...
506580	511700	is dat er in de maan op een diepte tussen de 700 en 1200 kilometer...
511700	516060	periodiek bevingen plaatsvinden met 27 dagen tussen de pieken.
516260	517780	Dat is fascineerend wat je nu zegt.
517980	520900	Dergelijke maanbevingen worden dan ook in verband gebracht...
520900	524400	met getijdenwerking en de wisselwerking tussen de maan en de aarde.
525420	528580	Er werden ook verschillen opgemerkt tussen aardbevingen en maanbevingen.
528580	532340	Maanbevingen komen minder snel op gang...
532340	536640	en blijven veel langer resoneren in de maan dan aardebevingen op onze planeet.
537480	541100	Zelfs kleine maanbevingen bleven makkelijk een uur door trillen.
542840	546440	De langst gemete maanbeving duurde zo'n vijf uur.
547420	551760	Dit is consistent met een poreuze maan met minder demping dan onze aarde.
552700	555480	Er zijn ook expres maanbevingen veroorzaakt...
555480	557620	om seismische gegevens te verkrijgen.
558580	562400	Zo werd bijvoorbeeld tijdens de desastreuze Apollo 13-missie...
562400	566320	een onderdeel dat niet meer nodig was tegen de maan te pletter gevlogen.
567600	569580	Het betreft de S4B Rocket Booster...
570200	572840	wat de derde trap van de Saturnus-raket was...
572840	575100	en de astronauten richting de maan stuwde.
575760	579600	Maar eenmaal bij de maan aangekomen was zo'n S4B opgebruikt...
579600	580940	en werd deze losgekoppeld.
582040	584980	Doorgaans werd de S4B-trap gewoon losgelaten...
584980	588700	om in een baan rond de zon of in het aardemaanstelsel te belanden.
589380	593140	Maar bij Apollo 13 werd expres een impact op de maan veroorzaakt.
594100	596980	Hier is de korte en enigszins humoristische conversatie...
597640	599800	tussen Ground Control en Apollo 13.
599800	609800	De impactkrater van de S4B van Apollo 13...
609800	611800	is gefotografeerd door het LRO-ruimtevaartuig...
611800	614060	waar we het eerder al over hadden.
614060	621060	De impactkrater van de S4B van Apollo 13...
621780	624060	is gefotografeerd door het LRO-ruimtevaartuig...
624740	626100	waar we het eerder al over hadden.
626680	629060	De meeste andere S4B's zijn uiteindelijk opgebrand...
629680	630800	in de aardatmosfeer.
633960	638060	Alleen de Apollo 12 S4B draait met een cyclus van 40 jaar...
638700	640720	afwisselend om de aarde of de zon.
640720	643720	Het object staat bekend als J002E3...
644460	647400	in de catalogus van door de mensen gelanceerde troep.
648700	652540	Wel werd de lem van Apollo 12 te pletten gevlogen tegen de maan...
652540	656760	nadat Piet Conrad en L. Bean waren overgestapt in de CSM...
656760	658160	om terug te keren naar de aarde.
659020	660720	Ook hierbij werd gezien, met de seismometers...
661560	663720	die de Apollo 12-astronauten zelf hadden geplaatst...
664460	668180	dat de maan seismisch veel trager is dan de aarde.
668180	673400	De kunstmatig opgewekte maanbeving van Apollo 12's LEM-impact...
673400	676180	had acht minuten nodig om haar hoogste niveau te behalen...
676900	678480	en bleef een uur natrillen.
679360	683100	Apollo 17, die laatste keer dat mensen naar de maan vlogen...
683100	684160	is een geval apart.
684920	687540	Bij deze laatste missie plaatsten astronauten...
687540	689180	Eugene Cernan en Harrison Schmid...
689840	693400	het zogenaamde Lunar Seismic Profiling Experiment...
693400	694520	op het maanoppervlak.
694520	696520	Dit bestond uit vier geofoons...
697260	699520	met een samselfrequentie van 118 hertz...
700060	701500	en acht explosieven.
702500	704840	Een geofoon is een analoog apparaat...
704840	708240	dat rondbevingen omzet in corresponderende voltages.
709200	713400	Een typische geofoon registreert relatief hoge trillingen...
713400	716060	zo vanaf 10 hertz tot 250 hertz.
716960	718880	Dit bepaalt natuurlijk in grote mate...
718880	721940	de seismische gebeurtenissen die vastgelegd kunnen worden.
722040	723480	Ja, dat is logisch.
723480	726680	De maanbevingen die door dit experiment werden vastgelegd...
726680	728480	waren met name het resultaat van de explosies.
729480	732620	Het opstijgen van de LEM Essence Stage...
732620	735080	dat is het ruimteschip dat Cernan en Schmid...
735080	736780	weer naar collega Evans bracht.
736880	738480	3, 2, 1...
739600	740220	Ignition.
740940	741940	Right away, Houston.
742160	744480	De impact van diezelfde LEM Essence Stage...
745020	747400	nadat Cernan en Schmid waren overgestapt.
748680	749480	Meteorietinslagen...
749480	753860	en maanbevingen die hun oorsprong in de maangeologie vonden.
754780	757480	De explosieven werden overigens pas tot ontploffing gebracht...
758060	760360	nadat Cernan en Schmid vertrokken waren.
760480	761420	Oh, gelukkig.
761620	765260	Zij vertrok op 14 december 1972 van de maan.
765400	766620	I tell you, you have good product.
767420	771540	De explosieven gingen af tussen 15 en 18 december van datzelfde jaar.
771540	777540	Als explosief materiaal werd JDX of hexanitro stilbenen gebruikt.
778200	779400	Tuurlijk, zouden we niet.
779480	783320	In de Taurus-Litro-Vallei, waar Apollo 17 was geland...
783320	785540	werden hogere seismische snelheden gemeten...
786180	787860	dan bij de andere Apollo-landers.
788560	791720	Zo zagen de wetenschappers die dit jarenlang bestudeerden...
791720	794760	een seismische snelheid van 300 meter per seconde...
794760	797920	bij Fra Mauro, waar Apollo 14 was geland...
797920	800420	en dezelfde snelheid in de Descartes-regio...
800420	802480	waar Apollo 16 was neergestreken.
803200	806740	Bij Apollo 17 daarentegen werden seismische snelheden...
806740	814240	van 100, 327, 495, 960 en 4700 meter per seconde gemeten.
814400	815340	Zo hé, wat veel!
815520	818760	Deze hogere overdragssnelheden hebben vermoedelijk te maken...
818760	823320	met het fijnpoederige basalt waarmee de Taurus-Litro-Vallei is gevuld.
824420	827660	Er is nog iets bijzonders over Apollo 17 te vertellen...
827660	829340	met betrekking tot maanbevingen.
829920	833760	In het Apollo-programma landde een dubbelruimtevaartuig op de maan...
833760	836240	genaamd de LEM, wat staat voor Lunar Module.
836900	839020	Tijdens de vlucht van de aarde naar de maan...
839020	841880	werd deze LEM-constructie uit de raket getrokken...
841880	844540	door de CSM, of Command & Service Module.
844720	847900	De Apollo-capsule, moederschip dus van de maanexpeditie...
847900	851600	heeft het eigenlijke maanlandingsvoertuig, de maansloep...
851600	855200	tevoorschijn getrokken uit de neus van die derde Saturnustrap.
855200	857520	De CSM bleef om de maan cirkelen...
857520	860100	terwijl de LEM afdaalde naar het maanoppervlak.
860620	863780	Het onderste gedeelte hiervan, de Descent Stage...
863780	867260	bleef op de maan achter en diende tevens als lanceerplatform...
867260	868460	voor de Essent Stage.
868960	872140	Deze Essent Stage vond zijn weg weer richting de CSM...
872140	874120	om vervolgens te worden afgekoppeld.
874880	876800	De CSM vloog terug naar de aarde...
876800	879960	en pas op het laatst werd het grootste voorstuwingsgedeelte...
879960	881700	van de CSM losgekoppeld...
881700	884320	zodat alleen een capsule met de drie astronauten...
884320	887360	en hun maanmateriaal de weg door de atmosfeer aflegde...
887360	888860	om in de oceaan te plonzen.
891440	895900	Maar goed, nu staan er dus zes Descent Stages op de maan...
895900	900520	respectievelijk van Apollo 11, 12, 14, 15, 16 en 17.
900520	905020	Deze zijn ook goed te zien op de foto's van het LRO-ruimtevaartuig.
905740	910640	In een recente studie van Francesco Civilini van Caltech University...
910640	914640	werden de seismische metingen van het Apollo 17-experiment...
914640	916800	met machine learning onder handen genomen.
917400	921360	Hierdoor werd zichtbaar dat er twee reguliere maanbevingen aanwezig zijn...
921360	922180	in de gegevens.
922940	926100	Elke maanmiddag, als de zon begint onder te gaan...
926100	929200	en de maan wat afkoelt, is er een beving waarneembaar.
929200	933620	Maar er werd ook een kleinere maanbeving geregistreerd...
933620	936940	tijdens de maanochtend, als de maan weer begint op te warmen.
938680	942320	Bij de maanbevingen gebeuren dus elke maancyclus...
942320	945080	dus om de 27,21 dagen.
945820	949280	De middagbeving wordt toegeschreven aan het opwarmen van de maan...
949280	952100	aan de zijde waar ook de seismometers hun werk deden.
952980	955940	Door de hitte van de zon zet het maanoppervlak uit...
