start	end	text
0	3580	U luistert naar Zimmerman & Space.
4960	10860	Over het onderwerp buitenaards leven hebben we het wel vaker gehad in deze serie verhandelingen.
11700	17140	En het zou maar zo kunnen dat deze generatie aardbewoners het nog gaat meemaken...
17140	23940	dat onomstotelijk wordt vastgestald dat er iets leeft of heeft geleefd buiten onze aarde.
23940	25980	Ik heb hem gehoord waar hij van was, grandpa.
26480	28960	Hij zei dat hij van heel ver weg was.
28960	33880	Maar precies dat woord onomstotelijk is mogelijk wat kort door de bocht.
34880	40020	Toch gaat deze aflevering niet of nauwelijks over de filosofische discussie...
40020	42360	wat wel of geen leven genoemd kan worden.
42980	47600	In plaats daarvan zullen we het hebben over de zogenaamde COLD-schaal.
48420	52080	COLD staat voor Confidence of Life Detection.
52380	55120	Het vertrouwen waarmee we leven detecteren.
55120	63580	Deze schaal van 1 tot en met 7 werd in 2021 in het leven geroepen door diverse medewerkers van NASA.
64480	68520	De noodzaak tot zo'n schaal komt voort uit de strekking van die vraag...
69180	71180	zijn wij alleen in dit heelal?
71180	77860	Dit is een vraag die dusdanig veel lading heeft dat we er niet van uit hoeven te gaan...
77860	80780	dat gemiddelde mensen hier redelijk mee om zullen gaan.
81520	85080	Mensen die eigenlijk nog een heleboel therapie kunnen gebruiken...
85080	86700	maar deze altijd maar omzeilen.
86700	92560	Misschien heeft u wel zo iemand in uw omgeving die iets heeft meegemaakt of gezien...
92560	97460	dat door haar of hem met stellige zekerheid wordt toegeschreven aan buitenaards leven.
97460	101920	De eerste keer in de historie kunnen we horen wat een being van een andere planet is te communiceren.
102040	106360	Dat zou wat zijn als aliens daadwerkelijk door ons luchtruim bewegen.
106360	112420	Nee, als we het aan het gemiddelde publiek en trouwens ook aan de media overlaten...
112420	118440	dan loopt elk bericht over buitenaards leven het risico gesensationaliseerd te worden.
119360	122500	Veel van ons beschikken bovendien over weinig geduld...
122500	129240	en dan wordt elk bericht over buitenaards leven al snel een ja-nee kwestie, een binaire vraag.
130140	135360	Een spannende steen op mars is dan al gauw het bewijs voor buitenaards leven.
135360	140260	Of helemaal niet het bewijs en dan is het opeens weer allemaal weggegooid geld.
141200	144300	Maar zo snel beweegt wetenschap nou eenmaal niet.
144640	148900	De zeven stappen van die COLD-schaal zijn als volgt.
