start	end	text
0	2680	U luistert naar Zimmerman & Space.
3160	5000	Hé, waar gaan we het vandaag eens over hebben, Hans?
5380	6020	Mercurius.
6180	6400	Ja?
6580	9200	Een planeet die nauwelijks onze aandacht waard lijkt.
9960	16440	Het is dat onbenullige, 4878 kilometer brede bolletje het dichtst bij onze zon.
17620	23420	Zo dicht bij die brandende gasbal is de zonnebrandcrème eenvoudigweg niet aan te slepen.
24200	27800	Bovendien, met nauwelijks een atmosfeer en op die afstand van de zon,
27800	35840	wordt het op Mercurius aan de dagzijde 430 graden Celsius en aan de nachtzijde min 180 graden Celsius.
37200	42140	Geen atmosfeer om over te spreken, te warm of te koud, te dicht bij de zon.
42480	48200	Naar Mercurius kunnen we niet verhuizen en we gaan er ook geen leven vinden waarschijnlijk, zouden we kunnen denken.
48340	50260	Hmm, dat weet ik nog niet zo zeker.
50480	53880	Toch herbergt dit kleine planeetje nog een hoop raadsels.
53880	57340	Anders zou ik er natuurlijk ook niet over beginnen in deze podcast.
57800	66800	Over ongeveer twee jaar, in december 2025, hopen de Japanse en Europese ruimtevaartorganisaties JAXA en ESA
66800	71540	dat het ruimtevaartuig BepiColombo in een baan rond Mercurius gaat draaien.
72920	78320	Wellicht kan deze aflevering van Zimmerman & Space enigszins dienen als voorbereiding daarop.
78320	98720	Het BepiColombo ruimtevaartuig is al enige tijd onderweg naar Mercurius, maar moet nog afremmen aan diezelfde planeet door middel van een gravity assist om min of meer gratis baansnelheid te verliezen.
98720	104840	Maar goed, we zeiden dat er raadsels bestaan voor wat betreft planeet Mercurius.
105460	109720	Veel van deze raadsels hebben te maken met de geologie en evolutie van Mercurius.
109720	121940	Wie op zoek gaat naar een kaart van Mercurius struikelt op het internet al snel over een gedetailleerde kaart die recent gemaakt is met foto's van het Messenger-ruimtevaartuig.
122900	129720	Een vluchtige blik op deze kaart doet vermoeden dat de volgende landingsbaan van Schiphol op Mercurius wordt aangelegd,
130440	133720	maar dat is een artefact van de wijze waarop deze foto is samengesteld.
133720	141580	Het is namelijk een plakwerk van allemaal afzonderlijke foto's en die zijn niet allemaal bij dezelfde stand van de zon genomen.
141660	143200	Aha, zo zit het dus!
143440	147160	Met dat uit de weg kunnen we ons nu concentreren op de echte raadsels.
148080	152540	Een van de eerste vreemde zaken is dat er ook op Mercurius ijs bestaat.
153880	162100	Dat klinkt bijna te gek voor woorden omdat deze planeet al een slordige 4 miljard jaar op dramatische wijze door de zon geroosterd wordt.
163720	169160	Niet te min heeft het Messenger-ruimtevaartuig bevestigd dat er, vergelijkbaar met onze maan,
169360	173500	kraters op Mercurius bestaan waarvan delen permanent in de schaduw liggen.
174080	175880	En hier bevindt zich dus ijs.
176960	181360	Waterijs zoals volgens Nancy Chabot, wetenschapper van de Messenger-missie.
182180	187260	Mogelijk is dit waterijs van redelijk recente oorsprong in de orde van een paar miljoen jaar.
187260	194180	Het zou er gebracht kunnen zijn door kometen die bij hun route om de zon tegen Mercurius de pletter zijn geslagen.
195980	200520	Dat zou kunnen verklaren waarom het ijs nog steeds op Mercurius aangetroffen wordt.
201220	203720	Maar het mysterie verdiept zich nog verder,
203920	208460	want Mercurius beschikt behalve over permanent bevroren water in kraters,
208600	211280	over een veel te actieve exosfeer.
211480	213020	Mag het in het Nederlands?
213020	217780	Dat is de officiële naam van wat we ook wel een heel dun atmosfeertje zouden kunnen noemen.
218820	224960	Specifiek worden er middels spectroscopie uitwasemingen van waterstof, natrium, helium,
225440	232960	zwavel en in mindere mate stikstof, waterdamp, koolstofdioxide, argon, krypton, neon en xenon gemeten.
234000	236820	Hoe deze stoffen op Mercurius terecht zijn gekomen,
236820	241640	en vooral ook waarom ze nog steeds uit de bodem opstijgen, is vooralsnog een raadsel.
241640	247340	Een deel van de aanwezigheid van deze stoffen zou verklaard kunnen worden door de nabijheid van de zon.
248020	253340	De zonneatmosfeer is in staat waterstof en helium richting Mercurius te slingeren.
254580	257820	En het constante bombardement van geladen deeltjes,
257940	261080	van zowel de zonnewind als van extra solaire oorsprong,
261260	265460	kan op het oppervlak van Mercurius ook het een en ander doen ontstaan aan gassen.
265460	270940	Wanneer een geladen deeltje met hoge snelheid tegen het oppervlak van Mercurius terechtkomt,
271220	273960	kunnen bij die botsing nieuwe materialen ontstaan.
274400	277740	Een proces dat op onze eigen maan bijvoorbeeld ook wordt waargenomen.
279100	282020	De gassen die op Mercurius worden waargenomen,
282240	285420	leveren nog twee fenomenen op die het melden waard zijn.
285840	287900	Het eerste is hypothetisch,
288020	293960	als in dat het nog niet 100% zeker is dat de uitwaseming van gassen hieraan ten grondslag ligt.
293960	298360	Op het oppervlak van Mercurius zijn laagvlakten zichtbaar,
298520	301320	die een vreemde maar consistente vorm hebben.
302100	305960	Een en ander begint met een donkere verzakking over een groot oppervlak,
306660	309060	waaromheen een heldere halo ontstaat.
310420	314800	De verzakkingen kennen een glad oppervlak en zijn geologisch recent.
315640	318140	Vandaar ook dat astronomen er rekening mee houden
318140	321480	dat de uitwaseming van gassen ermee te maken zou kunnen hebben.
321480	326560	De heldere halo's rond de verzakkingen hebben een steile rand
326560	331000	en bestaan hoogstwaarschijnlijk uit materiaal dat is omhoog gewerkt uit de bodem.
333040	336480	Op een gegeven moment verdwijnen de verzakkingen weer enigszins.
337720	339840	De heldere halo's verduisteren weer
339840	346420	en de laagvlaktes worden door inslagkraters van meteorieten en micrometeorieten weer aan het oog ontrokken.
346420	352740	Door naar foto's te kijken kan geconcludeerd worden dat de verzakkingen geologisch recent zijn,
352920	355740	omdat ze in verschillende stadia worden aangetroffen.
355940	357160	Oh ja, inderdaad.
357400	361600	De jongste verzakkingen zijn dan niet of nauwelijks bezaaid met kraters.
361840	363340	Ja, dat is logisch.
363500	369420	De beste foto's tot nu toe zijn tussen 2011 en 2015 genomen met het Messenger-ruimtevaartuig.
369420	378240	Het tweede fenomeen dat bij Mercurius wordt waargenomen is dat deze planeet een van de zon afgerichte gasstaart heeft.
379280	385980	Deze staart bestaat voornamelijk uit natriumgas en heeft een lengte van zo'n 24 miljoen kilometer.
387160	393740	Dat is geen kinderachtige lengte, want daarmee zijn we al een kwart van de afstand van planeet Venus tot de zon verwijderd.
394600	398500	Planeet Mercurius lijkt met deze staart enigszins op een komeet.
398500	408400	Net als bij een komeet is de staart van de zon afgericht en worden de natriumdeeltjes ook door de zonnewind weggeblazen van Mercurius af het zonnestelsel in.
411020	418400	Deze staart werd al voorspeld in de jaren 80 van de vorige eeuw, maar is inmiddels fotografisch waargenomen vanaf de aarde.
419160	424740	In de show notes van deze aflevering vindt u een link naar een foto waarop de staart goed zichtbaar is.
424740	430980	De staart wordt op aarde alleen fotografisch zichtbaar door lang te belichten en filters te gebruiken.
431840	437880	Maar de planeet zelf, Mercurius, is met het naakte oog regelmatig goed en ook gemakkelijk waar te nemen.
439320	447920	Net zoals het geval is bij planeet Venus hebben we, afhankelijk van waar Mercurius op een bepaald moment en vanuit ons gezien ten opzichte van de zon staat,
447920	452540	de kans deze planeten zien rond zonsopkomst of juist zonsondergang.
456080	465100	Want zoals het geval is bij planeet Venus hebben we, afhankelijk van waar Mercurius op een bepaald moment en vanuit ons gezien ten opzichte van de zon staat,
465240	469740	de kans deze planeten zien rond zonsopkomst of juist zonsondergang.
470780	472760	De reden hiervoor is heel eenvoudig.
473300	474920	Mercurius en Venus zijn binnenplaneten.
474920	479980	Dat wil zeggen dat ze dichter bij de zon draaien dan onze aarde.
480720	486040	En dat betekent ook dat ze nooit erg ver van de zon verwijderd kunnen staan aan onze hemel.
486940	494620	Van half september tot begin oktober van dit jaar 2023 kunt u Mercurius in de ochtendschemering ontdekken.
496260	498920	Planeet Venus is de rest van dit jaar ook een ochtendobject.
498920	507880	Dus als u een keer op een heldere ochtend wakker bent voordat de zon opkomt, kunt u proberen zowel Mercurius als Venus waar te nemen.
508780	513320	Vergeleken met reguliere sterren zijn deze twee binnenplaneten tamelijk helder.
513320	523360	En als u dan toch met uw ochtend koffie in de hand oog in oog staat met planeet Mercurius, dat niet knipperende object boven de oostelijke horizon,
523680	528820	dan vraagt u zich wellicht af hoe het zou zijn om op het oppervlak van Mercurius rond te lopen.
529700	532340	In gedachten kunnen we er natuurlijk al even naartoe gaan.
532340	545880	Onze ruimtepak beschermt ons gelukkig tegen micrometeorieten en de immense temperatuur schommelingen.
547000	553020	Zuurstof hebben we zelf meegenomen omdat de exosfeer van Mercurius een veel te lage luchtdruk heeft
553020	556780	en niet de juiste mengverhouding gassen bevat om te kunnen ademen.
556780	565140	Het eerste dat ons opvalt is dat we met grote sprongen over het desolate, rotsige oppervlak kunnen springen.
566040	569280	De zwaartekracht is hier ongeveer een derde van die op aarde
569280	573500	en de valversnelling is 3,7 meter per seconde kwadraat.
574120	577620	De grote vraag die niemand misschien heeft is
577620	583600	zouden we hier op Mercurius iets kunnen zien van die curieuze, komeetachtige staart?
583600	590620	Volgens Ron Vervec, planeetonderzoeker aan de John Hopkins Universiteit in de Verenigde Staten,
590860	596120	zou het kunnen lukken als we rond middernacht naar de horizon zouden kijken hier op Mercurius.
597300	600320	Middernacht op Mercurius vergt trouwens wel wat geduld.
601000	604620	Als u op aarde al wel eens denkt dat er geen eind lijkt te komen aan de dag,
605060	607360	op Mercurius is dat nog veel tergender.
607360	612960	Een Mercurius jaar duurt zoals we zeiden maar 88 aardse dagen,
613200	617680	maar een Mercurius dag duurt maar liefst 176 aardse dagen.
618520	621920	Dat is voor de goede orde de tijd tussen twee zonsopkomsten,
622020	624140	wat we ook wel de synodische dag noemen.
624660	626700	De siderische dag op Mercurius,
626820	629820	de rotatie ten opzichte van ver weggelegen sterren,
629960	631620	is maar 58 dagen.
631620	637040	Maar door dat relatief snelle jaar liggen de siderische en de synodische dagen
