start	end	text
180	3620	U luistert naar Zimmerman & Space.
4780	12380	Niet alleen in astronomie en ruimtevaart, maar ook in het dagelijks leven hebben we de hele dag met afspraken te maken.
13120	15620	Hoe lang moet het perfecte ei koken?
16560	21240	Wordt het morgen weer zo'n warme dag met temperaturen boven de 30 graden Celsius?
22040	28920	Of komt storm Beryl woed in het eten gooien met windsnelheden van 215 kilometer per uur?
30000	37000	In slechts 42 uur groeide deze orkaan uit van een tropische depressie naar een categorie 4 orkaan.
38280	45620	En dan fietst u wellicht met u perfect aan uw 230 volt AC stopcontact opgeladen elektrische fiets...
45620	49820	waarvan de accu een potentiaal verschil van 36 volt heeft naar uw werk.
50340	55880	Op het werk aangekomen print u een verslag van een vergadering uit op A4 papier...
55880	61080	en u leest daardoor tijdens de lunch waarbij u een volkoren boterham met pindakaas eet.
61980	68240	In deze paar voorgaande regels willekeurige onzin passeerde al een wagonlading afspraken de refu.
68440	68620	Oh?
68620	70200	Wat is een seconde?
70700	72500	Wat is 30 graden Celsius?
73040	74800	Wat is volkoren brood?
74940	76700	En wat is pindakaas eigenlijk?
76920	78680	Of 230 volt AC?
79760	84620	Zonder afspraken zou onze soort weer afdalen tot een chaos van stammenoorlogen...
85000	89620	met ook onderlinge misverstanden, gemiste afspraken, dood en verderf...
89620	94960	en een dag die in het teken zou staan van overleven in plaats van een prettig leven.
95100	97000	Well, that doesn't sound good, Hans.
97260	101260	Om samen te kunnen werken met collega's, al dan niet in andere landen...
101260	104460	en om überhaupt een poging te doen tot eerlijke handel...
104460	107620	is het van belang dat we grootheden precies kunnen uitdrukken...
108320	111000	in duidelijke, ondubbelzinnige eenheden.
111180	112660	Ja, dat is logisch.
112780	116620	Dit is natuurlijk weer een veel te groot onderwerp om in 15 minuten te wringen...
116620	120120	maar laten we toch samen naar een paar mooie voorbeelden kijken.
120400	127580	Het exact kwantificeren van grootheden zoals temperatuur, oppervlakte, volume, tijd en snelheid...
127580	129720	is het werkterrein van de metrologie.
129920	133980	Niet te verwarren met meteorologie natuurlijk, want dat is weerkunde.
135880	140700	Meteorologie, de motorolie die de motor van onze samenleving draaiend houdt...
140700	144760	en waar gewone stervelingen zoals u en ik maar nauwelijks mee te maken hebben...
144760	147300	al hebben we er de hele dag dus de mond van vol.
148240	152000	We kunnen direct een onderscheid maken tussen heel basale grootheden...
152000	154180	zoals tijd, lengte en temperatuur...
154180	156720	en afgeleide standaarden of normen...
156720	160020	zoals wat het exacte formaat van een A4-papier is.
160860	165860	Die specifieke afmetingen van papier worden omschreven in ISO-norm 216.
166200	166720	Interessant.
166720	173960	De ISO-standaards en internationale normen ontwikkeld om de grote hoeveelheid specifieke normen per land terug te dringen...
173960	177660	en wereldwijd uniformiteit en duidelijkheid af te dwingen.
178160	179640	ISO staat voor...
179640	182480	The International Organization for Standardization.
183200	188960	Interessant detail is dat de ISO-normering in eerste instantie werd ontwikkeld voor de wapenindustrie.
189140	190320	Tuurlijk, zal we niet.
190320	194280	Inmiddels is er voor van alles en nog wat een ISO-norm.
194460	197640	Ja, dat denk ik wel zo, dat dat echt zo is.
197760	203260	Sommige van deze normen zijn doorontwikkeld of overgenomen uit eerder of andere normeringen.
203860	210280	Ons A4-papiertje, en trouwens ook A3 en A2, valt dus onder ISO-norm 216.
210280	215160	Die zegt dat een A4 210 bij 297 millimeter is.
215160	223860	Maar dit formaat was eerder al omschreven in DIN-norm 476, die al uit 1922 stamt.
224640	228400	Hier volgen voor de LOL een paar interessante ISO-standaarden.
229160	232000	ISO 9660 is de compact disc.
232220	233220	Wat betekent dat?
233380	237340	Inmiddels brengen we die cd's in grote getalen naar de tweedehands winkel...
237340	242660	maar het ooit zo innoverende, glimmende discje staat omschreven in ISO 9660.
242660	248140	Misschien heeft u wel eens een lawaaiige oom op een feestje horen uitleggen...
248140	252940	dat cloud computing allemaal onzin is en dat niemand precies weet wat ermee wordt bedoeld.
253140	258040	Dan is het misschien aardig om te weten dat de taxonomie van cloud computing...
258040	262760	volledig staat beschreven in ISO IEC-standaard 22624.
263640	267980	Dit 37 pagina's tellende document legt bijvoorbeeld precies uit...
267980	273460	wat de consequenties zijn voor het porteren van cloud-based gegevens van een Europese lidstaat...
273460	274960	naar de Verenigde Staten.
275960	282100	ISO norm 3591 omschrijft exact hoe een standaard wijnglas eruit ziet.
283000	287080	ISO standaard 3103 omschrijft het perfecte kopje thee.
287820	290740	Zwarte thee staat hierin omschreven als...
290740	311600	Ook lees we hierin dat 100 milliliter van wat wij thee zonder melk noemen...
311600	313480	een 2 gram T-oplossing bevat.
314620	319680	Het is natuurlijk maar de vraag hoe vaak u daadwerkelijk ISO 3103T zet...
319680	320920	maar de standaard bestaat.
322320	323600	Oké, nog eentje dan.
324100	327860	ISO standaard 16 beschrijft de middelste A op de piano...
327860	330500	als zijnde een trilling van 440 hertz.
331620	335120	Sommige puristen spelen oudere muziek met een andere stemming.
335280	337180	Bijvoorbeeld 432 hertz.
337180	342460	De 440 hertz standaard stamt uit 1939...
342460	346500	en werd tijdens een internationale conferentie in Londen afgesproken.
347440	352180	In 1955 werd de concert A op 440 hertz officieel vastgelegd...
352740	354140	in ISO standaard 16.
354340	356120	Dwaai je niet een beetje af van het onderwerp?
356340	359200	Maar eigenlijk wou ik het helemaal niet de hele aflevering...
359200	360760	over ISO standaarden hebben.
360900	362240	Ik begon al in slaap te vallen.
362880	366580	Veel interessanter voor ons salonastronomen zijn de grootheden...
366580	368640	die door de metrologie worden beschreven.
369220	371860	Waar ISO standaard 8601 bijvoorbeeld vaststelt...
371860	374900	hoe computers het onderling eens kunnen zijn...
374900	376860	over de omschrijving van een tijdsduur...
377400	379860	valt de seconde onder het regime van de SI...
380440	382660	het International System of Units.
383640	386160	Dit kennen we ook wel als het metrisch systeem.
386940	391040	Hierin vinden we 7 eenheden en 22 afgeleide eenheden.
391040	396320	Het metrisch systeem werd op 20 mei 1875 ondertekend...
396320	398800	door 17 landen waaronder de Verenigde Staten.
399740	403060	20 mei is daarmee de Wereldmetrologie Dag.
403320	407320	De 7 basis-eenheden waarop het SI-systeem rust zijn...
407320	412600	tijd in seconden, lengte in meters, massa in kilogrammen...
412600	417600	elektrische stroom in amperes, thermodynamische temperatuur in Kelvin...
418280	423840	hoeveelheid van een substantie in mol en lumineuze intensiteit in candela's.
424880	428600	Het is prettig voor ons dat deze meet-eenheden zo exact zijn vastgelegd...
429340	433320	want daarmee worden bijvoorbeeld wetenschap en eerlijke handel mogelijk gemaakt.
433320	438280	Het SI baseert de definities van de 7 basis-eenheden...
438280	440320	op eveneens 7 natuurlijke constanten.
441580	444020	Dit zijn 7 niet-veranderende waarden...
444020	446500	die in de natuur om ons heen gemeten kunnen worden.
447220	449320	Naarmate de ontwikkeling van de mensheid voortschrijdt...
450060	454340	kan de exacte waarden van dergelijke constanten wel nog beter worden gemeten...
454340	456320	waardoor de definitie van bijvoorbeeld een kilogram...
456900	461500	over duizend jaar misschien meer getallen achter de comma kent dan nu in 2024.
461500	464500	Die 7 constanten zijn...
465060	467400	C, de lichtsnelheid in een vacuüm.
467960	474480	Deze is 299.792.458 meters per seconde.
474900	476780	H, de constante van Planck.
477660	480720	Quantum Mechanica leert ons dat energie in processen...
480720	483800	wordt uitgewisseld in pakketjes die we ook wel kwanta noemen.
483800	490260	De 26ste vergadering van de Algemene Conferentie voor Maten en Gewichten...
490260	494800	heeft op 16 november 2018 nieuwe definities van de basis-eenheden aangenomen...
495660	498300	die sinds 20 mei 2019 gelden.
498860	502040	Volgens die definities bedraagt de constante van Planck...
502040	505040	exact 6.62607015...
505040	507900	maal 10 tot de min 34ste joules seconde.
508540	511240	E, de elementaire lading van een elektron.
512540	518320	E is gelijk aan 1.602176634 maal 10 tot de min 19de coulomb.
519040	524740	Delta VCS, de hyperfijne transitiefrequentie van C-SIM-133.
524740	532580	Delta VCS, de hyperfijne transitiefrequentie van C-SIM-133.
534740	538840	C-SIM-133 is een isortoop van het metaal C-SIM.
539000	541160	Oh, ik denk dat ik het nu begin te snappen.
541520	545740	Met behulp van microgolfstraling kan het buitenste elektron van C-SIM-133...
546600	549460	tussen twee staten van energie heen en weer springen.
549460	557560	Dit gebeurt bij een frequentie van 9.192.631.770 hertz.
558220	560160	K, de Boltzmann-constante.
560820	564440	Deze constante verbindt de energie van een object met de temperatuur.
565120	572380	De SI-definitie van K bedraagt 1.380649 maal 10 tot de min 23ste joule per kelvin.
573220	575620	NA, de Avogrado-constante.
576120	579420	Deze omschrijft hoeveel deeltjes er in een mol zitten.
580180	583100	Wellicht herinnert u zich dit nog wel van de scheikunde lessen.
583920	591600	Volgens de SI-definitie zitten er 6.0, 2, 2, 1, 4, 0, 7, 6, 10 tot de 23ste deeltjes in een mol.
592340	598460	En de laatste van de zeven KCD, oftewel de lichtopbrengst van monochromatische straling...
598980	602640	op een frequentie van 540 maal 10 tot de 12de hertz.
602640	604320	Ik snap hier helemaal niks van.
604460	608140	Dit klinkt mogelijk wat arbitrair, maar gaat eigenlijk over ons oog.
608280	609280	Well, I don't see it.
609280	614740	Monochromatische straling op een frequentie van 540 maal 10 tot de 12de hertz...
614740	616420	is eenvoudigweg groen licht.
616740	619880	En wel op de frequentie waar ons oog het meest gevoelig is.
620000	620600	Did you see it?
620600	627740	Met lichtopbrengst bedoelt deze definitie de hoeveelheid zichtbaar licht die een lichtbron produceert...
627740	629200	van een bepaalde hoeveelheid vermogen.
629200	635260	specifiek staat KCD voor 683 lumen per watt.
635260	642140	Die frequentie van 540 maal 10 tot de 12de hertz is misschien wat onderzichtig voor ons.
642780	648480	Want doorgaans specificeren we zichtbaar licht in golflengtes met een eenheid van nanometers.
648740	650000	Oh ja, inderdaad.
650140	656260	Met die eerste constante die we noemden, de lichtsnelheid, kunnen we van de ene eenheid naar de andere eenheid omrekenen.
656920	658200	Pak de rekenmachine er maar bij.
658400	662560	De golflengte is simpelweg de lichtsnelheid gedeeld door die frequentie.
663180	670440	Als we dat in onze rekenmachine invoeren, komen we uit op groen licht met een golflengte van 555 nanometer.
671040	678760	Met behulp van deze zeven constanten definieert het SI allerlei eenheden uit ons dagelijks leven bijzonder precies.
679300	681800	Maar het is niet altijd zo geweest natuurlijk.
682060	683520	Dit wordt toch niet een geschiedenisles?
683520	687320	Een enkeling herinnert zich wellicht nog de dienst van het eikwezen.
688080	692280	Eikmeesters reisden rond om gewichten te kalibreren en te justeren.
693600	699340	Door gebruik, slijtage of roestvorming kon de massa van een gewicht kleiner of groter worden,
699460	702260	waardoor het gewicht niet meer aan de wettelijke ijs voldeed.
702880	708900	Als bewijs dat het massa stuk aan de wettelijke ijs voldeed, werd een stempel in de gewichten geslagen.
708900	713820	Tot 1973 werden hiervoor de letters van het alfabet gebruikt.
714340	720520	In 1974 werd in verband met de Europese harmonisatie overgegaan op stempels met jaartallen.
721100	730140	Deze Rijksoverheidsdienst functioneerde van 1949 tot 1986, maar het eikwezen was al opgericht in 1873.
730140	733920	De dienst van het eikwezen was zoals dat heette...
733920	742440	Belast met wettelijk voorgeschreven onderzoeken, keuringen en herkeuringen van mate, gewichten, meet- en weegwerktuigen en meetinstrumenten,
742760	746380	zomede met de toezicht op in gebruik zijnde meet- en weegmiddelen.
746880	752640	In 1987 ging het eikwezen over in het NMI, het Nederlands Meetinstituut.
752640	762240	In 1998 zijn de eikwet en het eikreglement aangepast, waardoor de wettelijk verplichte periodieke herijk van gewichten is afgeschaft.
763340	770680	Het is ook interessant om te beseffen dat we heel vaak zaken niet rechtstreeks meten, maar naar een ander fysiek proces kijken.
770820	771000	Oh?
771320	772620	Neem zoiets als de tijd.
773320	775760	We weten niet eens precies wat tijd is.
775760	784400	Afgezien van hoe we ervaren dat processen en gebeurtenissen in een bepaalde volgorde gebeuren en met zekere tred voortschrijden.
785140	791800	Maar we kunnen geen meetinstrument in de lucht houden en zeggen, ik meet het passeren van 37 seconden.
792460	803760	Wat we doen is kijken naar een ander proces dat ook in de tijd voortschrijdt en dan een afspraak maken over wat het betekent als de secondenwijzer van bijvoorbeeld een horloge van de ene waarde naar de andere springt.
805760	807980	Een ander mooi voorbeeld is temperatuur.
808580	815140	Uw buitentermometer of koortstermometer meet helemaal geen temperatuur, maar een andere fysieke eenheid.
815280	815720	Echt?
815980	819740	Bijvoorbeeld de weerstand die gemeten wordt in een platinadraadje.
820020	827120	Of in een glazen thermometer de expansie of contractie van een vloeistof onder invloed van temperatuurschommelingen.
827120	833160	Daarmee is niet gezegd dat temperatuur nooit rechtstreeks zou kunnen worden gemeten.
833260	845220	Bij het NIST werken mensen als Daniel Barker, Eric Norgard en Steven Eccle aan het rechtstreeks meet van bewegingen en snelheden van atomen in een gas van rubidium met behulp van lasers.
845220	854000	Het zal nog wel even duren voordat u een dergelijke rubidium thermometer bij de DA of het kruidvat haalt, maar er wordt wel aangewerkt.
854800	862520	En u zou kunnen zeggen dat als we naar de snelheden van atomen kijken dat we nog steeds niet echt temperatuur meten, maar dat is een andere discussie.
863280	867000	Dat NIST is wel eens vaker ter sprake gekomen in deze podcast.
867000	873500	NIST staat voor National Institute of Standards and Technology en werd opgericht in 1901.
874540	879560	Het NIST is een van de oudste natuurwetenschappelijke laboratoria van de Verenigde Staten.
880240	886880	Het werd opgericht om een grote uitdaging voor de industriele concurrentiekracht van de Verenigde Staten te verwijderen.
886880	895760	Een tweederangs meet-infrastructuur die achterbleef bij de mogelijkheden van het Verenigd Koninkrijk, Duitsland en andere economische rivalen.
895760	905560	Van het slimme elektriciteitsnetwerk en elektronische medische dossiers tot atoomklokken, geavanceerde nanomaterialen en computerchips.
905880	913520	Talloze producten en diensten zijn op de een of andere manier afhankelijk van technologie, metingen en normen geleverd door dit NIST.
913520	914480	Nou, Hens?
914760	918660	Eerder in deze aflevering hadden we het al over een boterham met pindakaas.
919600	923620	Ook wat standaard pindakaas is, wordt bijgehouden bij het NIST.
923780	924380	Rot op.
924380	928300	Standard Reference Material 2387.
928780	929500	Peanut butter.
930640	934600	Het NIST heeft potjes standaard pindakaas klaar liggen voor fabrikanten.
935260	938500	Eén zo'n potje is volgens een medewerker rond de duizend dollar.
939160	939680	Zoveel?
939680	951080	Niet omdat het zulke lekkere pindakaas is, deze pindakaas is zelfs helemaal niet geschikt voor consumptie, maar omdat het de standaard is waarnaast uw eigen gefabriceerde pindakaas gemeten kan worden.
951880	957500	Het gaat hier niet alleen om de hoeveelheid pindaas, zout en vet, al worden die wel gekwantificeerd.
957500	966960	Maar ook de hoeveelheid van bepaalde kankerverwekkende gifstoffen, die worden geproduceerd door schimmels op pinda's, zijn gestandardiseerd in de NIST pindakaas.
967080	967820	Klinkt niet lekker.
967820	974860	Maar bijna alles wat u kan verzinnen wordt in een enorm ware huis door NIST bewaard, zodat er een monster van bestaat.
975460	976700	Standaard huisstof?
977160	978580	Een stukje dolfijn?
979340	980620	Een standaard sigaret?
981400	986720	Er is een fantastische YouTube van Veritasium waarin u wordt meegenomen door het NIST.
987220	990740	Een link vindt u in het bijschrift van deze podcastaflevering.
994200	997400	Nederland heeft haar eigen NIST-achtige bedrijf.
997820	1002280	We noemden het al eerder het Nederlands Meetinstituut of NMI in Delft.
1003020	1008920	Het NMI is door de Nederlandse overheid aangewezen om bijvoorbeeld erkende keurders te certificeren.
1009760	1015140	In de huidige klimaatdiscussie is het bijvoorbeeld van belang om uitstoot precies te kunnen meten.
1015540	1021200	Een apparaat dat pretendeert uitstoot te kunnen meten moet uiteraard getest en gekeurd kunnen worden.
1021700	1023960	Zie hier de rol van erkende keurders.
1024640	1026300	Maar het NMI doet nog veel meer.
1026300	1031440	Hier worden ook nieuwe standaarden in het leven geroepen als de samenleving hierom vraagt.
1031440	1038960	Ook verzorgt het NMI training voor professionals en kent het testomgeving en methodes voor een veelheid aan tests.
1039840	1046440	Als u een meetinstrument bouwt en wilt weten hoe het apparaat zich gedraagt onder invloed van sterke radiostraling...
1046440	1049340	kunt u een dergelijke test via het NMI aanvragen.
1049340	1056720	Op hetzelfde adres als het NMI vinden we ook het VSL, het Van Zwinden Laboratorium.
1057300	1060580	Dit is het Nationaal Meteorologisch Instituut van Nederland.
1061440	1066500	Het verschil tussen NMI en VSL zit met name in de rijkwijde van deze bedrijven.
1066500	1074500	Het NMI kunnen we definiëren als onafhankelijke specialist voor wettelijke meteorologie, test- en inspectiediensten in Europa...
1075320	1076880	met een wereldwijde functie.
1077980	1084500	Het VSL is door het Ministerie van Economische Zaken aangewezen als onafhankelijke en onpartijdige organisatie...
1085640	1090800	om zorg te dragen voor het verwezenlijke en beheren van de nationale meetstandaarden van Nederland.
1090800	1097260	Deze meetstandaarden maken meetresultaten van bedrijven, laboratoria en instellingen...
1097260	1103320	direct herleidbaar naar internationale standaarden, zoals de SI-eenheden waar we het eerder al over hadden.
1104040	1109780	En als u nog wakker bent, vraagt u zich misschien af wat dit alles met sterrenkunde en ruimtevaart te maken heeft.
1109940	1110240	Voor jou?
1110460	1111320	Bijna alles.
1111560	1111740	Oh.
1112880	1119780	Bij een raketlansering moet er een afspraak bestaan over wat nog een te tolereren hoeveelheid luchtvervuiling is...
1119780	1124640	of hoe hard de capsule mag kunnen trillen zonder dat de apparatuur daarbij beschadigd raakt.
1125700	1131280	Om de snelheid van een raket te kunnen meten, moeten we het eens zijn over afstanden en tijdseenheden.
1131940	1135840	Ook fijn als we precies weten wat de ontsnappingssnelheid van de aarde is...
1135840	1139620	en welk effect brandstof heeft in verhouding tot de massa van een raket.
1140280	1146800	Wanneer bijvoorbeeld een Boeing Starliner gelanceerd wordt en aankoppelt aan het International Space Station...
1146800	1152920	willen we weten wat de standaard is voor lucht om in te ademen tijdens de reis en wat de standaard luchtdruk is.
1153760	1159420	Hoeveel stof er in de lucht mag zitten tijdens een reis, zodat astronauten hier geen hinder van ondervinden.
1159960	1164440	Om aan te koppelen aan het ISS is er een standaard koppelstuk nodig...
1164440	1168680	zodat astronauten veilig van capsule naar het ISS kunnen overstappen.
1169140	1174860	En om überhaupt in de juiste baan te kunnen komen, moeten we precies weten wat de seconde is...
1174860	1179360	en wat er met de tijd gebeurt als een ruimtevaartuig het aardoppervlak heeft verlaten.
1180280	1183840	Om berichten heen en weer te sturen tussen aarde en ISS...
1183840	1187780	moeten we het eens zijn over het type informatie dat heen en weer wordt gestuurd.
1188520	1193540	Om veiligheid en privacy te garanderen, moeten ook daar standaarden over bestaan.
1193540	1194760	En geloof je er zelf in?
1194960	1200500	Voor wetenschappelijk onderzoek moeten we weten welke frequenties absorptielijnen in stoffen hebben...
1200500	1202680	en wat zo'n frequentie precies betekent.
1202840	1203820	Wat betekent dat?
1204320	1208980	Instrumenten zoals CCD en CMOS chips moeten bovendien ook geëikt worden...
1208980	1212940	zodat we weten voor welke frequenties deze instrumenten gevoelig zijn...
1212940	1216740	en welke metingen bij welke frequenties licht verwacht mogen worden.
1217340	1219620	En nog één ding, en dan zal ik echt ophouden.
1219720	1220640	Oh, gelukkig!
1220640	1226600	Voor de mensheid is het van groot belang dat over standaarden internationale consensus bestaat.
1227180	1231860	De enige manier om wetenschappelijke gegevens met elkaar te delen en te vergelijken...
1231860	1236060	is wanneer deze is gebaseerd op dezelfde definities van eenheden.
1237120	1238340	Tot de volgende keer!
