start	end	text
0	11180	Dit is onze commemoration dat we hier zijn tot iemand zoals ons, tot sommigen van jullie die de volgende zijn, komen terug naar het weer terug te leren.
11520	14800	En om verder de expiratie en de meaning van Apollo.
15380	19400	Dat waren de laatste woorden die vanaf de maan werden uitgesproken.
19400	30660	Op 14 december 1972 steeg astronauten Eugene Cernan en Harrison Schmid op uit de Taurus-Litro-Vallei op de maan om terug te keren naar de aarde.
31120	44080	Toen zij samen met collega-astronaut Ron Evans op 19 december 1972 in de stille oceaan landen begon een lange stilte in de bemande ruimtevaart voorbij onze planeet aarde.
44080	51080	Nooit meer reisten astronauten verder dan in een baan rond de aarde sinds die december 1972.
51500	52740	Dat is toch niet te geloven?
52960	58220	Maar wie het ruimtenieuws een beetje volgt weet dat dat allemaal op het punt staat te gaan veranderen.
59100	63100	Nog dit decennium zullen astronauten terugkeren naar de maan.
63520	69440	Waar de Apollo-maanreizen van de vorige eeuw op zichzelfstaande korte heen- en weervluchten waren,
69440	74400	ligt het in de verwachtingen dat we permanent bewoonde maanbasis gaan krijgen.
74820	79360	En een permanent om de maan cirkelend ruimtestation, de Lunar Gateway.
80960	88260	Meerdere mogendheden zullen vestigingen op de maan bouwen en daar weken, maanden of zelfs jarenlang verblijven.
88900	93340	Dat roept al snel de subtiele, maar even zozeer fundamentele vraag op.
94580	96420	Hoe laat is het op de maan?
96420	100200	Nou ja, net zo laat als op aarde zouden we kunnen denken.
100640	103900	Maar zo eenvoudig liggen de kaarten helaas niet.
104040	109380	Hij heeft de klokhoorn luiden, maar weet niet waar de klepel hangt.
109460	112420	Als meerdere vestigingen op de maan onderling willen communiceren,
113580	117140	willen navigeren op de maan zoals we dat op aarde kunnen met gps,
117660	121420	en contact willen kunnen onderhouden met ruimtevaartuigen die om de maan cirkelen,
121420	128300	dan ontstaat de behoefte aan atoomklokken die een centraal gereguleerde maantijd aanhouden.
128800	133420	Het is niet per se voor de hand liggend hoe een dergelijke klok de tijd moet gaan bijhouden.
134640	140640	De definitie van een seconde is wel ondubbelzinnig vastgelegd in het International System of Units.
140640	147340	Deze definitie kennen we sinds 1967 en is niet meer gekoppeld aan de rotatie van de aarde.
