start	end	text
0	3740	U luistert naar Zimmerman & Space.
4140	7980	Hé, dat was een nieuwe Myrthe van der Drift aankondiging.
8120	9800	Wacht, spoel ze even terug, Hans.
10040	10540	Oké.
13400	17320	U luistert naar Zimmerman & Space.
19160	24000	Sommige astronomische wetenswaardigheden gooien bestaande modellen overhoop...
24560	28200	en vragen om nieuwe verklaringen voor dat wat waargenomen wordt.
28200	32600	Vandaag ook weer een mooi en mysterieus geval wat daaronder valt.
33040	34940	Het wordt beschreven in het artikel...
34940	38280	A Long Period Radio Transient, active for three decades.
38280	41280	Van astronoom Natasha Hurley Walker en collega's...
42100	45260	dat in juli vorig jaar verscheen in het tijdschrift Nature.
46060	48760	In die titel vallen drie zaken op.
49320	51920	De waarneming betreft een radio transient.
52500	55160	Het geval in kwestie heeft een long period.
55580	57880	En is al drie decennia actief.
58200	61020	We hobbelen hier voor nu even overheen...
61020	63860	maar als u de moed heeft deze aflevering uit te luisteren...
63860	65720	zal alles hopelijk begrijpelijk zijn.
66540	70820	Maar daar moeten we gelijk een kleine teleurstellende kanttekening bij plaatsen.
70940	71140	Oh?
71560	75420	En dat is dat astronomen deze waarneming nog niet goed kunnen duiden.
76120	78020	Wat we er vandaag dus ook over zeggen...
78020	81680	het kan altijd nog zijn dat het totaal iets anders blijkt te zijn.
81900	83120	Hoezo verbaast mij dat niet?
83120	88360	Maar laten we eens beginnen met dat het verschijnsel een radio transient genoemd wordt.
89080	89940	U raadt het al.
90040	94780	Voor de zoveelste keer hebben we het over dat fascinerende vakgebied van astronomie...
94780	96780	de radiosterrenkunde.
97360	99780	Dat het een radio transient genoemd wordt...
99780	102780	wil zeggen dat er in een waarneming aan de radiosterrenhemel...
102780	104780	opeens iets is...
104780	107000	en dan is het weer foetsie.
107620	109600	Een niet-permanent iets dus.
110620	112620	Als het eenmalig waargenomen wordt...
112620	115520	hebben we maar weinig houvast naar de oorzaak van zoiets.
115740	116160	Echt?
116660	119520	Het geval van vandaag is echter repetitief.
121420	123480	Nou is dat op zich niet nieuw.
124400	128440	Pulsers worden ook waargenomen als zich in de tijd herhalende fluctuaties...
129200	132080	in het radiogebied van het elektromagnetisch spectrum.
132080	135620	Het geratel dat u bijvoorbeeld op de achtergrond hoort...
135620	137900	is het ronddraaien van een pulsar...
137900	140920	vertaald van radiostraling naar hoorbaar geluid.
142020	145360	Zo'n pulsar is een snel ronddraaiende neutronenster.
146540	151260	Snel is dan in het uiterste geval 716 keer per seconde...
151260	156500	zoals in de pulsar PSR-J17482446AD.
156500	162040	En de langzaamst bekende pulsar is PSR-J0250-5854.
163940	168340	Deze draait elke 23 en een halve seconde een rondje om haar as.
169200	171520	Toch is dat nog behoorlijk snel natuurlijk.
172360	176100	De natuurkunde die aan dit snelle ronddraaien van pulsars ten grondslag ligt...
176100	179320	is de wet van behoud van impulsmoment.
180320	184420	Als u klassieke mechanica heeft gehad bij natuurkunde op school...
184420	186220	is het zeker aan de orde gekomen.
187460	189100	Het klinkt voor ons aardlingenvreemd...
189920	194680	dat een complete ster 716 keer per seconde om haar as kan draaien.
195220	199480	Maar dat is alleen omdat we dat soort dingen in het dagelijks leven niet meemaken.
199480	205380	U ziet ook geen walvis of kerktoren 716 keer per seconde ronddraaien.
205940	207340	Dat zou ook helemaal niet lukken...
207340	211620	want dan zou het walvis vet of dan zouden de bakstenen ons om de oren vliegen.
213400	217860	Een neutronenster daarentegen is voor aardse begrippen een heel raar ding.
218700	220420	Dit is de rest van een ster...
220420	222620	die door de zwaartekracht geannihileerd is...
222620	225720	tot een dicht op elkaar gepakte klomp neutronen.
225720	228820	Een en ander is ontstaan in een explosie...
228820	232900	waar zelfs de meest ervaren terrorist diep van onder de indruk zou zijn.
234540	238440	En die neutronenster kan niet anders dan snel gaan draaien...
238440	241680	aangezien de wet van behoud van impulsmoment ontzegt...
241680	244140	dat L is x maal m maal v.
244820	246980	Tuurlijk, Hans. Tuurlijk.
247360	250600	L is daarbij het impulsmoment, wat dus gelijk blijft.
251020	254920	M, de massa, die wel afneemt in een supernova-explosie...
254920	257900	waarin het geval van een sterker aanzienlijk blijft.
