start	end	text
0	2380	U luistert naar Zimmerman & Space.
2980	7940	Als technologie weer eens een forse stap vooruit maakt, word ik altijd aangenaam verrast.
8140	8440	Jee!
8680	11980	Vandaag een dergelijk voorbeeld uit de radioastronomie...
11980	16560	en dan ook nog met het oog op technologisch geavanceerde civilisaties.
17460	20060	We zullen het eerst even rustig opbouwen.
20160	21580	Hoef, ik vind het spannend. Ja, ready!
22020	26180	Al langer denkt de mens dat wij mogelijk niet alleen zijn in dit heelal.
26180	32180	De uitdaging is om levenstekens van andere wezens te vinden in een uitgestrekt heelal...
32700	37520	waarin we niet weten waar we moeten zoeken en ook eigenlijk niet precies wat we zoeken.
37720	39060	Ja, het is echt gênant.
39200	42620	Om toch iets van richting aan onze nieuwsgierigheid te geven...
42620	46020	kunnen we de zoektocht grofweg indelen in twee onderdelen.
46560	47000	Eén.
47400	51200	Het eerste onderdeel betreft astrobiologische kenmerken...
51200	53720	die we ook voor primitief leven kunnen verwachten.
53720	57900	Als we ervan uitgaan dat leven elders lijkt op dat op aarde...
57900	61560	dan zouden we mogelijk ook biochemisch bewijs daarvan kunnen vinden.
62140	64720	Dan zoeken we bijvoorbeeld naar andere planeten met atmosferen...
65560	70960	waarin we zuurstof, water, koolstofdioxide, methaan, et cetera, aantreffen.
71360	71800	Twee.
72040	75200	Het tweede onderdeel van de zoektocht is wat optimistischer...
75200	78840	en zegt dat we mogelijk niet de enige intelligente levensvorm zijn.
78840	85060	Een levensvorm elders zou dan mogelijk ook draadloze communicatie hebben uitgevonden...
85060	90220	en zelfs bakens kunnen uitzenden om ons op de hoogte te brengen van hun aanwezigheid.
91580	93720	Een beetje zoals we andersom ook doen.
94880	98360	Het luisterend oor voor dit doel staat bekend als CETI...
98360	101060	de Search for Extraterrestrial Intelligence.
101060	105440	Dit instituut werd al in 1984 opgericht...
105440	109180	maar bestond daarvoor al als een klein onderzoeksproject van NASA.
110220	112440	Inmiddels is CETI een gigantisch instituut...
113200	116820	waarin ook veel wordt gedaan op het gebied van voorlichting en educatie.
118000	122840	Wat echter tot op heden ontbreekt zijn berichten van buitenaardse civilisaties.
123300	124720	En er wordt heus wel gezocht.
124720	131580	Misschien heeft u de afgelopen jaren ook wel een deel van uw computertijd gedoneerd aan project CETI at Home.
132480	138040	Maar helaas, E.T. werd niet gevonden en CETI at Home staat momenteel op de pauzestand.
139180	144060	En misschien deed u ook wel mee met de zoektocht Are We Alone in the Universe van Zooniverse.
144640	150880	Hierbij werden gegevens van de Green Bank radiotelescoop door burgerwetenschappers doorgespit...
150880	154060	om veelbelovende signalen te onderscheiden van ruis.
154720	160960	Specifiek werd gekeken naar smalbandige, regelmatige gegevens op de waterstoflijn...
160960	166320	met een golflengte van 21 centimeter, waar we het onlangs al over hadden in deze podcast.
167160	171900	Een uitdaging is het herkennen van aardse radiofrequentie-interferenties...
171900	177540	die misschien lijken op uitzendingen van aliens, maar in werkelijkheid gewoon een aardse oorsprong hebben.
177540	190780	Het Are We Alone in the Universe project had als tweede doel om algoritmes te verbeteren...
190780	197780	die in staat moeten zijn om automatisch onderscheid te maken tussen radio-interferenties van aardse oorsprong...
197780	201540	en potentiële uitzendingen van buitenaardse wezens.
202740	206260	Sommigen van u zullen wel eens gehoord hebben van het WOW-signaal.
206980	214780	Dit signaal werd op 15 augustus 1977 aangetroffen in een radio-observatie van de Big Ear radiotelescoop.
214780	215780	Wauw!
216820	222220	Tot op heden is er geen goede verklaring gevonden voor het WOW-signaal, maar ook geen herhaling.
223260	229280	Is dit dan de magere vangst van decennia luisteren naar uitzendingen van buitenaardse oorsprong?
229500	230260	Wauw!
231380	232100	Niet helemaal.
232860	237000	Er was ook het BLC1-signaal in april en mei 2019.
237000	245000	Ook dit was een afwijkend radiosignaal, in dit geval op een frequentie van 982.002 MHz.
246100	249000	Het werd ontdekt met de Parkes radiotelescoop in Australië...
249580	252760	en kwam ongeveer uit de richting van Proxima Centauri.
253560	258060	Maar er worden inmiddels grote vraagtekens bij de oorsprong van dit signaal gezet.
258780	261840	Mogelijk is het toch weer van aardse makelij geweest.
261840	262360	Wauw!
262360	269580	En dan is er tot slot nog project Serendip, eveneens van CETI.
270180	273580	Met de Arecibo radiotelescoop in Puerto Rico...
273580	279860	werd enkele jaren gekeken in het radiobereik van 424 tot 436 MHz.
280520	285640	Het software met de naam Siren werd naar ongeveer 40 miljoen signalen gekeken...
285640	288700	waarin 160 miljoen gebeurtenissen werden herkend...
288700	292980	en uiteindelijk rond de 164 kandidaatssignalen overbleven.
293140	294060	Zoé, wat veel!
294360	298700	Maar ook hier werd om een of andere reden geen persbericht over uitgebracht.
300220	302660	Wat we tot op heden nog niet hebben ontvangen...
302660	305920	is een signaal waar ontegenzeggelijk informatie in ligt besloten...
306540	311120	die wij kunnen begrijpen als bewust daarin gelegd door een andere civilisatie.
311120	318360	Zoiets als het Wauw-signaal kunnen we met romantische gevoelens benaderen...
318360	322280	omdat het een opvallende piek is in een verder rustig radiogebied.
322680	327860	Maar meer dan een kortstondig stuk willekeurige radioenergie is het niet.
328660	331560	De ongeïnformeerde geest zal misschien beweren...
331560	337080	dat de code 6EQUJ5 van het Wauw-signaal ergens voor staat.
337080	345080	Maar dit is alleen de aardse vertaling van radiointensiteit...
345720	347980	naar een tamelijk arbitraire codering.
348540	352780	Op een gortdroog niveau zouden we het Wauw-signaal kunnen herkennen...
352780	356080	als een normaalverdeling waarin elke waarde in de tijd...
356080	359060	feitelijk dezelfde ontologische betekenis heeft.
360060	363320	Zou een intelligente civilisatie echt haar best doen...
363320	365740	om informatie te stoppen in een signaal...
365740	368880	dan zou het bijvoorbeeld aan de volgende verwachtingen kunnen voldoen.
369900	373420	Hetzelfde signaal zou een paar keer achter elkaar verzonden kunnen worden.
374020	375740	Dan zouden we als luisteraars zeker weten...
376460	379440	dat we het complete pakket één keer hebben binnengehaald.
380440	384740	Het signaal zou op een heel specifieke dunne frequentieband kunnen worden uitgezonden.
