start	end	text
120	2720	U luistert naar Zimmerman & Space.
2900	4280	Is er nog ruimtenieuws?
4520	8940	Een prachtig project van onze Europese ruimtevaartorganisatie ESA,
9200	12820	in samenwerking met NASA en nog enkele andere mogendheden,
13040	17460	is eind deze maand goedgekeurd door ESA's Science Program Committee.
17680	17980	Jee!
18240	22200	Dat betekent dat we nog wel een tijd moeten wachten op de eerste resultaten,
22660	25260	maar het leek me aardig genoeg om het hier te bespreken.
25980	28520	Het project heeft de naam LISA, wat staat voor...
28520	30640	Laser Interferometer Space Antenne.
30640	36320	Dit wordt onze serieuze poging om zwaartekrachtgolven vanuit de ruimte waar te nemen
36320	41720	en de sluier te lichten van een groot, nog niet waargenomen gedeelte van onze werkelijkheid.
43180	46540	Maar wat waren nu ook alweer zwaartekrachtgolven?
46640	48380	Ik zeg, wat is dit?
49080	54640	Zwaartekrachtgolven, voorspeld door Albert Einstein in zijn Algemene Relativiteitstheorie van 1916,
54640	60700	zijn een van de meest intrigerende fenomenen in de moderne astronomie en fysica.
61600	67900	Deze golven zijn rimpelingen in de kromming van de ruimtetijd veroorzaakt door massieve objecten die versnellen,
68120	71200	zoals bijvoorbeeld twee zwarte gaten die om elkaar heen draaien,
71320	73980	of twee neutronensterren die samen smelten.
75120	78700	Misschien is de term zwaartekrachtgolven zelfs iets wat misleidend,
78700	83500	want wat we eigenlijk waarnemen zijn resonanties van de ruimtetijd zelf.
87060	92620	De oorzaak ligt wel bij gebeurtenissen waar veel zwaartekrachtinteracties bij komen kijken,
92900	95220	maar wat we meten is het resultaat daarvan.
96180	102080	De essentie van zwaartekrachtgolven komt voort uit het idee dat massa de ruimtetijd vervormt,
102180	105800	waardoor objecten zich langs gekromde paden bewegen.
105800	112600	Als dergelijke massieve objecten bewegen, verandert hun kromming en worden rimpelingen gecreëerd
112600	115480	die zich als golven door de ruimtetijd verspreiden,
115680	119220	vergelijkbaar misschien met hoe een steen die in een vijver wordt gegooid,
119600	121580	golven in het water veroorzaakt.
123780	130220	De interessante eigenschap van zwaartekrachtgolven is dat ze zich voortbewegen met de snelheid van het licht
130220	133120	en vrijwel ongehinderd door materie reizen.
133120	140280	Dit betekent dat ze enorme afstanden kunnen afleggen zonder significant verlies van energie of verstoring.
141240	145480	Met andere woorden, dit is nog een instrument om diep in het verleden te kijken.
146400	150980	De detectie van zwaartekrachtgolven vereist uiterst gevoelige instrumenten,
151140	154920	zoals de Laser Interferometer Gravitational Wave Observatory,
154920	158260	afgekort als LIGO en de Virgo-detector.
159160	164060	Deze instrumenten zijn ontworpen om minieme fluctuaties in de ruimtetijd te meten,
164180	167360	ter grootte van een fractie van de diameter van een proton.
168420	170060	Ja, oké, goed, ja.
170200	176340	Op 14 september 2015 registreerde LIGO voor het eerst zwaartekrachtgolven
176340	180080	die afkomstig waren van de samensmelting van twee zwarte gaten
180080	185080	die op een afstand van ongeveer 1,3 miljard lichtjaar van de aarde om elkaar heen cirkelden.
185680	189660	Deze historische ontdekking opende een tijdperk van astronomie
189660	193600	waarin we voor het eerst in staat zijn om het universum te verkennen
193600	196580	met de ruimtetijd zelf als drillend medium.
196580	202460	Zwaartekrachtgolven stellen ons in staat om objecten en gebeurtenissen te bestuderen
202460	205260	die anders grotendeels onzichtbaar zouden blijven,
205600	210140	zoals zwarte gaten, neutronensterren en mogelijk zelfs de oerknal zelf.
212420	215480	Dat is natuurlijk een intrigerende gedachte
215480	218060	dat de trillingen in de ruimtetijd om ons heen
218060	222600	als gevolg van de oerknal nog aanwezig en zelfs misschien meetbaar zijn.
223880	226380	Daarnaast kunnen zwaartekrachtgolven ons helpen
