start	end	text
0	2400	U luistert naar Zimmerman & Space.
2620	7480	We hebben al wel eens eerder geluisterd naar een sonificatie van een pulsar.
8060	8760	Weet u het nog?
11120	14020	Dat was het geluid van de Vela-pulsar.
14920	21740	Dit is een pulsar in het sterrenbeeld Vela met een rotatieperiode van 0,089 seconden.
22780	29280	Deze pulsar is een restant van een supernova die zo'n 12.000 jaar geleden plaatsgevonden heeft.
30440	39700	Het sterrenbeeld Vela is alleen voor wie helemaal in het zuiden van de Benelux een vrije zuidelijke horizon heeft, soms een klein stukje te zien.
40460	43480	Voor de rest is het een sterrenbeeld voor het zuidelijk halfrond.
44580	46620	Maar van die pulsar ziet u toch niks.
47720	51620	Een pulsar is het eindstadium van bepaalde zwaardere sterren.
52180	59940	Als er geen energie meer kan worden geproduceerd door kernfusie in zo'n zware ster, implodeert de kern van de ster.
61000	70040	De theorie is dat de afzonderlijke protonen en elektronen dan samen een heleboel neutronen vormen die dicht op elkaar gepakt zitten.
70040	76740	Dit imploderen kan dan weer gevolgd worden door een enorme supernova-explosie.
78200	81220	Hierbij verliest de ster op leeftijd de meeste massa.
81220	89500	Door dit krimpen en de wet van behoud van impulsmoment gaat de neutronenster dan veel sneller om haar as draaien.
89980	93920	Een beetje als de schaatser die haar armen intrekt en sneller gaat draaien.
93920	100980	Zo'n neutronensterretje is echt heel klein, zo'n 20 kilometer breed.
102040	106500	Als deze ronddraaiende neutronensterne ook nog een sterk magneetveld kent,
106720	112020	dan kan het zijn dat we deze als een snel ronddraaiende vuurtoren waarnemen vanaf de aarde.
112020	119480	De bundels radiostraling die zo'n pulsar de hele tijd door het helal zwiept,
119700	122820	zien we dan in de tijd steeds weer terugkeren en weggaan.
123220	128620	In het geval van de Vela-pulsar dus elke 0,089 seconde.
129340	131680	Dat is het geluid dat we eerder lieten horen.
131680	139380	Een rotatietijd van 0,089 seconde, dat betekent een frequentie van 11 hertz.
139880	143380	Een enkeling zal nu verbaasd zijn dat we dat kunnen horen,
143580	148380	want leerden we niet bij biologie dat mensen pas geluid vanaf 20 hertz kunnen waarnemen?
148660	151920	Ja, dat klopt. En toch kunt u het horen.
152980	156720	Uw en mijn gehoor kunnen geen sinus van 11 hertz waarnemen.
156960	161660	Een sinus is een zuivere toon zonder harmonische, zoals u nu hoort.
161680	167540	Maar de sonificatie van de Vela-pulsar, die u nu hoort, is geen sinus
167540	172500	en bevat dus een hoop harmonische boven de 11 hertz die wij wel degelijk kunnen horen.
173700	177740	Als we de sonificatie van de Vela-pulsar in eind vertragen,
177980	183660	kunt u horen dat de golf allerlei extra geluid bevat en een beetje als een hartslag klinkt.
186000	189560	Het klinkt merkwaardig en zelfs ongeloofwaardig snel
189560	194240	dat een complete neutronenster 11 keer per seconde rond kan draaien.
194420	195420	Ik twijfel hieraan.
195660	200680	Het helpt misschien door te bedenken dat het hier een totaal ander soort natuurkunde betreft
200680	202480	dan wij op aarde tegenkomen.
203160	208420	Een neutronenster, en dus ook een pulsar, bestaat uit materie die op aarde niet voorkomt.
208420	217580	De dichtheid van deze materie is zo hoog dat een theelepeltje pulsar een massa van ongeveer 5,5 maat 10 tot de 12 kilogram heeft.
218420	225060	Het magneetveld aan het oppervlak van een pulsar heeft een veldsterkte van zo'n 10 tot de 11de Tesla.
226960	236400	Ter vergelijking, in een laboratorium op aarde is het op dit moment mogelijk een magneetveld met een veldsterkte van 45 Tesla te produceren.
236400	242500	Dat is al een ongezond hoge veldsterkte waarbij amfibieën gaan leviteren.
243340	250460	Op grote afstand van een pulsar zouden de atomen van uw lichaam al uit elkaar getrokken worden door het magneetveld van de pulsar.
252240	259060	Verder ondervindt een ronddraaiende neutronenster of pulsar in het heelal een verwaarloosbare hoeveelheid wrijving.
259320	263220	Dus zo kan een pulsar miljoenen jaren ongestoord rondjes draaien.
263220	269320	Het kan trouwens nog een stuk sneller dan de Vela-pulsar.
269440	270960	Dat kan je je toch niet voorstellen?
271200	274600	De Krab-pulsar draait 30 keer per seconde rondjes.
277740	281260	Daar hoorde u een sonificatie van de Krab-pulsar.
281580	283000	Nou, blij om dat te horen.
283000	292780	En van de paar duizend pulsars die de astronomie inmiddels kent is PSR J17482446AD de snelste tot nu toe.
293860	297180	Deze draait 716 keer per seconde om haar as.
298240	301000	Alles goed en wel, maar een pulsar maakt toch geen geluid?
301720	304160	Dit vraagt, denk ik, om wat extra uitleg.
304160	305060	Ja, dat klopt.
305580	307880	Daarom noemen we het een sonificatie.
308580	315240	Daarbij nemen we een periodiek in de tijd veranderende waarde en zetten deze om naar voor mensen hoorbaar geluid.
316020	323160	In het geval van de ratels en piepjes die we in deze aflevering tot nu toe hoorden, klopte steeds de x-as de tijd.
323160	326860	Tenzij we natuurlijk de boel verdraagde.
328680	336440	Maar wat we op de y-as zetten is de intensiteit van de radiostraling, maar dan als fluctuatie binnen ons gehoorbereik.
336520	338060	Aha, zo zit het dus!
338180	340300	Dat kunnen we uiteraard met van alles doen.
341020	347660	Ik heb bijvoorbeeld wel eens een decibelmeter naast mijn bed gelegd om te registreren hoe hard ik eigenlijk snurk.
347660	354100	De dB-meter meet dan om de zoveel seconden de geluidsdruk en bewaart deze getallen in een tabel.
354960	359740	Dat levert, afhankelijk van hoe nerderig u bent, interessante waarnemingen op.
359840	360960	Ben jij zo'n nerd, Hens?
361320	369800	Allereerst kon ik zien dat de constante ruisvloer van onze slaapkamer hier in Bildhoven de hele nacht rond de 30 dba SPL ligt.
370000	373840	Dat is nog steeds muisstil trouwens hoor.
373940	374860	Oh, gelukkig!
374860	377660	Bovendien slaapt mijn vrouw meestal met oordoppen in.
377960	380120	Ja, omdat jij zo ligt te snurken, Hens.
381100	385580	Mijn snurkepisodes duren minuten lang om dan weer abrupt te stoppen.
386580	390980	Dat is waarschijnlijk als ik mij omdraai of wanneer de remslaap aanvangt.
392340	393460	Een nightmeer?
393720	394740	Een horrible nightmeer.
