start	end	text
980	3700	U luistert naar Zimmerman & Space.
4060	8160	Voor jonge luisteraars van deze podcast zal het niet echt nieuws zijn,
8300	15160	maar oudere luisteraars zullen moeten erkennen dat er momenteel een kentering plaatsvindt in de ruimtevaart-economie.
16020	21480	Tijdens mijn schooltijd was ruimtevaart iets van NASA, ESA en de Sovjet-Unie.
21480	22520	Sojus, dit is Apollo.
23900	25840	Nu is H4 open, over.
25840	29380	1975 was het jaar van Apollo-Soyuz,
29520	36060	waarin astronauten van zowel de Verenigde Staten als Rusland elkaar letterlijk de hand schudden in een baan rond de aarde.
36980	39240	Hier was de ruimte wetloop ten einde.
40160	45000	Samenwerking tussen de grote mogendheden in het belang van wetenschap was de toekomst.
46580	49840	Tenminste, zo zag mijn naïeve zelf dat destijds.
51460	54360	Waarschijnlijk ligt het aan mijn pacifistische opvoeding,
54360	58960	maar ik vond die concurrentie tussen Rusland en de VS in de vorige eeuw maar niks.
59480	63360	Zo zonde van al die moeite, tijd, energie en dat geld.
64420	70820	Waarom werken mensen niet gewoon samen aan één beste raket, één beste strategie om op de maan te landen?
71280	73840	Maar in de praktijk is ook dat een naïeve gedachte.
73840	81840	Concurrentie is een speerpunt van kapitalisme en is ook de enige reden dat we nu bijna allemaal beschikken over krachtige computers,
82840	89940	mobiele telefoons die vooral gebruikt worden voor andere dingen dan telefonie, realistische games en wat dies meer zijn.
90660	94480	Maar een ambivalent gevoel hierover blijft wel aan mij knagen.
94480	101800	In het kader van wetenschap en vooruitgang zou ik toch wensen dat alle aardbewoners kunnen profiteren van vooruitgang.
101960	105480	Dat niemand meer honger heeft, dat er geen oorlogen meer zijn,
105680	109280	dat iedereen oog heeft voor het verschil tussen het mijn en het dein.
111080	112420	Maar ja, zo werkt het niet.
112420	125440	We zijn aangekomen in een tijd waarin nieuwe kansen liggen voor commerciële bedrijven en organisaties als NASA, ESA, JAXA, etc.
126380	131020	In september 2022 schreef Thomas Roberts nog in het artikel
131020	132920	Space Launch to Low Earth Orbit.
133320	134320	How much does it cost?
134320	143620	In Aerospace Security dat de kosten om een satelliet te lanceren per kilogram met 95% waren gezakt ten opzichte van de jaren 60.
144560	152380	En dit terwijl de Futron Corporation in 2002 nog waarschuwde dat de kosten voor het lanceren van satellieten te hoog waren
152380	155560	om een toename in commercieel gebruik mogelijk te maken.
157700	162720	Misschien is het wel aardig de omzet in de raketindustrie eens in beeld te krijgen.
162720	164420	Hoef, ik vind het spannend. Ja, ready.
