start	end	text
0	3660	U luistert naar Zimmerman & Space.
4160	4660	Een podcast?
5000	5520	Ja, een podcast.
5920	6240	Wat?
6600	7540	Ja, over sterren.
7980	8580	Sterren?
8800	11020	Nou, ik weet niet of ik daar naar wil luisteren hoor.
11480	17040	De aflevering van vandaag vertelt ons hoe ver de astronomische wetenschap al gevorderd is,
17200	19960	mocht u daar op dit moment in uw leven behoefte aan hebben.
20060	20900	Ah, I don't know.
20960	23240	En ook als u daar geen behoefte aan heeft.
23420	24320	Oh, gelukkig.
24320	33760	Het begint allemaal met een artikel dat vorige maand, april 2024, werd geaccepteerd voor publicatie in het tijdschrift Nature met als titel
33760	38180	A secondary atmosphere on the rocky exoplanet 55 Cancri e.
38660	46200	Dit artikel gaat over de rotsachtige exoplaneet 55 Cancri e in het dierenriemsterrenbeeld de Kreeft.
46200	55820	Kreeftster 55A beschikt over minstens vijf exoplaneten waarvan 55e het dichtst rond de ster draait.
56500	64780	In vergelijking met ons eigen zonnestelsel draait 55e op ongeveer 1,25ste van de afstand van Mercurius tot de zon.
65520	70880	Dus als u denkt dat het op 55e tamelijk warm zal zijn, dan heeft u groot gelijk.
70880	77120	In 0,74 dagen zoeft 55e eenmaal rond haar ster.
77740	86540	De kans is daarom groot dat 55e in een toestand van baanresonantie verkeert en altijd met dezelfde zijde naar haar ster wijst.
87440	91080	Dan is het aan een kant altijd dag en aan de andere kant altijd nacht.
91500	97500	Dat is te vergelijken met het bakken van een hamburger en dan vergeet het ding in de pan een keer om te draaien.
97500	109380	Voordat we zullen bespreken wat er met de VEP ruimtetelescoop is ontdekt bij deze exoplaneet en wat de titel van deze aflevering daarmee te maken heeft, zullen we eerst wat details bespreken.
109500	110020	Dat is goed.
110700	119980	55 Kangri-E werd al in 2004 ontdekt door middel van de transitmethode met behulp van metingen met de aardse Hobby-Eberley-telescoop.
120080	122500	Dit vraagt denk ik om wat extra uitleg.
122500	132720	Bij die transitmethode zien astronomen dat sterrenlicht tijdelijk en regelmatig iets verduisterd wordt wanneer de exoplaneet vanuit ons gezien voor de ster langs trekt.
133420	141700	Immers een planeet straalt van zichzelf geen licht uit en wanneer we zien dat deze voor de ster langs beweegt zien we per definitie de nachtzijde.
143660	148140	55e staat op een afstand van ongeveer 41 lichtjaar van ons vandaan.
148140	155900	Deze exoplaneet heeft ongeveer 8 keer de massa van onze aarde en 1,84 keer de radius van de aarde.
156780	159140	Daarmee is dit een zogenaamde superaarde.
159400	160120	Ja, dat zeg jij.
160620	165760	Astronomen schatten de dichtheid van de planeet op 5,4 keer die van onze planeet Jupiter.
166280	171500	En de zwaartekracht op het oppervlak is dan 2,37 keer die van onze planeet aarde.
171860	174020	Oftewel 2,37 g.
174020	187300	De ster 55a in sterrenbeeld de kreeft waar exoplaneet 55e omheen draait is een K045 ster met een massa van ongeveer 0,9 keer die van onze zon.
188340	194520	Omdat 55e zo dicht om haar ster draait is het beslist geen planeet waar we leven kunnen verwachten.
194660	195560	Weet je dat wel zeker?
195560	198220	Toch vinden astronomen het een boeiend object.
198560	201680	Omdat het hoogst waarschijnlijk een rotsachtige planeet is.
201800	204820	Net zoals onze aarde, Mercurius, Venus en Mars.
205780	210040	Maar rotsachtig doet als beschrijvende term deze exoplaneet tekort.
210160	214420	Want 55e zal waarschijnlijk vooral gesmolten steen bevatten.
215240	215800	Magma.
216620	222820	En dat is interessant, want onze aarde was in de begindagen ook een onherbergzame wereld van gesmolten steen.
222820	229640	En toch is bij onze planeet ooit een atmosfeer ontstaan waarin u nu naar deze aflevering luistert.
229760	230500	Ja, dat zeg jij.
230800	238400	In 2012 kwam 55e al in het nieuws toen gesuggereerd werd dat de planeet grotendeels uit diamant zou bestaan.
239360	244620	Sommigen van ons begonnen al ruimtevaartuigen in elkaar te lassen om de buit op te gaan halen.
245280	252060	Maar gelukkig bleef iedereen met beide voeten op aarde, want 55e verloor haar status als diamantenplaneet.
252820	260460	Er zijn wel sterke aanwijzingen dat koolstof, het hoofdbestanddeel van diamant, aanwezig is op 55e.
260980	263960	Maar niet in de vorm van diamant, denken astronomen nu.
264060	265340	Dat is vervelend.
265600	268620	Hoe het wel zit met die koolstof bespreken we zo meteen.
268800	269140	Oké.
270400	273680	55e kwam eind 2015 ook al in het nieuws.
273680	275480	Toen verscheen het artikel
275480	279000	Variability in the Super Earth 55 CNCE
279000	283000	In the Monthly Notices of the Royal Astronomical Society.
284060	288420	Hierin lezen we dat het onderzoeken van de atmosfeer van rotsachtige exoplaneten
288420	292900	met een massa tussen de 1 en 10 keer die van onze aarde problematisch is.
293500	296380	Want uit de spectra van dergelijke exoplaneten
296380	300840	konden met de apparatuur in die tijd geen bruikbare spectra verkregen worden.
300960	302380	Ik snap hier helemaal niks van.
302380	307480	Bruikbaar zijn spectra waaruit iets gezegd kan worden over de samenstelling van de atmosfeer.
308200	313120	Maar 55e kreeg wel de eer de eerste rotsachtige exoplaneten zijn
313120	316440	waarop atmosferische activiteit kon worden gemeten.
317240	319720	Hoe kan dat dan wel, vraagt u zich wellicht af.
319860	321060	Dat is eigenlijk een goede vraag.
321340	326120	Nou, wat gezien werd, waren grote temperatuurschommelingen op 55e.
326560	331000	In een periode van twee jaar werd gezien dat de temperatuur op het oppervlak
331000	335220	bijna drie keer hoger kon worden aan de dagzijde van 55e,
335580	339580	variërend van ongeveer 1000 tot 2700 graden Celsius.
340420	340980	Zoveel?
341020	342340	Dat is een enorm verschil.
343560	347000	Deze schommelingen kunnen bijvoorbeeld verklaard worden door vulkanisme.
347860	351840	En dan niet zozeer dat de atmosfeer boven een vulkaan een stuk warmer wordt,
