start	end	text
280	7140	Stof. Valt daar nou een hele column mee te vullen? Als een stofzuigerzak?
8000	10540	Nou ja, het is reuze interessante stof.
11560	16220	We vinden stof overal om ons heen. Vooral als je niet zoveel stof zuigt.
16340	16640	Hens!
16860	22120	Stof zoals dat hier op mijn computer voor mij ligt, heeft veelal een wereldse oorsprong.
22700	26480	Zoals bijvoorbeeld de huidschilfers van ons gezin en onze katten.
27180	29300	Vezels van kleding, et cetera.
30000	34140	Maar dagelijks regent er ook stof uit de ruimte neer op onze aarde.
35700	39820	Volgens een studie uit 2021 met de titel
39820	48660	The Micrometeorite Flux at Dome Sea Antarctica Monitoring the Accretion of Extraterrestrial Dust on Earth
48660	55560	landt er 5,2 miljoen kilogram stof met een buitenaardse oorsprong per jaar op onze planeet.
55680	56920	Dat is toch niet te geloven?
56920	65100	Ja, terwijl wij ons opwinden over de stijgende energiekosten, terwijl we onze Netflix en Apple TV series kijken,
65620	71920	zijn er ook wetenschappers die op de koudste plekken op aarde onderzoek doen om onze kennis als mensheid te verbreden.
72900	79900	Wetenschappers zoals Julian Rojas, hoofdauteur van het voornoemde artikel over Extraterrestrial Dust.
79900	90500	De schatting van 5,2 miljoen kilogram stof per jaar is gedaan op basis van onderzoek door Rojas en collega's in Dome Sea in Antarctica,
90500	100100	waar de sneeuw extreem schoon is, de temperaturen zal er boven de min 25 graden Celsius stijgen en de wind ook nauwelijks waait.
100920	105060	Het is tevens een van de beste plekken op aarde om naar de sterrenhemel te kijken.
105880	111480	Laten we onze moonboots en een extra trui aantrekken en kijken of we daar de melkweg kunnen zien.
111480	115940	We spoelen voor het gemak ook even zes maanden de toekomst in.
116600	122340	Want als we werkelijk nu, eind januari 2023, naar Antarctica zouden afreizen,
122760	126980	gaat de zon daar niet onder en zien we wekenlang geen donkere sterrenhemel.
128200	134880	Aha, binnen zitten onze wetenschappelijke collega's naar een tv-serie te kijken op Netflix.
135760	137540	Laten we naar buiten gaan.
137540	142560	De deur achter is dicht, anders wordt het maar koud daarbinnen.
143340	147620	Het vaait een klein beetje en het is inderdaad bar koud hier buiten.
